vysoudit	vy-soud-i-t
čtrnáct	čtr-náct
přitančit	při-tanč-i-t
polobotka	polo-bot-k-a
půjdou	pů-jd-ou
služka	služ-k-a
podržte	po-drž-te
plakátovat	plak-át-ova-t
wolf	wolf
lodna	lodn-a
pokrčil	po-krč-i-l
vyprchávat	vy-prch-á-v-a-t
džbánem	džbán-em
fiží	fiž-í
diktuje	dikt-uje
zarůstat	za-růst-a-t
zasténat	za-stén-a-t
západořímský	zá-pad-o-řím-sk-ý
okartáčovat	o-kartáč-ova-t
karate	karate
rovnost	rovn-ost
servírovat	serv-ír-ova-t
požádala	po-žád-a-l-a
seniorů	senior-ů
lidičky	lid-ičk-y
rozhořčovat	roz-hoř-č-ova-t
upříst	u-příst
překrájet	pře-kráj-e-t
kontrolního	kontrol-n-ího
ubryndávat	u-brynd-á-v-a-t
zamalgamovat	z-amalgam-ova-t
mejta	mejt-a
vyličovat	vy-lič-ova-t
líný	lín-ý
převládat	pře-vlád-a-t
denominovat	de-nomin-ova-t
zabezpečovat	za-bez-peč-ova-t
zámrzný	zámrzn-ý
snout	sn-ou-t
invertovávanost	in-vert-ová-v-a-n-ost
vodojemech	vod-o-jem-ech
socialismu	soc-ial-ism-u
zkatalogizovat	z-kata-log-iz-ova-t
leštit	lešt-i-t
špionáž	špion-áž
začne	za-č-ne
spěchá	spěch-á
vyrůsti	vy-růs-ti
rozvětvit	roz-větv-i-t
jísti	jís-ti
zahoukat	za-houk-a-t
credit	credit
fabrikací	fabr-ik-ac-í
zajištění	za-jišt-ěn-í
proschnout	pro-sch-nou-t
židle	židl-e
podmastit	pod-mast-i-t
doširoka	do-šir-ok-a
tukuprostý	tuk-u-prost-ý
nos	nos
zešikmit	ze-šikm-i-t
detektivy	de-tekt-iv-y
ztrácet	z-trác-e-t
zamerikanizovat	z-amerik-an-iz-ova-t
šimek	šimek
vydechovat	vy-dech-ova-t
šesticípé	šest-i-cíp-é
snížení	s-níž-en-í
hojit	hoj-i-t
narežírovat	na-rež-ír-ova-t
patnáctičlenný	pat-náct-i-člen-n-ý
pokopat	po-kop-a-t
loď	loď
turisti	tur-ist-i
žbrlení	žbrlen-í
hlavatý	hlav-at-ý
vlevo	v-lev-o
opovržlivě	o-po-vrž-liv-ě
počůrávat	po-čůr-á-v-a-t
autoškoly	aut-o-škol-y
kulomety	kul-o-met-y
frizírovat	friz-ír-ova-t
lidském	lid-sk-ém
zdůraznil	z-dů-raz-n-i-l
září	zář-í
chtělo	cht-ě-l-o
vybuchnout	vy-buch-nou-t
etnografii	etn-o-graf-i-i
přiblížit	při-blíž-i-t
severomexickém	sever-o-mexic-k-ém
schopny	s-chop-n-y
divná	div-n-á
vylifrovat	vy-lifr-ova-t
oslábnout	o-sláb-nou-t
nevzpomněl	ne-vz-po-mn-ě-l
oželet	o-žel-e-t
přimáznout	při-máz-nou-t
jedinečných	jedin-eč-n-ých
jinou	jin-ou
kombinace	kombin-ac-e
milkovatelnost	mil-k-ova-teln-ost
rozvřískávat	roz-vřísk-á-v-a-t
letopočtem	let-o-po-čt-em
stezka	stezk-a
izraelské	izrael-sk-é
veliký	vel-ik-ý
zvyšováním	z-vyš-ová-n-ím
prášit	práš-i-t
známý	zn-ám-ý
brousit	brous-i-t
najísti	na-jíst-i
příručí	pří-ruč-í
zvlňovat	z-vlň-ova-t
sršeň	sršeň
zamanévrovat	za-man-évr-ova-t
připozdit	při-pozd-i-t
zaskřehotat	za-skřeh-ot-a-t
královský	král-ov-sk-ý
kvílet	kvíl-e-t
zcucháno	z-cuch-á-n-o
vyrostly	vy-rost-l-y
ulehnout	u-leh-nou-t
zabrnkat	za-brnk-a-t
dešifrovávat	de-šifr-ová-v-a-t
navzdory	na-vzdor-y
miliusová	milius-ov-á
očarovávat	o-čar-ová-v-a-t
doplakat	do-plak-a-t
sportsman	sport-s-man
tunelovat	tunel-ova-t
videožurnálu	vide-o-žurnál-u
nicolas	nicolas
nemocný	ne-moc-n-ý
fanklub	fan-klub
koulovat	koul-ova-t
zvlhnout	z-vlh-nou-t
dohonit	do-hon-i-t
kontrabandem	kontra-band-em
povalečův	po-val-eč-ův
investorů	in-vest-or-ů
snadné	snad-n-é
weilovi	weil-ov-i
odmluvit	od-mluv-i-t
přebalovat	pře-bal-ova-t
ven	ven
zasáhlo	za-sáh-l-o
mezinárodní	mezi-ná-rod-n-í
normálně	norm-ál-n-ě
metropoli	metro-pol-i
druhou	druh-ou
přeorávat	pře-or-á-v-a-t
doplňují	do-plň-uj-í
nehrozí	ne-hroz-í
kép	kép
bela	bel-a
umlkat	u-mlk-a-t
pálat	pál-a-t
přimrznout	při-mrz-nou-t
pozice	poz-ic-e
přisluhovat	při-sluh-ova-t
zrušena	z-ruš-en-a
nauky	nau-k-y
zjednodušit	z-jedn-o-duš-i-t
airlines	air-line-s
prodány	pro-d-á-n-y
dílničkách	díl-n-ičk-ách
hrubě	hrub-ě
historií	histor-i-í
nakropit	na-krop-i-t
sudokopytníci	sud-o-kopyt-níc-i
pifka	pifk-a
stopstav	stop-stav
silné	sil-n-é
jednoduchá	jedn-o-duch-á
stanovil	stanov-i-l
osvětlit	o-svět-l-i-t
izotopů	izo-top-ů
odtransportovat	od-trans-port-ova-t
tel	tel
netroufal	ne-trouf-a-l
nenaučila	ne-na-uč-i-l-a
imaginativním	imagin-at-iv-n-ím
protokolovat	proto-kol-ova-t
hyperkomplexní	hyper-komplex-n-í
prchnout	prch-nou-t
masově	mas-ov-ě
humbuk	humbuk
nejezdí	ne-jezd-í
podněcovat	pod-něc-ova-t
přihánět	při-hán-ě-t
zprůchodňovat	z-prů-chod-ň-ova-t
přítomnými	pří-t-om-n-ými
mita	mit-a
zabrebentit	za-brebent-i-t
kozáčky	kozáč-k-y
šestičlenná	šest-i-člen-n-á
zacvrlikat	za-cvrlik-a-t
žlutooký	žlut-o-ok-ý
doslechli	do-slech-l-i
názoru	ná-zor-u
skákal	skák-a-l
přebukovat	pře-buk-ova-t
zemědělské	zem-ě-děl-sk-é
komplet	kom-plet
srpna	srp-n-a
sežít	se-ží-t
herec	her-ec
pobouřit	po-bouř-i-t
maminkou	mam-in-k-ou
metují	metuj-í
mindcure	mindcure
domluvený	do-mluv-en-ý
spis	s-pis
brečeli	breč-e-l-i
victoria	victoria
sežmolit	se-žmol-i-t
pondělek	ponděl-ek
usápl	usáp-l
nalézáme	na-léz-á-me
počišťovat	po-čišť-ova-t
žehnáním	žehn-á-n-ím
zvýrazňovat	z-vý-raz-ň-ova-t
odpočinu	od-po-či-nu
potence	potenc-e
kouskovat	kous-k-ova-t
rozšiřuje	roz-šiř-uje
docválat	do-cvál-a-t
mnichově	mnichov-ě
zašantročit	za-šantroč-i-t
zřítit	z-řít-i-t
defilovat	de-fil-ova-t
důchod	dů-chod
fenomenologii	fenomen-o-log-i-i
vyvřít	vy-vř-í-t
přiléhat	při-léh-a-t
vbudovat	v-bud-ova-t
brigádničit	brigád-n-ič-i-t
mantra	mantr-a
minibus	mini-bus
pravěkých	pra-věk-ých
jazejček	jazejč-ek
přicválat	při-cvál-a-t
cannes	cannes
pach	pach
vylouhovat	vy-louh-ova-t
svědčí	s-věd-č-í
selhat	se-lh-a-t
travestovat	tra-vest-ova-t
toronto	toront-o
zpolarizovat	z-pol-ar-iz-ova-t
topořit	topoř-i-t
přímý	přím-ý
přemlít	pře-ml-í-t
dosahovávat	do-sah-ová-v-a-t
prašníkový	praš-ník-ov-ý
narejžovat	na-rejž-ova-t
telefonu	tele-fon-u
udělat	u-děl-a-t
jídlem	jí-dl-em
navonět	na-von-ě-t
fitcentrum	fit-centr-um
svraskovat	s-vrask-ova-t
úvěr	ú-věr
navztekat	na-vz-tek-a-t
stěsnávat	s-těsn-á-v-a-t
tatam	t-a-tam
kříž	kříž
krásní	krás-n-í
vnitř	vnitř
počítače	po-čít-a-č-e
tresť	tresť
šéfředitel	šéf-řed-i-tel
samohlásek	sam-o-hlás-ek
protože	pro-t-o-že
šindel	šindel
marinovat	marin-ova-t
máz	máz
škodolibý	škod-o-lib-ý
uzunogluův	uzunoglu-ův
uhříněves	uhříně-ves
fokusovat	fokus-ova-t
nocovávající	noc-ová-v-aj-íc-í
nevynutí	ne-vy-nut-í
voříškovi	voříšk-ovi
investičními	in-vest-ič-n-ími
zahouknout	za-houk-nou-t
korun	korun
druhým	druh-ým
komže	komž-e
québec	québec
zasout	za-sou-t
přemoci	pře-moc-i
neúměrně	ne-ú-měr-n-ě
opouštěl	o-poušt-ě-l
povdávat	po-v-d-á-v-a-t
zalepila	za-lep-i-l-a
poznáváme	po-zn-á-v-á-me
urýt	u-rý-t
služebná	služ-eb-n-á
mariáš	mariáš
bechyně	bechyn-ě
uštvaných	u-štv-a-n-ých
rafael	rafael
lingvistický	lingv-ist-ick-ý
nafutrovat	na-futr-ova-t
voperovat	v-oper-ova-t
loži	lož-i
snosit	s-nos-i-t
domácím	dom-á-c-ím
pohanský	po-han-sk-ý
opepřovat	o-pepř-ova-t
zparalyzovanost	z-para-lyz-ova-n-ost
zlustrovat	z-lustr-ova-t
přiřítit	při-řít-i-t
zalít	za-lí-t
pochycovat	po-chyc-ova-t
malolistý	mal-o-list-ý
protijedoucím	proti-jed-ouc-ím
hýčkat	hýč-k-a-t
zakotvení	za-kotv-en-í
testováno	test-ová-n-o
přefotit	pře-fot-i-t
uzákoňovat	u-zá-koň-ova-t
mokřit	mok-ř-i-t
drba	drb-a
tvrdí	tvrd-í
britských	brit-sk-ých
gigabyte	giga-byte
nakvésti	na-kvés-ti
jednotný	jedn-ot-n-ý
neomezený	ne-o-mez-en-ý
radiodraslík	radi-o-dras-l-ík
bohovat	boh-ova-t
zaklenuly	za-kle-nu-l-y
důlek	důl-ek
zesinat	ze-sin-a-t
překmitnout	pře-kmit-nou-t
doptat	do-pt-a-t
téže	t-é-že
totem	totem
lymfogranulóm	lymf-o-granul-óm
protipovodňový	proti-po-vod-ň-ov-ý
přeformulovat	pře-form-ul-ova-t
průměrné	prů-měr-n-é
škálovat	škál-ova-t
dluhem	dluh-em
vnitrobuněčný	v-nitr-o-buněč-n-ý
idealistický	ideal-ist-ic-k-ý
olejů	olej-ů
dreiheus	drei-heus
hypnotizovat	hypn-ot-iz-ova-t
ohryzávat	o-hryz-á-v-a-t
impozantní	im-poz-ant-n-í
bažit	baž-i-t
pozastrkat	po-za-strk-a-t
pepka	pepk-a
vyhranit	vy-hran-i-t
herečka	her-eč-k-a
přijetí	při-j-e-t-í
babiččinu	bab-ičč-in-u
basketbal	basket-bal
stoupit	stoup-i-t
guerille	guerill-e
uchrániti	u-chrán-i-ti
vložný	vložn-ý
nespolehlivé	ne-s-po-leh-l-iv-é
šestipodlažní	šest-i-pod-laž-n-í
zamítat	za-mít-a-t
vstřelil	v-střel-i-l
smečovat	smeč-ova-t
jihoamerický	jih-o-americ-k-ý
odpumpovat	od-pump-ova-t
svobodná	svobod-n-á
rozbušit	roz-buš-i-t
zaostávají	za-o-stá-v-aj-í
motto	mott-o
zlodějíčky	zl-o-děj-íčk-y
dolézat	do-léz-a-t
mažoretka	mažoret-k-a
svalovat	s-val-ova-t
zvykne	z-vyk-n-e
kousávat	kous-á-v-a-t
prokoukávat	pro-kouk-á-v-a-t
mimovědní	mimo-věd-n-í
ukázala	u-káz-a-l-a
obhlídnout	ob-hlíd-nou-t
oddechl	od-dech-l
ulejvat	u-lej-v-a-t
průjezd	prů-jezd
porušit	po-ruš-i-t
rychlokurs	rychl-o-kurs
podčápský	pod-čáp-sk-ý
khaki	khaki
nejoddanější	nej-od-d-a-n-ěj-š-í
zvěromág	zvěr-o-mág
světy	svět-y
stavím	stav-í-m
panasonic	panasonic
došla	do-š-l-a
výstavby	vý-stav-b-y
vybalancovávat	vy-ba-lanc-ová-v-a-t
bourat	bour-a-t
cizinci	ciz-inc-i
ve	ve
zaležet	za-lež-e-t
zabrnět	za-brn-ě-t
oklepnout	o-klep-nou-t
tvé	t-v-é
zdvořile	z-dvoř-i-l-e
slyšely	slyš-e-l-y
hrachu	hrach-u
marta	mart-a
výhry	vý-hr-y
báj	báj
metodám	metod-ám
úsilí	ú-sil-í
zaspat	za-sp-a-t
zplakat	z-plak-a-t
zvedají	z-ved-aj-í
iveta	ivet-a
skývu	skýv-u
řekne	řek-n-e
lékárnám	lék-ár-n-ám
pohanit	po-han-i-t
san	san
detektivům	de-tekt-iv-ům
intonovat	in-ton-ova-t
vklesávat	v-kles-á-v-a-t
kopí	kop-í
agovávat	agov-á-v-a-t
sestavět	se-stav-ě-t
prospívá	pro-spí-v-á
zastaralému	za-star-a-l-ému
oklepávat	o-klep-á-v-a-t
karlsruhe	karl-s-ruhe
zažity	za-ži-t-y
manželství	manžel-stv-í
frček	frček
nová	nov-á
přimotávat	při-mot-á-v-a-t
doslovovat	do-slov-ova-t
psivka	psivk-a
řádně	řád-n-ě
zkrvavenou	z-krv-av-en-ou
prolamovat	pro-lam-ova-t
žádném	žádn-ém
technik	techn-ik
demokratická	demo-krat-ic-k-á
potřebovat	po-třeb-ova-t
dobrou	dobr-ou
vlít	v-lí-t
odpor	od-por
svalový	sval-ov-ý
hučí	huč-í
vyváznout	vy-váz-nou-t
mesa	mes-a
potřeba	po-třeb-a
celozrnný	cel-o-zrn-n-ý
krvelačný	krv-e-lačn-ý
obchodníků	ob-chod-n-ík-ů
čerpat	čerp-a-t
elektrické	elektr-ic-k-é
většinou	vět-š-in-ou
prolenošit	pro-len-oš-i-t
příjemný	pří-jem-n-ý
pomočit	po-moč-i-t
zhlíží	z-hlíž-í
epopeje	epo-pej-e
čistého	čist-ého
podvázat	pod-váz-a-t
vydrásat	vy-drás-a-t
liberalizovat	liber-al-iz-ova-t
nakladatelství	na-klad-a-tel-stv-í
jednonohému	jedn-o-noh-ému
klubat	klub-a-t
bůhvíco	bůh-v-í-c-o
obranu	o-bran-u
plichta	plicht-a
skříňka	skříň-k-a
človíček	človíč-ek
generalizovat	gen-er-al-iz-ova-t
modernismu	modern-ism-u
celebrovat	celebr-ova-t
zrnovka	zrnovk-a
nařídit	na-říd-i-t
podtečkovat	pod-teč-k-ova-t
odstředit	od-střed-i-t
špetkovat	špet-k-ova-t
koncepční	koncepč-n-í
zakřepčit	za-křepč-i-t
fojtík	fojt-ík
potenciálních	potenc-iál-n-ích
terma	term-a
zakloktat	za-klokt-a-t
zamyslila	za-mysl-i-l-a
finančník	finanč-ník
využívána	vy-u-ží-v-á-n-a
vícesouborových	více-sou-bor-ov-ých
choceň	choceň
poškozený	po-škoz-en-ý
kusy	kus-y
zdvojení	z-dv-oj-en-í
novotný	novotn-ý
ztavovat	z-tav-ova-t
roznést	roz-nés-t
objevovat	ob-jev-ova-t
lezu	lez-u
uhýkat	u-hýk-a-t
onkologie	onko-log-i-e
česný	česn-ý
ohřál	o-hřá-l
dobíhávat	do-bíh-á-v-a-t
náboženskými	ná-bož-en-sk-ými
číš	číš
mávat	máv-a-t
závisí	zá-vis-í
nabyla	na-by-l-a
rdousit	rdous-i-t
vily	vil-y
kapitánovi	kapitán-ovi
rozleptat	roz-lept-a-t
zaplombovat	za-plomb-ova-t
necivilizována	ne-civil-izová-n-a
košerovat	košer-ova-t
zákazníci	zá-kaz-níc-i
tahat	tah-a-t
popadni	po-pad-n-i
letní	let-n-í
půlstoleté	půl-st-o-let-é
zkoumání	z-koum-á-n-í
diskokrál	disk-o-král
plagovat	plag-ova-t
nim	n-im
udělala	u-děl-a-l-a
plýtváte	plýtv-á-te
nemíval	ne-m-í-v-a-l
obchodníkům	ob-chod-n-ík-ům
továrně	továr-n-ě
drážďany	drážď-an-y
zdejší	zd-ejš-í
vaří	vař-í
mamince	mam-inc-e
modrošedý	modr-o-šed-ý
bok	bok
zašplouchnout	za-šplouch-nou-t
zatracený	za-trac-en-ý
jely	je-l-y
proužkovat	prouž-k-ova-t
nahřívat	na-hří-v-a-t
anděly	anděl-y
vzdouvat	vz-dou-v-a-t
předstírat	před-stír-a-t
kartu	kart-u
vstupují	v-stup-uj-í
civil	civil
spotřebu	s-po-třeb-u
vločka	vločk-a
bulíkovat	bul-ík-ova-t
abolovat	abol-ova-t
vymyslím	vy-mysl-í-m
zazátkovat	za-zá-tk-ova-t
průhledy	prů-hled-y
sepp	sepp
betlémské	betlém-sk-é
toman	toman
přivléci	při-vléc-i
prodrat	pro-dr-a-t
přenosová	pře-nos-ov-á
platforma	plat-form-a
mokrá	mok-r-á
trestuhodné	trest-u-hod-n-é
šoféři	šoféř-i
stroma	strom-a
dohádat	do-hád-a-t
spokojeni	s-po-koj-en-i
sdělat	s-děl-a-t
štěpánka	štěpán-k-a
bláha	bláh-a
vystupovat	vy-stup-ova-t
stravování	s-trav-ová-n-í
zpovšechnit	z-po-vš-ech-n-i-t
dvojnulkou	dv-oj-nul-k-ou
upadlo	u-pad-l-o
typologie	typ-o-log-i-e
coververze	cover-verz-e
východní	vý-chod-n-í
management	manage-ment
vzduchoprázdný	vzduch-oprázdný
obalamutit	o-balamut-i-t
nesmím	ne-sm-í-m
dýchnout	dých-nou-t
obvody	ob-vod-y
sídle	sídl-e
hranic	hran-ic
senoseč	sen-o-seč
uchránit	u-chrán-i-t
žižlavská	žižlav-sk-á
patřil	patř-i-l
die	die
narození	na-roz-en-í
erik	erik
tříhodinový	tř-í-hodin-ov-ý
zdviženýma	z-dviž-en-ýma
západomoravský	zá-pad-o-morav-sk-ý
odchylky	od-chyl-k-y
společně	spol-eč-n-ě
sesouvat	se-sou-v-a-t
vyříditi	vy-říd-i-ti
frakce	frakc-e
železo	želez-o
nepáchnout	ne-pách-nou-t
poprchávat	po-prch-á-v-a-t
nymfa	nymf-a
falešný	faleš-n-ý
york	york
chraptit	chrap-t-i-t
rub	rub
rozhodly	roz-hod-l-y
simmel	simmel
vyčarovávat	vy-čar-ová-v-a-t
spojené	s-poj-en-é
urovnat	u-rov-n-a-t
vedeny	ved-en-y
čtveřice	čtveř-ic-e
sedmiletý	sedm-i-let-ý
kvést	kvést
kčs	k-č-s
lpí	lp-í
přesunovat	pře-sun-ova-t
navařovat	na-vař-ova-t
předřazovat	před-řaz-ova-t
bryčka	bryčk-a
varování	var-ová-n-í
kops	kops
zestárnout	ze-stár-nou-t
přečíslovávat	pře-čísl-ová-v-a-t
předdefinovat	před-de-fin-ova-t
darebo	dareb-o
popást	po-pás-t
bystrica	bystric-a
vzorků	vzor-k-ů
nahryzovat	na-hryz-ova-t
kdy	kd-y
skupin	s-kup-in
soupravy	sou-prav-y
vstali	v-sta-l-i
přítele	pří-tel-e
blažek	blažek
převát	pře-vá-t
hrabě	hrab-ě
skočte	skoč-te
cak	cak
zúrodňovat	z-ú-rod-ň-ova-t
podorávat	pod-or-á-v-a-t
odpravit	od-prav-i-t
odškodňovat	od-škod-ň-ova-t
plavec	plav-ec
štěknout	štěk-nou-t
ponk	ponk
cítí	cít-í
lupa	lup-a
rekce	rekc-e
flok	flok
jihlavské	jihlav-sk-é
řečici	řečic-i
fiakr	fiakr
odsouhlasit	od-sou-hlas-i-t
týn	týn
zmrtvit	z-mrtv-i-t
jalovic	jalov-ic
chvěly	chvě-l-y
jezero	jezer-o
vyspárovat	vy-spár-ova-t
vidlice	vidl-ic-e
přitisknout	při-tisk-nou-t
rybička	ryb-ičk-a
strojek	stroj-ek
nejrychlejšího	nej-rychl-ejš-ího
orientován	orient-ová-n
dosahu	do-sah-u
křivák	křiv-ák
odnárodnit	od-ná-rod-n-i-t
prošpikovávat	pro-špik-ová-v-a-t
cirkl	cirkl
přivdat	při-v-d-a-t
zprůsvitňovat	z-prů-svitň-ova-t
rýmu	rým-u
naklihovat	na-klih-ova-t
zcestí	z-cest-í
frnět	frn-ě-t
vladařit	vlad-ař-i-t
pojíždět	po-jížd-ě-t
úst	úst
vtěsnávat	v-těsn-á-v-a-t
zkapalňovávaný	z-kap-a-l-ň-ová-v-a-n-ý
rozhlídnout	roz-hlíd-nou-t
uf	uf
chřtán	chřtán
restituovat	re-stitu-ova-t
domoci	do-moc-i
skeptika	skept-ik-a
smrdí	smrd-í
abbé	abb-é
rychlodráhu	rychl-o-dráh-u
rozplétat	roz-plét-a-t
šťuchnout	šťuch-nou-t
pomíchat	po-mích-a-t
velkosedlák	vel-k-o-sed-l-ák
pečný	pečn-ý
sirka	sir-k-a
sarajevo	sarajev-o
rozeskupovat	roze-s-kup-ova-t
veřejný	veřejn-ý
probourávat	pro-bour-á-v-a-t
absolventi	ab-solv-ent-i
odborný	od-bor-n-ý
skotská	skot-sk-á
duševní	duš-ev-n-í
vymezení	vy-mez-en-í
vsi	vs-i
vmíchat	v-mích-a-t
namladit	na-mlad-i-t
dkp	d-k-p
blekotat	blek-ot-a-t
představitelů	před-stav-i-tel-ů
upozaďovat	u-po-zaď-ova-t
zněmčit	z-němč-i-t
systematizovat	sy-st-em-at-iz-ova-t
podjíždějící	pod-jížd-ěj-íc-í
kvantizovaně	kvant-izova-n-ě
výkony	vý-kon-y
rouhat	rouh-a-t
namrznout	na-mrz-nou-t
poměrech	po-měr-ech
jedinkrát	jedin-krát
zbankrotoval	z-bank-rot-ova-l
doletovat	do-let-ova-t
exponovaný	ex-pon-ova-n-ý
domácnostech	dom-á-c-n-ost-ech
rozčileně	roz-čil-e-n-ě
děsný	děs-n-ý
zvyšují	z-vyš-uj-í
politbyro	polit-byr-o
pobručovat	po-bruč-ova-t
čírka	čírk-a
pročundrovat	pro-čundr-ova-t
huntovat	hunt-ova-t
myslit	mysl-i-t
reprobovat	re-prob-ova-t
nazpívávat	na-z-pí-v-á-v-a-t
sídlívat	síd-l-í-v-a-t
sotna	sotn-a
vsoukat	v-souk-a-t
ožulit	o-žul-i-t
zchytávat	z-chyt-á-v-a-t
volali	vol-a-l-i
patentovat	pat-ent-ova-t
ukojil	u-koj-i-l
kennedy	kennedy
uzdvihnout	u-z-dvih-nou-t
vlha	vlh-a
komando	komand-o
svátek	svát-ek
máš	m-á-š
zachřestit	za-chřest-i-t
vztahující	vz-tah-uj-íc-í
vysílané	vy-síl-a-n-é
leningrad	lenin-grad
neseděli	ne-sed-ě-l-i
termidor	termidor
zápasí	zá-pas-í
střelecká	střel-ec-k-á
venku	ven-k-u
zaplavuje	za-plav-uje
degustovat	de-gust-ova-t
přistrkat	při-strk-a-t
reinvestovat	re-in-vest-ova-t
zakošerovat	za-košer-ova-t
škrkavka	škrkavk-a
ratifikovat	rati-fik-ova-t
pohybovaly	po-hyb-ova-l-y
generálporučík	generál-po-ruč-ík
režie	rež-i-e
těhotenství	těhoten-ství
sjednávaného	s-jedn-á-v-a-n-ého
čárný	čárn-ý
jednoho	jedn-oho
vysrkávat	vy-srk-á-v-a-t
ujmout	u-jm-ou-t
harpuna	harpun-a
nejčastěji	nej-čas-t-ěj-i
čepici	čep-ic-i
nedali	ne-d-a-l-i
soudů	soud-ů
střebat	střeb-a-t
otrhávat	o-trh-á-v-a-t
přistane	při-sta-ne
vzezřít	vze-zř-í-t
maďarské	maďar-sk-é
vyvrhel	vy-vrh-e-l
zaskvět	za-skv-ě-t
zkonstatovat	z-kon-stat-ova-t
