parent	child	posPC	genderPC	aspectPC	same_start	1gram_Parent_start	2gram_Parent_start	3gram_Parent_start	4gram_Parent_start	5gram_Parent_start	6gram_Parent_start	1gram_Child_start	2gram_Child_start	3gram_Child_start	4gram_Child_start	5gram_Child_start	6gram_Child_start	6gram_Parent_end	5gram_Parent_end	4gram_Parent_end	3gram_Parent_end	2gram_Parent_end	1gram_Parent_end	6gram_Child_end	5gram_Child_end	4gram_Child_end	3gram_Child_end	2gram_Child_end	1gram_Child_end	label
Alarika	Alaričin	NA	M-	--	1	A	Al	Ala	Alar	Alari	Alarik	A	Al	Ala	Alar	Alari	Alarič	larika	arika	rika	ika	ka	a	aričin	ričin	ičin	čin	in	n	poses.
alarmistka	alarmistčin	NA	F-	--	1	a	al	ala	alar	alarm	alarmi	a	al	ala	alar	alarm	alarmi	mistka	istka	stka	tka	ka	a	istčin	stčin	tčin	čin	in	n	poses.
Albánec	Albánka	NN	MF	--	1	A	Al	Alb	Albá	Albán	Albáne	A	Al	Alb	Albá	Albán	Albánk	lbánec	bánec	ánec	nec	ec	c	lbánka	bánka	ánka	nka	ka	a	přech.
Albánka	Albánčin	NA	F-	--	1	A	Al	Alb	Albá	Albán	Albánk	A	Al	Alb	Albá	Albán	Albánč	lbánka	bánka	ánka	nka	ka	a	bánčin	ánčin	nčin	čin	in	n	poses.
albín	albínka	NN	FF	--	1	a	al	alb	albí	albín	-	a	al	alb	albí	albín	albínk	-	albín	lbín	bín	ín	n	lbínka	bínka	ínka	nka	ka	a	přech.
album	albíčko	NN	NN	--	1	a	al	alb	albu	album	-	a	al	alb	albí	albíč	albíčk	-	album	lbum	bum	um	m	lbíčko	bíčko	íčko	čko	ko	o	zdrob.
Alena	Alenka	NN	FF	--	1	A	Al	Ale	Alen	Alena	-	A	Al	Ale	Alen	Alenk	Alenka	-	Alena	lena	ena	na	a	Alenka	lenka	enka	nka	ka	a	zdrob.
Alexandr	Alexandra	NN	MM	--	1	A	Al	Ale	Alex	Alexa	Alexan	A	Al	Ale	Alex	Alexa	Alexan	exandr	xandr	andr	ndr	dr	r	xandra	andra	ndra	dra	ra	a	přech.
Alexandrovič	Alexandrovičův	NA	M-	--	1	A	Al	Ale	Alex	Alexa	Alexan	A	Al	Ale	Alex	Alexa	Alexan	drovič	rovič	ovič	vič	ič	č	ovičův	vičův	ičův	čův	ův	v	poses.
Algayer	Algayrův	NA	M-	--	1	A	Al	Alg	Alga	Algay	Algaye	A	Al	Alg	Alga	Algay	Algayr	lgayer	gayer	ayer	yer	er	r	gayrův	ayrův	yrův	rův	ův	v	poses.
Alis	Alisův	NA	F-	--	1	A	Al	Ali	Alis	-	-	A	Al	Ali	Alis	Alisů	Alisův	-	-	Alis	lis	is	s	Alisův	lisův	isův	sův	ův	v	poses.
alkoholička	alkoholiččin	NA	F-	--	1	a	al	alk	alko	alkoh	alkoho	a	al	alk	alko	alkoh	alkoho	olička	lička	ička	čka	ka	a	liččin	iččin	ččin	čin	in	n	poses.
alkoholik	alkoholička	NN	MF	--	1	a	al	alk	alko	alkoh	alkoho	a	al	alk	alko	alkoh	alkoho	oholik	holik	olik	lik	ik	k	olička	lička	ička	čka	ka	a	přech.
Allison	Allisonův	NA	M-	--	1	A	Al	All	Alli	Allis	Alliso	A	Al	All	Alli	Allis	Alliso	llison	lison	ison	son	on	n	isonův	sonův	onův	nův	ův	v	poses.
almara	almárka	NN	FF	--	1	a	al	alm	alma	almar	almara	a	al	alm	almá	almár	almárk	almara	lmara	mara	ara	ra	a	lmárka	márka	árka	rka	ka	a	zdrob.
almužna	almužnička	NN	FF	--	1	a	al	alm	almu	almuž	almužn	a	al	alm	almu	almuž	almužn	lmužna	mužna	užna	žna	na	a	žnička	nička	ička	čka	ka	a	zdrob.
Altaner	Altanerův	NA	M-	--	1	A	Al	Alt	Alta	Altan	Altane	A	Al	Alt	Alta	Altan	Altane	ltaner	taner	aner	ner	er	r	anerův	nerův	erův	rův	ův	v	poses.
altán	altánek	NN	II	--	1	a	al	alt	altá	altán	-	a	al	alt	altá	altán	altáne	-	altán	ltán	tán	án	n	ltánek	tánek	ánek	nek	ek	k	zdrob.
alternativistka	alternativistčin	NA	F-	--	1	a	al	alt	alte	alter	altern	a	al	alt	alte	alter	altern	vistka	istka	stka	tka	ka	a	istčin	stčin	tčin	čin	in	n	poses.
Althusser	Althusserův	NA	M-	--	1	A	Al	Alt	Alth	Althu	Althus	A	Al	Alt	Alth	Althu	Althus	husser	usser	sser	ser	er	r	sserův	serův	erův	rův	ův	v	poses.
Amálie	Amálka	NN	FF	--	1	A	Am	Amá	Amál	Amáli	Amálie	A	Am	Amá	Amál	Amálk	Amálka	Amálie	málie	álie	lie	ie	e	Amálka	málka	álka	lka	ka	a	zdrob.
amatér	amatérka	NN	MF	--	1	a	am	ama	amat	amaté	amatér	a	am	ama	amat	amaté	amatér	amatér	matér	atér	tér	ér	r	atérka	térka	érka	rka	ka	a	přech.
ambit	ambitek	NN	II	--	1	a	am	amb	ambi	ambit	-	a	am	amb	ambi	ambit	ambite	-	ambit	mbit	bit	it	t	mbitek	bitek	itek	tek	ek	k	zdrob.
Ambrůz	Ambrůzův	NA	M-	--	1	A	Am	Amb	Ambr	Ambrů	Ambrůz	A	Am	Amb	Ambr	Ambrů	Ambrůz	Ambrůz	mbrůz	brůz	růz	ůz	z	brůzův	růzův	ůzův	zův	ův	v	poses.
Amerikán	Amerikánka	NN	MF	--	1	A	Am	Ame	Amer	Ameri	Amerik	A	Am	Ame	Amer	Ameri	Amerik	erikán	rikán	ikán	kán	án	n	ikánka	kánka	ánka	nka	ka	a	přech.
amerikánský	amerikánství	AN	IN	--	1	a	am	ame	amer	ameri	amerik	a	am	ame	amer	ameri	amerik	kánský	ánský	nský	ský	ký	ý	ánství	nství	ství	tví	ví	í	podst.
ampule	ampulka	NN	FF	--	1	a	am	amp	ampu	ampul	ampule	a	am	amp	ampu	ampul	ampulk	ampule	mpule	pule	ule	le	e	mpulka	pulka	ulka	lka	ka	a	zdrob.
analfabet	analfabetka	NN	MF	--	1	a	an	ana	anal	analf	analfa	a	an	ana	anal	analf	analfa	lfabet	fabet	abet	bet	et	t	abetka	betka	etka	tka	ka	a	přech.
Anča	Ančička	NN	FF	--	1	A	An	Anč	Anča	-	-	A	An	Anč	Anči	Ančič	Ančičk	-	-	Anča	nča	ča	a	nčička	čička	ička	čka	ka	a	zdrob.
Anděla	Andělka	NN	FF	--	1	A	An	And	Andě	Anděl	Anděla	A	An	And	Andě	Anděl	Andělk	Anděla	nděla	děla	ěla	la	a	ndělka	dělka	ělka	lka	ka	a	zdrob.
andělka	andělčin	NA	F-	--	1	a	an	and	andě	anděl	andělk	a	an	and	andě	anděl	andělč	ndělka	dělka	ělka	lka	ka	a	dělčin	ělčin	lčin	čin	in	n	poses.
anděl	andělka	NN	MF	--	1	a	an	and	andě	anděl	-	a	an	and	andě	anděl	andělk	-	anděl	nděl	děl	ěl	l	ndělka	dělka	ělka	lka	ka	a	přech.
anděl	andílek	NN	MM	--	1	a	an	and	andě	anděl	-	a	an	and	andí	andíl	andíle	-	anděl	nděl	děl	ěl	l	ndílek	dílek	ílek	lek	ek	k	zdrob.
Andrées	Andréesův	NA	M-	--	1	A	An	And	Andr	André	Andrée	A	An	And	Andr	André	Andrée	ndrées	drées	rées	ées	es	s	réesův	éesův	esův	sův	ův	v	poses.
Andrijus	Andrijusův	NA	M-	--	1	A	An	And	Andr	Andri	Andrij	A	An	And	Andr	Andri	Andrij	drijus	rijus	ijus	jus	us	s	ijusův	jusův	usův	sův	ův	v	poses.
androš	androšův	NA	M-	--	1	a	an	and	andr	andro	androš	a	an	and	andr	andro	androš	androš	ndroš	droš	roš	oš	š	drošův	rošův	ošův	šův	ův	v	poses.
Andula	Andulka	NN	FF	--	1	A	An	And	Andu	Andul	Andula	A	An	And	Andu	Andul	Andulk	Andula	ndula	dula	ula	la	a	ndulka	dulka	ulka	lka	ka	a	zdrob.
anekdota	anekdotka	NN	FF	--	1	a	an	ane	anek	anekd	anekdo	a	an	ane	anek	anekd	anekdo	ekdota	kdota	dota	ota	ta	a	kdotka	dotka	otka	tka	ka	a	zdrob.
anekdotářka	anekdotářčin	NA	F-	--	1	a	an	ane	anek	anekd	anekdo	a	an	ane	anek	anekd	anekdo	otářka	tářka	ářka	řka	ka	a	tářčin	ářčin	řčin	čin	in	n	poses.
Anetka	Anetčin	NA	F-	--	1	A	An	Ane	Anet	Anetk	Anetka	A	An	Ane	Anet	Anetč	Anetči	Anetka	netka	etka	tka	ka	a	netčin	etčin	tčin	čin	in	n	poses.
angličtinář	angličtinářka	NN	MF	--	1	a	an	ang	angl	angli	anglič	a	an	ang	angl	angli	anglič	čtinář	tinář	inář	nář	ář	ř	inářka	nářka	ářka	řka	ka	a	přech.
Anna	Anička	NN	FF	--	1	A	An	Ann	Anna	-	-	A	An	Ani	Anič	Aničk	Anička	-	-	Anna	nna	na	a	Anička	nička	ička	čka	ka	a	zdrob.
ansár	ansárův	NA	M-	--	1	a	an	ans	ansá	ansár	-	a	an	ans	ansá	ansár	ansárů	-	ansár	nsár	sár	ár	r	nsárův	sárův	árův	rův	ův	v	poses.
antialkoholik	antialkoholikův	NA	M-	--	1	a	an	ant	anti	antia	antial	a	an	ant	anti	antia	antial	oholik	holik	olik	lik	ik	k	olikův	likův	ikův	kův	ův	v	poses.
antiislamista	antiislamistův	NA	M-	--	1	a	an	ant	anti	antii	antiis	a	an	ant	anti	antii	antiis	amista	mista	ista	sta	ta	a	mistův	istův	stův	tův	ův	v	poses.
antikomunistka	antikomunistčin	NA	F-	--	1	a	an	ant	anti	antik	antiko	a	an	ant	anti	antik	antiko	nistka	istka	stka	tka	ka	a	istčin	stčin	tčin	čin	in	n	poses.
antikvářka	antikvářčin	NA	F-	--	1	a	an	ant	anti	antik	antikv	a	an	ant	anti	antik	antikv	kvářka	vářka	ářka	řka	ka	a	vářčin	ářčin	řčin	čin	in	n	poses.
antimilitaristka	antimilitaristčin	NA	F-	--	1	a	an	ant	anti	antim	antimi	a	an	ant	anti	antim	antimi	ristka	istka	stka	tka	ka	a	istčin	stčin	tčin	čin	in	n	poses.
antinacistka	antinacistčin	NA	F-	--	1	a	an	ant	anti	antin	antina	a	an	ant	anti	antin	antina	cistka	istka	stka	tka	ka	a	istčin	stčin	tčin	čin	in	n	poses.
antiodborářka	antiodborářčin	NA	F-	--	1	a	an	ant	anti	antio	antiod	a	an	ant	anti	antio	antiod	orářka	rářka	ářka	řka	ka	a	rářčin	ářčin	řčin	čin	in	n	poses.
antirasistka	antirasistčin	NA	F-	--	1	a	an	ant	anti	antir	antira	a	an	ant	anti	antir	antira	sistka	istka	stka	tka	ka	a	istčin	stčin	tčin	čin	in	n	poses.
antisandinistka	antisandinistčin	NA	F-	--	1	a	an	ant	anti	antis	antisa	a	an	ant	anti	antis	antisa	nistka	istka	stka	tka	ka	a	istčin	stčin	tčin	čin	in	n	poses.
antispolkařka	antispolkařčin	NA	F-	--	1	a	an	ant	anti	antis	antisp	a	an	ant	anti	antis	antisp	lkařka	kařka	ařka	řka	ka	a	kařčin	ařčin	řčin	čin	in	n	poses.
antistalinistka	antistalinistčin	NA	F-	--	1	a	an	ant	anti	antis	antist	a	an	ant	anti	antis	antist	nistka	istka	stka	tka	ka	a	istčin	stčin	tčin	čin	in	n	poses.
Antonín	Antonie	NN	MF	--	1	A	An	Ant	Anto	Anton	Antoní	A	An	Ant	Anto	Anton	Antoni	ntonín	tonín	onín	nín	ín	n	ntonie	tonie	onie	nie	ie	e	přech.
antropolog	antropoložka	NN	MF	--	1	a	an	ant	antr	antro	antrop	a	an	ant	antr	antro	antrop	opolog	polog	olog	log	og	g	oložka	ložka	ožka	žka	ka	a	přech.
antropoložka	antropoložčin	NA	F-	--	1	a	an	ant	antr	antro	antrop	a	an	ant	antr	antro	antrop	oložka	ložka	ožka	žka	ka	a	ložčin	ožčin	žčin	čin	in	n	poses.
antukářka	antukářčin	NA	F-	--	1	a	an	ant	antu	antuk	antuká	a	an	ant	antu	antuk	antuká	ukářka	kářka	ářka	řka	ka	a	kářčin	ářčin	řčin	čin	in	n	poses.
aparát	aparátek	NN	II	--	1	a	ap	apa	apar	apará	aparát	a	ap	apa	apar	apará	aparát	aparát	parát	arát	rát	át	t	arátek	rátek	átek	tek	ek	k	zdrob.
apatykář	apatykářka	NN	MF	--	1	a	ap	apa	apat	apaty	apatyk	a	ap	apa	apat	apaty	apatyk	atykář	tykář	ykář	kář	ář	ř	ykářka	kářka	ářka	řka	ka	a	přech.
Apolena	Apolenka	NN	FF	--	1	A	Ap	Apo	Apol	Apole	Apolen	A	Ap	Apo	Apol	Apole	Apolen	polena	olena	lena	ena	na	a	olenka	lenka	enka	nka	ka	a	zdrob.
Aprilka	Aprilčin	NA	F-	--	1	A	Ap	Apr	Apri	April	Aprilk	A	Ap	Apr	Apri	April	Aprilč	prilka	rilka	ilka	lka	ka	a	rilčin	ilčin	lčin	čin	in	n	poses.
aranžér	aranžérka	NN	MF	--	1	a	ar	ara	aran	aranž	aranžé	a	ar	ara	aran	aranž	aranžé	ranžér	anžér	nžér	žér	ér	r	nžérka	žérka	érka	rka	ka	a	přech.
aranžér	aranžérův	NA	M-	--	1	a	ar	ara	aran	aranž	aranžé	a	ar	ara	aran	aranž	aranžé	ranžér	anžér	nžér	žér	ér	r	nžérův	žérův	érův	rův	ův	v	poses.
archandělka	archandělčin	NA	F-	--	1	a	ar	arc	arch	archa	archan	a	ar	arc	arch	archa	archan	ndělka	dělka	ělka	lka	ka	a	dělčin	ělčin	lčin	čin	in	n	poses.
archanděl	archandělka	NN	MF	--	1	a	ar	arc	arch	archa	archan	a	ar	arc	arch	archa	archan	handěl	anděl	nděl	děl	ěl	l	ndělka	dělka	ělka	lka	ka	a	přech.
archeobotanička	archeobotaniččin	NA	M-	--	1	a	ar	arc	arch	arche	archeo	a	ar	arc	arch	arche	archeo	anička	nička	ička	čka	ka	a	niččin	iččin	ččin	čin	in	n	poses.
archeobotanik	archeobotanička	NN	MM	--	1	a	ar	arc	arch	arche	archeo	a	ar	arc	arch	arche	archeo	otanik	tanik	anik	nik	ik	k	anička	nička	ička	čka	ka	a	přech.
archeolog	archeoložka	NN	MF	--	1	a	ar	arc	arch	arche	archeo	a	ar	arc	arch	arche	archeo	heolog	eolog	olog	log	og	g	oložka	ložka	ožka	žka	ka	a	přech.
archeoložka	archeoložčin	NA	F-	--	1	a	ar	arc	arch	arche	archeo	a	ar	arc	arch	arche	archeo	oložka	ložka	ožka	žka	ka	a	ložčin	ožčin	žčin	čin	in	n	poses.
architekt	architektka	NN	MF	--	1	a	ar	arc	arch	archi	archit	a	ar	arc	arch	archi	archit	hitekt	itekt	tekt	ekt	kt	t	tektka	ektka	ktka	tka	ka	a	přech.
archivář	archivářka	NN	MF	--	1	a	ar	arc	arch	archi	archiv	a	ar	arc	arch	archi	archiv	chivář	hivář	ivář	vář	ář	ř	ivářka	vářka	ářka	řka	ka	a	přech.
arch	aršík	NN	MI	--	1	a	ar	arc	arch	-	-	a	ar	arš	arší	aršík	-	-	-	arch	rch	ch	h	-	aršík	ršík	šík	ík	k	zdrob.
arcikacířka	arcikacířčin	NA	F-	--	1	a	ar	arc	arci	arcik	arcika	a	ar	arc	arci	arcik	arcika	acířka	cířka	ířka	řka	ka	a	cířčin	ířčin	řčin	čin	in	n	poses.
arcirevolucionář	arcirevolucionářův	NA	M-	--	1	a	ar	arc	arci	arcir	arcire	a	ar	arc	arci	arcir	arcire	cionář	ionář	onář	nář	ář	ř	onářův	nářův	ářův	řův	ův	v	poses.
arcivikářka	arcivikářčin	NA	F-	--	1	a	ar	arc	arci	arciv	arcivi	a	ar	arc	arci	arciv	arcivi	ikářka	kářka	ářka	řka	ka	a	kářčin	ářčin	řčin	čin	in	n	poses.
areál	areálek	NN	II	--	1	a	ar	are	areá	areál	-	a	ar	are	areá	areál	areále	-	areál	reál	eál	ál	l	reálek	eálek	álek	lek	ek	k	zdrob.
Arensberg	Arensbergův	NA	M-	--	1	A	Ar	Are	Aren	Arens	Arensb	A	Ar	Are	Aren	Arens	Arensb	nsberg	sberg	berg	erg	rg	g	bergův	ergův	rgův	gův	ův	v	poses.
arestantka	arestantčin	NA	F-	--	1	a	ar	are	ares	arest	aresta	a	ar	are	ares	arest	aresta	tantka	antka	ntka	tka	ka	a	antčin	ntčin	tčin	čin	in	n	poses.
arestant	arestantka	NN	MF	--	1	a	ar	are	ares	arest	aresta	a	ar	are	ares	arest	aresta	estant	stant	tant	ant	nt	t	tantka	antka	ntka	tka	ka	a	přech.
Argena	Argenin	NA	F-	--	1	A	Ar	Arg	Arge	Argen	Argena	A	Ar	Arg	Arge	Argen	Argeni	Argena	rgena	gena	ena	na	a	rgenin	genin	enin	nin	in	n	poses.
Argentinec	Argentinka	NN	MF	--	1	A	Ar	Arg	Arge	Argen	Argent	A	Ar	Arg	Arge	Argen	Argent	ntinec	tinec	inec	nec	ec	c	ntinka	tinka	inka	nka	ka	a	přech.
Argentinka	Argentinčin	NA	F-	--	1	A	Ar	Arg	Arge	Argen	Argent	A	Ar	Arg	Arge	Argen	Argent	ntinka	tinka	inka	nka	ka	a	tinčin	inčin	nčin	čin	in	n	poses.
árijec	árijka	NN	MF	--	1	á	ár	ári	árij	árije	árijec	á	ár	ári	árij	árijk	árijka	árijec	rijec	ijec	jec	ec	c	árijka	rijka	ijka	jka	ka	a	přech.
