parent	child	pos_P	pos_C	gender_P	gender_C	aspect_P	aspect_C	poses_P	poses_C	same_start	same_end	one_gram_P_start	two_gram_P_start	three_gram_P_start	four_gram_P_start	five_gram_P_start	six_gram_P_start	one_gram_C_start	two_gram_C_start	three_gram_C_start	four_gram_C_start	five_gram_C_start	six_gram_C_start	six_gram_P_end	five_gram_P_end	four_gram_P_end	three_gram_P_end	two_gram_P_end	one_gram_P_end	six_gram_C_end	five_gram_C_end	four_gram_C_end	three_gram_C_end	two_gram_C_end	one_gram_C_end	label
Adamík	Adamíkův	N	A	M	NA	NA	NA	0	1	1	0	A	Ad	Ada	Adam	Adamí	Adamík	A	Ad	Ada	Adam	Adamí	Adamík	Adamík	damík	amík	mík	ík	k	amíkův	míkův	íkův	kův	ův	v	POSSESSIVE
Adam	Adámek	N	N	M	M	NA	NA	0	0	1	0	A	Ad	Ada	Adam	NA	NA	A	Ad	Adá	Adám	Adáme	Adámek	NA	NA	Adam	dam	am	m	Adámek	dámek	ámek	mek	ek	k	DIMINUTIVE
adept	adeptka	N	N	M	F	NA	NA	0	0	1	0	a	ad	ade	adep	adept	NA	a	ad	ade	adep	adept	adeptk	NA	adept	dept	ept	pt	t	deptka	eptka	ptka	tka	ka	a	FEMALE
adjunkt	adjunktka	N	N	M	F	NA	NA	0	0	1	0	a	ad	adj	adju	adjun	adjunk	a	ad	adj	adju	adjun	adjunk	djunkt	junkt	unkt	nkt	kt	t	unktka	nktka	ktka	tka	ka	a	FEMALE
adjutant	adjutantka	N	N	M	F	NA	NA	0	0	1	0	a	ad	adj	adju	adjut	adjuta	a	ad	adj	adju	adjut	adjuta	jutant	utant	tant	ant	nt	t	tantka	antka	ntka	tka	ka	a	FEMALE
administrátor	administrátorka	N	N	M	F	NA	NA	0	0	1	0	a	ad	adm	admi	admin	admini	a	ad	adm	admi	admin	admini	trátor	rátor	átor	tor	or	r	átorka	torka	orka	rka	ka	a	FEMALE
adoptant	adoptantka	N	N	M	F	NA	NA	0	0	1	0	a	ad	ado	adop	adopt	adopta	a	ad	ado	adop	adopt	adopta	optant	ptant	tant	ant	nt	t	tantka	antka	ntka	tka	ka	a	FEMALE
adresant	adresantka	N	N	M	F	NA	NA	0	0	1	0	a	ad	adr	adre	adres	adresa	a	ad	adr	adre	adres	adresa	resant	esant	sant	ant	nt	t	santka	antka	ntka	tka	ka	a	FEMALE
adresářík	adresáříček	N	N	I	I	NA	NA	0	0	1	1	a	ad	adr	adre	adres	adresá	a	ad	adr	adre	adres	adresá	esářík	sářík	ářík	řík	ík	k	áříček	říček	íček	ček	ek	k	DIMINUTIVE
adresát	adresátka	N	N	M	F	NA	NA	0	0	1	0	a	ad	adr	adre	adres	adresá	a	ad	adr	adre	adres	adresá	dresát	resát	esát	sát	át	t	esátka	sátka	átka	tka	ka	a	FEMALE
advokát	advokátka	N	N	M	F	NA	NA	0	0	1	0	a	ad	adv	advo	advok	advoká	a	ad	adv	advo	advok	advoká	dvokát	vokát	okát	kát	át	t	okátka	kátka	átka	tka	ka	a	FEMALE
Aegina	Aeginin	N	A	F	NA	NA	NA	0	1	1	0	A	Ae	Aeg	Aegi	Aegin	Aegina	A	Ae	Aeg	Aegi	Aegin	Aegini	Aegina	egina	gina	ina	na	a	eginin	ginin	inin	nin	in	n	POSSESSIVE
Aelred	Aelredův	N	A	M	NA	NA	NA	0	1	1	0	A	Ae	Ael	Aelr	Aelre	Aelred	A	Ae	Ael	Aelr	Aelre	Aelred	Aelred	elred	lred	red	ed	d	lredův	redův	edův	dův	ův	v	POSSESSIVE
aféra	aférka	N	N	F	F	NA	NA	0	0	1	1	a	af	afé	afér	aféra	NA	a	af	afé	afér	aférk	aférka	NA	aféra	féra	éra	ra	a	aférka	férka	érka	rka	ka	a	DIMINUTIVE
Afričanka	Afričančin	N	A	F	NA	NA	NA	0	1	1	0	A	Af	Afr	Afri	Afrič	Afriča	A	Af	Afr	Afri	Afrič	Afriča	ičanka	čanka	anka	nka	ka	a	čančin	ančin	nčin	čin	in	n	POSSESSIVE
Afroameričanka	Afroameričančin	N	A	F	NA	NA	NA	0	1	1	0	A	Af	Afr	Afro	Afroa	Afroam	A	Af	Afr	Afro	Afroa	Afroam	ičanka	čanka	anka	nka	ka	a	čančin	ančin	nčin	čin	in	n	POSSESSIVE
agent	agentka	N	N	M	F	NA	NA	0	0	1	0	a	ag	age	agen	agent	NA	a	ag	age	agen	agent	agentk	NA	agent	gent	ent	nt	t	gentka	entka	ntka	tka	ka	a	FEMALE
agitátor	agitátorka	N	N	M	F	NA	NA	0	0	1	0	a	ag	agi	agit	agitá	agitát	a	ag	agi	agit	agitá	agitát	itátor	tátor	átor	tor	or	r	átorka	torka	orka	rka	ka	a	FEMALE
agitovat	agitovávat	V	V	NA	NA	I	I	0	0	1	1	a	ag	agi	agit	agito	agitov	a	ag	agi	agit	agito	agitov	itovat	tovat	ovat	vat	at	t	ovávat	vávat	ávat	vat	at	t	ITERATIVE
Agnesa	Agnesin	N	A	F	NA	NA	NA	0	1	1	0	A	Ag	Agn	Agne	Agnes	Agnesa	A	Ag	Agn	Agne	Agnes	Agnesi	Agnesa	gnesa	nesa	esa	sa	a	gnesin	nesin	esin	sin	in	n	POSSESSIVE
Agnieszka	Agnieszčin	N	A	F	NA	NA	NA	0	1	1	0	A	Ag	Agn	Agni	Agnie	Agnies	A	Ag	Agn	Agni	Agnie	Agnies	ieszka	eszka	szka	zka	ka	a	eszčin	szčin	zčin	čin	in	n	POSSESSIVE
Agota	Agotin	N	A	F	NA	NA	NA	0	1	1	0	A	Ag	Ago	Agot	Agota	NA	A	Ag	Ago	Agot	Agoti	Agotin	NA	Agota	gota	ota	ta	a	Agotin	gotin	otin	tin	in	n	POSSESSIVE
Agrippina	Agrippinin	N	A	F	NA	NA	NA	0	1	1	0	A	Ag	Agr	Agri	Agrip	Agripp	A	Ag	Agr	Agri	Agrip	Agripp	ippina	ppina	pina	ina	na	a	ppinin	pinin	inin	nin	in	n	POSSESSIVE
agrobiolog	agrobioložka	N	N	M	F	NA	NA	0	0	1	0	a	ag	agr	agro	agrob	agrobi	a	ag	agr	agro	agrob	agrobi	biolog	iolog	olog	log	og	g	oložka	ložka	ožka	žka	ka	a	FEMALE
agrobioložka	agrobioložčin	N	A	F	NA	NA	NA	0	1	1	0	a	ag	agr	agro	agrob	agrobi	a	ag	agr	agro	agrob	agrobi	oložka	ložka	ožka	žka	ka	a	ložčin	ožčin	žčin	čin	in	n	POSSESSIVE
Aguda	Agudův	N	A	M	NA	NA	NA	0	1	1	0	A	Ag	Agu	Agud	Aguda	NA	A	Ag	Agu	Agud	Agudů	Agudův	NA	Aguda	guda	uda	da	a	Agudův	gudův	udův	dův	ův	v	POSSESSIVE
Agustín	Agustínův	N	A	M	NA	NA	NA	0	1	1	0	A	Ag	Agu	Agus	Agust	Agustí	A	Ag	Agu	Agus	Agust	Agustí	gustín	ustín	stín	tín	ín	n	stínův	tínův	ínův	nův	ův	v	POSSESSIVE
Aharonean	Aharoneanův	N	A	M	NA	NA	NA	0	1	1	0	A	Ah	Aha	Ahar	Aharo	Aharon	A	Ah	Aha	Ahar	Aharo	Aharon	ronean	onean	nean	ean	an	n	neanův	eanův	anův	nův	ův	v	POSSESSIVE
Aimo	Aimův	N	A	M	NA	NA	NA	0	1	1	0	A	Ai	Aim	Aimo	NA	NA	A	Ai	Aim	Aimů	Aimův	NA	NA	NA	Aimo	imo	mo	o	NA	Aimův	imův	mův	ův	v	POSSESSIVE
akát	akátek	N	N	I	I	NA	NA	0	0	1	0	a	ak	aká	akát	NA	NA	a	ak	aká	akát	akáte	akátek	NA	NA	akát	kát	át	t	akátek	kátek	átek	tek	ek	k	DIMINUTIVE
akce	akcička	N	N	F	F	NA	NA	0	0	1	0	a	ak	akc	akce	NA	NA	a	ak	akc	akci	akcič	akcičk	NA	NA	akce	kce	ce	e	kcička	cička	ička	čka	ka	a	DIMINUTIVE
akceptant	akceptantka	N	N	M	F	NA	NA	0	0	1	0	a	ak	akc	akce	akcep	akcept	a	ak	akc	akce	akcep	akcept	eptant	ptant	tant	ant	nt	t	tantka	antka	ntka	tka	ka	a	FEMALE
akceptovatelka	akceptovatelčin	N	A	F	NA	NA	NA	0	1	1	0	a	ak	akc	akce	akcep	akcept	a	ak	akc	akce	akcep	akcept	atelka	telka	elka	lka	ka	a	telčin	elčin	lčin	čin	in	n	POSSESSIVE
Akerson	Akersonův	N	A	M	NA	NA	NA	0	1	1	0	A	Ak	Ake	Aker	Akers	Akerso	A	Ak	Ake	Aker	Akers	Akerso	kerson	erson	rson	son	on	n	rsonův	sonův	onův	nův	ův	v	POSSESSIVE
aktér	aktérka	N	N	M	F	NA	NA	0	0	1	0	a	ak	akt	akté	aktér	NA	a	ak	akt	akté	aktér	aktérk	NA	aktér	ktér	tér	ér	r	ktérka	térka	érka	rka	ka	a	FEMALE
aktovka	aktovčička	N	N	F	F	NA	NA	0	0	1	1	a	ak	akt	akto	aktov	aktovk	a	ak	akt	akto	aktov	aktovč	ktovka	tovka	ovka	vka	ka	a	včička	čička	ička	čka	ka	a	DIMINUTIVE
aktovka	aktovečka	N	N	F	F	NA	NA	0	0	1	1	a	ak	akt	akto	aktov	aktovk	a	ak	akt	akto	aktov	aktove	ktovka	tovka	ovka	vka	ka	a	ovečka	večka	ečka	čka	ka	a	DIMINUTIVE
Alarika	Alaričin	N	A	M	NA	NA	NA	0	1	1	0	A	Al	Ala	Alar	Alari	Alarik	A	Al	Ala	Alar	Alari	Alarič	larika	arika	rika	ika	ka	a	aričin	ričin	ičin	čin	in	n	POSSESSIVE
alarmistka	alarmistčin	N	A	F	NA	NA	NA	0	1	1	0	a	al	ala	alar	alarm	alarmi	a	al	ala	alar	alarm	alarmi	mistka	istka	stka	tka	ka	a	istčin	stčin	tčin	čin	in	n	POSSESSIVE
Albánec	Albánka	N	N	M	F	NA	NA	0	0	1	0	A	Al	Alb	Albá	Albán	Albáne	A	Al	Alb	Albá	Albán	Albánk	lbánec	bánec	ánec	nec	ec	c	lbánka	bánka	ánka	nka	ka	a	FEMALE
Albánka	Albánčin	N	A	F	NA	NA	NA	0	1	1	0	A	Al	Alb	Albá	Albán	Albánk	A	Al	Alb	Albá	Albán	Albánč	lbánka	bánka	ánka	nka	ka	a	bánčin	ánčin	nčin	čin	in	n	POSSESSIVE
albín	albínka	N	N	M	F	NA	NA	0	0	1	0	a	al	alb	albí	albín	NA	a	al	alb	albí	albín	albínk	NA	albín	lbín	bín	ín	n	lbínka	bínka	ínka	nka	ka	a	FEMALE
album	albíčko	N	N	N	N	NA	NA	0	0	1	0	a	al	alb	albu	album	NA	a	al	alb	albí	albíč	albíčk	NA	album	lbum	bum	um	m	lbíčko	bíčko	íčko	čko	ko	o	DIMINUTIVE
Alena	Alenka	N	N	F	F	NA	NA	0	0	1	1	A	Al	Ale	Alen	Alena	NA	A	Al	Ale	Alen	Alenk	Alenka	NA	Alena	lena	ena	na	a	Alenka	lenka	enka	nka	ka	a	DIMINUTIVE
Alexandr	Alexandra	N	N	M	F	NA	NA	0	0	1	0	A	Al	Ale	Alex	Alexa	Alexan	A	Al	Ale	Alex	Alexa	Alexan	exandr	xandr	andr	ndr	dr	r	xandra	andra	ndra	dra	ra	a	FEMALE
Alexandrovič	Alexandrovičův	N	A	M	NA	NA	NA	0	1	1	0	A	Al	Ale	Alex	Alexa	Alexan	A	Al	Ale	Alex	Alexa	Alexan	drovič	rovič	ovič	vič	ič	č	ovičův	vičův	ičův	čův	ův	v	POSSESSIVE
Algayer	Algayrův	N	A	M	NA	NA	NA	0	1	1	0	A	Al	Alg	Alga	Algay	Algaye	A	Al	Alg	Alga	Algay	Algayr	lgayer	gayer	ayer	yer	er	r	gayrův	ayrův	yrův	rův	ův	v	POSSESSIVE
Alis	Alisův	N	A	F	NA	NA	NA	0	1	1	0	A	Al	Ali	Alis	NA	NA	A	Al	Ali	Alis	Alisů	Alisův	NA	NA	Alis	lis	is	s	Alisův	lisův	isův	sův	ův	v	POSSESSIVE
alkoholička	alkoholiččin	N	A	F	NA	NA	NA	0	1	1	0	a	al	alk	alko	alkoh	alkoho	a	al	alk	alko	alkoh	alkoho	olička	lička	ička	čka	ka	a	liččin	iččin	ččin	čin	in	n	POSSESSIVE
alkoholik	alkoholička	N	N	M	F	NA	NA	0	0	1	0	a	al	alk	alko	alkoh	alkoho	a	al	alk	alko	alkoh	alkoho	oholik	holik	olik	lik	ik	k	olička	lička	ička	čka	ka	a	FEMALE
Allison	Allisonův	N	A	M	NA	NA	NA	0	1	1	0	A	Al	All	Alli	Allis	Alliso	A	Al	All	Alli	Allis	Alliso	llison	lison	ison	son	on	n	isonův	sonův	onův	nův	ův	v	POSSESSIVE
almara	almárka	N	N	F	F	NA	NA	0	0	1	1	a	al	alm	alma	almar	almara	a	al	alm	almá	almár	almárk	almara	lmara	mara	ara	ra	a	lmárka	márka	árka	rka	ka	a	DIMINUTIVE
almužna	almužnička	N	N	F	F	NA	NA	0	0	1	1	a	al	alm	almu	almuž	almužn	a	al	alm	almu	almuž	almužn	lmužna	mužna	užna	žna	na	a	žnička	nička	ička	čka	ka	a	DIMINUTIVE
Altaner	Altanerův	N	A	M	NA	NA	NA	0	1	1	0	A	Al	Alt	Alta	Altan	Altane	A	Al	Alt	Alta	Altan	Altane	ltaner	taner	aner	ner	er	r	anerův	nerův	erův	rův	ův	v	POSSESSIVE
altán	altánek	N	N	I	I	NA	NA	0	0	1	0	a	al	alt	altá	altán	NA	a	al	alt	altá	altán	altáne	NA	altán	ltán	tán	án	n	ltánek	tánek	ánek	nek	ek	k	DIMINUTIVE
alternativistka	alternativistčin	N	A	F	NA	NA	NA	0	1	1	0	a	al	alt	alte	alter	altern	a	al	alt	alte	alter	altern	vistka	istka	stka	tka	ka	a	istčin	stčin	tčin	čin	in	n	POSSESSIVE
Althusser	Althusserův	N	A	M	NA	NA	NA	0	1	1	0	A	Al	Alt	Alth	Althu	Althus	A	Al	Alt	Alth	Althu	Althus	husser	usser	sser	ser	er	r	sserův	serův	erův	rův	ův	v	POSSESSIVE
Amálie	Amálka	N	N	F	F	NA	NA	0	0	1	0	A	Am	Amá	Amál	Amáli	Amálie	A	Am	Amá	Amál	Amálk	Amálka	Amálie	málie	álie	lie	ie	e	Amálka	málka	álka	lka	ka	a	DIMINUTIVE
amatér	amatérka	N	N	M	F	NA	NA	0	0	1	0	a	am	ama	amat	amaté	amatér	a	am	ama	amat	amaté	amatér	amatér	matér	atér	tér	ér	r	atérka	térka	érka	rka	ka	a	FEMALE
ambit	ambitek	N	N	I	I	NA	NA	0	0	1	0	a	am	amb	ambi	ambit	NA	a	am	amb	ambi	ambit	ambite	NA	ambit	mbit	bit	it	t	mbitek	bitek	itek	tek	ek	k	DIMINUTIVE
Ambrůz	Ambrůzův	N	A	M	NA	NA	NA	0	1	1	0	A	Am	Amb	Ambr	Ambrů	Ambrůz	A	Am	Amb	Ambr	Ambrů	Ambrůz	Ambrůz	mbrůz	brůz	růz	ůz	z	brůzův	růzův	ůzův	zův	ův	v	POSSESSIVE
Amerikán	Amerikánka	N	N	M	F	NA	NA	0	0	1	0	A	Am	Ame	Amer	Ameri	Amerik	A	Am	Ame	Amer	Ameri	Amerik	erikán	rikán	ikán	kán	án	n	ikánka	kánka	ánka	nka	ka	a	FEMALE
ampule	ampulka	N	N	F	F	NA	NA	0	0	1	0	a	am	amp	ampu	ampul	ampule	a	am	amp	ampu	ampul	ampulk	ampule	mpule	pule	ule	le	e	mpulka	pulka	ulka	lka	ka	a	DIMINUTIVE
analfabet	analfabetka	N	N	M	F	NA	NA	0	0	1	0	a	an	ana	anal	analf	analfa	a	an	ana	anal	analf	analfa	lfabet	fabet	abet	bet	et	t	abetka	betka	etka	tka	ka	a	FEMALE
Anča	Ančička	N	N	F	F	NA	NA	0	0	1	1	A	An	Anč	Anča	NA	NA	A	An	Anč	Anči	Ančič	Ančičk	NA	NA	Anča	nča	ča	a	nčička	čička	ička	čka	ka	a	DIMINUTIVE
Anděla	Andělka	N	N	F	F	NA	NA	0	0	1	1	A	An	And	Andě	Anděl	Anděla	A	An	And	Andě	Anděl	Andělk	Anděla	nděla	děla	ěla	la	a	ndělka	dělka	ělka	lka	ka	a	DIMINUTIVE
andělka	andělčin	N	A	F	NA	NA	NA	0	1	1	0	a	an	and	andě	anděl	andělk	a	an	and	andě	anděl	andělč	ndělka	dělka	ělka	lka	ka	a	dělčin	ělčin	lčin	čin	in	n	POSSESSIVE
anděl	andělka	N	N	M	F	NA	NA	0	0	1	0	a	an	and	andě	anděl	NA	a	an	and	andě	anděl	andělk	NA	anděl	nděl	děl	ěl	l	ndělka	dělka	ělka	lka	ka	a	FEMALE
anděl	andílek	N	N	M	M	NA	NA	0	0	1	0	a	an	and	andě	anděl	NA	a	an	and	andí	andíl	andíle	NA	anděl	nděl	děl	ěl	l	ndílek	dílek	ílek	lek	ek	k	DIMINUTIVE
Andrées	Andréesův	N	A	M	NA	NA	NA	0	1	1	0	A	An	And	Andr	André	Andrée	A	An	And	Andr	André	Andrée	ndrées	drées	rées	ées	es	s	réesův	éesův	esův	sův	ův	v	POSSESSIVE
Andrijus	Andrijusův	N	A	M	NA	NA	NA	0	1	1	0	A	An	And	Andr	Andri	Andrij	A	An	And	Andr	Andri	Andrij	drijus	rijus	ijus	jus	us	s	ijusův	jusův	usův	sův	ův	v	POSSESSIVE
androš	androšův	N	A	M	NA	NA	NA	0	1	1	0	a	an	and	andr	andro	androš	a	an	and	andr	andro	androš	androš	ndroš	droš	roš	oš	š	drošův	rošův	ošův	šův	ův	v	POSSESSIVE
Andula	Andulka	N	N	F	F	NA	NA	0	0	1	1	A	An	And	Andu	Andul	Andula	A	An	And	Andu	Andul	Andulk	Andula	ndula	dula	ula	la	a	ndulka	dulka	ulka	lka	ka	a	DIMINUTIVE
anekdota	anekdotka	N	N	F	F	NA	NA	0	0	1	1	a	an	ane	anek	anekd	anekdo	a	an	ane	anek	anekd	anekdo	ekdota	kdota	dota	ota	ta	a	kdotka	dotka	otka	tka	ka	a	DIMINUTIVE
anekdotářka	anekdotářčin	N	A	F	NA	NA	NA	0	1	1	0	a	an	ane	anek	anekd	anekdo	a	an	ane	anek	anekd	anekdo	otářka	tářka	ářka	řka	ka	a	tářčin	ářčin	řčin	čin	in	n	POSSESSIVE
Anetka	Anetčin	N	A	F	NA	NA	NA	0	1	1	0	A	An	Ane	Anet	Anetk	Anetka	A	An	Ane	Anet	Anetč	Anetči	Anetka	netka	etka	tka	ka	a	netčin	etčin	tčin	čin	in	n	POSSESSIVE
angličtinář	angličtinářka	N	N	M	F	NA	NA	0	0	1	0	a	an	ang	angl	angli	anglič	a	an	ang	angl	angli	anglič	čtinář	tinář	inář	nář	ář	ř	inářka	nářka	ářka	řka	ka	a	FEMALE
Anna	Anička	N	N	F	F	NA	NA	0	0	1	1	A	An	Ann	Anna	NA	NA	A	An	Ani	Anič	Aničk	Anička	NA	NA	Anna	nna	na	a	Anička	nička	ička	čka	ka	a	DIMINUTIVE
ansár	ansárův	N	A	M	NA	NA	NA	0	1	1	0	a	an	ans	ansá	ansár	NA	a	an	ans	ansá	ansár	ansárů	NA	ansár	nsár	sár	ár	r	nsárův	sárův	árův	rův	ův	v	POSSESSIVE
antialkoholik	antialkoholikův	N	A	M	NA	NA	NA	0	1	1	0	a	an	ant	anti	antia	antial	a	an	ant	anti	antia	antial	oholik	holik	olik	lik	ik	k	olikův	likův	ikův	kův	ův	v	POSSESSIVE
antiislamista	antiislamistův	N	A	M	NA	NA	NA	0	1	1	0	a	an	ant	anti	antii	antiis	a	an	ant	anti	antii	antiis	amista	mista	ista	sta	ta	a	mistův	istův	stův	tův	ův	v	POSSESSIVE
antikomunistka	antikomunistčin	N	A	F	NA	NA	NA	0	1	1	0	a	an	ant	anti	antik	antiko	a	an	ant	anti	antik	antiko	nistka	istka	stka	tka	ka	a	istčin	stčin	tčin	čin	in	n	POSSESSIVE
antikvářka	antikvářčin	N	A	F	NA	NA	NA	0	1	1	0	a	an	ant	anti	antik	antikv	a	an	ant	anti	antik	antikv	kvářka	vářka	ářka	řka	ka	a	vářčin	ářčin	řčin	čin	in	n	POSSESSIVE
antimilitaristka	antimilitaristčin	N	A	F	NA	NA	NA	0	1	1	0	a	an	ant	anti	antim	antimi	a	an	ant	anti	antim	antimi	ristka	istka	stka	tka	ka	a	istčin	stčin	tčin	čin	in	n	POSSESSIVE
antinacistka	antinacistčin	N	A	F	NA	NA	NA	0	1	1	0	a	an	ant	anti	antin	antina	a	an	ant	anti	antin	antina	cistka	istka	stka	tka	ka	a	istčin	stčin	tčin	čin	in	n	POSSESSIVE
antiodborářka	antiodborářčin	N	A	F	NA	NA	NA	0	1	1	0	a	an	ant	anti	antio	antiod	a	an	ant	anti	antio	antiod	orářka	rářka	ářka	řka	ka	a	rářčin	ářčin	řčin	čin	in	n	POSSESSIVE
antirasistka	antirasistčin	N	A	F	NA	NA	NA	0	1	1	0	a	an	ant	anti	antir	antira	a	an	ant	anti	antir	antira	sistka	istka	stka	tka	ka	a	istčin	stčin	tčin	čin	in	n	POSSESSIVE
antisandinistka	antisandinistčin	N	A	F	NA	NA	NA	0	1	1	0	a	an	ant	anti	antis	antisa	a	an	ant	anti	antis	antisa	nistka	istka	stka	tka	ka	a	istčin	stčin	tčin	čin	in	n	POSSESSIVE
antispolkařka	antispolkařčin	N	A	F	NA	NA	NA	0	1	1	0	a	an	ant	anti	antis	antisp	a	an	ant	anti	antis	antisp	lkařka	kařka	ařka	řka	ka	a	kařčin	ařčin	řčin	čin	in	n	POSSESSIVE
antistalinistka	antistalinistčin	N	A	F	NA	NA	NA	0	1	1	0	a	an	ant	anti	antis	antist	a	an	ant	anti	antis	antist	nistka	istka	stka	tka	ka	a	istčin	stčin	tčin	čin	in	n	POSSESSIVE
Antonín	Antonie	N	N	M	F	NA	NA	0	0	1	0	A	An	Ant	Anto	Anton	Antoní	A	An	Ant	Anto	Anton	Antoni	ntonín	tonín	onín	nín	ín	n	ntonie	tonie	onie	nie	ie	e	FEMALE
antropolog	antropoložka	N	N	M	F	NA	NA	0	0	1	0	a	an	ant	antr	antro	antrop	a	an	ant	antr	antro	antrop	opolog	polog	olog	log	og	g	oložka	ložka	ožka	žka	ka	a	FEMALE
antropoložka	antropoložčin	N	A	F	NA	NA	NA	0	1	1	0	a	an	ant	antr	antro	antrop	a	an	ant	antr	antro	antrop	oložka	ložka	ožka	žka	ka	a	ložčin	ožčin	žčin	čin	in	n	POSSESSIVE
antukářka	antukářčin	N	A	F	NA	NA	NA	0	1	1	0	a	an	ant	antu	antuk	antuká	a	an	ant	antu	antuk	antuká	ukářka	kářka	ářka	řka	ka	a	kářčin	ářčin	řčin	čin	in	n	POSSESSIVE
aparát	aparátek	N	N	I	I	NA	NA	0	0	1	0	a	ap	apa	apar	apará	aparát	a	ap	apa	apar	apará	aparát	aparát	parát	arát	rát	át	t	arátek	rátek	átek	tek	ek	k	DIMINUTIVE
apatykář	apatykářka	N	N	M	F	NA	NA	0	0	1	0	a	ap	apa	apat	apaty	apatyk	a	ap	apa	apat	apaty	apatyk	atykář	tykář	ykář	kář	ář	ř	ykářka	kářka	ářka	řka	ka	a	FEMALE
Apolena	Apolenka	N	N	F	F	NA	NA	0	0	1	1	A	Ap	Apo	Apol	Apole	Apolen	A	Ap	Apo	Apol	Apole	Apolen	polena	olena	lena	ena	na	a	olenka	lenka	enka	nka	ka	a	DIMINUTIVE
Aprilka	Aprilčin	N	A	F	NA	NA	NA	0	1	1	0	A	Ap	Apr	Apri	April	Aprilk	A	Ap	Apr	Apri	April	Aprilč	prilka	rilka	ilka	lka	ka	a	rilčin	ilčin	lčin	čin	in	n	POSSESSIVE
aranžér	aranžérka	N	N	M	F	NA	NA	0	0	1	0	a	ar	ara	aran	aranž	aranžé	a	ar	ara	aran	aranž	aranžé	ranžér	anžér	nžér	žér	ér	r	nžérka	žérka	érka	rka	ka	a	FEMALE
aranžér	aranžérův	N	A	M	NA	NA	NA	0	1	1	0	a	ar	ara	aran	aranž	aranžé	a	ar	ara	aran	aranž	aranžé	ranžér	anžér	nžér	žér	ér	r	nžérův	žérův	érův	rův	ův	v	POSSESSIVE
archandělka	archandělčin	N	A	F	NA	NA	NA	0	1	1	0	a	ar	arc	arch	archa	archan	a	ar	arc	arch	archa	archan	ndělka	dělka	ělka	lka	ka	a	dělčin	ělčin	lčin	čin	in	n	POSSESSIVE
archanděl	archandělka	N	N	M	F	NA	NA	0	0	1	0	a	ar	arc	arch	archa	archan	a	ar	arc	arch	archa	archan	handěl	anděl	nděl	děl	ěl	l	ndělka	dělka	ělka	lka	ka	a	FEMALE
