Abraham	Abrahám
Kopač	Kopáč
Kopernik	Koperník
Koperník	Kopernik
Kopeč	kopec
Kopáč	Kopač
Korea	korec
Kosovo	kos
Kostelný	kostel
Kosák	kosa
Kovač	Kováč,kov
Kováč	Kovač,kov
Kozár	koza
Koč	kočí,kočka
Koňařík	koňařit
Kořista	kořist
Košice	Košík
Košík	Košice
Krakonoš	nakrakonošovat
Krejčík	krejčí
Krn	Krnov
Krnov	Krn
Král	Králík,Královák,Králik
Králik	Králík,Král,král
Královák	Králík,Král,král
Králík	Králik,Královák,Král,král
Krč	krk,krčit
Kuba	Kubák
Kubač	Kubák
Kubin	Kubín,Kubič
Kubič	kubík,Kubin
Kubák	Kuba,Kubač
Kubín	Kubin
Kuchar	Kuchár
Kuchyňa	kuchyně
Kuchár	Kuchar
Kunc	Kunka
Kunka	Kunc
Kysela	kyselý
Káraný	kárat
Křepela	křepelka
Křiva	křivý,Křivák,Křivan
Křivan	Křiva
Křivák	Křiva,křivý
Křiž	kříž,Kříž
Kříž	Křiž
Kůst	kost,košt
Laník	Láník
Laškov	laškovat
Lebeda	lebedit
Lena	len,Lenin
Lenin	lenit,len,Lena
Leona	Leontina
Leontina	Leona
Lepík	lepit
Letov	letovat
Levit	levý
Lhota	Lhotka
Lhotka	Lhota
Libye	Libý,libý
Libý	Libye
Litva	litec
Lobeč	lob
Lombardie	lombard
Lomič	lomit
Loos	los
Loučka	loučit,Loučný,louka
Loučný	loučit,Loučka,louka
Lucern	lucerna
Ludvík	Ludvíkov
Ludvíkov	Ludvík
Luženice	Lužice
Lužice	Luženice
Lyko	lýko
Lynch	Lynchov
Lynchov	Lynch
Láník	Laník,lán
Lízal	lízat
Lýd	Lýdie
Lýdie	Lýd
Magdalena	Magdaléna
Magdaléna	Magdalena
Magic	magie
Malát	malátný
Mann	man
Mansfeld	Mansfield
Mansfield	Mansfeld
Mao	May
Marathon	Marathón
Marathón	Marathon
Marek	Mareček
Mareček	Marek
Maria	Marija,Marie,mariáš
Marie	Maria
Marija	Maria
Marten	Martín,Martin,Martinov
Martin	Martinov,Martín,Marten
Martinov	Martin,Martín,Marten
Martín	Marten,Martin,Martinov
Masár	masař
Mater	mateř
May	Mao
Medek	medit
Medina	medit
Meliš	Melišík
Melišík	Meliš
Menšík	menšit,menšina
Michal	Michalov
Michalič	Michalovič
Michalov	Michalovič,Michal
Michalovič	Michalov,Michalič
Mikes	Mikis
Mikis	Mikes
Mikloš	Mikloško
Mikloško	Mikloš
Mikulič	Mikulík
Mikuláš	mikulášenec
Mikulík	Mikulič
Minos	minus,mina
Mináč	mina
Mitrov	Mitrovic
Mitrovic	Mitrov
Mnichov	mnich
Modra	modrý
Monet	moneta
Montana	montovat
Morava	Moravany,Moravsko
Moravany	Morava
Moravsko	Morava
Motýlek	motýl
Méd	med
Míla	míle
Mína	mina
Mělník	mělnit,mělký
Nat	vně
Nick	nit,nový
Nitran	nitrace
Nizozemsko	Nizozemí
Nizozemí	Nizozemsko
Nor	nora
Novák	nový
Oborný	Zborný,Voborný
Ola	Zola
Oset	Osetie,set,osev
Osetie	Oset
Ořechov	ořech
Pacifik	pacifikovat
Palata	Palau
Palau	Palata
Pan	pán
Panák	paňák
Papák	papá
Peck	pec,pecka
Perout	Peru
Peru	Perout
Petrarca	Petrarka
Petrarka	Petrarca
Petržela	petržel
Piave	piano
Placht	plachta
Plánka	plán
Poledník	poledne
Polena	poleno
Pop	op
Popel	popelka
Portugalsko	portugal
Provázek	provázet
Puk	puč
Pásek	pás,pást
Roger	Rogers
Rogers	Roger
Rojka	roj
Rol	role
Roman	Román,román,Romanov
Romanov	Roman,Román,román
Román	Roman,Romanov
Ruda	rudý
Rulík	rulička
Ráb	rab
Sadov	sadovník
Sandino	sandinista
Sardinie	sardinka,sardinkář
Scot	Scott
Scott	Scot
Severa	sever
Siva	sivý
Slanec	slanit
Slepička	slepičář
Slezsko	slez
Smola	smůla
Smíchov	smích
Soliman	Solimán
Solimán	Soliman
Spina	Spinoza
Spinoza	Spina
Srník	srnec
Stalin	Stalinov
Stalinov	Stalin
Stin	stín
Stone	stonek,stonat
Studený	stud,studit
Stříž	střiž
Sura	surový
Svatý	svat
Sviny	svině
Tate	tát,táta
Teka	tečka
Telč	tele
Titán	titan
Tomáš	Tomášov
Tomášov	Tomáš
Trent	Trentin
Trentin	Trent
Trenčan	Trenčín
Trenčín	Trenčan
Trnka	trn
Turan	Turánek
Turánek	Turan
Tutu	tutový
Tyl	týl
Tyr	Týr
Týr	Tyr
Urbán	urbánní
Val	válka
Valencien	Valencián
Valencián	Valentinián,Valencien
Valentin	Valentina,Valentinián,Valentýn
Valentina	Valentin,Valentýn
Valentinián	Valentin,Valencián
Valentýn	Valentin,Valentina
Vaník	Vaněk
Vaněk	Vaník
Vietnam	vietnamka
Vinklár	vinklář
Vlach	Vlachov
Vlachov	Vlach
Vladimir	Vladimír
Vladimír	Vladimir
Vlasov	vlas
Vlk	vlčit
Voborný	Oborný
Vocel	ocel
Voda	Vodák
Vodák	voda,Voda
Vondrouš	Vondruš
Vondruš	Vondrouš
Vrana	vrána,Vraný
Vraný	Vrana,vrána
Vrzák	vrzat
Váh	váha
Válek	válka
Vápeník	vápeničit,vápenět
Vína	víno
Věra	víra
Wahháb	wahhábita
Zapata	pata
Zborný	Oborný
Zdena	Zdeněk
Zdeněk	Zdena
Zimák	zima
Zita	zíta
Zlín	zlínět
Zmij	zmije
Zola	Ola
Zrůst	vzrůst
Zuckerman	Zuckermann
Zuckermann	Zuckerman
Zuza	Zuzák,Zuzana
Zuzana	Zuza
Zuzák	Zuza
Zábel	Ábel
Zámečník	zámečničit
Závora	závorář
Zázvora	zázvor
absolutní	zabsolutnit
aditivní	aditivovat
aditivovat	aditivní
agent	Gent
akce	akcie
akcie	akce
aktin	aktiv
aktiv	aktivní,aktin
aktivní	aktiv
aktualisovat	zaktualisovat
albín	albína
albína	albín
alkalisovat	zalkalisovat
amalgam	amalgám
amalgám	amalgam
amortisovat	zamortisovat
analysovat	zanalysovat,vyanalysovat
anténa	anténář
anténář	anténa
aranžér	aranžírovat
aranžírovat	aranžér
armatura	armaturář
armaturář	armatura
asimilovat	assimilovat
aspirin	aspirovat
aspirovat	aspirin
assimilovat	asimilovat
astrachán	Astrachaň
aut	auto
auto	aut
automatisovat	doautomatisovat,zautomatisovat
autorisovat	zautorisovat
avisovat	visovat
avízo	avízovat
avízovat	avízo
baba	Bába,bába,Babák
babit	Babice,Babík
babičkovat	Babík
babičkovatět	zbabičkovatět
bafunář	bafuňář
bafuňařit	bafuňář
bafuňář	bafunář,bafuňařit
balon	balonář
balonář	balon
banka	baňka,báň,bán
bantovat	Bantu
banální	banát
banán	banát
banát	banální,banán
bard	Bardot
baterie	baterkář
baterkář	baterie
batůžkařit	batůžkář
batůžkář	batůžkařit
bačkora	bačkorář
bačkorář	bačkora
baňka	banka
bekat	békat
benediktin	benediktýn
benediktýn	benediktin
beran	beranit
beranit	beran
bečka	bé
biobrambora	brambor
bipolarizovat	bipolární
bipolární	bipolarizovat
bit	bít
biřmovanec	biřmovat
biřmovat	biřmovanec
blata	Blatný,Blatnice
blb	blbý
blbý	blb
blyštit	blýštit,blyštět
blyštět	blyštit
bláto	Blatný
blýštit	blyštit
bob	nabob
bolševisovat	zbolševisovat
bomba	Bombaj
bouda	Boudný
brambor	biobrambora
briketa	briketář
briketář	briketa
brnkat	přebrnkat
brodit	Brod
brok	Brook
broker	Brooker
brunet	Brunej,brunátný
brunátný	brunet
buchtovatět	zbuchtovatět
budovat	Buda
buldok	buldočit
buldočit	buldok
bába	baba
bádat	nabádat
bán	báň,banka
báň	bán,banka
bé	bečka
békat	bekat
bílý	Bíl
bít	bit,bítník
bítník	bít
bóje	Bój
býk	býčit
býčit	býk
běl	Bělov,Bíl,Bělina,Bělík,Běla
bředat	vybředat,zabředat,rozbředat
břeh	Břehov
březí	Březa
bříza	Březa
censurovat	vycensurovat,zcensurovat,docensurovat,odcensurovat
centralisovat	zcentralisovat,docentralisovat
cesionář	cessionář
cessionář	cesionář
chalupa	Chalupník
chan	chán
charakterisovat	vycharakterisovat,zcharakterisovat
chat	chata
chata	chat
chlad	chladnice
chladnice	chlad
chlámat	vychlámat
chrastit	Chrasta
chrom	chróm
chroptit	chroptět
chroptět	chroptit
chroupat	chrupat
chrupat	chroupat
chróm	chrom
chvalořeč	chvalořečit
chvalořečit	chvalořeč
chán	chan
chřoupat	chřupat
chřupat	chřoupat
cibule	Cibula
ciselovat	vyciselovat
citron	citrón
citrus	citrusář
citrusář	citrus
citrón	citron
cvočkař	cvočkář
cvočkář	cvočkař
davidián	Davidov
daň	Dan,Dán
debrujár	debrujář
debrujář	debrujár
decentralisovat	přecentralisovat,dodecentralisovat
dehydrovat	rehydrovat
deka	dekovat
dekovat	deka
demobilisovat	domobilisovat
demokratisovat	zdemokratisovat
demoralisovat	zdemoralisovat
denunciovat	denuncovat
denuncovat	denunciovat
desorganisovat	zdesorganisovat
desátek	desátník
desátník	desátek
diferenciovat	diferencovat
diferencovat	diferenciovat
dimense	dimenze
dimenze	dimense
dispens	dispenz,dispensovat
dispensovat	dispens
dispenz	dispens
distanc	distance
distance	distanc
diversifikovat	zdiversifikovat,dodiversifikovat
dlabat	Dlabač
dmychat	dmýchat
dmýchat	dmychat
dna	dno
dno	dna
doautomatisovat	odautomatisovat,zautomatisovat,automatisovat
docensurovat	procensurovat,odcensurovat,censurovat
docentralisovat	zcentralisovat,centralisovat
dochutit	ochutit
docpat	procpat
dodecentralisovat	decentralisovat
dodiversifikovat	diversifikovat,zdiversifikovat
doinicialisovat	inicialisovat,odinicialisovat,zinicialisovat,nainicialisovat,rozinicialisovat
dokadit	kadit
doklimatisovat	odklimatisovat
dokládat	ukládat,kládat
dokonsumovat	prokonsumovat,konsumovat,přikonsumovat
dokrakonošovat	nakrakonošovat
dokrojit	okrojit
dokrvit	prokrvit
dokvítat	zkvítat
dole	důl
dolinář	Dolina
doliňák	Dolina
domejšlet	promejšlet,pomejšlet
domobilisovat	mobilisovat,pomobilisovat,omobilisovat,promobilisovat,zmobilisovat,zamobilisovat,demobilisovat
donormalisovat	pronormalisovat,normalisovat
doplítat	vyplítat,proplítat,zaplítat
doprovodit	vyprovodit
dopřádat	opřádat,zapřádat,upřádat,vypřádat
dosedat	posedat
dosignalisovat	signalisovat,odsignalisovat,zasignalisovat,prosignalisovat
dostabilisovat	stabilisovat,ustabilisovat,přistabilisovat,nastabilisovat
dostat	ostat
dostrukturalisovat	strukturalisovat,nastrukturalisovat
dostřihat	střihat,nastřihat,odstřihat
dostříhnout	stříhnout,nastříhnout,ustříhnout
dosychat	osychat,dosýchat,prosychat
dosynchronisovat	nasynchronisovat,usynchronisovat,přisynchronisovat,přesynchronisovat,sesynchronisovat
dosystematisovat	systematisovat,nasystematisovat,rozsystematisovat,přesystematisovat
dosystemisovat	systemisovat
dosýchat	dosychat,osýchat,prosýchat
dotýkat	protýkat
doufat	zoufat
dout	out,zout
dovalorisovat	valorisovat
dovaselinovat	vaselinovat,provaselinovat
dovitaminisovat	ovitaminisovat,vitaminisovat,odvitaminisovat
dovrtit	uvrtit
dovulkanisovat	zavulkanisovat,vulkanisovat
dovyšívat	zavyšívat
dovíjet	províjet
dočmuchat	pročmuchat,čmuchat
doškicnout	oškicnout
dredovatět	zdredovatět
drenovat	drénovat
drobet	drobit
drobit	drobet
drozd	Drozdov
drožka	drožkařit
drožkařit	drožka
družit	družička
družička	družit
drén	drénovat
drénovat	drén,drenovat
duše	Duša
dvojit	dvojí,dvojka
dvojka	dvojí,dvojkař,dvojit,dvojný
dvojkař	dvojka
dvojnásobek	dvojnásobit
dvojnásobit	dvojnásobek,násobit
dvojný	dvojí,dvojka
dvojí	dvojit,dvojka,dvojný
démon	démonie
démonie	démon
díra	Dírná
dít	dítě
dítě	dít
dědina	dědit
dědit	dědina
dřevosochat	dřevosochař
dřevosochař	dřevosochat
dštít	štít
důl	dole
elektron	elektronika
elektronika	elektron
expres	exprese
exprese	expres
fabrika	fabrikovat
fabrikovat	fabrika
fajfka	fajfkář,fajfkař
fajfkař	fajfkář,fajfka
fajfkář	fajfkař,fajfka
falsifikovat	zfalsifikovat
fanfaron	fanfarón
fanfarón	fanfaron
fantom	fantóm,Fantomas
fantóm	fantom
fara	fárat
fasit	fasovat
fasovat	fasit
faun	fauna
fauna	faun
fašírka	fašírovat
fašírovat	fašírka
fen	fén
fikce	fík
fil	filc
filc	fil
filosof	filosofie
filosofie	filosof
fintit	fintovat
fintovat	fintit
firnovatět	zfirnovatět
flitrovat	oflitrovat
flám	fláma
fláma	flám
fotografie	fotografovat
fotografovat	fotografie
frank	Franky,Francie,Franke,František
frankismus	Franky
fárat	fara
fén	fen
fík	fikce
gajdy	Gajda
galerie	galéra
gall	Gal
galéra	galerie
generalisovat	vygeneralisovat,zgeneralisovat
geomorfologie	morfologie
germanisovat	zgermanisovat
gesce	gesto
gesto	gesce
grad	gradovat
gradovat	grad
grafika	grafičit
grafičit	grafika
gubernie	gubernium
gubernium	gubernie
halda	haldař
haldař	halda
halit	Halič
halit	Halič
hamburger	hamburgr
hamburgr	hamburger
hanit	hanět
hanět	hanit
harmonie	harmonika
harmonika	harmonie
harmonisovat	zharmonisovat
hašlerka	Hašler
hec	hecovat
hecovat	hec
hejno	Hejnice
helvet	helvít,Helvét
helvít	helvet,Helvét
hendikepovat	hendikepový
hendikepový	hendikepovat
heroin	heroina
heroina	heroin
historisovat	zhistorisovat
hlad	hladit
hladit	hlad
hledat	hlédat
hloh	Hlohov
hlouček	hloučit
hloučit	hlouček
hlédat	zhlédat,hledat,vyhlédat
hníst	hnít
hnít	hníst
hobl	hoblina
hoblina	hobl
hodina	hodit,hodinkář
hodinkář	hodina
hodit	hodina
hokej	žokej
hora	horor,horna
horký	Horka,horor
horna	hornatý,hora,Hora
hornatý	horna,horňák
horolezec	horolezení
horolezení	horolezec
horor	hora,Hora,horký
horňák	hornatý
hospitant	hospitovat
hospitovat	hospitant
hospoda	hospodář
hospodář	hospoda
houpnout	zhoupnout,rozhoupnout
hovězí	Hověz
hoře	hořec
hořec	hořet,hoře
hořet	hořec
hrabat	Hrabák
hrabě	Hrab
hroch	hrot
hrot	hroch
hrůza	Hroza
humanisovat	zhumanisovat
hvozd	hvozdit
hvozdit	hvozd
hvězda	Hvězdář
háj	hájit
hájit	háj,Háj
hřeb	hřebec,Hřebeč
hřebec	Hřebeč,hřeb,hřebit
hřebit	hřebec,Hřebeč
industrialisovat	zindustrialisovat
inicialisovat	nainicialisovat,doinicialisovat,zinicialisovat,přeinicialisovat,rozinicialisovat,odinicialisovat
intendance	intendant
intendant	intendance
interna	interní,internovat
internovat	interna,interní
interní	interna,internovat
inventarisovat	zinventarisovat
jachtařit	zajachtařit
janičár	janičář
janičář	janičár
jelen	Jelena,jelenář
jelenář	Jelena,jelen
jesen	Jesenin
jet	jít
jiný	jíní,Jinek
jitro	jitřit
jitřit	jitro
jiřina	Jiří
johanita	Johan
jorkšír	yorkšír
judo	Juda
jíní	jiný,Jinek
jít	jet
kabonit	kabonět
kabonět	kabonit
kacéř	kacíř
kacíř	kacéř
kadet	kadit
kadit	dokadit,kadet
kakao	kakat
kakat	kakao
kampan	kampaň
kampaň	kampan
kanec	Kanaán
kapela	kapelničit
kapelničit	kapela
kapitalisovat	zkapitalisovat
kapitál	kapitála
kapitála	kapitál
kapuca	kapuce
kapuce	kapuca
karban	karbanit
karbanit	karban
karbon	karbonář
karbonát	karbonář
karbonář	karbonát,karbon
kasa	Kasák,kasat
kasat	Kasák,kasa
kat	kát
katalogisovat	zakatalogisovat,zkatalogisovat
kaštan	kaštanář
kaštanář	kaštan
kladný	Kladno
klasicisovat	zklasicisovat
klasika	klasikář
klasikář	klasika
klavír	klavírník
klavírník	klavír
kleč	klečet
klečet	kleč
klid	klidit
klidit	klid
klihovatět	zklihovatět
klima	Klimák,Klíma
klimatisovat	zaklimatisovat,překlimatisovat
klinika	klinkat
klinkat	klinika
klon	klonit
klonit	klon
klopotit	naklopotit
klub	klubko
klubko	klub
klusat	Klusák
klučit	Klučov
kláda	kládat
kládat	kláda,dokládat,zakládat
klát	klátit
klátit	klát
klín	klínit
klínit	klín
kmen	kmín
kmotrovatět	zkmotrovatět
kmín	kmen
kolona	kolonie
kolonie	kolona
kolonisovat	zkolonisovat
kompars	komparz
komparz	kompars
komprese	kompresovat
kompresovat	komprese
kompromis	kompromisník
kompromisník	kompromis
komunismus	komunita
komunita	komunismus
konat	konec
kondensovat	zkondensovat
konec	konat
konfekce	konfekcionář
konfekcionář	konfekce
konkretisovat	zkonkretisovat
konkrétní	zkonkrétnit
konservovat	zakonservovat,zkonservovat
konstanta	Konstantin
konstruktivismus	konstruktivistický
konstruktivistický	konstruktivismus
konsumovat	dokonsumovat,vykonsumovat,prokonsumovat
kontinuovat	kontovat
konto	kontovat
kontovat	konto,kontinuovat
kontoár	kontura
kontrakt	kontrast
kontrast	kontrakt
kontura	kontoár
konzervativní	zkonzervativnět
kopa	kopí
kopec	Kopeč
kopie	kopit
kopit	kopie
kopt	koptit
koptit	kopt
kopí	kopčit,kopa
kopčit	kopí
kora	kůra
korec	Korea
korekce	korektní
korektní	korekce
korepetitovat	korepetovat
korepetovat	korepetitovat
korál	korálkář
korálkář	korál
kos	Kosovo,kosý
kosa	kosý,Kosák
kosmopolita	kosmopolitický
kosmopolitický	kosmopolita
kost	Kůst,košt
kostel	Kostelný
kosý	kosa,kos
kov	Kováč,Kovač
koza	kozák,Kozár
kozák	koza
kočka	Koč
kočí	Koč
koňařit	Koňařík
kořist	Kořista
koš	rozkoš
košt	koště,kost,Kůst
koště	košt
krakat	krákat
krejčí	Krejčík
krepatět	zkrepatět
kritisovat	zakritisovat
krk	Krč
krkat	vykrkat
krojit	okrojit
krok	kročit
krosna	krosnář
krosnář	krosna
kročit	krok,nakročit
krystalisovat	vykrystalisovat
krákat	krakat
král	Králík,Královák,Králik
krása	krást
krást	krása
kráter	krátký
krátký	kráter
krčit	Krč
kubík	Kubič
kuchyně	Kuchyňa
kulisa	kulisář
kulisář	kulisa
kur	kura
kura	kur
kvačit	kvák
kvák	kvačit
květ	květena
květena	květ
kyselý	Kysela
kánoe	kánon
kánon	kánoe
kára	kárat
kárat	Káraný,kára
kát	kat,káva
káva	kát
křapat	křápat
křepelka	Křepela
křeč	křeček
křeček	křeč
křivý	Křiva,Křivák
křápat	křapat
kříž	Křiž
kůr	kůra
kůra	kůr,kora
lahev	láhev
lakýr	lakýrna
lakýrna	lakýr
lata	látka,latina
latina	lata
lavice	lavina
lavina	lavice
laškovat	Laškov
lebedit	Lebeda
legie	legovat
legovat	legie
lehkomyslný	zlehkomyslnět
len	Lenin,Lena
lenit	Lenin
lepit	Lepík
leptat	leptař
leptař	leptat
letovat	Letov,letět
letět	letovat
lev	levý
levný	levý
levý	lev,Levit,levný
libý	Libye
lid	lidnit
lidnit	lid
likvida	likvidovat
likvidovat	likvida
likér	likérník
likérník	likér
lilek	lilie
lilie	lilek,liliář
liliář	lilie
linkař	linkařit
linkařit	linkař
litec	litice,Litva
litice	litec
lob	Lobeč
lombard	Lombardie
lomit	Lomič
los	losos,Loos
losos	los
louh	louže
louka	Loučka,Loučný
loutka	loutna
loutna	loutka
loučit	Loučka,Loučný
louže	louh
lucerna	Lucern
lupenitý	lupenka
lupenka	lupenitý
láce	látka,láčka
láhev	lahev
lán	Láník
lát	látka,látat
látat	lát
látka	lata,lát,láce
láčka	láce
lék	léč
léč	lék
líhat	líhnout,vylíhat
líhnout	líhat,líhňař
líhňař	líhnout
línat	líný
líný	línat
lípa	lípat
lípat	lípa
lít	lítý,líto
líto	lítý,lít
lítý	lít,líto
lízat	Lízal
lýko	Lyko
magie	Magic
malátný	Malát
man	Mann
mandant	mandát
mandl	mandle
mandle	mandl
mandát	mandant
mariáš	Maria
masa	maso
masař	Masár
masiv	masív
maso	masa
mast	mást
masív	masiv
mateř	Mater
mech	mechovatý
mechanisovat	zmechanisovat
mechovatý	mech
med	Méd
medicina	medicína
medicína	medicina
medit	Medina,Medek
menšina	menšit,Menšík
menšit	Menšík,menšina
merk	merčit
merčit	merk
metalika	metalista
metalista	metalika
mezinárodní	zmezinárodnit
meč	míč
mikulášenec	Mikuláš
mimika	mimikry
mimikry	mimika,mimino
mimino	mimikry
mina	minuta,Mináč,Mína,minus,Minos
minus	Minos,mina
minuta	mina
mnich	Mnichov
mnohonásobek	zmnohonásobit
mobilisovat	namobilisovat,vymobilisovat,domobilisovat,zamobilisovat,přemobilisovat,pomobilisovat,zmobilisovat,omobilisovat,promobilisovat
modernisovat	zmodernisovat
modrý	Modra
mok	moč
moneta	Monet
monopolisovat	zmonopolisovat
montovat	Montana
morfologie	geomorfologie
motorisovat	zmotorisovat
motýl	Motýlek,motýlkář
motýlkář	motýl
moč	mok
mrcasatit	mrcasatět
mrcasatět	mrcasatit
multiprogram	multiprogramovat
multiprogramovat	multiprogram
mánie	mánička
mánička	mánie
mást	mast
míle	Míla,mělký
mír	mířit
mísa	mísit
mísit	mísa,místo
místo	mísit
míč	meč
mířit	mír
mýt	mýto
mýto	mýt
mělký	míle,Mělník
mělnit	Mělník
městnat	zaměstnat
nabahňovat	pobahňovat
nabob	bob,Bob
nabádat	bádat
nacensurovat	zacensurovat
nachcat	přechcat
nadbíhat	podbíhat,odbíhat
nadcházet	podcházet
nadlábnout	vydlábnout
nadzdvihat	nazdvihat
nainicialisovat	inicialisovat,doinicialisovat,zinicialisovat,přeinicialisovat
naklopotit	klopotit
nakolejit	vykolejit
nakrakonošovat	dokrakonošovat,Krakonoš
nakročit	zakročit,kročit
nalétat	nalétnout
nalétat	nalétnout
nalétnout	nalétat,nalétat
namobilisovat	mobilisovat,pomobilisovat
napchat	zapchat
napodobit	zpodobit,vypodobit
napomínat	zapomínat,opomínat
napřahat	vypřahat,zapřahat
naschránit	uschránit,schránět
naskýtat	skýtat
nasmrádnout	vysmrádnout
nastabilisovat	stabilisovat,zastabilisovat,ustabilisovat,dostabilisovat,přistabilisovat
nastehnout	zastehnout
nastrukturalisovat	strukturalisovat,dostrukturalisovat,zastrukturalisovat
nastýlat	zastýlat
nastřihat	střihat,zastřihat,dostřihat
nastříhnout	stříhnout,ustříhnout,přestříhnout,zastříhnout,dostříhnout
nasynchronisovat	usynchronisovat,dosynchronisovat,přisynchronisovat,přesynchronisovat,sesynchronisovat
nasystematisovat	systematisovat,dosystematisovat,přesystematisovat
naturalisovat	znaturalisovat
naturismus	turismus
navaselinovat	vaselinovat
navitaminisovat	vitaminisovat,zvitaminisovat
navlhat	zavlhat
nazdvihat	nadzdvihat
nazvedat	zvedat
načrtat	črtat
načít	začít,začít,začít
naškicnout	oškicnout
negativní	znegativnět
nervóznit	znervóznět
neutralisovat	zneutralisovat
nit	nový,Nick,nítit
nitrace	Nitran
nobilis	nobilisovat
nobilisovat	nobilis,znobilisovat
nora	Nor
normalisovat	donormalisovat,přenormalisovat,pronormalisovat,znormalisovat
novinařit	vinařit
nový	Novák,nit,Nick
nuda	nudle
nudle	nuda
národohospodář	vodohospodář
násobit	dvojnásobit
nítit	nit
oblbit	zblbit
ocel	Vocel
ochládat	prochládat
ochutit	dochutit,přichutit
odautomatisovat	zautomatisovat,doautomatisovat
odbíhat	podbíhat,nadbíhat
odcensurovat	zcensurovat,docensurovat,censurovat,vycensurovat
odcukernit	vycukernit
odcírkevnit	zcírkevnit
odestýlat	podestýlat
odestřít	podestřít
odinicialisovat	doinicialisovat,rozinicialisovat,inicialisovat,zinicialisovat
odjednoznačnit	zjednoznačnit
odklimatisovat	doklimatisovat
odlistit	zalistit
odlétnout	podlétnout
odmobilisovat	omobilisovat,vymobilisovat
odplevelit	plevelit
odprdelit	vyprdelit
odprůmyslnit	zprůmyslnit,zprůmyslnět
odpínat	podpínat
odpřahat	vypřahat
odpřírodnit	zpřírodnit
odrat	prodrat
odsignalisovat	signalisovat,dosignalisovat
odstředit	středit
odstřihat	dostřihat
odtínat	podtínat
odundat	zadundat,vydundat
oduševnit	produševnit,zduševnit
odvitaminisovat	ovitaminisovat,dovitaminisovat,zvitaminisovat
oficiál	oficiální
oficiální	oficiál
oflitrovat	flitrovat,poflitrovat
okrojit	dokrojit,prokrojit,krojit
okrouhnout	zkrouhnout
okrvavit	zkrvavit
okysličit	prokysličit
omdlet	zmdlet
omobilisovat	umobilisovat,promobilisovat,zmobilisovat,odmobilisovat,domobilisovat,zamobilisovat,mobilisovat
omrzat	promrzat
omráčit	zmráčit
omítat	promítat
onikat	vnikat,unikat,pronikat
op	Pop,pop
oploštit	zploštit,sploštit
oploštět	zploštět
opláchnout	pláchnout,propláchnout,vypláchnout,spláchnout
opláknout	upláknout
oplítat	proplítat,uplítat,zaplítat
opomínat	napomínat,zapomínat
oponovat	proponovat
