Abraham	Abrahám
Hrádek	hradit
Hulín	hulán
Hus	husa
Husák	husa
Hvězdář	hvězda
Hádek	hádat
Háj	hájit,hajat
Hérakleitos	Herakleitos
Hřebeč	hřebec,hřebit,hřeb,hřebenatý
Hřib	hřížit
Iber	Stoiber
Ikar	kar
Ilava	Sláva
Indrák	Jindrák
Istar	star
Itálie	italika
Jan	Ján
Janouš	Janoš
Janoš	Jánoš,Janouš
Janus	Janák
Janák	Janus
Jar	jarý,var
Java	Jáva
Jedlov	jedle
Jelena	jelenář,jelen
Jesenin	jesen
Jindrák	Indrák
Jinek	jiný,jíní
Jirous	Jirout,Jirouš
Jirout	Jirous
Jirouš	Jirous
Jiří	jiřina
Johan	johanita,pohan,Pohan
Jon	jonák
Joza	jod
Juda	judo,Judea
Judea	Juda,judo
Julin	Julián
Julián	Julin
Junona	junák
Jurač	Jurák
Jurák	Jurač
Just	justice,justovat,Justýna
Justýna	justice,Just
Jut	juta
Ján	Jan
Jánoš	Janoš
Jáva	Java,jatky
Kabát	překabátit
Kachyňa	kachna
Kain	Kainar
Kainar	Kain
Kalinin	kalit
Kamenec	Kamený,kameňák,kámen,kamna
Kamený	Kamenec,kameňák,kamna,kámen
Kanada	kanár
Kanak	kanec,kanout,kanava
Kanaán	kanec,kanovník,kanál,kanout,kanava
Kant	kanout,kantýna
Kantor	kantořit
Kap	kapka,kápo,kapsa
Kapitol	kapitola,kapitál
Karel	Karen,Karela
Karela	Karel
Karen	Karel
Karter	karta,kartel
Kasák	kasa,kasat
Kašpar	Kašper
Kašper	Kašpar
Kelč	kelt
Kladno	kladný,kláda
Klatovy	klátit
Klepáč	klepat
Klimek	Klimák,klima
Klimák	klima,Klimek
Klos	Kloss
Kloss	Klos
Klusák	klusat
Klučov	klučit,kluk
Klíma	klima,klímat
Klíč	klít,kleč
Klíš	klíště
Kohl	Kohlík
Kohlík	Kohl
Kohout	kohoutit
Koleč	koleno
Konstantin	konstanta
Kopač	Kopáč,kopat,kopa
Kopernik	Koperník
Koperník	Kopernik
Kopeč	kopec,kopí,kopit
Kopáč	Kopač
Korea	korec
Korsika	korsovat
Korák	kora
Kosovo	kos,Kosák,kosa
Kostelný	kostel,kostelničit
Kosák	kosa,kosý,kos,sak,Kosovo
Kotoul	kotouč
Kott	kotník,kotel,kotovat
Kovač	Kováč,kov
Kováč	Kovač,kov
Kozár	koza
Koč	kočí,kočka,kočár,koka
Koňařík	koňařit
Kořista	kořist
Košatka	košatý,ošatka
Košice	Košík
Košta	koště
Košík	Košice,koš
Krakonoš	nakrakonošovat,dokrakonošovat
Kravák	kráva,kravata,kravál
Krejčík	krejčí
Krist	krize,Kristýna
Kristýna	Krist
Krn	Krnov,krnět
Krnov	Krn
Kroječ	krojit
Krupka	krupař
Krystin	Krystián
Krystián	Krystin
Král	Králík,Královák,Králik
Králik	Králík,Král,král,Královák
Královák	Králík,Král,král,Králik
Králík	Králik,Královák,Král,král
Krč	krk,krčit,Krčín
Krčín	krčit,Krč
Kuba	Kubák,Kubač
Kubač	Kubák,Kuba,Kubát
Kubin	Kubín,Kubič,kubík
Kubič	kubík,Kubin,Kubín
Kubák	Kuba,Kubač,Kubát
Kubát	Kubák,Kubač
Kubín	Kubin,kubík,Kubič
Kuchar	Kuchár
Kuchyňa	kuchyně
Kuchár	Kuchar,kuchat
Kudela	Kuděla
Kudlák	kudlat,kudla
Kuděla	Kudela
Kulikov	kuličkář,Kulík
Kulík	kuličkář,Kulikov
Kunc	Kunka,kuna
Kunka	Kunc,kuna
Kurily	kurie
Kurš	kurs
Kvapil	kvapit
Kyjev	Kyjov
Kyjov	Kyjev
Kypr	kyprý,kypřit
Kysela	kyselý
Káraný	kárat,kára,kárný
Křen	křeč
Křepela	křepelka
Křiva	křivý,Křivák,Křivan
Křivan	Křiva,křivý,Křivák
Křivák	Křiva,křivý,Křivan,křik
Křiž	kříž,Kříž,křižovník,Křižan
Křižan	Křiž
Kříž	Křiž,křižovník
Kůst	kost,košt,koza
Lada	ladit,ládovat
Ladislav	Vladislav
Lakota	lakotit
Lange	lano
Laník	Láník,lano,lán
Laurent	laureát
Lačina	láčka
Laškov	laškovat
Lebeda	lebedit
Ledeč	lednit,led
Ledvina	ledví
Leibnitz	Leibniz
Leibniz	Leibnitz
Lena	len,Lenin,lenit,léno
Lenin	lenit,len,Lena
Lennon	len
Leona	Leontina
Leontina	Leona
Lepík	lepit
Letov	letovat,letět
Levit	levý,lev,ulevit,levitovat,levný,vylevit
Leš	lešení,Aleš
Lhota	Lhotka,lhůta
Lhotka	Lhota
Liba	Libý,libý,Libye
Liberec	Libérie
Libye	Libý,libý,Liba
Libérie	Liberec
Libý	Libye,Liba
Lichtenstein	Liechtenstein
Liechtenstein	Lichtenstein
Lipina	Lipka
Lipka	Lipina
Litva	litec,litice
Lobeč	lob
Lodín	loděnka,loď
Lojza	lůj
Lombardie	lombard
Lomič	lomit
London	Londýn
Londýn	London
Loos	los
Loun	Louny,Loučka
Louny	Loun,Loučný,Loučka,loučit
Loučka	loučit,Loučný,louka,Loun,Louny
Loučný	loučit,Loučka,louka,Louny
Lubina	Lublin
Lublin	Lubina
Lucern	lucerna
Ludvík	Ludvíkov
Ludvíkov	Ludvík
Lunin	Luňák
Luňák	Lunin
Luženice	Lužice,luh
Lužice	Luženice,luh
Lyko	lýko
Lynch	Lynchov
Lynchov	Lynch
Lysák	lysat
Láník	Laník,lán
Lída	lid
Lízal	lízat
Lýd	Lýdie
Lýdie	Lýd
Magdalena	Magdaléna
Magdaléna	Magdalena
Magic	magie
Mali	malý,malina
Malič	Málik
Malta	maltárna
Malák	Malát,malátný
Malát	malátný,Malák
Malín	malina
Manet	man,Mann
Mann	man,Manet
Mansfeld	Mansfield
Mansfield	Mansfeld
Mao	May
Maor	Maur
Marathon	Marathón
Marathón	Marathon
Marcel	Marcin
Marcin	Martin,Marcel
Marek	Mareček,Mareš,Marie,Mars,markovat
Mareček	Marek
Mareš	Marek
Maria	Marija,Marie,mariáš,mariňák,mařit
Marie	Maria,mařit,Marek,Marija,mariňák
Marija	Maria,Marie
Markovič	markovat
Markéta	market
Mars	Marek
Mart	Martin,Marten,Martyn,Martín
Marten	Martín,Martin,Martinov,Martyn,Mart
Martin	Martinov,Martín,Marten,Mart,Marcin,Martyn
Martinov	Martin,Martín,Marten
Martyn	Martín,Marten,Martin,Mart
Martín	Marten,Martin,Martinov,Martyn,Mart
Maryna	máry,rozmarýn
Masaj	masař,masáž
Masný	masa,masař,mast
Masters	masterovat
Mastný	mast
Masár	masař
Mater	mateř
Matouš	Mattuš
Mattuš	Matouš
Maur	Maor
Maxim	maximum
May	Mao,Mání
Mazák	mazat
Medek	medit,Medina,med
Medicej	medicína,medicina
Medina	medit,Medek,medicina
Meliš	Melišík
Melišík	Meliš
Menšík	menšit,menšina
Meroe	merk
Merta	Merten
Merten	Merta
Mesa	mísa,mést
Michael	Michal
Michal	Michalov,Michalič,Michael,Michalovič
Michalič	Michalovič,Michal,Michalov
Michalov	Michalovič,Michal,Michalič
Michalovič	Michalov,Michalič,Michal
Mikes	Mikis
Mikis	Mikes
Mikloš	Mikloško
Mikloško	Mikloš
Mikola	Nikola
Mikulič	Mikulík,Mikulov
Mikulov	Mikulič
Mikuláš	mikulášenec
Mikulík	Mikulič
Ming	mina
Minos	minus,mina,minuta
Mináč	mina,minuta,minus
Mitrov	Mitrovic
Mitrovic	Mitrov
Mnichov	mnich
Modra	modrý,Modrák
Modrák	Modra
Monako	Monet
Monet	moneta,Monako
Montana	montovat
Morava	Moravany,Moravsko,Moravan
Moravan	Morava,Moravany,Moravsko
Moravany	Morava,Moravan,Moravsko
Moravsko	Morava,Moravany,Moravan
Motýlek	motýl,motýlkář
Močik	moč,mok
Mořic	Mořina
Mořina	Mořic
Mrštík	mrštit
Mužík	muž
Mácha	máchat
Málik	Malič
Mánes	Mání,mánička
Mání	mánička,man,mánie,Mánes,May
Méd	med
Míla	míle,mělký,milý,Mílek,milice
Mílek	míle,mělký,Míla
Mína	mina,mínit,minuta
Mělník	mělnit,mělký
Nat	vně,nový,oj,nynat,vát,nit,necky,pot,půst
Nick	nit,nový,necky,ničit,Novák,Nil,nikl,poník
Nikola	Mikola
Nil	nit,Nick,nový
Nitran	nitrace
Nizozemsko	Nizozemí
Nizozemí	Nizozemsko
Nor	nora,donor
Norman	norma
Nos	los
Nosál	sál
Novák	nový,Nick,nit
Němčice	zněmčit
Ob	obec,niob
Oborný	Zborný,Voborný,Zborov
Oděsa	děs
Ola	Zola,olovo
Olina	Dolina,dolinář
Olymp	Olympie
Olympie	Olymp
Onan	nový
Ondrák	Vondrák
Opasek	opak
Orlov	orloj
Orta	aorta,Orten
Orten	Orta
Oset	Osetie,set,osev,vyosit,sít
Osetie	Oset
Osman	osma
Osvětim	světnice,osvětář,svítit
Ota	cé,otec
Oton	proton
Ouředník	zouředničit
Ořechov	ořech
Pacifik	pacifikovat
Pacov	pac
Paka	pakt
Palata	Palau,palatin,palatála,palác
Palau	Palata
Palec	palice
Palin	palice
Palán	palác
Pan	pán,propan,pánev
Panuš	panoš
Panák	paňák,panika
Papák	papá,papat
Parth	parta
Pastor	pastorovat
Pavlov	pavlač
Pavlát	pavlač
Pazdera	pazderník
Pašta	paštika
Paštun	Paštún
Paštún	Paštun
Pecina	pecka,pec
Peck	pec,pecka
Pepa	pepř
Perout	Peru,pero
Peru	Perout,Perun
Perun	Peru,Peruán
Peruán	Perun
Perštejn	Perštýn
Perštýn	Perštejn
Petrarca	Petrarka
Petrarka	Petrarca
Petrus	Petrák,Petruš
Petruš	Petrus
Petrák	Petrus
Petržela	petržel
Petržil	petržel
Peřina	pero
Piave	piano
Pikt	píst,píka,píča
Pila	píle,Pilát
Pilát	pila,Pila
Pivoňka	pivoň
Placht	plachta
Platon	platonik,novoplatonský
Plečnik	plečka
Plánka	plán,Plávka
Plávka	Plánka,plán,plátno
Podhora	podhorák
Poe	půst,vně,pot
Pohan	Johan
Poledník	poledne
Polena	poleno
Polsko	pole,police,polní
Pop	op
Popel	popelka
Portnoy	porta
Portugalsko	portugal
Pousta	poustevna
Pozdník	pozdě
Pozník	poník
Požár	žár,pohár
Praha	prahnout,práh
Praj	Prajz,pravý
Prajz	Praj
Protivín	protivit,protivný
Provázek	provázet
Pták	ptát
Puk	puč,pučit
Puškin	puška
Pygmalion	Pygmalión
Pygmalión	Pygmalion
Párs	pár,pára
Pásek	pás,pást,pásnout,pak
Pěč	píča,zpěčit,zpěčovat
Radek	rada
Radouň	radon
Rakovník	rak
Rambo	Rambous
Rambous	Rambo
Randák	rande
Reed	reedovat
Roentgen	rentgen
Roger	Rogers
Rogers	Roger
Rohlík	rohlíkář
Rojka	roj,ráj,Rojík
Rojík	roj,Rojka
Rol	role,Rolin,rolovat
Rolin	Rol,role
Roman	Román,román,Romanov
Romanov	Roman,Román,román
Román	Roman,Romanov
Ronov	ronit
Rubák	rubat
Ruda	rudý
Rulík	rulička
Rusko	rusý
Rusín	rusý
Rybák	ryba
Rybář	ryba
Ryk	Dyk
Ráb	rab
Rákosník	rákos
Rýmařov	rýmař
Sacharov	sacharin
Sadil	sadit
Sadov	sadovník,sadit
Sandino	sandinista
Santana	santal
Sardinie	sardinka,sardinkář
Sasko	sako
Scot	Scott
Scott	Scot
Sedlák	sedlat
Seneka	seno
Serafin	Serafína
Serafína	Serafin
Severa	sever
Sinhal	Sinhálec
Sinhálec	Sinhal
Siva	sivý,Sova,sova
Skalka	Skalník,Skála,skála,skalkařit
Skalník	Skalka
Skála	Skalka
Slanec	slanit
Slavia	Slávie
Slavník	Sláva
Slepička	slepičář,naslepičit
Slezsko	slez
Slovensko	Slovinsko
Slovinsko	Slovensko
Sláva	Ilava,Slavník,Slávie
Slávie	slavit,slavík,Sláva,Slavia
Smola	smůla
Smíchov	smích
Smělý	smět
Sodoma	soma,soda
Sokrates	Sókratés
Solana	Soláň
Soliman	Solimán
Solimán	Soliman
Soláň	Solana
Sosna	sosat
Sova	Sovík,Siva
Sovík	Sova,sova
Sparta	parta,pasparta
Spina	Spinoza
Spinoza	Spina
Sporck	sport,spora,spor
Srna	srnec,Srník
Srník	srnec,Srna
Srp	sýr
Stalin	Stalinov
Stalinov	Stalin
Staník	stanovit,stájník
Stin	stín,Stoy,stěna,Stone
Stoiber	Iber
Stone	stonek,stonat,Stoy,Stin
Stoy	sto,Stin,stoik,Stone
Struž	vystružit
Studený	stud,studit,studovat,Studénka,Studnář
Studnář	Studený,studený
Studénka	Studený,studený
Stupa	stopa
Stříbrný	Stříbro,stříbro
Stříbro	stříbřit,Stříbrný
Stříž	střiž
Sudek	Sudety,sud
Sudety	Sudek
Sula	sulc
Sup	op
Sura	surový
Svatý	svat
Sviny	svině
Svitavy	Sviták
Sviták	Svitavy
Sádek	sadit,sadovník
Sókratés	Sokrates
Sýrie	sýr
Tabori	tábor
Tatar	táta,Tate,tát
Tate	tát,táta,Tatar
Teka	tečka,teč
Telč	tele,teč,otec,cé
Tennant	tenký
Teplice	zteplit,Tepličák,vyteplit
Tepličák	Teplice
Tisa	Tisov,tisíc
Tisov	Tisa,tisíc
Titov	titan,Titán
Titán	titan,Titov
Tomeš	Tomiš
Tomiš	Tomeš
Tomáš	Tomášov
Tomášov	Tomáš
Trajan	Trojan
Trent	Trentin
Trentin	Trent,Trenčín
Trenčan	Trenčín
Trenčín	Trenčan,Trentin
Trhovky	trh
Trnka	trn,trnout
Trojan	Trajan
Troják	trojka,trojčit
Troy	trojka
Trs	trsat
Turan	Turánek,Turín
Turek	tur,Tursko,turkický
Turkit	turkický,Tursko,tur
Turnov	turnaj
Tursko	Turek,Turkit,turkický,tur
Turánek	Turan
Turín	Turan
Tutu	tutový
Tyl	týl
Tyr	Týr
Tyroly	tyrolsko
Týr	Tyr
Třinec	třít
Ural	Uran
Uran	Ural,Duran
Urbán	urbánní
Vaculík	culík
Val	válka,Vala,Valina,valkovat,Válek,Valeč
Vala	Val,válka
Valdštejn	Valdštýn
Valdštýn	Valdštejn
Valencien	Valencián,Valentin,Valentina,Valentinián
Valencián	Valentinián,Valencien,Valentin
Valentin	Valentina,Valentinián,Valentýn,Valencien,Valencián
Valentina	Valentin,Valentýn,Valentinián,Valencien
Valentinián	Valentin,Valencián,Valentina,Valencien
Valentýn	Valentin,Valentina
Valeč	Válek,Val,valčík,valkovat
Valina	Val,válka,valit
Vaník	Vaněk,vana
Vaněk	Vaník,vana
Vedra	vedrat
Vela	velký,novela
Velen	velký,jelen
Veleslavín	veleslavit
Verna	Verona
Verona	Verna
Vey	ven,vně,ovce
Vietnam	vietnamka
Vilém	Vilím
Vilím	Vilém
Vinklár	vinklář
Virginie	virginal
Vizovice	vize
Vlach	Vlachov
Vlachov	Vlach
Vladimir	Vladimír
Vladimír	Vladimir
Vladislav	Ladislav
Vlasov	vlas
Vlastík	vlast
Vlk	vlčit,Vlčnov
Vlčnov	vlk,Vlk,vlčit
Voborný	Oborný,Zborný
Vocel	ocel
Voda	Vodák,vodovod,vodnář
Vodák	voda,Voda
Vojan	vojančit
Vojen	vojna,voj
Vondra	Vondrák
Vondrouš	Vondruš
Vondruš	Vondrouš
Vondrák	Vondra,Ondrák
Vont	vůně
Votruba	otruby
Vrana	vrána,Vraný
Vraný	Vrana,vrána
Vrba	Vrbata
Vrbata	vrba,Vrba
Vrtěl	vrtět
Vrzák	vrzat
Váh	váha,váhař
Válek	válka,Valeč,Val
Vápeník	vápeničit,vápenět
Vína	víno,vina,věno
Vít	větit,veto,větev
Výrov	výr
Věra	víra,věrovat
Wagner	wagnerián
Wahháb	wahhábita
Welles	Wells
Wellington	Ellington
Wells	Welles
Wild	Wilde
Wilde	Wild
Zambie	ambit
Zapata	pata
Zborný	Oborný,Voborný,Zborov
Zborov	Zborný,Oborný
Zdena	Zdeněk
Zdeněk	Zdena
Zelenkov	zelený
Zelina	zelí
Zhoř	zhořčit
Zimák	zima
Zita	zíta,zívat
Zlín	zlínět
Zmij	zmije
Změlík	změlčit
Zola	Ola
Zrůst	vzrůst,růst
Zuckerman	Zuckermann
Zuckermann	Zuckerman
Zuza	Zuzák,Zuzana,vyzuzat,nouze
Zuzana	Zuza,Zuzák
Zuzák	Zuza,Zuzana,vyzuzat
Zvíkov	víko
Zábel	Ábel,záběl
Záhor	záhoří,záhoř
Zámečník	zámečničit
Zámiš	zámišník
Závada	zavadat
Závora	závorář
Zázvora	zázvor
absolutní	zabsolutnit,zabsolutnět
absorbovat	sorbovat,adsorbovat
abstenovat	abstinovat
abstinovat	abstenovat
abstraktní	zabstraktnit,zabstraktnět
absurdní	zabsurdnit
aditivní	aditivovat
aditivovat	aditivní
adresa	adresant
adresant	adresa
adsorbovat	sorbovat,absorbovat
afinní	afinovat
afinovat	afinní
afrikanistika	afrikán
afrikán	Afrika,afrikanistika
agent	Gent
agrese	regrese
akce	akcie
akcie	akce
akord	kord
akta	aktér,aktin
aktin	aktiv,akta,aktivní
aktiv	aktivní,aktin
aktivisovat	zaktivisovat
aktivní	aktiv,aktin
aktualisovat	zaktualisovat
aktér	akta
akumulovat	kumulovat
alarm	alarmovat
alarmovat	alarm
albit	albína
albánský	Albánie,Albany
albín	albína
albína	albín,albit
alkalisovat	zalkalisovat
alternovat	alterovat
alterovat	alternovat
amalgam	amalgám
amalgám	amalgam
amant	Aman
ambit	Zambie
amortisovat	zamortisovat
amur	Amor
analysovat	zanalysovat,vyanalysovat
andrologie	dendrologie
antika	Antily,attika,etika,atika
anténa	anténář
anténář	anténa
aorta	Orta
aparatura	reparatura
apercipovat	percipovat
apolit	zápolit
aranžovat	aranžírovat,aranžér
aranžér	aranžírovat,aranžovat
aranžírovat	aranžér,aranžovat
archeologie	archeologizovat
archeologizovat	archeologie
arestant	arestovat
arestovat	arestant
armatura	armaturář
armaturář	armatura
asimilovat	assimilovat
aspirin	aspirovat
aspirovat	aspirin
assimilovat	asimilovat
astrachán	Astrachaň
ateismus	teismus
atika	attika,etika,antika
atopie	utopie
atrahovat	retrahovat
attika	atika,etika,antika
audit	auditovat
auditovat	audit
augustinián	Augustin
aut	auto
auto	aut
automatisovat	doautomatisovat,zautomatisovat,odautomatisovat,přeautomatisovat
autorisovat	zautorisovat
aval	avalovat
avalovat	aval
avisovat	visovat
avízo	avízovat
avízovat	avízo
baba	Bába,bába,Babák,Babán,Babice,Babík
babit	Babice,Babík,bábita,babičkovat
babičkovat	Babík,Babice,babit,babičkovatět
babičkovatět	zbabičkovatět,babkovatět,babičkovat
babkovatět	babičkovatět
bachař	Bach
bafunář	bafuňář,bafuňařit
bafuňařit	bafuňář,bafunář
bafuňář	bafunář,bafuňařit
bahno	zabahnout
balet	baletit
baletit	balet
balon	balonář,Baloun
balonář	balon
balzamiko	balzám
balzám	balzamiko
balík	balíkář
balíkář	balík
bandoneon	bandáž
bandáž	bandoneon
banka	baňka,báň,bán
bantovat	Bantu
banální	banát,banán
banán	banát,bán,banální,báň
banát	banální,banán,zabáňat
bard	Bardot,Bardejov
bariéra	Barina
barman	Barma
baterie	baterkář
baterkář	baterie
batika	batikovat,batikář
batikovat	batika,batikář
batikář	batikovat,batika
batůžkařit	batůžkář
batůžkář	batůžkařit
bazalka	bazalt
bazalt	bazalka
bazén	bazénář
bazénář	bazén
bačkora	bačkorář
bačkorář	bačkora
baňka	banka,báň
bedna	Bednár
bejvat	obejvat,zabejvat
bekat	békat
benediktin	benediktýn
benediktýn	benediktin
beran	beranit
beranit	beran
bez	bé,jez
bečka	bé
bigbeat	bigbít
bigbít	bigbeat
biker	Bikey
bikovat	Bikey
bilionář	biliár
biliár	bilionář
biobrambora	brambor
biografie	ideografie
bioinženýr	inženýr
biomedicína	medicína
bipolarizovat	bipolární
bipolární	bipolarizovat
bit	bít,bítník
biřmovanec	biřmovat
biřmovat	biřmovanec
blata	Blatný,Blatnice,bláto,blána
blazeovat	blázen
blb	blbý
blbý	blb
blesk	bleskat
bleskat	zableskat,blesk
blok	bloknout
bloknout	blok
blyštit	blýštit,blyštět
blyštět	blyštit,blýštit
blána	Blanka,blata
bláto	Blatný,blata,blátovatět,Blatnice,zablátit
blátovatět	bláto
blázen	blazeovat
blíženec	blížit
blížit	blíženec
blýštit	blyštit,blyštět
bob	nabob,bobař
bobař	bob,Bob
bohatý	obohatit
boj	Bojan,Bój
bolet	Bolev
bolševik	neobolševik
bolševisovat	zbolševisovat
bomba	Bombaj
bon	bonita
bonita	bon
bor	Born,borůvka,úbor
borec	Borat
borůvka	bor
bos	bosovat,Bosna
bosovat	bos
bota	botanika
botanika	bota
boubelatý	zboubelatět
bouchat	buchat
bouda	Boudný,Buda,zaboudit
boule	Boulez
bourat	Bourne
bořit	Bořík
brada	brázda
brambor	biobrambora
brand	brána
brblat	žbrblat
briketa	briketář
briketář	briketa
brnkat	přebrnkat
brodit	Brod,dobrodit,brozovat
brok	Brook,brokovnice,brokař
brokař	brok,brokovnice
broker	Brooker
brokovnice	brok,brokař
bronz	bronzař
bronzař	bronz
brouk	Brook
brozovat	brodit,Brozan
brum	Broum
brunet	Brunej,brunátný
brunátný	brunet,Brunej
brzy	Brdy
brána	obrana,bránit,brand
bránit	brána
brázda	brada
buchancovat	Buchanan
buchat	buchta,bouchat
buchcovat	buchtovatět,buchta
buchta	buchcovat,buchat,buchtovatět
buchtovatět	zbuchtovatět,buchcovat,buchta
budovat	Buda
buk	bukovat
bukovat	buk
buldok	buldočit
buldočit	buldok
bumbat	Bumbál
burza	Bury,Burda
buňka	Bunin
bydlet	rozbydlet,bydlit
bydlit	bydlet
byte	být
bzikat	bzíkat
bzíkat	bzikat
bába	baba,Babák
bábita	babit,Babice
bádat	nabádat
báje	bájit
bájit	báje
bán	báň,banka,bánit,Bánovec,banán
bánit	báň,bán,Bánovec
bárka	Bárta
bát	dbát
