státi(se)	stá-ti-(se)
ambasáda	ambasád-a
fasáda	fasád-a
zásada	zá-sad-a
vada	vad-a
váda	vád-a
závada	zá-vad-a
dyáda	dyád-a
dryáda	dryád-a
záda	zád-a
žádá	žád-á
vyžádá	vy-žád-á
lambda	lambd-a
běda	běd-a
lebeda	lebed-a
oběda	oběd-a
děda	děd-a
gottfrieda	gottfried-a
gottfrijeda	gottfrijed-a
bledá	bled-á
hledá	hled-á
shledá	s-hled-á
koleda	koled-a
nedá	ne-d-á
hněda	hněd-a
snědá	sněd-á
středa	střed-a
sedá	sed-á
předseda	před-sed-a
místopředseda	míst-o-před-sed-a
exmístopředseda	ex-míst-o-před-sed-a
beseda	besed-a
souseda	sou-sed-a
teda	teda
véda	véd-a
věda	věd-a
medvěda	medvěd-a
vlastivěda	vlast-i-věd-a
přírodověda	pří-rod-o-věd-a
duchověda	duch-o-věd-a
knihověda	knih-o-věd-a
jazykověda	jazyk-o-věd-a
tělověda	těl-o-věd-a
uměnověda	um-ě-n-o-věd-a
technověda	techn-o-věd-a
nápověda	ná-po-věd-a
zdravověda	zdrav-o-věd-a
mravověda	mrav-o-věd-a
zvedá	z-ved-á
bída	bíd-a
genocida	genocid-a
jídá	jíd-á
nelida	ne-lid-a
slída	slíd-a
pyramida	pyramid-a
hnida	hnid-a
florida	florid-a
křída	kříd-a
přidá	při-d-á
třída	tříd-a
extratřída	extra-tříd-a
pleuroperikarditida	pleur-o-per-ikard-itid-a
laryngofaryngitida	laryng-o-faryng-it-id-a
bronchitida	bronch-it-id-a
encefalitida	encefal-itid-a
meningoencefalitida	meningo-encefal-it-id-a
cystopyelitida	cystopyelitida
gastroenteritida	gastro-enter-itid-a
pericholecystitida	peri-chole-cyst-itid-a
antarktida	antarkt-id-a
vida	vid-a
povídá	po-víd-á
odpovídá	od-po-víd-á
neodpovídá	ne-od-po-víd-á
vypovídá	vy-po-víd-á
svída	svíd-a
žida	žid-a
kajda	kajd-a
šmajda	šmajd-a
rajda	rajd-a
vajda	vajd-a
obejda	obe-jd-a
kejda	kejd-a
rejda	rejd-a
strejda	strejd-a
halda	hald-a
špalda	špald-a
geralda	gerald-a
cvalda	cvald-a
greenwalda	green-wald-a
filda	fild-a
tilda	tild-a
polda	pold-a
kulda	kuld-a
banda	band-a
janda	jand-a
landa	land-a
flanda	fland-a
manda	mand-a
amanda	amand-a
panda	pand-a
lotranda	lotrand-a
kšanda	kšand-a
standa	stand-a
švanda	švand-a
žvanda	žvand-a
benda	bend-a
dividenda	dividend-a
agenda	agend-a
legenda	legend-a
hacienda	haciend-a
referenda	refer-en-d-a
finda	find-a
linda	lind-a
pinda	pind-a
honda	hond-a
fronda	frond-a
sonda	sond-a
radiosonda	radi-o-sond-a
drnda	drnd-a
bunda	bund-a
sekunda	sekund-a
dynda	dynd-a
oda	od-a
svoboda	svobod-a
jahoda	jahod-a
lahoda	lahod-a
náhoda	ná-hod-a
náchoda	ná-chod-a
autonehoda	aut-o-ne-hod-a
dohoda	do-hod-a
pohoda	po-hod-a
shoda	s-hod-a
neshoda	ne-s-hod-a
dioda	diod-a
perioda	period-a
trioda	triod-a
škoda	škod-a
móda	mód-a
podá	po-d-á
hospoda	hospod-a
národa	ná-rod-a
příroda	pří-rod-a
stejnorodá	stejn-o-rod-á
prodá	pro-d-á
soda	sod-a
metoda	metod-a
voda	vod-a
vévoda	vé-vod-a
arcivévoda	arci-vévod-a
kalvoda	kal-vod-a
epizoda	epizod-a
kierkegaarda	kierkegaard-a
kijerkegaarda	kijerkegaard-a
čarda	čard-a
darda	dard-a
garda	gard-a
avantgarda	avant-gard-a
transavantgarda	trans-avant-gard-a
miliarda	mili-ard-a
škarda	škard-a
sarda	sard-a
drda	drda
ferda	ferd-a
herda	herd-a
perda	perd-a
hrda	hrd-a
čamrda	čamrd-a
vejmrda	vejmrd-a
forda	ford-a
horda	hord-a
chorda	chord-a
korda	kord-a
morda	mord-a
páprda	páprd-a
burda	burd-a
cauda	caud-a
buda	buda
pobuda	po-bud-a
duda	dud-a
chudá	chud-á
nuda	nud-a
bouda	boud-a
blouda	bloud-a
velblouda	velbloud-a
půda	půd-a
ruda	rud-a
odrůda	od-růd-a
ostuda	o-stud-a
zuda	zud-a
pravda	prav-d-a
polopravda	polo-prav-d-a
nestyda	ne-styd-a
vydá	vy-d-á
zda	zda
zdá	zd-á
mazda	mazd-a
brázda	brázd-a
hrazda	hrazd-a
nezdá	ne-z-dá
hvězda	hvězd-a
kinohvězda	kin-o-hvězd-a
protohvězda	proto-hvězd-a
pophvězda	pop-hvězd-a
jízda	jízd-a
cyklojízda	cykl-o-jízd-a
krasojízda	kras-o-jízd-a
hnízda	hnízd-a
pizda	pizd-a
mzda	mzd-a
brzda	brzd-a
uzda	uzd-a
každá	každ-á
vražda	vražd-a
sebevražda	seb-e-vražd-a
otcovražda	otc-o-vražd-a
bohovražda	boh-o-vražd-a
samovražda	sam-o-vražd-a
tyranovražda	tyran-o-vražd-a
bratrovražda	bratr-o-vražd-a
idea	ide-a
andrea	andre-a
korea	kore-a
aurea	aure-a
chelsea	chelsea
tea	tea
muzea	muze-a
mrťafa	mrťaf-a
josefa	josef-a
šéfa	šéf-a
alfa	alf-a
sylfa	sylf-a
lymfa	lymf-a
nymfa	nymf-a
tonfa	tonf-a
strofa	strof-a
katastrofa	katastrof-a
sofa	sof-a
filozofa	filo-zof-a
harfa	harf-a
morfa	morf-a
troufá	trouf-á
netroufá	ne-trouf-á
hyfa	hyf-a
visnaga	visnag-a
kolega	koleg-a
imega	imeg-a
liga	liga
extraliga	extra-lig-a
interliga	inter-lig-a
bundesliga	bundes-lig-a
fajga	fajg-a
olga	olg-a
dominga	doming-a
synagoga	synagog-a
jóga	jóg-a
droga	drog-a
embarga	embarg-a
centrifuga	centr-i-fug-a
huga	hug-a
ha	ha
há	há
aha	aha
haha	ha-ha
blaha	blah-a
bláha	bláh-a
dlaha	dlah-a
podlaha	pod-lah-a
vláha	vláh-a
námaha	ná-mah-a
pomáhá	po-máh-á
nahá	nah-á
snaha	snah-a
draha	drah-a
dráha	dráh-a
drahá	drah-á
předrahá	pře-drah-á
rychlodráha	rychl-o-dráh-a
autodráha	aut-o-dráh-a
praha	prah-a
vraha	vrah-a
sahá	sah-á
nesahá	ne-sah-á
přísaha	pří-sah-a
tahá	tah-á
váha	váh-a
odvaha	od-vah-a
převaha	pře-vah-a
protiváha	proti-váh-a
rovnováha	rovn-o-váh-a
povaha	po-vah-a
úvaha	ú-vah-a
facha	fach-a
šlacha	šlach-a
macha	mach-a
mácha	mách-a
snacha	snach-a
spáchá	s-pách-á
brácha	brách-a
vacha	vach-a
vácha	vách-a
nádcha	nádch-a
krátkodechá	krát-k-o-dech-á
lecha	lech-a
blecha	blech-a
nechá	nech-á
nenechá	ne-nech-á
spěchá	spěch-á
střecha	střech-a
útěcha	ú-těch-a
fibicha	fibich-a
cícha	cích-a
jícha	jích-a
lícha	lích-a
mícha	mích-a
míchá	mích-á
píchá	pích-á
spicha	spich-a
weihricha	weihrich-a
šicha	šich-a
tichá	tich-á
zticha	z-tich-a
vícha	vích-a
valcha	valch-a
střemcha	střemch-a
koncha	konch-a
bělocha	běl-och-a
plocha	ploch-a
epocha	epoch-a
trocha	troch-a
socha	soch-a
archa	arch-a
patriarcha	patri-arch-a
exmonarcha	ex-mon-arch-a
šmodrcha	šmodrch-a
jircha	jirch-a
mrcha	mrch-a
pascha	pasch-a
vetchá	vetch-á
ucha	uch-a
ducha	duch-a
jednoduchá	jedn-o-duch-á
mucha	much-a
šplouchá	šplouch-á
odposlouchá	od-po-slouch-á
moucha	mouch-a
ropucha	ropuch-a
průcha	průch-a
suchá	such-á
bycha	bych-a
vzdychá	vz-dych-á
pýcha	pých-a
běhá	běh-á
rozléhá	roz-léh-á
něha	něh-a
probíhá	pro-bíh-á
rozbíhá	roz-bíh-á
líha	líh-a
kniha	knih-a
audiokniha	audio-knih-a
piha	pih-a
říha	říh-a
tíha	tíh-a
rejha	rejh-a
mlha	mlh-a
vlha	vlh-a
mha	mh-a
boha	boh-a
pánaboha	pán-a-boh-a
propánaboha	pro-pán-a-boh-a
proboha	pro-boh-a
ubohá	u-boh-á
obloha	ob-loh-a
poloha	po-loh-a
sloha	sloh-a
úloha	ú-loh-a
moha	moh-a
noha	noh-a
mnoha	mnoh-a
roha	roh-a
mepha	meph-a
nympha	nymph-a
prha	prh-a
srha	srh-a
trhá	trh-á
myrha	myrh-a
paťha	paťh-a
duha	duh-a
sluha	sluh-a
zásluha	zá-sluh-a
posluha	po-sluh-a
ouha	ouha
dlouhá	dlouh-á
pouhá	pouh-á
touha	touh-a
druhá	druh-á
stuha	stuh-a
dýha	dýh-a
rýha	rýh-a
nejžha	nej-žh-a
fabia	fabi-a
pedicia	pedici-a
ferrovanadia	ferro-vanad-i-a
autorádia	aut-o-rádi-a
media	medi-a
média	médi-a
prezidia	prezidi-a
studia	stud-i-a
fotografia	foto-graf-i-a
privilegia	privilegi-a
georgia	georgia
nokia	noki-a
cerealia	cerealia
bohemia	bohem-i-a
nia	nia
bania	bani-a
nania	nania
swietenia	swieteni-a
unia	unia
pia	pia
mamillaria	mamillaria
maria	mari-a
iberia	iber-i-a
desideria	desideria
kritéria	krit-éri-a
victoria	victoria
patria	patri-a
celsia	celsi-a
wittia	witti-a
via	via
avia	avia
slavia	slavia
moravia	morav-i-a
octavia	octav-i-a
dannunzia	dannunzi-a
já	já
kája	káj-a
nejá	ne-já
ilja	ilj-a
sonja	sonj-a
soja	soj-a
ježíšmarjá	ježíš-marj-á
vaišja	vaišj-a
aleluja	aleluja
bryja	bryj-a
ká	ká
čáka	čák-a
vrabčáka	vrab-č-ák-a
chudáka	chud-ák-a
jaká	jak-á
nějaká	ně-jak-á
bůhvíjaká	bůh-v-í-jak-á
vojáka	voj-ák-a
láká	lák-á
přiláká	při-lák-á
klaka	klak-a
tuláka	tul-ák-a
kloaka	kloak-a
paka	pak-a
páka	pák-a
šupáka	šup-ák-a
braka	brak-a
dobráka	dobr-ák-a
vandráka	vandr-ák-a
straka	strak-a
taka	tak-a
přitaká	při-tak-á
ptáka	pták-a
kvaka	kvak-a
fabka	fabk-a
fábka	fábk-a
debka	debk-a
lebka	leb-k-a
kobka	kobk-a
čubka	čub-k-a
jednohubka	jedn-o-hub-k-a
facka	fack-a
macka	mac-k-a
pracka	prack-a
dvacka	dvack-a
vědecká	věd-ec-k-á
střelecká	střel-ec-k-á
německa	něm-ec-k-a
německá	něm-ec-k-á
pecka	peck-a
letecká	let-ec-k-á
opravdická	o-prav-d-ic-k-á
ficka	fick-a
fotografická	foto-graf-ick-á
filozofická	fil-o-zof-ic-k-á
logická	log-ic-k-á
analogická	ana-log-ic-k-á
novosedlická	nov-o-sedl-ic-k-á
holická	holick-á
ústeckoorlická	úst-eck-o-orl-ic-k-á
micka	mic-k-a
dynamická	dynam-ic-k-á
ekonomická	eko-nom-ic-k-á
nicka	nick-a
organická	organ-ic-k-á
technická	techn-ic-k-á
kopřivnická	kopřiv-n-ic-k-á
loupežnická	loup-ež-n-ic-k-á
heroická	hero-ic-k-á
makroskopická	makro-skop-ick-á
americká	americ-k-á
empirická	empir-ic-k-á
ratibořická	ratibořic-k-á
novobystřická	nov-o-bystřic-k-á
pragmatická	pragm-at-ic-k-á
automatická	auto-mat-ic-k-á
demokratická	demo-krat-ic-k-á
hypotetická	hypo-tet-ick-á
politická	polit-ic-k-á
vnitropolitická	v-nitr-o-polit-ic-k-á
praktická	prakt-ic-k-á
skeptická	skept-ic-k-á
logistická	log-ist-ic-k-á
psychologistická	psych-o-log-ist-ic-k-á
racionalistická	racion-al-ist-ic-k-á
moralistická	moral-ist-ic-k-á
metafyzická	meta-fyz-ic-k-á
šprcka	šprck-a
pomůcka	po-můc-k-a
minohledačka	min-o-hled-a-čk-a
sedačka	sed-a-čk-a
autosedačka	aut-o-sed-a-čk-a
obíhačka	o-bíh-a-čk-a
maniačka	mani-ač-k-a
dojačka	doj-ač-k-a
pětikačka	pět-i-kač-k-a
břinkačka	břink-a-čk-a
pleskačka	plesk-a-čk-a
láčka	láčk-a
radiovysílačka	radi-o-vy-síl-a-č-k-a
mačka	mačk-a
máčka	máčk-a
synáčka	syn-áč-k-a
značka	znač-k-a
znáčka	znáčk-a
houpačka	houp-a-čk-a
ráčka	ráč-k-a
zatáčka	za-táč-k-a
ptačka	ptačk-a
čtvrťačka	čtvrťačk-a
prokristáčka	pro-krist-áčk-a
vačka	vačk-a
zpěvačka	z-pě-v-a-č-k-a
rýhovačka	rýh-ova-čk-a
rvačka	rv-a-č-k-a
bečka	bečk-a
bobečka	bob-eč-k-a
dědečka	děd-ečk-a
pradědečka	pra-děd-ečk-a
brdečka	brdečk-a
dokolečka	do-kol-ečk-a
samečka	sam-eč-k-a
smečka	smečk-a
propánečka	pro-pán-ečk-a
žnečka	žnečk-a
chlapečka	chlap-eč-k-a
herečka	her-eč-k-a
horečka	hor-eč-k-a
břečka	břečk-a
přečká	pře-čk-á
tečka	tečk-a
všetečka	všetečk-a
místečka	míst-ečk-a
ovečka	oveč-k-a
babička	bab-ičk-a
krabička	krab-ič-k-a
korbička	korb-ičk-a
čubička	čub-ičk-a
holubička	holub-ič-k-a
rybička	ryb-ičk-a
holčička	hol-č-ičk-a
očička	oč-ičk-a
třídička	tříd-i-čk-a
lodička	lod-ičk-a
hvězdička	hvězd-ičk-a
vajíčka	vajíč-k-a
dyjička	dyj-ičk-a
lička	ličk-a
líčka	líč-k-a
mihálička	mihál-ič-k-a
maličká	mal-ičk-á
odmalička	od-mal-ičk-a
jablíčka	jabl-íčk-a
mandlička	mandl-ičk-a
hrdlička	hrdličk-a
přítelíčka	přítel-íčk-a
hnilička	hnil-ičk-a
polička	polič-k-a
poslíčka	po-sl-íčk-a
ulička	ulič-k-a
žežhulička	žežhul-ičk-a
anička	an-ičk-a
mánička	mán-ičk-a
panička	pan-ičk-a
milostpanička	mil-ost-pan-ičk-a
psaníčka	ps-a-n-íčk-a
jednička	jedn-ičk-a
drchnička	drchničk-a
kůlnička	kůl-n-ičk-a
honička	hon-i-čk-a
koníčka	kon-íčk-a
vůnička	vůn-ičk-a
štiavnička	štiav-n-i-čk-a
šperkovnička	šperk-ovnič-k-a
kapička	kap-ičk-a
špička	špič-k-a
kříčka	kříčk-a
úhlopříčka	úhl-o-příč-k-a
střička	střičk-a
rosička	ros-ičk-a
kapsička	kaps-ičk-a
tetička	tet-ičk-a
cestička	cest-ičk-a
biočistička	bio-čist-ičk-a
kostička	kost-ičk-a
miniflaštička	mini-flaš-t-ičk-a
taštička	tašt-ičk-a
poutička	pout-ičk-a
kytička	kyt-ičk-a
lavička	lavič-k-a
hlavička	hlav-ičk-a
lahvička	lahv-ičk-a
ředkvička	ředkv-ičk-a
človíčka	človíč-k-a
kůžička	kůž-ičk-a
loužička	louž-ičk-a
družička	druž-ičk-a
pobočka	po-boč-k-a
čočka	čoč-k-a
kočka	koč-k-a
skočka	skočk-a
vločka	vločk-a
černoočka	čern-o-oč-k-a
dvouročka	dv-ou-roč-k-a
nástrčka	nástrčk-a
výstrčka	výstrčk-a
vnučka	vnuč-k-a
kloučka	klouč-k-a
vnoučka	vnouč-k-a
vlažňoučká	vlaž-ň-ouč-k-á
bryčka	bryčk-a
prastrýčka	pra-strýč-k-a
pohádka	po-hád-k-a
mládka	mlád-k-a
sladká	slad-k-á
hromádka	hromád-k-a
svědka	s-věd-k-a
kontrarozvědka	kontra-roz-věd-k-a
nabídka	na-bíd-k-a
obhlídka	ob-hlíd-k-a
přehlídka	pře-hlíd-k-a
autopřehlídka	auto-pře-hlíd-k-a
prohlídka	pro-hlíd-k-a
vhlídka	v-hlíd-k-a
vyhlídka	vy-hlíd-k-a
pětitřídka	pět-i-tříd-k-a
povídka	po-víd-k-a
sajdka	sajdk-a
prdka	prdk-a
budka	bud-k-a
kadibudka	kad-i-bud-k-a
infobudka	info-bud-k-a
minihospůdka	mini-hospůd-k-a
objížďka	ob-jížď-k-a
čeka	ček-a
čeká	ček-á
deka	dek-a
zdaleka	z-dal-ek-a
mléka	mlék-a
štreka	štrek-a
řeka	řek-a
téka	ték-a
diskotéka	disk-o-ték-a
filmotéka	film-o-ték-a
kinotéka	kin-o-ték-a
vinotéka	vin-o-ték-a
hypotéka	hypo-ték-a
kartotéka	kart-o-ték-a
pivotéka	piv-o-ték-a
štěká	štěk-á
neštěká	ne-štěk-á
veka	vek-a
člověka	člověk-a
kafka	kafk-a
choreografka	choreo-graf-k-a
ťafka	ťafk-a
pifka	pifk-a
fajfka	fajfk-a
šlajfka	šlajfk-a
křehká	křeh-k-á
flashka	flashk-a
fotovoltaika	fot-o-volta-ik-a
mozaika	mozaik-a
bika	bik-a
slabika	slabik-a
metodika	metod-ik-a
trafika	trafik-a
specifika	speci-fik-a
andragogika	andragogika
logika	log-ik-a
psychika	psych-ik-a
zajíká	za-jík-á
kalika	kalik-a
republika	republik-a
veliká	vel-ik-á
poběhlíka	po-běh-l-ík-a
bazilika	bazilik-a
klika	klik-a
kolika	kolik-a
několika	ně-kolik-a
tolika	tolik-a
plika	plik-a
replika	re-plik-a
mika	mik-a
dynamika	dynam-ik-a
termodynamika	term-o-dynam-ik-a
aerodynamika	aero-dynam-ik-a
keramika	keramik-a
sklokeramika	skl-o-keramik-a
polemika	polem-ik-a
ekonomika	eko-nom-ik-a
nika	nik-a
mechanika	mechan-ik-a
panika	panik-a
zaniká	za-nik-á
rybníka	ryb-n-ík-a
uličníka	ulič-n-ík-a
finančníka	finanč-ník-a
tlumočníka	tlumoč-ník-a
útočníka	útoč-ník-a
zedníka	zed-ník-a
obchodníka	ob-chod-n-ík-a
podniká	pod-nik-á
technika	techn-ik-a
vzduchotechnika	vzduch-o-techn-ik-a
radiotechnika	radi-o-techn-ik-a
audiotechnika	audio-techn-ik-a
zvukotechnika	zvuk-o-techn-ik-a
kinotechnika	kin-o-techn-ik-a
reprotechnika	repro-techn-ik-a
elektrotechnika	elektr-o-techn-ik-a
pyrotechnika	pyro-techn-ik-a
polytechnika	poly-techn-ik-a
klinika	klinik-a
poliklinika	poli-klinik-a
dělníka	děl-n-ík-a
kouzelníka	kouzel-n-ík-a
tajemníka	taj-em-ník-a
soukromníka	sou-krom-ník-a
monika	monik-a
veronika	veronik-a
kronika	kronik-a
proniká	pro-nik-á
biotronika	bio-tron-ik-a
cytoarchitektonika	cyto-archi-tekt-on-ik-a
kočárníka	kočár-ník-a
odborníka	od-bor-n-ík-a
poplatníka	po-plat-ník-a
vlastníka	vlast-n-ík-a
návštěvníka	návštěv-ník-a
pracovníka	prac-ov-ník-a
domovníka	dom-ov-n-ík-a
nevyniká	ne-vy-nik-á
zákazníka	zá-kaz-ník-a
provazníka	pro-vaz-ník-a
řezníka	řez-n-ík-a
vzniká	vz-nik-á
strážníka	stráž-n-ík-a
loupežníka	loup-ež-n-ík-a
píka	pík-a
spika	spik-a
fabrika	fabrik-a
rubrika	rubr-ik-a
amerika	amerik-a
afrika	afrik-a
rétorika	rétor-ik-a
paprika	paprik-a
matrika	matrik-a
intrika	intrik-a
lyrika	lyr-ik-a
říká	řík-á
naříká	na-řík-á
stříká	střík-á
zříká	z-řík-á
sika	sik-a
klasika	klasik-a
matika	matik-a
problematika	problem-at-ik-a
matematika	matem-at-ik-a
pneumatika	pneum-at-ik-a
tatíka	tat-ík-a
etika	et-ik-a
energetika	energ-et-ik-a
elektroenergetika	elektr-o-energ-etik-a
atletika	atlet-ik-a
kosmetika	kosmetik-a
dianetika	dianetika
kybernetika	kyber-net-ik-a
biokybernetika	bio-kyber-net-ik-a
noetika	noet-ik-a
teoretika	teor-et-ik-a
patetika	patet-ik-a
estetika	estet-ik-a
politika	polit-ik-a
kritika	krit-ik-a
autokritika	auto-krit-ik-a
taktika	takt-ik-a
romantika	romant-ik-a
antibiotika	anti-bio-t-ik-a
skeptika	skept-ik-a
optika	opt-ik-a
valvuloplastika	valvul-o-plast-ik-a
gymnastika	gymnast-ik-a
logistika	log-ist-ik-a
cyklistika	cykl-ist-ik-a
germanistika	german-ist-ik-a
charakteristika	charakter-ist-ik-a
kulturistika	kult-ur-ist-ik-a
cykloturistika	cykl-o-tur-ist-ik-a
agroturistika	agro-tur-ist-ik-a
euroturistika	euro-tur-ist-ik-a
statistika	stat-ist-ik-a
diagnostika	dia-gnost-ik-a
štika	štik-a
tlouštíka	tloušt-ík-a
utíká	u-tík-á
kosmonautika	kosm-o-naut-ik-a
nebožtíka	ne-bož-t-ík-a
vika	vik-a
mexika	mexik-a
rizika	rizik-a
muzika	muzik-a
fyzika	fyzi-k-a
metafyzika	meta-fyz-ik-a
makrofyzika	makro-fyz-ik-a
čajka	čajk-a
kajka	kajk-a
lajka	lajk-a
balalajka	balalajk-a
majka	majk-a
sajka	sajk-a
čejka	čejk-a
nejka	nejk-a
krůpějka	krůp-ěj-k-a
strejka	strejk-a
matějka	matěj-k-a
trojka	trojk-a
dvojka	dvojk-a
balka	balk-a
obálka	o-bál-k-a
pučálka	pučálk-a
hálka	hálk-a
sociálka	soci-ál-k-a
králka	král-k-a
morálka	morál-k-a
rusalka	rusal-k-a
válka	válk-a
délka	dél-k-a
zrcadélka	zrc-a-dél-k-a
pondělka	ponděl-k-a
topmodelka	top-model-k-a
vlezprdelka	vlez-prdel-k-a
koudelka	koudel-k-a
jahelka	jahelk-a
kelka	kelk-a
čepelka	čepelk-a
popelka	popel-k-a
tělka	tělk-a
přispěvatelka	při-spěv-a-tel-k-a
ředitelka	řed-i-tel-k-a
živitelka	ži-v-i-tel-k-a
velká	vel-k-á
želka	želk-a
manželka	manžel-k-a
automobilka	automobil-k-a
octomilka	oct-o-mil-k-a
smilka	smilk-a
chvilka	chvil-k-a
manžílka	manžíl-k-a
mejlka	mejl-k-a
holka	hol-k-a
tříkolka	tř-í-kol-k-a
homolka	homol-k-a
šmolka	šmolk-a
žmolka	žmolk-a
tabulka	tabul-k-a
cedulka	cedul-k-a
medulka	medul-k-a
půlka	půl-k-a
sedmapůlka	sedm-a-půl-k-a
odchylka	od-chyl-k-a
brylka	brylk-a
světýlka	svět-ýl-k-a
postýlka	po-stýl-k-a
známka	znám-k-a
poznámka	po-znám-k-a
ramka	ramk-a
bohemka	bohem-ka
podomka	po-dom-k-a
tomka	tomk-a
