státní	A	23562	stát ní	stát n í	
finance	N	7139	financ e	financ e	
konstrukce	N	12575	kon struk ce	kon struk ce	
čárový	A	358	čár ový	čár ov ý	
jasný	A	25289	jas ný	jas n ý	
doba	N	108001	doba	dob a	
natahující	A	31	na tah ující	na tah uj íc í	
vypjatý	A	541	vy pj atý	vy pj at ý	
pravděpodobný	A	4749	pravděpodobný	pravd ě podob n ý	
co	D	354037	co	co	
částečně	D	5747	část ečně	část eč n ě	
ministerstvo	N	15733	minister stvo	minister stv o	
pavel	N	12697	pavel	pavel	
půlka	N	2948	půl ka	půl k a	
jezuita	N	588	jezuita	jezuit a	
sleva	N	2755	s lev a	s lev a	
amsterodam	N	662	amsterodam	amsterodam	
hospodářský	A	7307	hospod ářský	hospod ář sk ý	
ohlávka	N	86	o hláv ka	o hláv k a	
vyplavování	N	37	vy plav ování	vy plav ov án í	
sara	N	1245	sara	sara	
decibel	N	164	decibel	deci bel	
přístroj	N	8815	pří stroj	pří stroj	
transport	N	1736	transport	transport	
léčba	N	7698	léč ba	léč b a	
motor	N	11065	motor	motor	
vykonávání	N	235	vy kon ávání	vy kon áv án í	
přírodně	D	123	přírodně	pří rod n ě	
inkontinentní	A	35	inkontinentní	in kontinent n í	
kamení	N	928	kamen í	kamen í	
relativně	D	5161	relat ivně	relat ivn ě	
firma	N	49113	firma	firm a	
uršula	N	238	uršula	uršul a	
důraz	N	3912	důraz	dů raz	
také	D	148948	také	také	
kluk	N	16304	kluk	kluk	
kolo	N	23621	kol o	kol o	
opravdu	D	32919	o prav du	o prav du	
kontinent	N	2573	kontinent	kontinent	
obléhání	N	286	ob léh ání	ob léh án í	
četa	N	1059	čet a	čet a	
paragraf	N	700	paragraf	paragraf	
šířka	N	3349	šíř ka	šíř k a	
annie	N	384	annie	annie	
choroba	N	5182	chor oba	chor ob a	
fond	N	9893	fond	fond	
stranou	D	4618	stran ou	stran ou	
kroužek	N	2886	krouž ek	krouž ek	
projekce	N	1391	projekce	projekce	
demonstrující	A	89	demonstr ující	demonstr ujíc í	???
akrylový	A	112	akrylový	akryl ov ý	
james	N	3541	james	james	
zdravotnický	A	4467	zdrav otnický	zdrav otnick ý	???
například	D	78063	například	na pří klad	
rudý	A	5708	rud ý	rud ý	
každý	A	110608	každý	každ ý	
hodnota	N	29681	hod nota	hod not a	
hospodářství	N	3208	hospod ářství	hospod ář ství	
přesvědčení	N	3844	pře svěd čení	pře svěd čen í	
olomouc	N	6364	olomouc	olomouc	
špatný	A	30447	špatný	špatn ý	
plánovaný	A	3301	plán ovaný	plán ovaný	
zvíře	N	18593	zvíř e	zvíř e	
colin	N	283	colin	colin	
nově	D	9921	nov ě	nov ě	
vzdělávání	N	6615	vz děl ávání	vz děl áv án í	
dřívko	N	124	dřív ko	dřív k o	
pohyb	N	19895	po hyb	po hyb	
pravda	N	32276	prav da	prav da	
balíček	N	3604	balíček	bal íček	
británie	N	4995	británie	británie	
zub	N	10342	zub	zub	
těžký	A	26335	těž ký	těž k ý	
jednota	N	2820	jednota	jedn ot a	
výrazný	A	12218	vý raz ný	vý raz n ý	
den	N	111733	den	den	
sváteční	A	1228	svát eční	svát eč n í	
kompetence	N	2427	kompetence	kompetenc e	
posprejovaný	A	17	po sprej ovaný	po sprej ov an ý	
znova	D	2396	znova	znova	
použití	N	10432	pou ži tí	po u ži tí	
proces	N	22476	proces	proces	
přehlídka	N	2827	přehlídka	pře hlíd k a	
metafyzický	A	386	metafyzický	meta fyzick ý	
křest	N	844	křest	křest	
lehký	A	10400	lehký	lehk ý	
píchnutý	A	12	pích nutý	pích nut ý	
rodina	N	38284	rod ina	rod in a	
hvězda	N	17013	hvězd a	hvězd a	
škola	N	50466	škol a	škol a	
prázdniny	N	3845	prázdn iny	prázdn iny	
kořalka	N	634	kořalka	kořalka	???
moderní	A	17845	mod erní	mod ern í	
klausův	A	388	klausův	klaus ův	
stanný	A	93	stanný	stan n ý	
určitě	D	26209	urč itě	urč it ě	
dobytí	N	356	do by tí	do by tí	
vyžle	N	135	vyžle	vyžle	
právě	D	68148	právě	práv ě	
bohyně	N	1903	boh yně	boh yně	
téma	N	18307	téma	téma	
čaroděj	N	682	čaroděj	čar o děj	
žárlivost	N	906	žárlivost	žárl iv ost	
dobrý	A	116276	dobr ý	dobr ý	
strašný	A	3663	straš ný	straš n ý	
převážně	D	4946	pře váž ně	pře váž n ě	
postupně	D	15837	postupně	po stup n ě	
odpověď	N	16133	odpo věď	od po věď	
obvyklý	A	9134	obvyklý	ob vyk l ý	
špinavý	A	3919	špin avý	špin av ý	
financování	N	3494	financ ování	financ ová n í	
flexibilita	N	619	flexibilita	flexibilit a	
letos	D	18902	let os	let os	
klimatický	A	1957	klim atický	klim atick ý	
nainstalovat	V	1092	nain stal ovat	na in stal ova t	
georgeův	A	101	georgeův	george ův	
zdaleka	D	4868	zdaleka	z dal ek a	
trestný	A	4761	trest ný	trest n ý	
cestovní	A	3892	cest ovní	cest ov n í	
obtížně	D	2018	ob tíž ně	ob tíž n ě	
šakal	N	162	šakal	šakal	
server	N	5245	server	server	
kouč	N	5822	kouč	kouč	
oběť	N	9239	oběť	oběť	
zabalený	A	1200	za bal ený	za bal ený	
valný	A	2114	val ný	val n ý	
sídlo	N	5610	sídl o	sídl o	
borovice	N	1197	borovice	bor ov ic e	
instalace	N	3880	in stal ace	in stal ace	
zralý	A	2069	zra lý	zra l ý	
přesný	A	9226	přesn ý	přesn ý	
parametr	N	6322	parametr	parametr	
amanda	N	703	amanda	amanda	
akcionář	N	1388	akcionář	akcion ář	
zítra	D	7712	zítra	zítra	
region	N	8709	region	region	
rovina	N	5337	rovin a	rovin a	
uživatel	N	11206	u ži vatel	u ži vatel	
budoucnost	N	12019	bud oucnost	bud oucn ost	
vděčnost	N	792	vděčnost	vděč n ost	
úmysl	N	4112	ú mysl	ú mysl	
film	N	32921	film	film	
žena	N	75329	žen a	žen a	
supernova	N	386	supernova	super nova	
různý	A	48517	různ ý	různ ý	
jitka	N	1881	jitka	jitka	
personální	A	1882	personální	person ál n í	
zcela	D	31469	zcela	z cel a	
rostlina	N	12622	rost lina	rost lin a	
omrzlina	N	142	omrzlina	o mrz lin a	
dar	N	4748	dar	dar	
centro	N	1006	centro	centro	
povinný	A	5673	povinný	po vin n ý	
mocný	A	4241	moc ný	moc ný	
trojvodičový	A	12	trojvodičový	troj vod ič ov ý	
spokojený	A	9117	s pokoj ený	s pokoj en ý	
užitek	N	1296	u ži tek	u ži tek	
svědek	N	5949	svěd ek	svěd ek	
generace	N	11462	gener ace	gener ace	
čelo	N	13867	čel o	čel o	
svítilna	N	562	svít ilna	svít iln a	
kanál	N	5110	kanál	kanál	
stravitelný	A	376	s trav itelný	s trav iteln ý	
při	A	154127	při	při	
přípona	N	262	pří pon a	pří pon a	
všude	D	11343	všude	všude	
flámující	A	2	flámující	flám uj íc í	
případ	N	72894	pří pad	pří pad	
srdce	N	21512	srdc e	srdc e	
chodba	N	9613	chod ba	chod ba	
spodní	A	6687	spodní	spod n í	
století	N	31278	století	sto let í	
objev	N	3990	ob jev	ob jev	
představa	N	16721	před sta va	před sta v a	
podle	D	117933	podle	po dle	
maličkost	N	1435	mal ičkost	mal ičk ost	
otevřeně	D	1976	ote vř eně	ote vř en ě	
následující	A	13689	ná sled ující	ná sled uj íc í	
páření	N	361	páření	pář en í	
důležitý	A	40918	dů lež itý	dů lež it ý	
grotius	N	19	grotius	grotius	
alespoň	D	19547	alespoň	alespoň	
češka	N	768	češka	češka	???
trh	N	27515	trh	trh	
náročný	A	11182	ná roč ný	ná roč n ý	
keltský	A	586	keltský	kelt sk ý	
krev	N	17465	krev	krev	
ulice	N	29884	ulic e	ulic e	
rakouský	A	4361	rakouský	rakousk ý	
příští	A	16941	příští	příští	
setí	N	148	se tí	se tí	
přechodně	D	230	pře chod ně	pře chod n ě	
položka	N	4026	po lož ka	po lož ka	
prakticky	D	9399	prakticky	praktick y	
nádoba	N	3894	nádoba	nádoba	???
předtím	D	14553	předtím	před tím	
kinematografie	N	704	kinematografie	kinemat o graf ie	
dopředu	D	5378	dopředu	do před u	
dvojče	N	2145	dvojče	dvoj če	
lavička	N	3846	lavička	lavič ka	
povolaný	A	349	po vol aný	po vol an ý	
matoušův	A	96	matoušův	matouš ův	
metodologie	N	337	metodologie	metod o log ie	
spleť	N	377	spleť	spleť	
telefon	N	18107	telefon	telefon	
kostrbatý	A	144	kostrbatý	kostrbat ý	
krvavý	A	2485	krv avý	krv av ý	
výraz	N	13538	vý raz	vý raz	
řadicí	A	218	řad icí	řad ic í	
tip	N	4553	tip	tip	
cyklus	N	4830	cykl us	cykl us	
od	A	250181	od	od	???
země	N	77054	zem ě	zem ě	
dějiny	N	9230	dě jiny	dě jiny	
výpočetní	A	824	výpo čet ní	vý po čet n í	
záchod	N	2977	zá chod	zá chod	
protein	N	2253	protein	protein	
útočiště	N	1359	útočiště	ú toč išt ě	
vztek	N	3376	vz tek	vz tek	
zkvalitňovat	V	75	zkvalitňovat	z kvalit ň ova t	
lze	V	54875	lze	lze	
realizace	N	6099	real izace	real izace	???
sportovní	A	10591	sport ovní	sport ovn í	
podobný	A	30334	podobný	podob n ý	
světlo	D	28097	světlo	světl o	
mráz	N	3711	mráz	mráz	
krylová	N	5	krylová	kryl ov á	
kubcová	N	34	kubcová	kubc ov á	
pageův	A	8	pageův	page ův	
nahlásit	V	992	na hlás it	na hlás it	
dělený	A	370	děl ený	děl en ý	
zelený	A	16286	zelen ý	zelen ý	
bod	N	26914	bod	bod	
rodák	N	1603	rod ák	rod ák	
jakoby	D	5152	jakoby	jakoby	
oblékaný	A	62	ob lék aný	ob lék an ý	
tady	D	55329	tady	tady	
anglicky	D	2223	angl icky	angl ick y	
hrbolkatý	A	13	hrbolkatý	hrbol kat ý	
slavia	N	4255	slavia	slavia	
tamhle	D	912	tamhle	tam hle	
kralování	N	43	kral ování	kral ování	
vlastně	D	33329	vlast ně	vlast n ě	
opakování	N	1562	opakování	opakování	
častý	A	7858	častý	čast ý	
okamžik	N	19596	okamžik	okamžik	
echokardiografický	A	19	echokardiografický	echo kardio graf ick ý	
skutečný	A	16737	skuteč ný	skuteč n ý	
tajuplný	A	465	tajuplný	taju pln ý	
dlouho	D	36156	dlouho	dlouh o	
neznabůh	N	6	neznabůh	nezna bůh	
nálada	N	7332	ná lad a	ná lad a	
kapsa	N	8702	kaps a	kaps a	
menšina	N	1727	menšina	menš in a	
čas	N	75885	čas	čas	
dobře	D	83914	dobř e	dobř e	
týden	N	36575	týden	týden	
puberta	N	984	puberta	puberta	
vajnar	N	21	vajnar	vajnar	
veselý	A	5129	vesel ý	vesel ý	
budvar	N	233	budvar	budvar	
sankce	N	2151	sankce	sankce	
makromolekula	N	65	makromolekula	makro molekula	
byt	N	22926	by t	by t	???
švec	N	606	š vec	š vec	
odvětví	N	2640	odvětví	od větv í	
zločinec	N	1891	zločinec	zlo čin ec	
podlahový	A	1241	podlahový	podlah ov ý	
již	D	60736	již	již	
snadný	A	10045	snadný	snadn ý	
olympiáda	N	2865	olympiáda	olympiáda	
maraton	N	856	maraton	maraton	
stupnice	N	851	stup nice	stup n ice	
široký	A	18760	šir oký	šir ok ý	
hlína	N	3324	hlín a	hlín a	
policie	N	18716	policie	policie	
tam	D	112972	tam	tam	
využívání	N	2449	vyu ží vání	vyu ží v án í	
vývoj	N	20633	vý voj	vý voj	
žid	N	5179	žid	žid	
nejen	D	32480	nejen	ne jen	
štíhlý	A	3230	štíhlý	štíhl ý	
čtverec	N	1637	čtver ec	čtver ec	
potravina	N	6928	po trav ina	po trav ina	
vítězství	N	8640	vítěz ství	vítěz ství	
připojení	N	3816	při poj ení	při poj en í	
projektant	N	1024	pro jekt ant	pro jekt ant	
zábava	N	5750	zá bav a	zá bav a	
jen	N	228725	jen	jen	
děvče	N	4385	děv če	děv če	
zatáčka	N	2429	za táč ka	za táč ka	
palyza	N	20	palyza	palyza	
android	N	2360	android	android	
strana	N	81060	stran a	stran a	
auto	N	35836	auto	auto	
chladnokrevně	D	195	chladnokrevně	chladn o krev n ě	
schod	N	8476	s chod	s chod	
tehdejší	A	6855	tehdejší	tehd ejší	
tuberkulóza	N	405	tuberkulóza	tuberkulóza	
oltář	N	1988	oltář	oltář	
zaklesnutý	A	96	za kles nutý	za kles nut ý	
první	A	121486	první	prv n í	
trochu	D	40716	trochu	troch u	
ivana	N	1464	ivana	ivana	
jednou	D	38808	jednou	jedn ou	
důchodový	A	1430	dů chod ový	dů chod ov ý	
útlak	N	378	ú tlak	ú tlak	
informační	A	6800	in form ační	in form ač n í	
hromádka	N	1372	hromád ka	hromád ka	
svatební	A	2327	svatební	svateb n í	
smrtka	N	139	s mr tka	s mr tka	
ústí	N	3829	úst í	úst í	
neuróza	N	230	neuróz a	neuróz a	
projekt	N	36406	pro jekt	pro jekt	
jean	N	2102	jean	jean	
polámaný	A	298	po lám aný	po lám an ý	
videonahrávka	N	99	videonahrávka	video na hrá v ka	
návrat	N	9497	ná vrat	ná vrat	
ústupek	N	455	ú stup ek	ú stup ek	
prohlídka	N	4724	pro hlíd ka	pro hlíd ka	
poskytování	N	1815	po skyt ování	po skyt ová n í	
náhle	D	9535	náhle	náhl e	
sem	D	21525	sem	sem	
situace	N	40242	situace	situace	
tomo	N	387	tomo	tomo	
odmalička	D	541	odmalička	od mal ičk a	
nad	A	70444	nad	nad	
oslňování	N	8	oslňování	o slň ová n í	
eva	N	7262	eva	eva	
pravidelný	A	8134	prav idelný	prav idel n ý	
obnova	N	3449	ob nov a	ob nov a	
forman	N	589	forman	forman	
prodloužený	A	966	pro dlouž ený	pro dlouž en ý	
památka	N	6541	památ ka	památ ka	
vyjádření	N	3845	vy jádř ení	vy jádř en í	
dcera	N	16047	dcera	dcera	
trať	N	6876	trať	trať	
velkopavlovický	A	49	velkopavlovický	velk o pavl ov ick ý	
hana	N	3980	han a	han a	
zranění	N	5816	z ran ění	z ran ění	
stať	N	648	stať	stať	
izolovanost	N	95	izol ovanost	izol ov an ost	
stanice	N	11407	sta nice	sta nice	
pár	N	42770	pár	pár	
mladý	A	48963	mlad ý	mlad ý	
regulace	N	2953	regul ace	regul ace	
překlad	N	3903	překlad	pře klad	
hodina	N	56881	hodina	hodina	
parkoviště	N	3325	park oviště	park ov iště	
už	D	286827	už	už	
možná	D	52203	mož ná	mož ná	
březový	A	304	březový	břez ov ý	
čtenář	N	9289	čt enář	čt en ář	
zásadní	A	9531	zá sad ní	zá sad ní	
karafiát	N	201	karafiát	karafiát	
park	N	11525	park	park	
model	N	21299	model	model	
kamera	N	6427	kamera	kamera	
list	N	15911	list	list	
formát	N	4193	form át	form át	
klasický	A	12255	klasic ký	klasic ký	
projekta	N	508	projekta	projekta	
přesně	D	27638	přesn ě	přesn ě	
jistý	A	31247	jist ý	jist ý	
kuchyně	N	14783	kuchyně	kuchyn ě	
ztrátový	A	498	z trát ový	z trát ov ý	
pospíšil	N	1353	pospíšil	po spíš il	
protivník	N	1995	protivník	protiv n ík	
vlas	N	21662	vlas	vlas	
obratel	N	446	ob rat el	ob rat el	
edina	N	56	edina	edina	
člen	N	23389	člen	člen	
zainteresovaný	A	450	zainteresovaný	za interes ova n ý	
vysvětlení	N	4826	vy svět lení	vy svět lení	???
střelec	N	2968	střel ec	střel ec	
husa	N	1406	husa	husa	
pod	A	81133	pod	pod	
nahození	N	36	na hoz ení	na hoz en í	
parth	N	23	parth	parth	
zastoupení	N	2092	za stoup ení	za stoup en í	
předpoklad	N	7318	předpoklad	před po klad	
informace	N	32455	in form ace	in form ace	
podvodní	A	234	podvodní	pod vod n í	
středa	N	5250	střed a	střed a	
letitý	A	799	let itý	let it ý	
rozházený	A	393	roz ház ený	roz ház en ý	
vašík	N	57	vašík	vašík	
pověstný	A	1065	po věs tný	po věs tn ý	???
sympatizující	A	59	sympatizující	sympat iz uj íc í	
zapuštěný	A	458	za pušt ěný	za pušt ěný	
elliott	N	674	elliott	elliott	
bývalý	A	19382	bý valý	bý val ý	
pro	A	378730	pro	pro	
jistota	N	7735	jist ota	jist ota	
vrata	N	2150	vrata	vrat a	
milostivý	A	321	mil ostivý	mil ost iv ý	
vododržnost	N	9	vododržnost	vod o drž n ost	
adam	N	4700	adam	adam	
díl	N	8611	díl	díl	
kostra	N	1710	kost ra	kost ra	
tričko	N	3216	tričko	tričko	
skoro	D	22441	skoro	skoro	
posluchač	N	2649	po sluch ač	po sluch ač	
program	N	33630	pro gram	pro gram	
kráva	N	3283	kráva	kráv a	
zaoceánský	A	181	zaoceánský	za oceán sk ý	
moskva	N	3842	moskva	moskva	
filmový	A	8159	film ový	film ov ý	
bomba	N	2787	bomb a	bomb a	
produkt	N	11648	pro duk t	pro duk t	
koruna	N	45888	koruna	korun a	
tentokrát	D	13198	tentokrát	tento krát	
pestrý	A	2932	pestrý	pestr ý	
pojetí	N	4531	po j etí	po j et í	???
povrch	N	14372	po vrch	po vrch	
klient	N	12445	klient	klient	
sestra	N	16909	sestra	sestr a	
boj	N	14566	boj	boj	
další	A	145796	další	další	
host	N	14538	host	host	
faja	N	12	faja	faja	??? slovensky?
japonský	A	4381	japonský	japon sk ý	
tužka	N	2477	tužka	tuž ka	
klid	N	12256	klid	klid	
vržený	A	147	vrž ený	vrž en ý	
oběžný	A	680	o běž ný	o běž n ý	
blonďatý	A	720	blonďatý	blonď at ý	
pozdě	D	41204	pozd ě	pozd ě	
vlastní	A	59617	vlast ní	vlast n í	
slepenec	N	294	s lep enec	s lep en ec	
garde	N	140	garde	garde	
systém	N	58225	systém	systém	
ipad	N	1478	ipad	ipad	
gilotina	N	151	gilotina	gilotina	
meč	N	3101	meč	meč	
automatický	A	3622	auto mat ický	auto mat ick ý	
jak	N	287988	jak	jak	
kotas	N	43	kotas	kotas	
vynášení	N	126	vy náš ení	vy náš en í	
prach	N	6778	prach	prach	
koncertní	A	1068	koncertní	koncert n í	
venkov	N	3394	ven kov	ven k ov	
pomalu	D	17568	pomalu	po mal u	
vzdělání	N	6115	vz děl ání	vz děl án í	
dítě	N	104862	dít ě	dít ě	
gaula	N	9	gaula	gaula	
afrika	N	6159	afrika	afrika	
nebezpečí	N	6564	nebezpečí	ne bezp eč í	
zájemce	N	5528	zá jem ce	zá jem ce	
funkce	N	24695	funkc e	funkc e	
obrázek	N	11925	ob ráz ek	ob ráz ek	
charakter	N	7705	charakter	charakter	
hnědý	A	6363	hněd ý	hněd ý	
rozšířený	A	3980	roz šíř ený	roz šíř en ý	
malý	N	95647	mal ý	mal ý	
pohlaví	N	3496	po hlav í	po hlav í	
muzeum	N	12080	muzeum	muzeum	
halina	N	333	halina	halina	
šála	N	841	šála	šál a	
souhlasný	A	608	souhlasný	sou hlas n ý	
služba	N	31914	služ ba	služ ba	
letní	A	8977	let ní	let ní	
opovážlivý	A	52	opo váž livý	o po váž liv ý	
dlouhodobě	D	4662	dlouhodobě	dlouh o dob ě	
důvod	N	33091	dů vod	dů vod	
nacistický	A	1782	nac istický	nac ist ick ý	
tu	D	67076	tu	tu	
evropa	N	24114	evrop a	evrop a	
český	A	102231	čes ký	čes k ý	
dýchatelný	A	90	dých atelný	dých ateln ý	
obrazovka	N	5751	ob raz ovka	ob raz ov ka	
světelný	A	4021	svět elný	svět eln ý	
svažitý	A	264	s važ itý	s važ it ý	
evropský	A	31600	evrop ský	evrop sk ý	
pouliční	A	1603	po ulič ní	po ulič ní	
odolný	A	3048	odolný	odol n ý	
výrobce	N	12125	vý rob ce	vý rob ce	
rozhodnutí	N	14754	rozhodnutí	roz hodn ut í	???
editorský	A	40	edit orský	edit or sk ý	
aspoň	D	14165	aspoň	aspoň	
technika	N	11643	techn ika	techn ika	
proč	D	56936	proč	proč	
