objektivovávat	objektiv, objektivizovat
seštudovat	studovat, sestudovat, študovat
defibrinovat	fibrin
vyfórovat	fór
štandrlovat	štandrle
diabolisovat	diabolický
dobělovat	dobílit
skrečovat	skreč
poloautomatizovat	automatizovat, poloautomatický
zkérovat	kára
seberegulovat	regulovat
beatifikovat	beatifikace
uvozovat	uvodit
manažovat	man
emfyteutovat	emfyteutický
vyglancovat	vyglančit
korepetovat	repetovat
rozvívat	rozvít, vívat, zvát, rozvát, zvít, zívat, vědět
zboulovat	boule, boulit
glajchšaltizovat	glajchšaltizace
rozpakovat	pakovat, pokovat, zpakovat
pneumatizovat	pneumatický, pneumatika, pneuma
autografovat	autografie, autograf, autogram
autopodávat	podávat
multiscannovat	multiscan, scannovat
prorajbovat	rajtovat
frizírovat	frizér, frizúra
antedatovat	datovat
košťátkovat	košťátko
flankovat	flanc
uplvat	plát
koincidovat	indikovat
vyfantasovat	fantasy, fantasie, fantazie, fantastický
okolkovat	kolkovat, okolek, kolek
dezinsektovat	dezinsekce
vyslipovat	vyslípnout, plisovat
denotovat	notovat, nota
znovuzbudovat	znovubudovat
zvopakovat	opakovat, pokovat, zopakovat, vopakovat
ostrakizovat	ostra, ostrakizmus
pančovat	pan
předslovovat	slovovat, slevovat
haltovat	halda
ofáčovat	ofačovat
šimfovat	fingovat
rýžovat	rýže
spočívat	počít, spořívat
vinčovat	vinč
lačnívat	lačnět, lačnit
sněmovat	sněm, sejmout
tranšírovat	tranše
spelovat	plovat
polomechanizovat	polomechanický
bantovat	ban
denitrovat	denitrace
vokazovat	vokázat
vykvitýrovat	vykviknout
domnívat	domnít
polotónovat	polotón
umálovat	malovat, málo
propučovat	pučovat
slajdovat	slajd
vkulovat	vkoulet, koulovat, oklovat, kulovat, pokoulet
protiblokovat	protiblok
samoparkovat	parkovat
stenografovat	stenografie, stenograf
litografovat	litografie, litograf
punktovat	punkt, pant
konotovat	notovat
aranžírovat	aranžér, aranžovat
kolabovat	kolba, kolovat
vyhudovat	vyhodit, hodovat
sebepopisovat	sebepopis
flipovat	flip
enkryptovat	enkryptace
tmívat	tmít, tmět
prorogovat	logovat
blokovat	blok, blokový, bloknout
riffovat	rif, riff, rift
revolucionovat	revoluční, revoluce, revolucionizmus
tabelovat	tabela
samofinancovat	financovat
eruptovat	erupce
moderovat	mód, mod, móda, módní
pašovat	paš, paša, pach, šat
fabulizovat	fabule
kanelovat	kanela, kenel
bulvarizovat	bulvár, bulvární
swapovat	swap
pakovat	pak, pokovat, pako, kovat
pokostovat	pokost
rektifikovat	rektifikace
diktovat	dikce, diktovaný, dikční
specifikovat	specifika, specifikum
tremolovat	tremolit
zalikovat	lakovat, zalíknout
direktovat	direkt, direkce, direktor
postponovat	spon
plagovat	plagát, plak, plakát
šmelcovat	šmelc
kandýrovat	kandýrovaný
vyšpánovat	špán
filerizovat	fil
znovunastartovat	znovu
fixírovat	fix, fixa, fixovat
letovat	let, létat, léto, léta, letovaný
statovat	status, stať, statický, stát, datovat
stripovat	strip
inokulovat	inokulum
kvazitestovat	kvazi
interagovat	tagovat, interagovaný, agovat
štrikovat	štreka
nobilizovat	nobilizace
karbovat	arba
matchovat	matka, matný
prolongovat	prolongace
polírovat	pól
christianizovat	christianizace
nakárovat	čárovat
flitrovat	flitr
trapovat	trap, trapný
vlomovat	vlomit, vlom
fotoionizovat	foto
volizovat	volízat, olízat
pajcovat	pajc
laškovat	laškovaný
certifikovat	certifikace, certifikát
travestovat	travestovaný
hydroizolovat	izolovat
falzifikovat	falsifikovat, falzifikace
rumplovat	rumpla
slalomovat	slalom
referencovat	reference, referent, referenční, referovat
šmírovat	šmíra, šmír, šmírový, šmírovaný
koštovat	košt, koštovaný
multiprogramovat	multiprogram, programovat
poštívat	štět, štít, štvát
trejdovat	trejd
slamovat	slam
glajchovat	glajcha
gravírovat	gravidní
ztrustovat	trust
póvlizovat	póvl
pasivovat	pasivum, pasivní
instalovat	instalace
flektovat	flexe
kaučovat	kauce
drajvovat	drajv
samoregulovat	regulovat
troštovat	trocha
utentovat	tetovat, meta
kastrovat	kasta
rukovat	ruka, rok, rokovat
fatovat	fata
kontovat	kontrovat, konto
bosovat	bos
administrovat	administrace, administrovaný
spolurežírovat	spolurežie
galvanovat	galvanizmus, galvanismus, galvanický
squatovat	squat
kalcifikovat	kalcifikace
pěstovat	pěstit, pěst
fortifikovat	fortifikace
interesterifikovat	esterifikovat
transferovat	transfer, franský
praktikovat	praktikum, praktika, praktický
backtestovat	back
drancovat	dranc
bajlovat	bajle
stackovat	stack
extrapolovat	extrapolovaný, plovat
skartovat	kartovat
narichtovat	recht
tupovat	tupnout, tnout
pacifikovat	pacifický, pacifik
pilírovat	pila
pastorovat	pastor, pasta, paster
citovat	cit, cítit
bookovat	book
integrovat	integer
znovunastudovat	znovu
sfalšovat	falšovat
mutovat	mutný, mnout
interferovat	referovat
šporovat	spora
nitrifikovat	nitrifikace
faksimilovat	faksimile, faksimilie, faksimilní, faksimilový
bonifikovat	bon
raportovat	raport
šlakovat	šlak, šlaka
transplantovat	transplantace
pucovat	pouk, poučit, puc
falírovat	falický
konverzovat	konverze, konverzní
starosvat	starost, star
optovat	op, výt
rolovat	role, rolo
spolukomentovat	spolukomentovaný
častovat	častit, často, častý
ženovat	ženit, žena
letimovat	letimovaný
pasovat	pas, paso, pás, pást
ministrovat	ministr
zívat	zavát, zvít, zavít, znít, zřít, zvát
invergovat	inervace
parírovat	par
bonzovat	bonský
komentovat	komentovaný, koma
čórovat	čór
koncesovat	koncese
rokovat	rok, kovat
diletovat	letovat
lomcovat	lom
kašírovat	kaše, kašér, kasírovat
masterovat	mast, masa
filírovat	filip, fil
menovat	menáda
kapírovat	kapie
devalvovat	revalvovat
plynofikovat	plyn
suplovat	plovat, sup
kesonovat	keson
balancovat	balanc, balanční
buntovat	bunda
fotografovat	fotografie, fotograf
presumpovat	presumovat
intimovat	intimita
celovat	celý, cela, celovaný
traverzovat	traverz, traverza, travers
budovat	bouda
determinovat	terminovat
blamovat	blamovaný
piklovat	klovat, pikl, pikle, piklit
blufovat	bluf
diferenciovat	diference
rmutovat	rmut, rmoutit, rmutný
mixovat	mix
temovat	team, temno
pošírovat	sírovat
rajtovat	art
potentovat	potence
tagovat	tag
rekurovat	rekurence, rekurs
iplovat	plovat
spamovat	spam, psamit
hněvat	hnít, hnát, hněv
studovat	stud, dout, studium, studovaný
spolumoderovat	spolumoderovaný
backupovat	backup
protežovat	protežovaný
fundirovat	fundovat
interpolovat	interpol, polovat, interpolovaný
fruktifikovat	fruktifikace
apelovat	apelovaný, apel
fixlovat	fix
prematurovat	maturovat
spolušéfovat	spolušéf
erudovat	erudovaný
rotovat	rota, notovat
orchestrovat	orchestr
katalyzovat	katalýza, katalyzovaný
bikovat	bika, bio, kovat
rulovat	rula
hoblovat	hobl
spoluformovat	formovat
imatrikulovat	imatrikulace
rafinovat	afinovat
vinšovat	vinš
reverzovat	reverz, reverze, reverzní
fonovat	fón, fén, fénovat, fonický
mastrovat	mast, mastný
fintovat	finta, fintit
deklarovat	dekl
parádovat	paráda, pára, par, para
purifikovat	purifikace
transmutovat	mutovat
liberovat	libero
fasovat	fasit
dominovat	minovat, nominovat
dabovat	dabovaný
indosovat	indosace
fušovat	fusovat
tarifikovat	tarifní, tarif, tarifovat
ženýrovat	ženný
cedovat	cer
partykovat	partyka
fibrilovat	fibrila
táflovat	táfle
lapovat	lapa, lapat, lapit, lapnout, lapovna, lapka
intarzovat	intarzit
kandirovat	kandovat
vertikutovat	vertikutovaný
malovat	malý, malovaný
emitovat	emo
decimovat	decimovaný
sanovat	saně
hantýrovat	hantýrovaný
matricovat	matrika, matrice, matriční
indignovat	indignace
plizovat	plovat
meliorovat	melír
komasovat	koma, časovat
organizovat	organizmus, organisovat, organický
kapricírovat	kaprice
levitovat	levice, levitovaný, levita
streamovat	stream
hecovat	hec, chovný, chovat
šofírovat	šofér, šoférovat
kvitovat	kvit
majorizovat	majorizmus, major, majorita
plédovat	plést, plédovaný, pléd
inventovat	invence, intence
pikovat	pika, piko, píka, pik, pikový, kovat
afinovat	afinní
nominovat	nominální
orientovat	orientovaný, orient
internovat	internace, interna, interní, intence
pasírovat	pasé, sírovat, pást
rezonovat	resonovat, rezonance
relativovat	relace, relativní, relativizmus, relativum, relativita
vydruhovat	druh
promulgovat	promulgace
šalovat	šálit, šál, šála, šálový
vegetovat	veget, vegeta, tetovat
presumovat	sumovat, prus
abonovat	bonovat
šisovat	fis
fritovat	frita
legovat	legát
tetovat	teta
suponovat	sup
štupovat	štěpovat, štěp, štupovaný, tupovat
likvidovat	likvidní
interpretovat	interpret, interpretovaný
dekovat	deka, deko, kovat
buchcovat	buchtovat, buchnout, buchta
temperovat	tempera, tempo
vymiškovat	myškovat, vymyškovat
štymovat	štymovaný
demonstrovat	mor
operovat	opera
maleinovat	malý
sintrovat	sintr
dekantovat	dekantace
embosovat	bosovat
rusifikovat	rus
nekrotizovat	nekrotický, nekróza
eklovat	klovat
kontrovat	kontr
refundovat	fundovat
proklamovat	proklamace
investigovat	investigace
čarovat	čmárat, čmára, čára
spoluprodukovat	produkovat
eskontovat	eskont
puncovat	punc, punk, punč
klovat	klovnout
transportovat	transport, portovat
oponovat	opona
generovat	generický, gen
šmajchlovat	šmajchl
šrafovat	šrafa, šrafovaný
interpelovat	interpolovat
aranžovat	aranž
proponovat	propnout
frotovat	froté
barytovat	baryt
brozovat	brodit
ilustrovat	lustrovat
věrovat	víra, věrovaný
pitvat	pnout, pit, ptát
serfovat	fes, fet
fermentovat	ferment, fermentovaný
cupovat	cepovat, coup, cop
revanšovat	revanš
exponovat	exon
drezurovat	drezura
trénovat	trén
vyexovat	ex, exitovat
facilitovat	facilita
izolovat	isolovat
čekovat	čeka, četka, četovat
sumovat	soma, suma, sumovaný, um, dom
abandovat	abandovaný
hodovat	hod, hodit
hydratovat	hydrát
chovat	chovný, chov, chodit, chod
polovat	polo, pól
planýrovat	plán
egalizovat	egální, egal
videotelefonovat	videotelefon, telefonovat
subdukovat	subdukce
retinovat	retina
plavat	platit, plavit, plat, plakat, plácat
prostituovat	prostituce, prostitut
justovat	just
konsolidovat	konzolidovat, konsul
epilovat	pilovat
embargovat	barma
štafírovat	falírovat, štafíř, fašírovat
habilitovat	habilitovaný
perlustrovat	lustrovat, perlustrovaný
markýrovat	markýrovaný
lamentovat	lamento
šanovat	sanovat
variovat	var, vara
pečovat	pečený, péct
regestovat	regest
parkesovat	park
huntovat	hunt
signifikovat	signifikace
prezentovat	prezent, presentovat
šibovat	šíbovat
sortýrovat	sorta
festovírovat	fest
exaltovat	exaltace
extendovat	tendovat, extent
korodovat	koroze
fabrikovat	fabrika, fabrický, fabrikát
citýrovat	titrovat, citýrovaný
boxlovat	box, boxl, bok
plastinovat	plast, plastinát
forzírovat	forsírovat
devastovat	pastovat, devastace
delegovat	legovat, delegovaný
konzultovat	konzultace, konzul
rezervovat	rezerva, rezervní
kontinuovat	kontinuum
infikovat	infixovat
preferovat	referovat
flejmovat	flám
emanovat	man, eman, mana
tagtrojmovat	tagtrojm
restringovat	string
cirkulovat	cirkulovací, cirkulovaný
informovat	formovat
medikovat	medik, medický
koncentrovat	koncentrace
vandrovat	vandr, vandrovaný, van
postulovat	toulat
matrovat	matrace
sanitovat	sanita
eradikovat	radikovat
regulírovat	lura, regule
šarovat	šarm
panašovat	pan
konfiskovat	fonský
komutovat	mutovat, komutovaný
mávat	mávnout, mat, mývat
definovat	fenovat
radýrovat	radar, rada
excelovat	celek, excel
termokopírovat	kopírovat
transformovat	formovat
auskultovat	auskultace
uzurpovat	usurpovat
sorbovat	sorbec
vibrovat	vibrace
ažurovat	ažura
mašírovat	masírovat
pěchovat	pěch, pěší, pěchovaný
konferovat	fenovat
absorbovat	sorbovat
šrotovat	šrot
dissekovat	disk
bévat	bývat, bít
konfirmovat	fingovat
invertovat	inverze
inkarnovat	inkarnace
kopulovat	kopule
ondulovat	nulovat
rezumovat	um
indentovat	intence
restovat	rest, restovaný
kompresovat	komprese
špekulovat	spekulovat
sistovat	sítovat
kolaudovat	kolovat
avalovat	aval, avalista
verglovat	vergl
suicidovat	suicida, suicidium
inkubovat	rukovat
peskovat	peskovaný
meditovat	medit, meditovaný, meditace
evidovat	evidovaný, vidovat
konfrontovat	fintovat, frontovat
aretovat	areka
stěhovat	stěh, stěžovat
rychtovat	rychta
remitovat	emitovat
predikovat	dokovat
reprizovat	repríza
exterminovat	terminovat
asignovat	signovat, asignace
varovat	var, vařit, vara, vor, varovaný
konstituovat	konstituce
agregovat	agregace
paginovat	pagina
reziduovat	reziduum
dívat	dít, vít
dedikovat	dekovat, děkovat
kontaminovat	kontamin
konfigurovat	figurovat
frustrovat	frustrovaný
negovat	negace
difraktovat	difrakce, difraktovaný
redukovat	ukovat
investovat	invest
aditivovat	aditivní, aditivum, aditivita
vat	vát, vata, tát
returnovat	return
depilovat	pilovat
navigovat	navigovaný
rekvírovat	rek
performovat	formovat, přeformovat
precipitovat	precipitovaný
somrovat	mor
znovuvybudovat	vybudovat
propagovat	pakovat, pas, propařovat
intabulovat	tabulovat
afišovat	afiš
sakrovat	sakovat, sakr, sak
domestikovat	domestik
deportovat	deport, portovat
emulovat	milovat, moula
mokvat	mok, moci, moknout
licitovat	licí
simulovat	simulace, milovat
saldovat	saldovaný, saldo
amputovat	amputace, amputovaný, mutovat
vizitovat	vizita
alokovat	alko
orodovat	erodovat, orosovat
indukovat	indukce
apretovat	apterie
saturovat	saturovaný
exkomunikovat	komunikovat
akvírovat	akr, akt
disipovat	pilovat
repovat	provát
detonovat	tónovat
adorovat	adorace, adovat
intepretovat	intepretovaný
armovat	arma
syndikovat	syndik, indikovat, syndikát
sekýrovat	sekýrovaný
korigovat	kora
pikýrovat	pikýrovaný
adoptovat	adaptovat, optovat, dotovat
diseminovat	minovat
adsorbovat	sorbovat, adsorbce
lustrovat	lustr, lustrovaný, lustrum
vidimovat	vidmo, vid, vidma
agovat	aga
implantovat	implantovaný
simplifikovat	simplifikace
trvat	trnout
inaugurovat	inaugurace
apercipovat	percipovat, apercepce
denaturovat	denaturovaný
horovat	hora
asimilovat	milovat, asimilace
aglutinovat	aglutinace
extrudovat	extrudovaný, extruze
iritovat	irisovat
akceptovat	akcept
extradikovat	extradice
konstruovat	konstrukce
explodovat	plodovat
remplovat	plovat
implodovat	plodovat
dekapitovat	aktivovat
restaurovat	restaurace, restaurovaný
asekurovat	asekurace
reklamovat	reklamace, reklama
evaluovat	evaluovaný
disimulovat	simulovat
implikovat	implicitní
akreditovat	kreditovat
harcovat	harka
segregovat	agregovat
komprimovat	kopra
adjustovat	adjustace
degustovat	degustace
deponovat	detonovat
deprimovat	minovat
disputovat	disput
imputovat	putovat, imputace
dekorovat	deko
aklamovat	aklamace
abdukovat	bukovat
reparovat	preparovat
kandidovat	kandovat
excitovat	citovat, excitovaný, excitace
excerpovat	excerpce
dišputovat	disputovat
indikovat	indický
deklamovat	dekl
verbovat	verbum
