word	etymology	is_loan
amfora	lat,ell	loan
amnestie	lat,ell	loan
amok	eng,zlm	loan
amoleta	fra	loan
amoniak	lat	loan
amor(ek)	lat	loan
amorální	lat	loan
amorfní	ell	loan
amortizovat	deu,fra,lat	loan
ampér	fra	loan
amplion	eng,fra	loan
amplituda	lat	loan
ampule	lat	loan
amputovat	lat	loan
amulet	lat	loan
ana-	ell	loan
anabáze	ell	loan
anabolika	eng	loan
anagram	lat,ell	loan
anachronismus	lat,ell	loan
anakolut	ell	loan
analfabet	lat	loan
analgetikum	lat,ell	loan
analogie	ell	loan
anály	lat	loan
analýza	ell	loan
anamnéza	ell	loan
ananas	por	loan
anarchie	lat,ell	loan
anatomie	lat,ell	loan
ančovička	deu	loan
anděl		native
android	ell	loan
andulka	lat	loan
anektovat	lat	loan
anémie	lat,ell	loan
anestézie	ell	loan
anexe	lat	loan
angažmá	fra	loan
angína	lat	loan
angrešt	it,lat	loan
anilin	por,ara,pes	loan
animální	lat	loan
animovat	eng	loan
animozita	lat	loan
anketa	fra,lat	loan
anoda	ell	loan
anomálie	lat,ell	loan
anonce	fra,lat	loan
anonym	lat,ell	loan
anotace	lat	loan
ansámbl	fra	loan
anšovička	deu	loan
antagonismus	ell	loan
ante-	lat	loan
antedatovat	lat	loan
anténa	lat	loan
anti-	ell	loan
antibiotikum	ell	loan
anticipovat	lat	loan
antika	deu,fra,lat	loan
antikoncepce	lat	loan
antikvariát	deu,lat	loan
antilopa	fra,eng,lat,ell	loan
antimon	lat	loan
antipasta	ita,lat	loan
antipatie	lat,ell	loan
antologie	lat,ell	loan
antonymum	ell	loan
antracit	lat,ell	loan
antropo-	ell	loan
antuka	fra	loan
anulovat	lat	loan
anýz	gmh,lat,ell	loan
aorist	ell	loan
aorta	lat,ell	loan
apanáž	fra,lat	loan
aparát	lat	loan
apartheid	nld	loan
apartmá	fra,ita,lat	loan
apartní	deu,fra,lat	loan
apatie	lat,ell	loan
apatyka	lat,ell	loan
apel	fra,lat	loan
apendix	lat	loan
aperitiv	fra,lat	loan
apetyt	deu,fra,lat	loan
aplaudovat	lat	loan
aplikovat	lat	loan
apo-	ell	loan
apokalypsa	lat,ell	loan
apokryf	lat,ell	loan
apologie	lat,ell	loan
aportovat	fra,lat	loan
apostrof	lat,ell	loan
apoštol	lat,ell	loan
apozice	lat	loan
apríl	lat	loan
aprobace	lat	loan
apsida	lat	loan
ar	fra,lat	loan
arabeska	deu,fra,ita	loan
arak	fra,ara	loan
aranžmá	fra	loan
aranžovat	fra,gem	loan
arašíd	fra,lat,ell	loan
arbitr	fra	loan
arci-	lat,ell	loan
areál	lat	loan
aréna	deu,lat	loan
arest	deu,lat	loan
argon	ell	loan
argot	fra	loan
argument	lat	loan
arch	gmh,lat	loan
archa	gmh,lat	loan
archaismus	deu,lat,ell	loan
archanděl	lat	loan
archeologie	deu,ell	loan
archi-	ell	loan
architekt	lat,ell	loan
archiv	lat,ell	loan
árie	ita	loan
árijec	deu	loan
aristokracie	ell	loan
aritmetika	lat,ell	loan
arkáda	fra,ita,lat	loan
arkebuza	deu,fra,gem	loan
arkýř	gmh,fro,lat	loan
armáda	spa,lat	loan
armatura	deu,lat	loan
arogance	lat	loan
aroma	lat,ell	loan
artefakt	lat	loan
artérie	lat,ell	loan
artikl	deu,lat	loan
artikulovat	lat	loan
artilerie	deu,fra,fro	loan
artista	fra,lat	loan
artróza	lat,ell	loan
artyčok	ita	loan
arytmie	lat,ell	loan
arzén	lat,ell	loan
arzenál		native
asanovat	deu,fra,lat	loan
asertivita	eng,lat	loan
asfalt	lat,ell	loan
asi		native
asimilovat	lat	loan
asistent	deu,lat	loan
asketa	deu,ell	loan
asociace	lat	loan
asociální	deu,fra,lat	loan
asonance	lat	loan
asparágus	lat,ell	loan
aspekt	lat	loan
aspik	fra	loan
aspiráta	lat	loan
aspirin	deu	loan
aspirovat	lat	loan
aspoň		native
asteroid	ell	loan
astma	lat,ell,ine	loan
astra	lat,ell	loan
astrální	lat	loan
astro-	ell	loan
astronaut	ell	loan
asymetrie	lat,ell	loan
ať		native
atakovat	fra,ita	loan
ataman	ukr,rus	loan
atašé	fra,ita	loan
atavismus	fra,lat	loan
ateismus	ell	loan
ateliér	fra,fro,lat	loan
atentát	deu,fra,lat	loan
atestace	lat	loan
atlas2	deu,ara	loan
atlet	lat,ell	loan
atmosféra	ell	loan
atol	eng	loan
atom	lat,ell	loan
atrakce	lat	loan
atrapa	fra	loan
atribut	lat	loan
atrium	lat	loan
atrofie	ell	loan
aťsi		native
audience	lat	loan
audio-	deu,fra,lat	loan
audit	eng,lat	loan
auditorium	lat	loan
augmentace	lat	loan
aukce	deu,lat	loan
aula	lat,ell	loan
aureola	lat	loan
aušus	deu	loan
aut	eng	loan
autentický	lat,ell	loan
auto	fra,lat	loan
auto-1	fra,lat	loan
auto-2	ell	loan
autobus	eng	loan
autodafé	por,lat	loan
autogen	ell	loan
autochtonní	ell	loan
autokar	eng	loan
automat	lat,ell	loan
automobil	fra,lat	loan
autonomie	ell	loan
autor	lat	loan
autorita	lat	loan
autostop	eng	loan
autostráda	ita,lat	loan
avantgarda	fra	loan
avantýra	fra,lat	loan
averze	lat	loan
aviatik	fra	loan
aviváž	fra,lat	loan
avízo	deu	loan
avokádo	spa	loan
avšak		native
axiom	lat,ell	loan
azalka	lat	loan
azbest	ell	loan
azbuka		native
azimut	fra,ara	loan
azur	fra,lat,ara	loan
azyl	deu,lat,ell	loan
ba		native
bába		native
babka		native
babočka	rus	loan
bábovka		native
babrat (se)		native
babyka		native
bacat		native
bacil	lat	loan
baculatý		native
bača		native
bačkora	hun	loan
bádat	pol	loan
badminton	eng	loan
badyán	fra,pes	loan
bafat	deu,dan	loan
baganče	slk,hun	loan
bagatelizovat	fra,ita	loan
bagáž	fra,fro	loan
bageta	fra,ita,lat	loan
bágl		native
bago	hun,deu,ita	loan
bagr	nld	loan
bahnice		native
bahno		native
*bach	deu	loan
bachor		native
báchorka		native
bachratý		native
bachyně	deu,goh	loan
bájit		native
bajonet	deu,fra	loan
bakalář	lat	loan
baklažán	rus,tur,ara,pes	loan
bakšiš	tur,ara,pes	loan
bakterie	ell	loan
bál	deu,fra,fro,lat	loan
balada	deu,fra,lat	loan
balalajka	rus	loan
balamutit		native
balanc	fra,lat	loan
balast	deu,nld	loan
baldachýn	deu,ita	loan
baldrián	gmh,lat	loan
balet	deu,ita,lat	loan
balík1	deu	loan
balík2	deu	loan
balistika	lat,ell	loan
balit		native
balkon	deu,fra,ita,gem	loan
-ball	eng	loan
balon	deu,fra,ita,gem	loan
baloňák		native
balustráda	fra,ita,lat,ell	loan
balvan	lat	loan
balza	spa	loan
balzám	ell	loan
bambitka		native
bambula	hun	loan
bambule	dsb	loan
bambus	deu,nld,zlm	loan
báň	slk	loan
banální	deu,fra,fro,gem	loan
banán	deu,spa,por	loan
bančit		native
banda	deu,fra,gem	loan
bandáž	fra,gem	loan
bandita		native
*bandurská	hun	loan
banjo	eng	loan
banka	ita,gem	loan
banket	deu	loan
bankovka	deu	loan
bankrot	deu,ita	loan
baobab	ara	loan
baptista	lat,ell	loan
bar1	eng,fro	loan
bar2	ell	loan
barabizna	deu,fra,spa	loan
barák	deu,fra,spa	loan
baráž	fra	loan
barbar	lat,ell	loan
barbiturát	ita	loan
barborka	ell	loan
bard	deu,fra	loan
barel	eng,fro	loan
baret	fra,ita,lat	loan
barchet	deu	loan
bariéra	fra	loan
barikáda	deu,fra,fro	loan
bárka		native
barok(o)		loan
barometr	ell	loan
baron	deu,fra,fro,lat	loan
bartrový	eng,fro	loan
barva	gmh,goh	loan
barvínek	gmh,lat	loan
baryt	fra,ell	loan
baryton	ita,ell	loan
baryum	eng,ell	loan
bas	deu,ita,lat	loan
basa	deu,fra	loan
baseball	eng,fra	loan
báseň	rus	loan
basketbal	eng	loan
basreliéf	fra	loan
basta	ita,lat,ell	loan
bastard	deu,fro	loan
bašta1	ita,gem	loan
bašta2		native
bát se		native
batalion	deu,fra,ita,lat	loan
baterie	fra,fro	loan
batik	nld,zlm	loan
batist	fra	loan
batoh		native
batolit se		native
batyskaf	fra,ell	loan
bauxit	fra	loan
bavit (se)		native
bavlna	deu	loan
bazalka	lat,ell	loan
bazalt	deu,lat,ell	loan
báze	deu,lat,ell	loan
bazén	fra,lat	loan
bázeň		native
bazilika	lat,ell	loan
bazilišek	lat,ell	loan
bazírovat	deu	loan
bažant	gmh	loan
bažina		native
bažit		native
bdít	dsb,chu	loan
beat	eng	loan
beatifikace	lat	loan
bečet		native
bečka		native
běda		native
bedekr	deu	loan
bedla	hsb,pol	loan
bedlivý		native
bedna	goh,gem,lat	loan
bedra		native
bedrník		native
beduín	fra,ara	loan
begonie	lat	loan
běhat		native
bek	eng	loan
bekhend	eng	loan
bekyně	gmh,fra	loan
*bela		native
beletrie	deu,fra	loan
belhat (se)		native
bělmo		native
belveder	ita	loan
belzebub	heb	loan
bendžo	eng	loan
benediktin	lat	loan
benefice	lat	loan
benevolence	lat	loan
bengál	eng	loan
benigní	lat	loan
benzin	spa,ara	loan
beran	hsb	loan
bérec	rus	loan
berla	goh,lat	loan
beruška		native
beryl	lat,ell	loan
běs		native
beseda		native
besemerace	eng	loan
bestie	lat	loan
bestseller	eng	loan
bešamel	fra	loan
betel	por	loan
betl	deu	loan
beton	fra,fro,lat	loan
bez1		native
bez2		native
bezděky		native
bezprizorní	rus	loan
běžet		native
béžový	fra,fro	loan
bi-	lat	loan
bianko	ita,gem	loan
biatlon	lat,ell	loan
bible	lat,ell	loan
bibliofil	lat,ell	loan
bibliografie	lat,ell	loan
bibliotéka	lat,ell	loan
bíbr	deu	loan
biceps	lat	loan
bicykl	fra,lat	loan
bič		native
bída		native
bidet	fra	loan
bidlo		native
bienále	lat	loan
biflovat (se)	deu	loan
bifokální	lat	loan
biftek	eng	loan
bigamie	lat,ell	loan
bigbít	eng	loan
bigotní	fra	loan
bilance	deu,ita,lat	loan
bilaterální	lat	loan
biletář(ka)	fra,fro	loan
biliár	fra,lat	loan
bilion	fra	loan
bilirubin	lat	loan
bílkovina		native
billboard	eng	loan
bílý		native
bimbat	deu	loan
binární	lat	loan
binec		native
bingo	eng	loan
bio-	ell	loan
biret	lat	loan
biřic		native
biřmovat	gmh,lat	loan
biskup	lat,ell	loan
biskvit	fra,lat	loan
bistro	fra	loan
bit	eng	loan
bít		native
bivak	deu,fra,gem,nld	loan
bizam	deu,lat,heb	loan
bizarní	fra,ita	loan
-bízet		native
bizon	eng,lat,ell,gem	loan
bižuterie	fra	loan
blábolit		native
blaf	deu	loan
blahovičník	ell	loan
bláhový		native
blahý	lat,ell	loan
blamáž	deu,fra	loan
blána		native
blanket	deu	loan
blankvers	eng	loan
blankyt	lat	loan
blasfemie	lat,ell	loan
bláto		native
blázen		native
blazeovaný	fra	loan
blažený	lat,ell	loan
blbý		native
bledý		native
blecha		native
blejzr	eng	loan
blekotat		native
blesk		native
blikat	gmh	loan
blín	ine	loan
blinkat		native
blinkr	deu	loan
blít		native
blizard	eng	loan
blízký		native
blizna	pol	loan
blok	deu	loan
blokáda	deu,fra,nld	loan
blond	fra,lat,gem	loan
bloudit		native
bloumat		native
blouznit		loan
blud		native
blues	eng	loan
bluf	deu	loan
bluma	gml	loan
blůza	deu,fra	loan
blýskat (se)		native
blyštět se		native
boa	lat	loan
bob1		native
bob2	eng	loan
bobr		native
bobtnat		native
bobule	slk	loan
bod		native
bodat		native
bodejť		native
bodrý	deu	loan
bodyček	eng	loan
bohatý		native
bohatýr	rus,mon,tat,pes	loan
bohém	fra	loan
bohemista	lat,gem	loan
bochník	gmh,lat	loan
boj		native
bojar	rus	loan
bóje	deu,dum,fro	loan
bojkot	eng	loan
bojler	eng,fro,lat	loan
bok		native
bolen		native
bolero	spa	loan
bolet		native
bolševik		native
bolševník	rus	loan
boltec		native
bomba	deu,fra,ita,lat,ell	loan
bombardon	fra	loan
bombardovat	fra	loan
bombastický	deu,eng,lat,ell,xmn	loan
bon	deu,fra,lat	loan
bonbon	deu,fra	loan
bonifikace	lat	loan
bonita	lat	loan
bonmot	deu,fra	loan
bonsaj	jpn	loan
bonton	fra	loan
bonviván	fra	loan
bonzovat	deu,fra,por,jpn	loan
bookmaker	eng	loan
boom	eng	loan
bor		native
bór		native
borax	deu,lat,ara,pes	loan
bordel	deu,fro,lat	loan
bordó	fra	loan
borec	rus	loan
borelióza	lat	loan
borovice		native
boršč	rus	loan
bort	deu	loan
borůvka		native
bořit		native
bosorka	hun,tat	loan
boss	eng,nld	loan
bosý		native
bota	fra,lat	loan
botanika	deu,lat,ell	loan
botel	eng	loan
botulismus	lat	loan
boubel		native
bouda	dsb	loan
bouchat		native
boule		native
bourat		native
bourec	lat	loan
bouřit		native
bovden	eng,fra	loan
bowle	deu,eng,ang,fra	loan
bowling	eng,fra,lat	loan
box1	eng	loan
box2	eng	loan
brada		native
bradatice		native
bradavice		native
bradla		native
bráhman	eng	loan
brach		native
brajgl	nld	loan
brak	deu	loan
brambor(a)		native
brána		native
brandy	eng,nld	loan
bránice		native
bránit		native
brány		native
branže	fra,lat	loan
brašna		native
brát		native
bratr		native
brav		native
bravo	ita,lat	loan
brázda		native
brblat		native
brdo		native
brebentit		native
bréca		native
brečet		native
brejk	eng	loan
brejlovec	deu,gmh	loan
breptat		native
breviář	lat	loan
brhlík		native
bridž	eng	loan
brífink	eng,fro,lat	loan
brigáda	deu,fra,ita	loan
brigantina	eng,ita	loan
briketa	fra,dum	loan
brilantní	deu,fra	loan
briliant	deu,fra,ita	loan
brioška	fra,gem	loan
bríza	deu,eng,fra	loan
brk		native
brkat		native
brloh	rus	loan
brnění		native
brnět		native
brnkat		native
brod		native
brojit		native
brojler	eng,fro	loan
brok	deu	loan
brokát	deu,ita,glg	loan
brokolice	ita,glg	loan
brom	deu,fra,ell	loan
bronchitida	lat,ell	loan
brontosaurus	ell	loan
bronz	deu,ita	loan
broskev	lat	loan
brouk		native
broukat		native
brousit		native
brouzdat (se)		native
brovnink	eng	loan
brož	fra,lat	loan
brožura	fra	loan
brslen		native
brtník	ine	loan
bručet		native
brukev	pol	loan
brumlat		native
brunátný	gmh,ine	loan
brundibár	deu	loan
brunet	fra,gem	loan
brusinka		native
brusle		native
brutální	lat	loan
brutto	ita,lat	loan
brva		native
bryčka	pol,deu,ita,lat	loan
brykule	fra	loan
brýle	deu,gmh	loan
brynda		native
brynza	ron	loan
bryskní	fra,ita	loan
brzda		native
brzký		native
břečka	hsb	loan
břečťan		native
-břednout		native
břeh		native
břemeno		native
břeskný		native
břevno		native
březen		native
březí		native
břídil		native
břidlice		native
břicho		native
břímě		native
břinkat		native
břitký		native
břitva		native
bříza		native
bubák	deu,eng,hun	loan
buben		native
bublat		native
bublina		native
bubřet		native
buclatý		native
bučet		native
buď(to)		native
buddhismus		loan
budit		native
budoár	fra	loan
budovat		native
budu		native
bufa	fra	loan
bufet	fra	loan
bůh		native
buchar	deu	loan
buchta		native
bujarý		native
bujný		native
bujon	fra,lat	loan
buk		native
bukač		native
bukanýr	deu,fra	loan
buket	fra	loan
buklé	fra,lat	loan
bukolický	lat,ell	loan
bula	lat	loan
buldok	eng	loan
buldozer	eng	loan
bulík	deu	loan
bulimie	lat,ell	loan
bulit		native
buližník	rus	loan
bulletin	fra,fro,lat	loan
bulva	pol	loan
bulvár	fra,dum	loan
buly	eng	loan
bum		native
bumbat		native
bumerang	eng	loan
bunda	hun	loan
bungalov	eng	loan
buničina		native
buňka		native
bunkr	deu,eng	loan
bůr	deu	loan
burák1	deu	loan
burák2	pol	loan
buran	gmh,rus	loan
burcovat		native
burčák		native
burleska	deu,ita,lat	loan
burnus	deu,fra,lat	loan
burský	deu	loan
burza	lat	loan
buržoazie	fra,gem	loan
buřinka		native
buřt	deu,ine	loan
bus	eng	loan
busta	fra,ita	loan
buš	eng	loan
bušit		native
butan	lat,ell	loan
butelka	fra,lat	loan
butik	fra,ell	loan
buton	fra	loan
buvol	lat,ell	loan
buzar	fra,lat	loan
buzerant	deu,ita,lat	loan
bydlet		native
bych	ell	loan
býk		native
bylina		native
byrokracie	fra	loan
bysta	fra,ita	loan
bystrý		native
byť	ell	loan
být		native
bývalý		native
byznys	eng	loan
bzdít	ine	loan
bzikat		native
bzučet		native
bžunda		native
cácorka		native
cachtat se		native
cajk	bar,deu	loan
cákat		native
cálovat	deu	loan
camrat		native
cancat		native
candát		native
capart		native
capat		native
car	rus,orv	loan
causa	lat	loan
causerie	fra,lat	loan
cecek		native
cedit		native
cedr	lat,ell	loan
cedule	lat	loan
cech	gmh,goh	loan
cejch	gmh	loan
cejcha	gmh,lat,ell	loan
cejn	gmh	loan
ceknout		native
cela	lat	loan
celebrovat	lat	loan
celer	deu,ita,lat,ell	loan
celibát	lat	loan
cello	ita	loan
celník	gmh,lat,ell	loan
celofán	fra,ell	loan
celovat		native
celta	deu	loan
celuloid	eng	loan
celulóza	deu,fra,lat	loan
celý		native
cembalo	ita,lat	loan
cement	deu,fro,lat	loan
cemr	deu	loan
cena		native
cenit		native
cent1	lat	loan
cent2	lat	loan
centi-	fra,lat	loan
centr	eng,lat	loan
centrifuga	fra,lat	loan
centrum	lat,ell	loan
cenzura	lat	loan
cep		native
cepenět		native
cepín	slv,ita,lat	loan
cereálie	lat	loan
cerebrální	lat	loan
ceremoniál	fra,lat	loan
certifikát	lat	loan
cesium	lat	loan
cesmína	srp,hrv	loan
cesta		native
-cet		native
cetka	srp,chu	loan
céva		native
cézura	lat	loan
cibetka	ita,lat,ara	loan
cibule	gmh,lat	loan
cídit		native
cifra	deu,lat,ara	loan
cigareta	deu,fra,spa	loan
cihla	gmh,lat	loan
cícha	gmh,lat,ell	loan
cikáda	lat	loan
cikcak	deu	loan
cikorka	deu,lat,ell	loan
cíl	gmh	loan
cimbál	lat,ell	loan
cimbuří	gmh,lat,ell	loan
cimprlich	deu	loan
cimra	deu,goh	loan
cín	gmh	loan
cínie	deu	loan
cink	deu	loan
cinkat		native
cíp	gmh	loan
ciráty	deu	loan
cirka	lat	loan
církev		native
cirkulovat	lat	loan
cirkumflex	lat	loan
cirkus	deu,lat,ell	loan
cirok	hun	loan
ciróza	lat,ell	loan
císař		native
cisterciák	fra	loan
cisterna	lat,ell	loan
citadela	deu,fra,ita,lat	loan
citera	deu,lat,ell	loan
cítit		native
citovat	lat	loan
citron	deu,ita,lat	loan
civět		native
civilní	deu,fra,lat	loan
cívka		native
cizelovat	fra,fro,lat	loan
cizí		native
cizrna	deu,gmh,lat	loan
clavichord	lat,ell	loan
clearing	eng,fro,lat	loan
clo	gmh,lat,ell	loan
clonit		native
cloumat		native
cmrndat		native
co		native
coca-cola	spa	loan
computer	eng,fra,lat	loan
cop	hsb,hun,deu	loan
copyright	eng	loan
coul	deu	loan
courat		native
couvat		native
cpát	dsb	loan
crčet		native
ctít		native
cucat		native
cudný		native
cukat	deu	loan
cuketa	ita	loan
cukr	gmh,ita,ara	loan
cukrkandl	deu,lat	loan
cukrovat	gmh,ita,ara	loan
cumlat		native
cupat		native
cupovat	deu	loan
cvakat		native
cválat		native
cvalík	deu	loan
cvičit	deu	loan
cvik	deu	loan
cvikr	deu,fra	loan
cvok		native
cvrček1		native
cvrček2	deu	loan
cvrlikat		native
cvrnkat		native
cyankáli	lat,ell,ara	loan
cyklista	fra,lat	loan
cyklokros		loan
cyklon	eng,ell	loan
cyklostyl		loan
cyklus	lat,ell	loan
cylindr	deu,lat,ell	loan
cynik	lat,ell	loan
cypřiš	lat,ell	loan
cysta	lat,ell	loan
cyto-	lat,ell	loan
cytostatikum	ell	loan
-č		native
čabajka	hun	loan
čabraka	hun,tur	loan
čacký		native
čača	spa	loan
čadit		native
čahoun		native
čachrovat	deu,heb	loan
čaj	rus	loan
čáka		native
čakan		native
čalamáda	hun	loan
čaloun	gmh,fra	loan
čamara	pol,spa	loan
čamrda		native
čáp		native
čapka		native
čapnout		native
čára	dsb	loan
čardáš	hun	loan
čarovat		native
čas		native
časopis		native
část		native
častovat	pol	loan
častý		native
čatni	eng	loan
čau	ita	loan
čečetka		native
čedič		native
čehý	hsb,deu,fra,hun	loan
Čech		native
čechrat		native
čejka		native
čekanka	lat	loan
čekat		native
čeleď		native
čelist		native
čelo		native
čemeřice		native
čenichat		native
čep		native
čepec		native
čepel		native
čepice		native
čepýřit (se)		native
čerchmant	deu	loan
čerchovaný		native
čermák		native
černobýl		native
černokněžník		native
černý		native
čerpat		native
čerstvý		native
čert		native
červ		native
červen		native
červený		native
čeřen	dsb	loan
čeřit	lav	loan
česat		native
česnek		native
čest		native
čéška		native
četa		native
četný		native
čevapčiči	srp,hrv,tur,ara	loan
či		native
čí		native
čibuk		native
čičorka	ita,lat	loan
číhat		native
čich		native
čili		native
čilý	hsb	loan
činčila	spa,lat	loan
činely	ita	loan
činit		native
činka		native
činže	gmh,lat	loan
čip	eng	loan
čiperný		native
čírka		native
čirok	hun	loan
čirůvka		native
čirý		native
číslo		native
číst		native
čistý		native
číše		native
čišet		native
čít		native
-čít		native
čítat		native
čiva		native
čižba		native
čížek		native
čižma	hun,tur	loan
člen		native
člověk		native
člun		native
čmárat		native
čmelák		native
čmoudit		native
čmouha		native
čmuchat		native
čmýra		native
čnět		native
čočka		native
čokoláda	ita,spa	loan
čolek	pol	loan
čouhat		native
čpavek		native
čpět		native
črta		native
čtrnáct		native
čtverák		native
čtverylka	fra,spa,lat	loan
čtvrtý		native
čtyři		native
čuba	gmh	loan
čubrnět		native
čučet	mkd,pol	loan
čufty	srp,hrv,tur,pes	loan
čuchat		native
čumět		native
čundr	deu	loan
čuně		native
čupr		native
čupřina	pol,rus	loan
čurat		native
čutat	eng	loan
čutora	hun,ron	loan
čůza	deu	loan
čvachtat		native
ďábel	lat,ell	loan
dabing	eng	loan
dada(ismus)	fra	loan
dáchnout si		native
daktyl	lat,ell	loan
daktyloskopie	ell	loan
dalajláma	mon	loan
dalamánek	fra	loan
daleký		native
další		native
dáma1	deu,fra,lat	loan
dáma2	deu,fra	loan
daň		native
daněk	fra	loan
dar		native
darda		native
darebák		native
darmo		native
dařit se		native
ďas		native
dáseň		native
dát		native
datel		native
dativ	lat	loan
datle	gmh,lat,ell	loan
datum	lat	loan
dav		native
dávit		native
dávný		native
dbát		native
dcera		native
de-	lat	loan
dealer	eng	loan
debakl	fra	loan
debata	deu,fra	loan
debil	lat	loan
debl	eng,fra,lat	loan
debrecínka	hun	loan
debut	fra	loan
debužírovat	fra	loan
decentní	deu,fra,lat	loan
deci-	fra,lat	loan
decimálka	lat	loan
decimovat	lat	loan
děcko		native
děd		native
dědic		native
dedikace	lat	loan
dědit		native
dedukovat	lat	loan
defekt	deu,lat	loan
defenestrace	lat	loan
defenziva	deu,lat	loan
defétista	fra,lat	loan
deficit	lat	loan
defilé	fra,lat	loan
definice	lat	loan
deflorace	lat	loan
deformace	lat	loan
defraudovat	lat	loan
degenerovat	lat	loan
degradovat	lat	loan
degustace	lat	loan
dehet	lit	loan
dehydratace	ell	loan
dech		native
děj		native
deka	gmh	loan
dekáda	fra,lat,ell	loan
dekadence	fra,lat	loan
dekagram	fra,ell	loan
děkan	lat	loan
dekl	deu	loan
deklamovat	lat	loan
deklarovat	lat	loan
deklasovat	fra	loan
deklinace	lat	loan
deko	fra,ell	loan
dekolt	fra,lat	loan
dekorovat	lat	loan
děkovat		native
dekret	deu,lat	loan
dělat		native
delegace	lat	loan
delfín	deu,lat,ell	loan
