,index,první.rodič,druhý.rodič,třetí.rodič,čtvrtý.rodič,neoklasické.kompozitum,číslovka,počet.rodičů,chemické.názvosloví,není.kompozitum,přejaté.jako.celek..ne.z.GR.nebo.LA,Derivát,reverse_lemma,Struktura,první.rodič.v.search3,druhý.rodič.v.search3
821,arylcyklohexylamin,aryl,cyklohexylamin,,,0,0,2,1,0,0,0,nimalyxeholkyclyra,,True,True
1261,čtyřiadvacetijehličkový,čtyřiadvacet,jehlička.jehličkový,,,0,1,2,0,0,0,0,ývokčilhejitecavdaiřytč,,True,False
1339,čtyřiadvacetisnímkový,čtyřiadvacet,snímek.snímkový,,,0,1,2,0,0,0,0,ývokmínsitecavdaiřytč,,True,False
128,čtyřiapadesátistupňový,čtyřiapadesát,stupeň.stupňový,,,0,1,2,0,0,0,0,ývoňputsitásedapaiřytč,,True,True
512,čtyřiasedmdesátinásobek,čtyřiasedmdesát,násobek,,,0,1,2,0,0,0,0,kebosánitásedmdesaiřytč,,True,True
31,čtyřiašedesátiletý,čtyřiašedesát,léto.letý,,,0,1,2,0,0,0,0,ýtelitásedešaiřytč,,True,True
931,devětadvacetitrackový,devětadvacet,trackový.track,,,0,1,2,0,0,0,0,ývokcartitecavdatěved,,True,True
347,devětapadesátiletý,devětapadesát,léto.letý,,,0,1,2,0,0,0,0,ýtelitásedapatěved,,True,False
1081,devětatřicetinásobek,devětatřicet,násobek,,,0,1,2,0,0,0,0,kebosániteciřtatěved,,True,True
1338,dvaačtyřicetipodlažní,dvaačtyřicet,podlaží.podlažní,,,0,1,2,0,0,0,0,ínžaldopiteciřytčaavd,,True,True
527,dvaačtyřicetistupňový,dvaačtyřicet,stupeň.stupňový,,,0,1,2,0,0,0,0,ývoňputsiteciřytčaavd,,True,True
997,dvaadevadesátiprocentní,dvaadevadesát,procento.procentní,,,0,1,2,0,0,0,0,íntnecorpitásedavedaavd,,True,True
116,dvaadvacetietapový,dvaadvacet,etapa.etapový,,,0,1,2,0,0,0,0,ývopateitecavdaavd,,True,True
38,dvaaosmdesátiprocentní,dvaaosmdesát,procento.procentní,,,0,1,2,0,0,0,0,íntnecorpitásedmsoaavd,,True,True
161,dvaapadesátipalcový,dvaapadesát,palec.palcový,,,0,1,2,0,0,0,0,ývoclapitásedapaavd,,True,True
855,dvaatřicetisvazkový,dvaatřicet,svazek.svazkový,,,0,1,2,0,0,0,0,ývokzavsiteciřtaavd,,True,True
99,dvacetimegabitový,dvacet,megabit.megabitový,,,0,1,2,0,0,0,0,ývotibagemitecavd,,True,False
494,dvojnekrolog,dvě,nekrolog,,,0,1,2,0,0,0,0,golorkenjovd,,True,False
886,erotickosymbolický,erotický.erotika,symbolický.symbol,,,0,0,2,0,0,0,0,ýkcilobmysokcitore,,True,True
267,etylchlorvinol,etyl,chlorvinol,,,0,0,2,1,0,0,0,lonivrolhclyte,,True,False
526,Chordopoxvirinae,Chordopox,virinae,,,1,0,2,0,0,1,0,eanirivxopodrohC,,False,False
104,jedenačtyřicetitisícový,jedenačtyřicet,tisíc.tisícový,,,0,1,2,0,0,0,0,ývocísititeciřytčanedej,,True,True
1147,jedenadvacetikolíkový,jedenadvacet,kolík.kolíkový,,,0,0,2,0,0,0,0,ývokílokitecavdanedej,,True,False
1233,jedenaosmdesátiprocentní,jedenaosmdesát,procento.procentní,,,0,1,2,0,0,0,0,íntnecorpitásedmsoanedej,,True,True
1092,jednašedesátiletý,jedenašedesát,léto.letý,,,0,1,2,0,0,0,0,ýtelitásedešandej,,True,True
746,jednadevadesátiletý,jednadevadesát,léto.letý,,,0,1,2,0,0,0,0,ýtelitásedavedandej,,True,True
486,mechanickobiologický,mechanický,biologický,,,0,0,2,0,0,0,0,ýkcigoloibokcinahcem,,True,True
20,mikrowatthodina,mikrowatt,hodina,,,0,0,2,0,0,0,0,anidohttaworkim,[[-mikro- watt] hodina],False,True
1496,mnohasetmetrový,mnoho+sto,metr.metrový,,,0,1,2,0,0,0,0,ývortemtesahonm,[[mnoho sto] metr.metrový],True,True
748,modrožlutočerný,modrý,žlutočerný,,,0,0,2,0,0,0,0,ýnrečotulžordom,[modrý žlutý černý],True,False
878,naturfilozofie,natur,filozofie,,,0,0,2,0,0,0,0,eifozolifrutan,,False,True
1183,osmadvacetikilometrový,osmadvacet,kilometr.kilometrový,,,0,1,2,0,0,0,0,ývortemolikitecavdamso,,True,True
1108,osmaosmdesátiprocentní,osmaosmdesát,procento.procentní,,,0,1,2,0,0,0,0,íntnecorpitásedmsoamso,,True,True
1433,osmašedesátihektarový,osmašedesát,hektar.hektarový,,,0,1,2,0,0,0,0,ývoratkehitásedešamso,,True,True
211,osmdesátimilimetrový,osmdesát,milimetr.milimetrový,,,0,0,2,0,0,0,0,ývortemilimitásedmso,,True,True
981,pětačtyřicetimiliónový,pětačtyřicet,milion.milión.milionový.miliónový,,,0,1,2,0,0,0,0,ývonóilimiteciřytčatěp,,True,True
917,pětačtyřicetistupňový,pětačtyřicet,stupeň.stupňový,,,0,1,2,0,0,0,0,ývoňputsiteciřytčatěp,,True,True
1476,pětadvacetikilometrový,pětadvacet,kilometr.kilometrový,,,1,1,2,0,0,0,0,ývortemolikitecavdatěp,,True,True
448,pětadvacetistupňový,pětadvacet,stupeň.stupňový,,,0,1,2,0,0,0,0,ývoňputsitecavdatěp,,True,True
108,pětašedesátimiliónový,pětašedesát,milion.milión.milionový.miliónový,,,0,1,2,0,0,0,0,ývonóilimitásedešatěp,,True,True
540,pětatřicetilitrový,pětatřicet,litr.litrový,,,0,1,2,0,0,0,0,ývortiliteciřtatěp,,True,True
1376,protičeskoslovenský,proti,Československo.československý,,,0,0,2,0,0,0,0,ýksnevolsoksečitorp,,True,True
493,půldruhastoletý,půldruhý,století.stoletý,,,0,1,2,0,0,0,0,ýtelotsahurdlůp,,False,True
846,sedmadvacetitisícový,sedmadvacet,tisíc.tisícový,,,0,1,2,0,0,0,0,ývocísititecavdamdes,,True,True
516,sedmapadesátikilometrový,sedmapadesát,kilometr.kilometrový,,,0,1,2,0,0,0,0,ývortemolikitásedapamdes,,True,True
166,severoseverozápad,sever,severozápad,,,0,0,2,0,0,0,0,dapázorevesoreves, [sever [sever západ]],True,False
757,sociálněpedagogický,sociální.sociálně,pedagogický,,,0,0,2,0,0,0,0,ýkcigogadepěnláicos,,True,True
655,setsakramentský,sto,sakramentský,,,0,0,2,0,0,0,0,ýkstnemarkastes,,True,True
225,šestimilimetrový,šest,milimetr.milimetrový,,,0,1,2,0,0,0,0,ývortemilimitseš,,True,False
793,šestačtyřicetiletý,šestačtyřicet,léto.letý,,,0,1,2,0,0,0,0,ýteliteciřytčatseš,,True,False
1192,šestatřicetiprocentní,šestatřicet,procento.procentní,,,0,1,2,0,0,0,0,íntnecorpiteciřtatseš,,True,True
1248,tmavomodrozelený,tmavý,modrozelený,,,0,0,2,0,0,0,0,ýnelezordomovamt,,True,True
519,třiaosmdesátiletý,třiaosmdesát,léto.letý,,,0,1,2,0,0,0,0,ýtelitásedmsoaiřt,,True,False
25,třicetipětitisícový,třicet+pět,tisíc.tisícový,,,0,1,2,0,0,0,0,ývocísititěpiteciřt,[[třicet pět] tisíc.tisícový],True,False
253,videomikrografie,video,mikrografie,,,1,0,2,0,0,0,0,eifargorkimoediv,,True,False
896,zelenočernočervený,zelený,černočervený,,,0,0,2,0,0,0,0,ýnevrečonrečonelez,[zelený černý červený],True,True
670,zlatozelenohnědý,zlatý,zelenohnědý,,,0,0,2,0,0,0,0,ýděnhonelezotalz,[zlatý + zelený + hnědý],True,False
88,žlutooranžovorůžový,žlutý,oranžovorůžový,,,0,0,2,0,0,0,0,ývožůrovožnarootulž,[žlutý + oranžový + růžový],True,False
1005,adenomyóza,-aden-,myóza,,,1,0,2,0,0,0,0,azóymoneda,,False,False
131,alogamie,-al-,-gam-,,,1,0,2,0,0,0,0,eimagola,,False,False
1170,algologie,-alg-,-log-,,,1,0,2,0,0,0,0,eigologla,,False,False
1340,anageneze,-ana-,geneze,,,1,0,2,0,0,0,0,ezenegana,,False,False
1332,andragogika,-andr-,-agog-,,,1,0,2,0,0,0,0,akigogardna,,False,False
1498,anglofil,-angl-,-fil-,,,0,0,2,0,0,0,0,lifolgna,,False,False
777,Angloameričan,-angl-,Američan,,,0,0,2,0,0,0,0,načiremaolgnA,,False,False
33,antropozofie,-antrop-,-sof-,,,1,0,2,0,0,0,0,eifozoportna,,False,False
501,antropozoikum,-antrop-,-zo-,,,0,0,2,0,0,0,0,mukiozoportna,,False,False
275,arcičaroděj,-arci-,čaroděj,,,0,0,2,0,0,0,0,jědoračicra,,False,False
962,arcičíšník,-arci-,číšník,,,1,0,2,0,0,0,0,kínšíčicra,,False,True
365,arcipresbyter,-arci-,presbyter,,,0,0,2,0,0,0,0,retybserpicra,,False,True
722,architektura,-archi-,-tekt-,,,0,0,2,0,0,0,0,arutketihcra,,False,False
1402,archetyp,-archi-,typ,,,1,0,2,0,0,0,0,pytehcra,,False,True
12,astrometrie,-astr-,-metr-,,,0,0,2,0,0,0,0,eirtemortsa,,False,False
979,astromedicína,-astr-,medicína,,,1,0,2,0,0,0,0,anícidemortsa,,False,True
1062,audiostudio,-audi-,studio,,,1,0,2,0,0,0,0,oidutsoidua,,True,True
991,autoregresní,-aut-,regresní.regrese,,,1,0,2,0,0,0,0,ínsergerotua,,False,True
1089,bifida,-bi-,-fid-,,,1,0,2,0,0,0,0,adifib,,False,False
852,bipolární,-bi-,polární,,,1,1,2,0,0,0,0,ínrálopib,,False,True
1045,biréma,-bi-,réma,,,1,1,2,0,0,0,0,amérib,,False,True
437,bistabilní,-bi-,stabilní,,,0,1,2,0,1,0,0,ínlibatsib,,False,True
912,bioarcheologie,-bio-,archeologie,,,1,0,2,0,0,0,0,eigoloehcraoib,,False,True
79,bioberan,-bio-,beran,,,0,0,2,0,0,0,0,nareboib,,False,True
154,biočistička,-bio-,čistička,,,0,0,2,0,0,0,0,akčitsičoib,,False,True
969,biodoplněk,-bio-,doplněk,,,1,0,2,0,0,0,0,kěnlpodoib,,True,True
271,biodožínky,-bio-,dožínky,,,0,0,2,0,0,0,0,yknížodoib,,False,True
282,bioeidam,-bio-,eidam,,,0,0,2,0,0,0,0,madieoib,,False,True
321,biofarmacie,-bio-,farmacie,,,0,0,2,0,0,0,0,eicamrafoib,,False,True
824,bioforma,-bio-,forma,,,1,0,2,0,0,0,0,amrofoib,,False,True
1098,biogranule,-bio-,granule,,,1,0,2,0,0,0,0,elunargoib,,False,True
937,biohrnec,-bio-,hrnec,,,1,0,2,0,0,0,0,cenrhoib,,False,True
998,biochemie,-bio-,chemie,,,1,0,2,0,0,0,0,eimehcoib,,False,True
1080,biochlapeček,-bio-,chlapeček,,,1,0,2,0,0,0,0,kečepalhcoib,,False,True
630,biokoenzym,-bio-,koenzym,,,1,0,2,0,0,0,0,myzneokoib,,False,True
1097,biokoridor,-bio-,koridor,,,1,0,2,0,0,0,0,rodirokoib,,False,True
53,biokybernetika,-bio-,kybernetika,,,1,0,2,0,0,0,0,akitenrebykoib,,False,False
492,biolékořice,-bio-,lékořice,,,0,0,2,0,0,0,0,eciřokéloib,,False,True
905,biomasa,-bio-,masa,,,0,0,2,0,0,0,0,asamoib,,False,True
294,bionafta,-bio-,nafta,,,0,0,2,0,0,0,0,atfanoib,,False,True
524,bionávyk,-bio-,návyk,,,0,0,2,0,0,0,0,kyvánoib,,False,True
1335,bionosič,-bio-,nosič,,,1,0,2,0,0,0,0,čisonoib,,False,True
197,bioolympiáda,-bio-,olympiáda,,,1,0,2,0,0,0,0,adáipmylooib,,False,True
1398,bioplínka,-bio-,plínka,,,1,0,2,0,0,0,0,aknílpoib,,False,True
1290,biopočítač,-bio-,počítač,,,0,0,2,0,0,0,0,čatíčopoib,,False,True
1155,biopohanka,-bio-,pohanka,,,1,0,2,0,0,0,0,aknahopoib,,False,True
1167,biopříkrm,-bio-,příkrm,,,1,0,2,0,0,0,0,mrkířpoib,,False,True
