depth	word	etymology
2	odrůda	['stč.', ' všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' lit.', ' lot.', ' gót.', ' stir.', ' lat.', ' sti.', ' ie.', 'všesl.', ' alb.', ' ř.']
2	odtud	['stč.', ' všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' lit.', ' lot.', ' gót.', ' stir.', ' lat.', ' sti.', ' ie.']
2	odulý	['stč.', ' všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' lit.', ' sti.', ' ie.']
2	ohanbí	['p.', ' ukr.', ' sln.', ' psl.', ' stsl.', ' jsl.', ' r.']
4	oháňka	['všesl.']
2	oharek	['všesl.', ' p.', ' r.', ' s.', ' ch.', ' stsl.', ' psl.', ' něm.', ' angl.', ' stir.', ' lat.', ' ř.', ' arm.', ' sti.', ' ie.']
3	ohebný	['psl.', 'všesl.', ' stp.', ' r.', ' stsl.', ' psl.', ' lit.', ' lot.', ' stangl.', ' ie.']
3	ohon	['všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' lit.', ' stisl.', ' stir.', ' lat.', ' ř.', ' sti.', ' chet.', ' ie.']
3	okap	['všesl.', ' slk.', ' p.', ' r.', ' stsl.', ' psl.']
3	okoralý	['všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' stisl.', ' lat.', ' alb.', ' arm.', ' ie.']
3	okov	['všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' lit.', ' sthn.', ' lat.', ' ir.', ' toch.', ' ie.']
2	olympiáda	['ř.', ' ř.', ' r.']
3	omítka	['všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' balt.', ' lit.', ' lot.', ' ie.']
3	opar	['všesl.', ' p.', ' r.', ' psl.', ' ř.', ' chet.', ' ie.']
2	opatrný	['č.', ' slk.', ' p.', ' ukr.', ' ie.', ' sthn.', ' něm.', ' arm.']
2	opereta	['it.']
2	oplzlý	['stč.', ' stč.']
2	oportunismus	['fr.', ' lat.']
2	optimismus	['něm.', ' fr.', ' lat.', ' něm.']
2	osada	['všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' gót.', ' něm.', ' angl.', ' ch.', ' s.', ' lit.', ' lot.', ' lat.', ' ř.', ' sti.', ' ie.']
3	osmahlý	['p.', ' sln.', ' csl.', ' lit.']
3	osnova	['všesl.', ' p.', ' r.', ' psl.', ' lot.', ' stisl.', ' stangl.', ' lat.', ' ř.', ' arm.', ' sti.', ' ie.']
3	ostouzet	['p.', ' r.', ' sln.', ' stsl.', ' psl.']
2	ostrakismus	['ř.']
2	ošidný	['slk.', ' p.', ' střhn.', ' č.']
3	oštěp	['stč.', ' p.']
2	otrlý	['všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' lit.', ' lot.', ' něm.', ' angl.', ' lat.', ' alb.', ' ř.', ' ie.', 'p.', ' bsl.', 'stč.', 'hl.', ' gót.', ' stisl.', ' stangl.', ' osk.', ' sti.', ' slov.']
2	otvírat	['psl.', 'p.', ' sln.', ' stsl.', ' psl.', ' slk.', ' p.', ' lit.', ' lat.', ' sti.', ' gót.', ' něm.', ' ie.']
3	ovar	['všesl.', ' p.st.', ' r.', ' stsl.', ' psl.', ' gót.', ' něm.', ' angl.', ' arm.', ' chet.', ' ie.']
2	ovívat	['všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' lit.', ' gót.', ' něm.', ' sti.', ' ie.']
3	paběrek	['sln.', ' b.', ' psl.']
2	padrť	['stč.', ' r.']
2	paňáca	['něm.', ' it.']
2	parfumerie	['fr.']
2	parmezán	['fr.']
3	paseka	['stč.', ' p.', ' r.', ' ch.', ' s.', ' stsl.', ' psl.', ' lit.', ' sthn.', ' lat.', ' střir.', ' ie.', ' č.']
2	pastor	['lat.']
3	pastorek	['sln.', ' csl.', ' psl.', ' lit.']
2	personifikace	['lat.', ' lat.', ' něm.', ' střlat.', ' pozdnělat.']
2	pěší	['všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' lit.', ' ie.', ' něm.', ' angl.', ' lat.', ' ř.', ' sti.', ' slov.', ' balt.']
2	píďalka	['všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' ie.', ' něm.']
2	píšťala	['stč.', ' psl.', ' předsl.']
3	píštěl	['něm.', ' lat.']
2	pitbul	['angl.', ' angl.']
2	placatý	['č.']
3	placka	['zsl.', ' něm.', ' č.']
2	plameňák	['něm.', ' šp.', ' lat.', ' niz.']
2	plastelína	['něm.']
2	platonický	['ř.']
2	plebejec	['něm.', ' lat.', ' ř.']
2	plenér	['fr.']
2	plisovaný	['fr.', ' lat.']
2	plivník	['všesl.', ' p.', ' r.', ' csl.', ' ch.', ' stsl.', ' psl.', ' lit.', ' lot.', ' slov.', ' ie.', ' sthn.', ' ř.', ' sti.']
3	ploský	['všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' lit.', ' slov.', ' lot.', ' lat.', ' ř.', ' něm.']
2	ploštice	['r.']
3	pobuda	['všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' lit.', ' angl.', ' sthn.', ' stir.', ' lat.', ' ř.', ' sti.', ' ie.']
2	počátek	['stč.', ' všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' ie.', ' lat.', ' ř.', ' sti.', ' něm.']
3	počet	['stč.']
2	podběl	['všesl.', ' p.', ' r.', ' ch.', ' psl.']
3	podezřelý	['p.', ' r.', ' lat.']
2	podmínka	['č.']
2	podolek	['stč.', ' všesl.', ' p.', ' r.', ' ch.', ' s.', ' stsl.', ' psl.', ' gót.', ' stisl.', ' něm.', ' wal.', ' ie.']
3	podrážka	['všesl.', ' psl.', ' ie.']
2	podrobný	['všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' gót.', ' stisl.', ' ie.', ' balt.', ' lit.', ' lot.']
2	podvádět	['všesl.', ' psl.', ' ie.', ' p.', ' r.', ' stsl.', ' lit.', ' lot.', ' stir.', ' av.']
2	pohanka	['p.', ' sln.', ' stsl.', ' vlat.', ' lat.']
2	pohovka	['hl.', ' r.', ' ch.', ' stsl.', ' psl.', ' lat.', ' ie.']
2	pohřbít	['stč.', ' r.', ' sln.', ' csl.', ' psl.']
3	pohřešovat	['stč.']
3	pohůnek	['všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' lit.', ' stisl.', ' stir.', ' lat.', ' ř.', ' sti.', ' chet.', ' ie.']
3	poklad	['č.']
2	pokora	['všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' lot.', ' sthn.', ' lat.', ' ir.', ' ř.', ' ie.']
3	pokrytec	['lat.', ' ř.']
2	polárka	['lat.']
3	polévka	['stč.']
2	policajt	['něm.']
3	polka	['r.']
2	polnice	['všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' ie.', ' stšvéd.', ' arm.', ' něm.', ' angl.']
3	pomáhat	['všesl.', ' p.', ' r.', ' stsl.', ' psl.']
2	pomatený	['slk.', ' stsl.', ' psl.', ' lit.', ' sti.', ' ie.']
3	pominutý	['všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' ie.', ' střwal.', ' lat.']
3	pomlázka	['všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' stpr.', ' stangl.', ' wal.', ' lat.', ' ř.', ' sti.', ' ie.']
2	pomoc	['všesl.', ' p.', ' r.', ' stsl.', ' psl.']
2	pondělí	['všesl.', ' p.', ' r.', ' ch.', ' stsl.', ' č.']
2	ponětí	['r.']
2	popouzet	['všesl.', ' p.', ' ch.', ' psl.', ' lit.', ' lat.', ' ie.', ' slov.']
2	popravit	['stč.', ' něm.']
2	poroba	['č.']
3	poručík	['r.', ' p.', ' č.', ' fr.', ' pozdnělat.']
2	poručit	['stč.']
3	poschodí	['stč.']
3	postava	['psl.', ' fr.', ' lat.']
2	posunek	['všesl.', ' p.', ' r.', ' sln.', ' csl.', ' psl.', ' lit.', ' lot.', ' gót.', ' ie.', ' stisl.', ' angl.', ' něm.', ' sti.', ' chet.', ' slov.']
2	posvícení	['stč.']
3	potenciální	['něm.', ' fr.', ' lat.']
2	potentát	['něm.', ' fr.', ' střlat.', ' lat.']
2	potěr	['všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' lit.', ' lot.', ' něm.', ' angl.', ' lat.', ' alb.', ' ř.', ' ie.']
2	potlach	['angl.', ' severoam.', ' č.']
2	potměchuť	['slk.', ' něm.', ' lat.']
2	potok	['všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' lit.', ' gót.', ' něm.', ' stir.', ' alb.', ' stč.', ' angl.', ' sti.', ' ie.']
2	potřeba	['všesl.', ' p.', ' stsl.', ' psl.', ' r.', ' ie.', ' stpr.', ' gót.', ' něm.', ' ř.', ' sti.']
2	pouštět	['psl.']
4	povaha	['č.', ' stč.']
2	pověst	['p.', ' r.', ' ch.', ' stsl.', ' psl.']
2	povídat	['stč.', ' slk.', ' p.', ' sln.', ' stsl.', ' psl.']
2	predikát	['lat.']
3	prefabrikát	['lat.', 'něm.', ' lat.']
2	preparát	['něm.', ' lat.']
2	presbytář	['střlat.', ' pozdnělat.', ' ř.']
2	prodlévat	['č.']
2	produkce	['něm.', ' fr.', ' lat.']
2	prohnaný	['něm.', ' střhn.']
2	projektil	['něm.', ' fr.', ' nlat.', ' lat.']
2	proklatý	['lat.', ' ř.', 'všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' ie.', ' stangl.', ' sti.', ' něm.', ' angl.', ' gót.']
2	proláklina	['stč.', ' stč.', ' str.', ' stsl.', ' psl.', ' lit.', ' ie.']
2	prolínat	['slk.', ' hl.', ' r.', ' jsl.', ' p.', ' psl.', ' zsl.', ' č.', ' lit.', ' gót.', ' stir.', ' lat.', ' ř.', ' sti.', ' ie.', ' angl.', ' něm.', 'r.']
4	propast	['p.', ' r.', ' stsl.', ' psl.']
2	prostěradlo	['slk.', ' hl.', ' r.', ' jsl.', ' p.', ' psl.', ' zsl.', ' č.', ' lit.', ' gót.', ' stir.', ' lat.', ' ř.', ' sti.', ' ie.', ' angl.', ' něm.', 'p.', ' ch.', ' s.', ' stsl.', ' alb.']
3	protestant	['střlat.', ' něm.', ' fr.', ' ř.']
2	pruderie	['fr.', ' stfr.', ' pozdnělat.', ' lat.']
2	prudký	['p.', ' ukr.', ' psl.']
2	pryž	['p.', ' psl.']
3	přebor	['r.']
3	přednáška	['něm.']
2	předsevzetí	['všesl.', ' p.', ' r.', ' stsl.', ' psl.']
2	představit	['něm.', ' p.', ' r.', ' sln.', ' csl.', ' psl.']
2	překotný	['všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' lit.', ' něm.', ' lat.', ' ř.', ' ie.', 'stč.', ' ir.', ' č.']
