novy par: afakie --> afakický	 pravidlo: N-e --> A-cký
novy par: ileostomie --> ileostomický	 pravidlo: N-e --> A-cký
novy par: imunologie --> imunologický	 pravidlo: N-e --> A-cký
novy par: indologie --> indologický	 pravidlo: N-e --> A-cký
novy par: interferometrie --> interferometrický	 pravidlo: N-e --> A-cký
novy par: ironie --> ironický	 pravidlo: N-e --> A-cký
novy par: ischemie --> ischemický	 pravidlo: N-e --> A-cký
novy par: izometrie --> izometrický	 pravidlo: N-e --> A-cký
novy par: kakofonie --> kakofonický	 pravidlo: N-e --> A-cký
novy par: kaligrafie --> kaligrafický	 pravidlo: N-e --> A-cký
novy par: kalorie --> kalorický	 pravidlo: N-e --> A-cký
novy par: kalorimetrie --> kalorimetrický	 pravidlo: N-e --> A-cký
novy par: kanonie --> kanonický	 pravidlo: N-e --> A-cký
novy par: kardiochirurgie --> kardiochirurgický	 pravidlo: N-e --> A-cký
novy par: kardiologie --> kardiologický	 pravidlo: N-e --> A-cký
novy par: kartografie --> kartografický	 pravidlo: N-e --> A-cký
novy par: katatonie --> katatonický	 pravidlo: N-e --> A-cký
novy par: kategorie --> kategorický	 pravidlo: N-e --> A-cký
novy par: kinematografie --> kinematografický	 pravidlo: N-e --> A-cký
novy par: klaustrofobie --> klaustrofobický	 pravidlo: N-e --> A-cký
novy par: klimatologie --> klimatologický	 pravidlo: N-e --> A-cký
novy par: kolorimetrie --> kolorimetrický	 pravidlo: N-e --> A-cký
novy par: kolostomie --> kolostomický	 pravidlo: N-e --> A-cký
novy par: kosmografie --> kosmografický	 pravidlo: N-e --> A-cký
novy par: kosmologie --> kosmologický	 pravidlo: N-e --> A-cký
novy par: kriminologie --> kriminologický	 pravidlo: N-e --> A-cký
novy par: kryochirurgie --> kryochirurgický	 pravidlo: N-e --> A-cký
novy par: kryptografie --> kryptografický	 pravidlo: N-e --> A-cký
novy par: kryptologie --> kryptologický	 pravidlo: N-e --> A-cký
novy par: krystalografie --> krystalografický	 pravidlo: N-e --> A-cký
novy par: kulturologie --> kulturologický	 pravidlo: N-e --> A-cký
novy par: kynologie --> kynologický	 pravidlo: N-e --> A-cký
novy par: laparoskopie --> laparoskopický	 pravidlo: N-e --> A-cký
novy par: letargie --> letargický	 pravidlo: N-e --> A-cký
novy par: leukemie --> leukemický	 pravidlo: N-e --> A-cký
novy par: lexikografie --> lexikografický	 pravidlo: N-e --> A-cký
novy par: litografie --> litografický	 pravidlo: N-e --> A-cký
novy par: liturgie --> liturgický	 pravidlo: N-e --> A-cký
novy par: logopedie --> logopedický	 pravidlo: N-e --> A-cký
novy par: magie --> magický	 pravidlo: N-e --> A-cký
novy par: makroekonomie --> makroekonomický	 pravidlo: N-e --> A-cký
novy par: mammografie --> mammografický	 pravidlo: N-e --> A-cký
novy par: mamografie --> mamografický	 pravidlo: N-e --> A-cký
novy par: megalomanie --> megalomanický	 pravidlo: N-e --> A-cký
novy par: melancholie --> melancholický	 pravidlo: N-e --> A-cký
novy par: melodie --> melodický	 pravidlo: N-e --> A-cký
novy par: metalografie --> metalografický	 pravidlo: N-e --> A-cký
novy par: metalurgie --> metalurgický	 pravidlo: N-e --> A-cký
novy par: meteorologie --> meteorologický	 pravidlo: N-e --> A-cký
novy par: metodologie --> metodologický	 pravidlo: N-e --> A-cký
novy par: metrologie --> metrologický	 pravidlo: N-e --> A-cký
novy par: mikrobiologie --> mikrobiologický	 pravidlo: N-e --> A-cký
novy par: mikroekonomie --> mikroekonomický	 pravidlo: N-e --> A-cký
novy par: mikrografie --> mikrografický	 pravidlo: N-e --> A-cký
novy par: mikrochirurgie --> mikrochirurgický	 pravidlo: N-e --> A-cký
novy par: mikroskopie --> mikroskopický	 pravidlo: N-e --> A-cký
novy par: mineralogie --> mineralogický	 pravidlo: N-e --> A-cký
novy par: monarchie --> monarchický	 pravidlo: N-e --> A-cký
novy par: monografie --> monografický	 pravidlo: N-e --> A-cký
novy par: monomanie --> monomanický	 pravidlo: N-e --> A-cký
novy par: morfologie --> morfologický	 pravidlo: N-e --> A-cký
novy par: muzikologie --> muzikologický	 pravidlo: N-e --> A-cký
novy par: mykologie --> mykologický	 pravidlo: N-e --> A-cký
novy par: myopie --> myopický	 pravidlo: N-e --> A-cký
novy par: mysterie --> mysterický	 pravidlo: N-e --> A-cký
novy par: mytologie --> mytologický	 pravidlo: N-e --> A-cký
novy par: nanotechnologie --> nanotechnologický	 pravidlo: N-e --> A-cký
novy par: nefrologie --> nefrologický	 pravidlo: N-e --> A-cký
novy par: nesymetrie --> nesymetrický	 pravidlo: N-e --> A-cký
novy par: nesympatie --> nesympatický	 pravidlo: N-e --> A-cký
novy par: neuralgie --> neuralgický	 pravidlo: N-e --> A-cký
novy par: neurastenie --> neurastenický	 pravidlo: N-e --> A-cký
novy par: neurobiologie --> neurobiologický	 pravidlo: N-e --> A-cký
novy par: neurofyziologie --> neurofyziologický	 pravidlo: N-e --> A-cký
novy par: neurochemie --> neurochemický	 pravidlo: N-e --> A-cký
novy par: neurochirurgie --> neurochirurgický	 pravidlo: N-e --> A-cký
novy par: neurologie --> neurologický	 pravidlo: N-e --> A-cký
novy par: neuropatie --> neuropatický	 pravidlo: N-e --> A-cký
novy par: neuropatologie --> neuropatologický	 pravidlo: N-e --> A-cký
novy par: neuropsychologie --> neuropsychologický	 pravidlo: N-e --> A-cký
novy par: neuroradiologie --> neuroradiologický	 pravidlo: N-e --> A-cký
novy par: neutropenie --> neutropenický	 pravidlo: N-e --> A-cký
novy par: nostalgie --> nostalgický	 pravidlo: N-e --> A-cký
novy par: numerologie --> numerologický	 pravidlo: N-e --> A-cký
novy par: oceánografie --> oceánografický	 pravidlo: N-e --> A-cký
novy par: oceánologie --> oceánologický	 pravidlo: N-e --> A-cký
novy par: oftalmologie --> oftalmologický	 pravidlo: N-e --> A-cký
novy par: oligarchie --> oligarchický	 pravidlo: N-e --> A-cký
novy par: onkologie --> onkologický	 pravidlo: N-e --> A-cký
novy par: ontologie --> ontologický	 pravidlo: N-e --> A-cký
novy par: optometrie --> optometrický	 pravidlo: N-e --> A-cký
novy par: ornitologie --> ornitologický	 pravidlo: N-e --> A-cký
novy par: orografie --> orografický	 pravidlo: N-e --> A-cký
novy par: ortodontie --> ortodontický	 pravidlo: N-e --> A-cký
novy par: ortopedie --> ortopedický	 pravidlo: N-e --> A-cký
novy par: paleontologie --> paleontologický	 pravidlo: N-e --> A-cký
novy par: pandemie --> pandemický	 pravidlo: N-e --> A-cký
novy par: parapsychologie --> parapsychologický	 pravidlo: N-e --> A-cký
novy par: parazitologie --> parazitologický	 pravidlo: N-e --> A-cký
novy par: parodie --> parodický	 pravidlo: N-e --> A-cký
novy par: patofyziologie --> patofyziologický	 pravidlo: N-e --> A-cký
novy par: patologie --> patologický	 pravidlo: N-e --> A-cký
novy par: patologie --> patologický	 pravidlo: N-e --> A-cký
novy par: pedagogie --> pedagogický	 pravidlo: N-e --> A-cký
novy par: pediatrie --> pediatrický	 pravidlo: N-e --> A-cký
novy par: pedologie --> pedologický	 pravidlo: N-e --> A-cký
novy par: penologie --> penologický	 pravidlo: N-e --> A-cký
novy par: petrochemie --> petrochemický	 pravidlo: N-e --> A-cký
novy par: planetologie --> planetologický	 pravidlo: N-e --> A-cký
novy par: politologie --> politologický	 pravidlo: N-e --> A-cký
novy par: polyfonie --> polyfonický	 pravidlo: N-e --> A-cký
novy par: polygrafie --> polygrafický	 pravidlo: N-e --> A-cký
novy par: pomologie --> pomologický	 pravidlo: N-e --> A-cký
novy par: porfyrie --> porfyrický	 pravidlo: N-e --> A-cký
novy par: pornografie --> pornografický	 pravidlo: N-e --> A-cký
novy par: prehistorie --> prehistorický	 pravidlo: N-e --> A-cký
novy par: psychiatrie --> psychiatrický	 pravidlo: N-e --> A-cký
novy par: psychologie --> psychologický	 pravidlo: N-e --> A-cký
novy par: psychometrie --> psychometrický	 pravidlo: N-e --> A-cký
novy par: psychopatie --> psychopatický	 pravidlo: N-e --> A-cký
novy par: psychopatologie --> psychopatologický	 pravidlo: N-e --> A-cký
novy par: radioastronomie --> radioastronomický	 pravidlo: N-e --> A-cký
novy par: radiobiologie --> radiobiologický	 pravidlo: N-e --> A-cký
novy par: radiofonie --> radiofonický	 pravidlo: N-e --> A-cký
novy par: radiografie --> radiografický	 pravidlo: N-e --> A-cký
novy par: radiochemie --> radiochemický	 pravidlo: N-e --> A-cký
novy par: radiologie --> radiologický	 pravidlo: N-e --> A-cký
novy par: radiometrie --> radiometrický	 pravidlo: N-e --> A-cký
novy par: radiotelefonie --> radiotelefonický	 pravidlo: N-e --> A-cký
novy par: radiotelegrafie --> radiotelegrafický	 pravidlo: N-e --> A-cký
novy par: rapsodie --> rapsodický	 pravidlo: N-e --> A-cký
novy par: refraktometrie --> refraktometrický	 pravidlo: N-e --> A-cký
novy par: reologie --> reologický	 pravidlo: N-e --> A-cký
novy par: reprografie --> reprografický	 pravidlo: N-e --> A-cký
novy par: revmatologie --> revmatologický	 pravidlo: N-e --> A-cký
novy par: scénografie --> scénografický	 pravidlo: N-e --> A-cký
novy par: scientologie --> scientologický	 pravidlo: N-e --> A-cký
novy par: scintigrafie --> scintigrafický	 pravidlo: N-e --> A-cký
novy par: sebeironie --> sebeironický	 pravidlo: N-e --> A-cký
novy par: serologie --> serologický	 pravidlo: N-e --> A-cký
novy par: sérologie --> sérologický	 pravidlo: N-e --> A-cký
novy par: sexuologie --> sexuologický	 pravidlo: N-e --> A-cký
novy par: schizofrenie --> schizofrenický	 pravidlo: N-e --> A-cký
novy par: sinologie --> sinologický	 pravidlo: N-e --> A-cký
novy par: sociobiologie --> sociobiologický	 pravidlo: N-e --> A-cký
novy par: sociologie --> sociologický	 pravidlo: N-e --> A-cký
novy par: sociopatie --> sociopatický	 pravidlo: N-e --> A-cký
novy par: sonografie --> sonografický	 pravidlo: N-e --> A-cký
novy par: spektrofotometrie --> spektrofotometrický	 pravidlo: N-e --> A-cký
novy par: spektrometrie --> spektrometrický	 pravidlo: N-e --> A-cký
novy par: spektroskopie --> spektroskopický	 pravidlo: N-e --> A-cký
novy par: speleologie --> speleologický	 pravidlo: N-e --> A-cký
novy par: spirometrie --> spirometrický	 pravidlo: N-e --> A-cký
novy par: stechiometrie --> stechiometrický	 pravidlo: N-e --> A-cký
novy par: stereoskopie --> stereoskopický	 pravidlo: N-e --> A-cký
novy par: stomatologie --> stomatologický	 pravidlo: N-e --> A-cký
novy par: strategie --> strategický	 pravidlo: N-e --> A-cký
novy par: stratigrafie --> stratigrafický	 pravidlo: N-e --> A-cký
novy par: symetrie --> symetrický	 pravidlo: N-e --> A-cký
novy par: symfonie --> symfonický	 pravidlo: N-e --> A-cký
novy par: sympatie --> sympatický	 pravidlo: N-e --> A-cký
novy par: synergie --> synergický	 pravidlo: N-e --> A-cký
novy par: synchronie --> synchronický	 pravidlo: N-e --> A-cký
novy par: synonymie --> synonymický	 pravidlo: N-e --> A-cký
novy par: tautologie --> tautologický	 pravidlo: N-e --> A-cký
novy par: taxonomie --> taxonomický	 pravidlo: N-e --> A-cký
novy par: technologie --> technologický	 pravidlo: N-e --> A-cký
novy par: telefonie --> telefonický	 pravidlo: N-e --> A-cký
novy par: telegrafie --> telegrafický	 pravidlo: N-e --> A-cký
novy par: telemetrie --> telemetrický	 pravidlo: N-e --> A-cký
novy par: teleologie --> teleologický	 pravidlo: N-e --> A-cký
novy par: telepatie --> telepatický	 pravidlo: N-e --> A-cký
novy par: teologie --> teologický	 pravidlo: N-e --> A-cký
novy par: terminologie --> terminologický	 pravidlo: N-e --> A-cký
novy par: termografie --> termografický	 pravidlo: N-e --> A-cký
novy par: tomografie --> tomografický	 pravidlo: N-e --> A-cký
novy par: topografie --> topografický	 pravidlo: N-e --> A-cký
novy par: topologie --> topologický	 pravidlo: N-e --> A-cký
novy par: toxikologie --> toxikologický	 pravidlo: N-e --> A-cký
novy par: tracheostomie --> tracheostomický	 pravidlo: N-e --> A-cký
novy par: traumatologie --> traumatologický	 pravidlo: N-e --> A-cký
novy par: tribologie --> tribologický	 pravidlo: N-e --> A-cký
novy par: trigonometrie --> trigonometrický	 pravidlo: N-e --> A-cký
novy par: tromboembolie --> tromboembolický	 pravidlo: N-e --> A-cký
novy par: typografie --> typografický	 pravidlo: N-e --> A-cký
novy par: typologie --> typologický	 pravidlo: N-e --> A-cký
novy par: ufologie --> ufologický	 pravidlo: N-e --> A-cký
novy par: ultrasonografie --> ultrasonografický	 pravidlo: N-e --> A-cký
novy par: urologie --> urologický	 pravidlo: N-e --> A-cký
novy par: utopie --> utopický	 pravidlo: N-e --> A-cký
novy par: virologie --> virologický	 pravidlo: N-e --> A-cký
novy par: vulkanologie --> vulkanologický	 pravidlo: N-e --> A-cký
novy par: xenofobie --> xenofobický	 pravidlo: N-e --> A-cký
novy par: xerografie --> xerografický	 pravidlo: N-e --> A-cký
novy par: zoogeografie --> zoogeografický	 pravidlo: N-e --> A-cký
novy par: zoologie --> zoologický	 pravidlo: N-e --> A-cký
novy par: abdikace --> abdikační	 pravidlo: N-ce --> A-ční
novy par: abdukce --> abdukční	 pravidlo: N-ce --> A-ční
novy par: ablace --> ablační	 pravidlo: N-ce --> A-ční
novy par: absence --> absenční	 pravidlo: N-ce --> A-ční
novy par: absorbance --> absorbanční	 pravidlo: N-ce --> A-ční
novy par: absorbce --> absorbční	 pravidlo: N-ce --> A-ční
novy par: absorpce --> absorpční	 pravidlo: N-ce --> A-ční
novy par: abstinence --> abstinenční	 pravidlo: N-ce --> A-ční
novy par: adaptace --> adaptační	 pravidlo: N-ce --> A-ční
novy par: adice --> adiční	 pravidlo: N-ce --> A-ční
novy par: adjustace --> adjustační	 pravidlo: N-ce --> A-ční
novy par: administrace --> administrační	 pravidlo: N-ce --> A-ční
novy par: adopce --> adopční	 pravidlo: N-ce --> A-ční
novy par: adsorpce --> adsorpční	 pravidlo: N-ce --> A-ční
novy par: advekce --> advekční	 pravidlo: N-ce --> A-ční
novy par: aerace --> aerační	 pravidlo: N-ce --> A-ční
novy par: agitace --> agitační	 pravidlo: N-ce --> A-ční
novy par: aglomerace --> aglomerační	 pravidlo: N-ce --> A-ční
novy par: aglutinace --> aglutinační	 pravidlo: N-ce --> A-ční
novy par: agregace --> agregační	 pravidlo: N-ce --> A-ční
novy par: akce --> akční	 pravidlo: N-ce --> A-ční
novy par: akcelerace --> akcelerační	 pravidlo: N-ce --> A-ční
novy par: akceptace --> akceptační	 pravidlo: N-ce --> A-ční
novy par: aklamace --> aklamační	 pravidlo: N-ce --> A-ční
novy par: aklimatizace --> aklimatizační	 pravidlo: N-ce --> A-ční
novy par: akomodace --> akomodační	 pravidlo: N-ce --> A-ční
novy par: akrece --> akreční	 pravidlo: N-ce --> A-ční
novy par: akreditace --> akreditační	 pravidlo: N-ce --> A-ční
novy par: aktivace --> aktivační	 pravidlo: N-ce --> A-ční
novy par: aktivizace --> aktivizační	 pravidlo: N-ce --> A-ční
novy par: aktualizace --> aktualizační	 pravidlo: N-ce --> A-ční
novy par: akumulace --> akumulační	 pravidlo: N-ce --> A-ční
novy par: akvizice --> akviziční	 pravidlo: N-ce --> A-ční
novy par: aliance --> alianční	 pravidlo: N-ce --> A-ční
novy par: alimentace --> alimentační	 pravidlo: N-ce --> A-ční
novy par: aliterace --> aliterační	 pravidlo: N-ce --> A-ční
novy par: alkylace --> alkylační	 pravidlo: N-ce --> A-ční
novy par: alokace --> alokační	 pravidlo: N-ce --> A-ční
novy par: ambulance --> ambulanční	 pravidlo: N-ce --> A-ční
novy par: amortizace --> amortizační	 pravidlo: N-ce --> A-ční
novy par: amplifikace --> amplifikační	 pravidlo: N-ce --> A-ční
novy par: anihilace --> anihilační	 pravidlo: N-ce --> A-ční
novy par: animace --> animační	 pravidlo: N-ce --> A-ční
novy par: anotace --> anotační	 pravidlo: N-ce --> A-ční
novy par: anticipace --> anticipační	 pravidlo: N-ce --> A-ční
