scenario: Load file=fulltest.tsv CS::ExtractCandidatesForUnexploitedRules
novy par: candid --> candida	 pravidlo: A- --> A-a
novy par: myslivý --> myslivec	 pravidlo: A-ý --> N-ec
novy par: nadšený --> nadšenec	 pravidlo: A-ý --> N-ec
novy par: nadutý --> nadutec	 pravidlo: A-ý --> N-ec
novy par: nafoukaný --> nafoukanec	 pravidlo: A-ý --> N-ec
novy par: nalezený --> nalezenec	 pravidlo: A-ý --> N-ec
novy par: namyšlený --> namyšlenec	 pravidlo: A-ý --> N-ec
novy par: nedbalý --> nedbalec	 pravidlo: A-ý --> N-ec
novy par: nedočkavý --> nedočkavec	 pravidlo: A-ý --> N-ec
novy par: nedonošený --> nedonošenec	 pravidlo: A-ý --> N-ec
novy par: nedospělý --> nedospělec	 pravidlo: A-ý --> N-ec
novy par: nedůvěřivý --> nedůvěřivec	 pravidlo: A-ý --> N-ec
novy par: neduživý --> neduživec	 pravidlo: A-ý --> N-ec
novy par: nechápavý --> nechápavec	 pravidlo: A-ý --> N-ec
novy par: nenažraný --> nenažranec	 pravidlo: A-ý --> N-ec
novy par: nenechavý --> nenechavec	 pravidlo: A-ý --> N-ec
novy par: neoblíbený --> neoblíbenec	 pravidlo: A-ý --> N-ec
novy par: neohrabaný --> neohrabanec	 pravidlo: A-ý --> N-ec
novy par: neomalený --> neomalenec	 pravidlo: A-ý --> N-ec
novy par: neotesaný --> neotesanec	 pravidlo: A-ý --> N-ec
novy par: nepoctivý --> nepoctivec	 pravidlo: A-ý --> N-ec
novy par: nesnášenlivý --> nesnášenlivec	 pravidlo: A-ý --> N-ec
novy par: nespavý --> nespavec	 pravidlo: A-ý --> N-ec
novy par: nespokojený --> nespokojenec	 pravidlo: A-ý --> N-ec
novy par: netrpělivý --> netrpělivec	 pravidlo: A-ý --> N-ec
novy par: neumělý --> neumělec	 pravidlo: A-ý --> N-ec
novy par: neurvalý --> neurvalec	 pravidlo: A-ý --> N-ec
novy par: nevědomý --> nevědomec	 pravidlo: A-ý --> N-ec
novy par: nevraživý --> nevraživec	 pravidlo: A-ý --> N-ec
novy par: nevychovaný --> nevychovanec	 pravidlo: A-ý --> N-ec
novy par: nevzdělaný --> nevzdělanec	 pravidlo: A-ý --> N-ec
novy par: nezasvěcený --> nezasvěcenec	 pravidlo: A-ý --> N-ec
novy par: nezletilý --> nezletilec	 pravidlo: A-ý --> N-ec
novy par: neznalý --> neznalec	 pravidlo: A-ý --> N-ec
novy par: nosatý --> nosatec	 pravidlo: A-ý --> N-ec
novy par: novorozený --> novorozenec	 pravidlo: A-ý --> N-ec
novy par: oběšený --> oběšenec	 pravidlo: A-ý --> N-ec
novy par: obětavý --> obětavec	 pravidlo: A-ý --> N-ec
novy par: oblíbený --> oblíbenec	 pravidlo: A-ý --> N-ec
novy par: obratlový --> obratlovec	 pravidlo: A-ý --> N-ec
novy par: obrněný --> obrněnec	 pravidlo: A-ý --> N-ec
novy par: obrozený --> obrozenec	 pravidlo: A-ý --> N-ec
novy par: obrýlený --> obrýlenec	 pravidlo: A-ý --> N-ec
novy par: odchovaný --> odchovanec	 pravidlo: A-ý --> N-ec
novy par: odraný --> odranec	 pravidlo: A-ý --> N-ec
novy par: odrodilý --> odrodilec	 pravidlo: A-ý --> N-ec
novy par: odsouzený --> odsouzenec	 pravidlo: A-ý --> N-ec
novy par: odštěpený --> odštěpenec	 pravidlo: A-ý --> N-ec
novy par: odvážlivý --> odvážlivec	 pravidlo: A-ý --> N-ec
novy par: odvedený --> odvedenec	 pravidlo: A-ý --> N-ec
novy par: odvržený --> odvrženec	 pravidlo: A-ý --> N-ec
novy par: ohnivý --> ohnivec	 pravidlo: A-ý --> N-ec
novy par: ohňový --> ohňovec	 pravidlo: A-ý --> N-ec
novy par: okřídlený --> okřídlenec	 pravidlo: A-ý --> N-ec
novy par: omezený --> omezenec	 pravidlo: A-ý --> N-ec
novy par: opeřený --> opeřenec	 pravidlo: A-ý --> N-ec
novy par: opilý --> opilec	 pravidlo: A-ý --> N-ec
novy par: opovážlivý --> opovážlivec	 pravidlo: A-ý --> N-ec
novy par: opozdilý --> opozdilec	 pravidlo: A-ý --> N-ec
novy par: opožděný --> opožděnec	 pravidlo: A-ý --> N-ec
novy par: ořechový --> ořechovec	 pravidlo: A-ý --> N-ec
novy par: osamělý --> osamělec	 pravidlo: A-ý --> N-ec
novy par: osídlený --> osídlenec	 pravidlo: A-ý --> N-ec
novy par: ospalý --> ospalec	 pravidlo: A-ý --> N-ec
novy par: ostnatý --> ostnatec	 pravidlo: A-ý --> N-ec
novy par: osvícený --> osvícenec	 pravidlo: A-ý --> N-ec
novy par: osvojený --> osvojenec	 pravidlo: A-ý --> N-ec
novy par: ošklivý --> ošklivec	 pravidlo: A-ý --> N-ec
novy par: otrhaný --> otrhanec	 pravidlo: A-ý --> N-ec
novy par: otužilý --> otužilec	 pravidlo: A-ý --> N-ec
novy par: ozbrojený --> ozbrojenec	 pravidlo: A-ý --> N-ec
novy par: ožralý --> ožralec	 pravidlo: A-ý --> N-ec
novy par: pásový --> pásovec	 pravidlo: A-ý --> N-ec
novy par: pavoukový --> pavoukovec	 pravidlo: A-ý --> N-ec
novy par: perleťový --> perleťovec	 pravidlo: A-ý --> N-ec
novy par: pernatý --> pernatec	 pravidlo: A-ý --> N-ec
novy par: píchaný --> píchanec	 pravidlo: A-ý --> N-ec
novy par: pískový --> pískovec	 pravidlo: A-ý --> N-ec
novy par: pitomý --> pitomec	 pravidlo: A-ý --> N-ec
@	novy par: plavý --> plavec	 pravidlo: A-ý --> N-ec
novy par: plesnivý --> plesnivec	 pravidlo: A-ý --> N-ec
novy par: plešatý --> plešatec	 pravidlo: A-ý --> N-ec
novy par: pletený --> pletenec	 pravidlo: A-ý --> N-ec
novy par: plstěný --> plstěnec	 pravidlo: A-ý --> N-ec
novy par: pobloudilý --> pobloudilec	 pravidlo: A-ý --> N-ec
novy par: poctivý --> poctivec	 pravidlo: A-ý --> N-ec
novy par: podělaný --> podělanec	 pravidlo: A-ý --> N-ec
novy par: podlézavý --> podlézavec	 pravidlo: A-ý --> N-ec
novy par: podnikavý --> podnikavec	 pravidlo: A-ý --> N-ec
novy par: podvržený --> podvrženec	 pravidlo: A-ý --> N-ec
novy par: pojištěný --> pojištěnec	 pravidlo: A-ý --> N-ec
novy par: pokrytý --> pokrytec	 pravidlo: A-ý --> N-ec
novy par: polovzdělaný --> polovzdělanec	 pravidlo: A-ý --> N-ec
novy par: pomatený --> pomatenec	 pravidlo: A-ý --> N-ec
novy par: pomstychtivý --> pomstychtivec	 pravidlo: A-ý --> N-ec
novy par: popudlivý --> popudlivec	 pravidlo: A-ý --> N-ec
novy par: poražený --> poraženec	 pravidlo: A-ý --> N-ec
novy par: poslaný --> poslanec	 pravidlo: A-ý --> N-ec
novy par: pošetilý --> pošetilec	 pravidlo: A-ý --> N-ec
novy par: potetovaný --> potetovanec	 pravidlo: A-ý --> N-ec
novy par: potřeštěný --> potřeštěnec	 pravidlo: A-ý --> N-ec
novy par: pověřený --> pověřenec	 pravidlo: A-ý --> N-ec
novy par: povolaný --> povolanec	 pravidlo: A-ý --> N-ec
novy par: povstalý --> povstalec	 pravidlo: A-ý --> N-ec
novy par: povýšený --> povýšenec	 pravidlo: A-ý --> N-ec
novy par: prachový --> prachovec	 pravidlo: A-ý --> N-ec
novy par: prašivý --> prašivec	 pravidlo: A-ý --> N-ec
novy par: prchlivý --> prchlivec	 pravidlo: A-ý --> N-ec
novy par: proklatý --> proklatec	 pravidlo: A-ý --> N-ec
novy par: prolhaný --> prolhanec	 pravidlo: A-ý --> N-ec
novy par: propletený --> propletenec	 pravidlo: A-ý --> N-ec
novy par: propuštěný --> propuštěnec	 pravidlo: A-ý --> N-ec
