lemma	parents
jednodrážkový	jeden drážka
jednofázový	jeden fáze
jednoduchoučce	jednoduchoučký
jídlonosič	jídlo nosič
jinojazyčný	jiný jazyk
jitrocel	jitrocel
jihoirácký	jižní Irák
jihomandžuský	jižní Mandžusko
jihosrbský	jižní Srbsko
kamenožrout	kámen žrout
kdovíkdy	kdo vědět  kdy
kdovíproč	kdo vědět  proč
kdovíjak	kdo vědět jak
kdovíkam	kdo vědět kam
kdovíkde	kdo vědět kde
kilotuna	kilo tuna
kilovar	kilovar
kilowatt	kilowatt
kmenostup	kmen stoupat
kmenotvorný	kmen tvořit
kolemstojící	kolem stojící
kosovskoalbánský	kosovský albánský
kulohlavec	koule hlava
kozorožec	kozoroh
krabožravý	krab žravý
krátkozobý	krátký zobák
krupobití	kroupa bití
křesťanskoafrický	křesťanský africký
křivočarý	křivý čára
kulturychtivý	kultura chtivý
kulturněhistorický	kulturní historie
kulturněpolitický	kulturní politika
kunětickohorský	Kunětica hora
lázeňskoléčebný	lázeňský léčba
ledochod	led chodit
ledolom	led lomit
lehkoolejářský	lehký olejář
liberálněkonzervativní	liberální konzervativní
libovonný	libý vůně
lichozpeřený	lichý zpeřený
lichožrout	lichý žrout
listožravý	list žravý
polopatě	lopata
lýkožravý	lýko žravý
lýkožrout	lýko žrout
maďarskorakouský	maďarský rakouský
maďarskoslovenský	maďarský slovenský
makrocyt	makro -cyt-
makroagregát	makro agregát
makroanalýza	makro analýza
makroaplikace	makro aplikace
makrobudík	makro budík
makrocyklus	makro cyklus
makrodata	makro data
makrodefinice	makro definice
makroelement	makro element
makroenergetický	makro energie
makrofág	makro fág
makrofauna	makro fauna
makrofunkce	makro funkce
makrofyzika	makro fyzika
makrogameta	makro gameta
makroglie	makro glie
makroglobální	makro globální
makroinstrukce	makro instrukce
makrojazyk	makro jazyk
makroklávesa	makro klávesa
makroklima	makro klima
makroklimatologie	makro klimatologie
makrokonvertor	makro konvertor
makrolid	makro lid
makromédium	makro médium
makronukleus	makro nukleus
makroobjektiv	makro objektiv
makrookolí	makro okolí
makroparazit	makro parazit
makropeptid	makro peptid
makropohled	makro pohled
makropohyb	makro pohyb
makropór	makro pór
makroprincip	makro princip
makroprostor	makro prostor
makroprostředí	makro prostředí
makroprvek	makro prvek
makropřeklad	makro překlad
makropřekladač	makro překladač
makropříkaz	makro příkaz
makroregulace	makro regulace
makrorekordér	makro rekordér
makrorozměr	makro rozměr
makrosféra	makro sféra
makrosnímek	makro snímek
makrosporangium	makro sporangium
makrostav	makro stav
makrosvět	makro svět
makrosystém	makro systém
makrotext	makro text
makroúdaj	makro údaj
makroukazatel	makro ukazatel
makrovegetace	makro vegetace
makroveličina	makro veličina
makrovidění	makro vidění
makrozáběr	makro záběr
makroznak	makro znak
makrozvuk	makro zvuk
makrofagocytóza	makrofág -cyt-
makrostruktura	makrostruktura
mandžuskotunguzský	mandžuský tunguzský
masožravý	maso žravý
meruňkovooranžový	meruňkový oranžový
mimoběžný	mimo běžet
mimobiologický	mimo biologie
mimobursovní	mimo bursa
mimocelní	mimo clo
mimoglobální	mimo globál
mimohospodářský	mimo hospodář
mimoherní	mimo hra
mimokonkursní	mimo konkurs
mimolidský	mimo lid
mimoliterární	mimo literatura
mimomzdový	mimo mzda
mimonárodní	mimo národ
mimonovinářský	mimo novinář
mimoobligační	mimo obligace
mimooborový	mimo obor
mimoodvětvový	mimo odvětví
mimopařížský	mimo Paříž
mimoplanetární	mimo planeta
mimoprofesní	mimo profese
mimoprovozní	mimo provoz
mimoresortní	mimo resort
mimorybářský	mimo rybář
mimosoutěžní	mimo soutěž
mimosterlingový	mimo sterling
mimotrestní	mimo trest
mimotřídní	mimo třída
mimoústecký	mimo Ústí
mimohradecky	mimohradecký
mimozaměstnanecky	mimozaměstnanecký
minigrafický	minigraf
mnohonárodní	mnoho národ
mnohanásobný	mnoho násobek
mnohotvářný	mnoho tvář
modrosemenný	modrý semeno
modrozlatý	modrý zlatý
molekulárněbiologický	molekulární biologie
moravskokrumlovský	moravský Krumlov
moravskoostravský	moravský Ostrava
moravskopanonský	moravský panonský
moravskoslezský	moravský slezský
moravskoslovenský	moravský slovenský
mořenokvětý	mořena květ
moskevskohavanský	moskevský havanský
moskevskopražský	moskevský pražský
motýlokvětý	motýlí květ
mrchožravý	mrcha žravý
mrchožrout	mrcha žrout
německoamerický	německý americký
německofrancouzský	německý francouzský
nízkofrekvenční	nízký frekvence
nízkokapacitní	nízký kapacita
nízkoobjemový	nízký objem
nocležiště	nocleh
nocležna	nocleh
novobydžovský	nový Bydžov
novopythagoreizmus	nový pythagoreizmus
novototalitář	nový totalitář
odkudpak	odkud pak
ostravskokarvinský	ostravský karvinský
ostravskokarvínský	ostravský karvínský
ostravskoopavský	ostravský opavský
ostrovtip	ostrý vtip
oxidoredukční	oxid redukce
palivotěsný	palivo těsný
paravýsadek	parašutistický výsadek
perskoarabský	perský arabský
pětičetný	pět čítat
pětilůžkový	pět lůžko
pětimístný	pět místo
pětioskarový	pět Oskar
pětipísňový	pět píseň
pětiprstový	pět prst
pětiprstý	pět prst
pětisegmentový	pět segment
pětistrunný	pět struna
pětišestinový	pět šestina
pětivrstvý	pět vrstva
písčitohlinitý	písčitý hlinitý
pivobraní	pivo braní
plánograf	plán graf
planetocentrický	planeta centrum
plnobarevný	plný barva
plodožravý	plod žravý
plynoinstalatérský	plyn instalatér
plynovzdušný	plyn vzduch
politickoprávní	politický právo
politickosprávní	politický správa
polokošile	pólo košile
polodivoce	polodivoký
polodivoko	polodivoký
polodlouze	polodlouhý
polohopis	poloha psát
polohermeticky	polohermetický
polohořce	polohořký
polochemicky	polochemický
polojasno	polojasný
polokeřík	polokeř
polokeřovitý	polokeř
polokoloniální	polokolonie
polokoulička	polokoule
polokulovitý	polokoule
polokulový	polokoule
polokroužek	polokruh
polokruhovitý	polokruh
polokružnice	polokruh
polokulaťoučký	polokulatý
pololáník	pololán
pololeže	pololežet
pololežící	pololežet
polomafiánský	polomafián
polooblačno	polooblačný
poloobloukový	polooblouk
polodbornický	poloodborník
polookružní	polookruh
poloopile	poloopilý
poloostrůvek	poloostrov
polootrocký	polootrok
polootroctví	polootrok
poloparazitický	poloparazit
polopouštní	polopoušť
polosedě	polosedět
polosladko	polosladký
polosocialistický	polosocialismus
polospící	polospát
polosyto	polosytý
pološeře	pološerý
pološikmost	pološikmý
polotuze	polotuhý
polovypukle	polovypuklý
polozřícenina	polozřícený
polskočeský	polský český
polskoněmecký	polský německý
polskoslezský	polský slezský
polskoukrajinský	polský ukrajinský
praktickohospodářský	praktický hospodářství
právněhistorický	právní historie
prdelolezectví	prdelolezec
prstoklad	prst klást
průtokoměr	průtok měřit
prvobytný	prvý být
prvouka	prvý učit
prvoústý	prvý ústa
polobrekem	půl brek
polokupolový	půl kupolový
pololetí	půl léto
polodborník	půl odborník
polopito	půl pít
polopláně	půl pláň
pološeptem	půl šepot
poloneurčitý	půl určitý
polonezávislý	půl závislý
položertem	půl žert
půldruhastoletý	půldruhý století
pyložravý	pyl žravý
radiobiologie	radio biologie
radiorezistentní	radio rezistentní
radiograficky	radiografický
rakouskočeský	rakouský český
rakouskošvýcarský	rakouský švýcarský
reklamožrout	reklama žrout
reprocentrum	repro centrum
rostlinožravý	rostlina žravý
rumunskomaďarský	rumunský maďarský
rybožravý	ryba žravý
rychlotavba	rychlý tavba
řeckoturecký	řecký turecký
římskoněmecký	římský německý
římskoslovanský	římský slovanský
samodetekce	sám detekce
samodiagnostika	sám diagnostika
samodiskriminace	sám diskriminace
samofakturace	sám fakturace
samohana	sám hana
samohasicí	sám hasicí
samohodnocení	sám hodnocení
samochvála	sám chvála
samokopírovací	sám kopírovací
samolepicí	sám lepicí
samolepící	sám lepící
samolibý	sám libý
samolustrátor	sám lustrátor
samomluva	sám mluva
samonafukovací	sám nafukovací
samonakládací	sám nakládací
samonápovědný	sám nápovědný
samonatáčecí	sám natáčecí
samonatahovací	sám natahovací
samonavíjecí	sám navíjecí
samonivelační	sám nivelační
samonosný	sám nosný
samoobhajoba	sám obhajovat
samoopalovací	sám opalovací
samoopalující	sám opalující
samopal	sám pálit
samorozhodce	sám rozhodce
samorostlý	sám růst
samořezný	sám řezný
samosběr	sám sběr
samosebou	sám se
samosklopný	sám sklopný
samosoud	sám soud
samosprašný	sám sprašný
samostavitel	sám stavitel
samostavitelný	sám stavitelný
samostředný	sám střed
samostřelný	sám střílet
samosvorný	sám svírat
samotestovací	sám testovací
samotěžba	sám těžba
samotíž	sám tíž
samotok	sám tok
samotvorba	sám tvorba
samouhašení	sám uhašení
samoukájení	sám ukájení
samoupínací	sám upínací
samouspokojení	sám uspokojení
samovařič	sám vařič
samovratný	sám vratný
samovýsev	sám výsev
samovysvětlující	sám vysvětlující
samovzpěrný	sám vzpěrný
samozabarvovací	sám zabarvovací
samozápal	sám zápal
samozaváděcí	sám zaváděcí
samožadatel	sám žadatel
samoleštící	samo leštící
samoobčerstvovávaný	samoobčerstvovat
samopoznaný	samopoznat
samosmršťovávaně	samosmršťovávaný
samosmršťovávanost	samosmršťovávaný
samospasitel	samospasit
samospásný	samospasit
samothrácký	Samothráké
saskočeský	saský český
scénosled	scéna sled
sebeaktuálněji	se aktuálně
sebeaktuálnější	se aktuální
sebeatraktivněji	se atraktivně
sebeautentičtější	se autentický
sebeblběji	se blbě
sebebouřlivěji	se bouřlivě
sebečerstvěji	se čerstvě
sebedarování	se darování
semenožravý	semeno žravý
severomandžuský	severní Mandžusko
slezskomoravský	slezský moravský
slezskoněmecký	slezský německý
slezskoostravský	slezský Ostrava
slovenskomaďarský	slovenský maďarský
smluvněprávní	smluvní právo
snadnohořlavý	snadno hořlavý
sociálněpedagogický	sociální pedagogika
sociálněvýchovný	sociální výchova
softsexykomedie	soft sexykomedie
spodnopermský	spodní perm
společenskohistorický	společenský historický
společenskohospodářský	společenský hospodářství
společenskokritický	společenský kritika
společenskopolitický	společenský politika
společenskoprávní	společenský právo
spoluvěřící	spolu věřící
srdcerváč	srdce rváč
stálobarevný	stále barevný
stálozelený	stále zelený
stáložárný	stále žárný
staroběloruský	starý Bělorusko
staroegyptský	starý Egypt
starokomický	starý komika
staroměstký	starý město
stejnoslabičný	stejný slabika
stínobytný	stín být
stolnětenisový	stolní tenis
struskovápenný	struska vápno
středoasyrský	střední Asýrie
středohoří	střední hora
středovýchodoevropský	střední východní Evropa
stříbrohlavý	stříbrný hlava
stříbrolistý	stříbrný list
stříbrnomodrožlutý	stříbrný modrý žlutý
sudetskoněmecký	sudetský Němec
svatomartinský	svatý Martin
svrchnokambrický	svrchní kambrium
svrchuřečený	svrchu říci
syrskoizraelský	syrský izraelský
syrskopalestinský	syrský palestinský
šedostříbřitý	šedý stříbřitý
šeroslepý	šero slepý
škarohlíd	škaredě hledět
škodolibý	škoda libý
štěrkopísčitý	štěrkopísek
šunkofleky	šunka flek
tatrovák	tatra
technickobezpečnostní	technický bezpečnost
technickofyzikální	technický fyzika
technickoprovozní	technický provoz
technoparty	techno party
tělocvik	tělo cvik
temněrůžový	temně růžový
thaiboxer	thajský boxer
tichomoří	tichý moře
tmavobílý	tmavě bílý
tmavočerný	tmavě černý
tmavohnědý	tmavě hnědý
tmavohnědožlutý	tmavě hnědý žlutý
tmavomodrozelený	tmavě modrý zelený
tmavomodrý	tmavě modrý zelený
tmavooranžový	tmavě oranžový
tmavorezavý	tmavě rezavý
tmavorusý	tmavě rusý
tmavošedý	tmavě šedý
tmavozelený	tmavě zelený
tmavězlatý	tmavě zlatý
tmavozrzavý	tmavě zrzavý
tmavožlutý	tmavě žlutý
tmavovýtrusný	tmavý výtrus
transaustralský	trans australský
trolejbus	trolej bus
uherskoostrožský	Uherský Ostroh
uměleckohistorický	umělecký historie
uměleckořemeslný	umělecký řemeslo
umělohedvábný	umělý hedvábí
umělohmotný	umělý hmota
velikotvárný	velice tvárný
velkoelektrárenský	velkoelektrárna
velkoprůmyslný	velkoprůmysl
velkoplochý	velký plocha
velkorozměrový	velký rozměr
velkovýkrm	velký výkrm
veledobrý	velmi dobrý
velenedobrý	velmi dobrý
veledůkladný	velmi důkladný
velechytře	velmi chytře
velemoudrý	velmi moudrý
veleobsáhlý	velmi obsáhlý
velepečlivý	velmi pečlivý
velepilný	velmi pilný
velenepříznivý	velmi příznivý
veleslibný	velmi slibný
velesložitý	velmi složitý
veleškodlivý	velmi škodlivý
veleučený	velmi učený
velevědecký	velmi vědecký
velevhod	velmi vhod
velezběhlý	velmi zběhlý
veležádoucí	velmi žádoucí
veřejnohospodářský	veřejný hospodářství
veřejnoprávní	veřejný právo
videoanarchie	video anarchie
videozařízení	video zařízení
vlhkoměr	vlhko měřit
vlnobití	vlna bití
vnitroalianční	vnitro aliance
vnitrobanka	vnitro banka
vnitrobuněčný	vnitro buňka
vnitrodružstevní	vnitro družstvo
vnitrohospodářský	vnitro hospodářství
vnitroislámský	vnitro islám
vnitroodborářský	vnitro odborář
vnitrookresní	vnitro okres
vnitroorganizační	vnitro organizace
vnitroparlamentní	vnitro parlament
vnitropartajní	vnitro partaj
vnitropůdní	vnitro půda
vnitrorepublikový	vnitro republika
vnitrostátní	vnitro stát
vnitrostranický	vnitro straník
vnitrotelevizní	vnitro televize
vnitroústavní	vnitro ústava
vnitroútvarový	vnitro útvar
vnitrovládní	vnitro vláda
vnitrovýkazový	vnitro výkaz
vnitrozaměstnanecký	vnitro zaměstnanec
vnitročesky	vnitročeský
vojenskobezpečnostní	vojenský bezpečnost
vojenskohistorický	vojenský historie
vojenskohospodářský	vojenský hospodářství
vojenskoprůmyslový	vojenský průmysl
vojenskostrategický	vojenský strategie
vojenskotechnický	vojenský technika
vrubozobý	vrub zobák
vysokofrekvenční	vysoký frekvence
vysokofrekventní	vysoký frekvence
vysokokapacitní	vysoký kapacita
vysokokmitočtový	vysoký kmitočet
vysokomolekulární	vysoký molekula
vysokomýtský	vysoký Mýto
vysokoparohatý	vysoký paroh
vzduchofiltrační	vzduch filtrační
vzduchotěsný	vzduch těsný
zahraničněhospodářský	zahraniční hospodářství
zahraničněpolitický	zahraniční politika
západoafghánský	západní Aghánistán
západobengálský	západní Bengálsko
západogermánský	západní germánský
západogruzínský	západní Gruzie
západoirácký	západní Irák
západoirský	západní Irsko
západokřesťanský	západní křesťanství
západoněmecký	západní Německo
západopennsylvánský	západní Pennsylvánie
západořecký	západní Řecko
západoslavonský	západní Slavonie
západošvédský	západní Švédsko
západoturkický	západní turkický
zelenočtvrteční	zelený čtvrtek
zelenokabátník	zelený kabát
zelenokadeřavý	zelený kadeř
zelenomodrohnědý	zelený modrý hnědý
zelenomodrožlutý	zelený modrý žlutý
zemanofobie	Zeman -fob-
zemědělskohospodářský	zemědělský hospodářství
zemědělskovýrobní	zemědělský výroba
zkázověstný	zkáza věstit
zlatobýl	zlatý býlí
zlatolící	zlatý líce
zlatoústý	zlatý ústa
zlatovlasý	zlatý vlas
zlatozelenohnědý	zlatý zelený hnědý
zpětnovazební	zpětný vazba
zrnožravý	zrní žravý
zrnokaz	zrno kazit
zubořez	zub řez
zvědochtivý	zvědy chtivý
zvěrokruh	zvíře kruh
zvěrokupec	zvíře kupec
zvěrolékař	zvíře lékař
zvěromág	zvíře mág
zvěromalba	zvíře malba
zvonohra	zvon hra
zvonkohra	zvonek hra
zvukotěsný	zvuk těsný
zvukotechnik	zvukotechnika
žabožrout	žába žrout
žabníkovitý	žabník
žezlovládný	žezlo vládnout
žhavopestrý	žhavě pestrý
acetylfenylhydrazin	acetyl fenylhydrazin
adeninribonukleotid	adenin ribonukleotid
adolescentofilie	adolescent -fil-
aerokvětý	aero květ
akrylomalba	akryl malba
aktinodermatitida	aktin dermatitida
aktinometrie	aktin -metr-
aktinomykóza	aktin mykóza
algologie	-alg- -log-
alogamie	-al- -gam-
aminocukr	amin cukr
andragogika	-andr- -agog-
anglofil	Anglie -fil-
aortokoronární	aorta koronární
arabskoizraelský	arabský izraelský
archetyp	-arch- typ
arcičíšník	-arci- číšník
arcipresbyter	-arci- presbyter
aromaterapie	aroma terapie
artrock	art rock
arylcyklohexylamin	aryl cyklohexylamin
arzenopyrit	arzen pyrit
asijskobezpečnostní	asijský bezpečnost
astrokartografie	-astr- kartografie
astromedicína	-astr- medicína
audioefekt	audio efekt
audiokniha	audio kniha
audiomixér	audio mixér
audiopošta	audio pošta
audiopřehrávač	audio přehrávač
audioprůvodce	audio průvodce
audiořetěz	audio řetěz
audiosignál	audio signál
audiostudio	audio studio
audiověž	audio věž
audiovstup	audio vstup
audiovýstup	audio výstup
audiozařízení	audio zařízení
autachtivý	auto chtivý
autoanténa	auto anténa
autočenžr	auto čenžr
autochemie	auto chemie
autodráha	auto dráha
automat	-aut- -math-
autoolej	auto olej
autopojištění	auto pojištění
autopřehlídka	auto přehlídka
autoregresní	-aut- regrese
autorelativní	-aut- relativní
autotrenažér	auto trenažér
azbestocement	azbest cement
baletománie	balet mánie
balíkomat	balík mat
balneoterapie	-balne- terapie
barograf	bar -graf-
basketuchtivý	basket chtivý
bělobradý	bílý brada
bělobřichý	bílý břicho
běločelý	bílý čelo
bělohřbetý	bílý hřbet
bělohubý	bílý huba
bělokamenný	bílý kámen
bělokorý	bílý kůra
bělokur	bílý kur
bělokvetoucí	bílý kvetoucí
bělokvětý	bílý květ
bělolanýž	bílý lanýž
bělolící	bílý líce
bělonohý	bílý noha
běloocasý	bílý ocas
bělopruhý	bílý pruh
běloruký	bílý ruka
bělosemenný	bílý semeno
bělotrn	bílý trn
bělovlasatý	bílý vlasatý
bělovlasý	bílý vlas
bělovousý	bílý vousy
betaverze	beta verze
bétřídní	bé třídní
béžovobronzový	béžový bronzový
béžovočerný	béžový černý
béžovočervený	béžový červený
béžovokaramelový	béžový karamelový
béžovomodrý	béžový modrý
béžovooranžový	béžový oranžový
béžovoterakotový	béžový terakotový
béžovozelený	béžový zelený
béžovozlatý	béžový zlatý
béžovožlutý	béžový žlutý
bezpečnostněpolitický	bezpečnostní politika
bílkovinotvorný	bílkovina tvořit
bíločernočervený	bílý černý červený
bíločernomodrý	bílý černý modrý
bíločernožlutý	bílý černý žlutý
bíločerný	bílý černý
bíločervenočerný	bílý červený černý
bíločervený	bílý červený
bílohnědočervený	bílý hnědý červený
bílohnědozelený	bílý hnědý zelený
bílomodročerný	bílý modrý černý
bílomodrozelený	bílý modrý zelený
bílomodrý	bílý modrý
bílomourovatý	bílý mourovatý
bílooranžovo	bílý oranžový
bílooranžový	bílý oranžový
bílošedooranžový	bílý šedý oranžový
bílostříbřitý	bílý stříbřitý
bílozelenočerný	bílý zelený černý
bílozelenočervený	bílý zelený červený
bílozelenozlatý	bílý zelený zlatý
bílozelenožlutý	bílý zeleno žlutý
bílozelený	bílý zelený
bílozlatý	bílý zlatý
bíložlutočerný	bílý žlutý černý
bíložlutý	bílý žlutý
bioarcheologie	-bio- archeologie
bioberan	-bio- beran
biochemie	-bio- chemie
biočip	-bio- čip
biočistička	-bio- čistička
biodoplněk	-bio- doplněk
biodožínky	-bio- dožínky
bioeidam	-bio- eidam
biofarmacie	-bio- farmacie
bioforma	-bio- forma
biogranule	-bio- granule
biohrnec	-bio- hrnec
biokampaň	-bio- kampaň
biokapr	-bio- kapr
bioklimatologie	-bio- klimatologie
biokoenzym	-bio- koenzym
biokoridor	-bio- koridor
biokybernetika	-bio- kybernetika
biolékořice	-bio- lékořice
biomasa	-bio- masa
bionafta	-bio- nafta
bionákup	-bio- nákup
bionanotechnologie	-bio- nanotechnologie
bionápad	-bio- nápad
bionápoj	-bio- nápoj
bionávyk	-bio- návyk
bionosič	-bio- nosič
bioolympiáda	-bio- olympiáda
biopapež	-bio- papež
bioplínka	-bio- plínka
biopočítač	-bio- počítač
biopohanka	-bio- pohanka
biopohon	-bio- pohon
biopříběh	-bio- příběh
biopříkrm	-bio- příkrm
bioptákovina	-bio- ptákovina
biosedlák	-bio- sedlák
biosexy	-bio- sexy
bioskop	-bio- -skop-
biostabilizační	-bio- stabilizační
biostandard	-bio- standard
biostanice	-bio- stanice
biotolerantní	-bio- tolerantní
biotvaroh	-bio- tvaroh
biotým	-bio- tým
biovajíčko	-bio- vajíčko
biovepřík	-bio- vepřík
biovlna	-bio- vlna
biovložka	-bio- vložka
biovodík	-bio- vodík
biozelí	-bio- zelí
biozrní	-bio- zrní
bipolární	-bi- polární
biréma	-bi- réma
blahočet	blaho čítat
blátošlap	bláto šlapat
blbovzdorný	blb vzdorný
bledomodrý	bledý modrý
bleskosvod	blesk vést
bleskurychlý	blesk rychlý
blogosféra	blog sféra
bobkovišeň	bobek višeň
bodnořezný	bodný řezný
bohabojný	bohabojný
bohapustý	bůh pustý
bohorodice	bůh rodit
bohovat	bůh
bohovražda	bůh vražda
bohulibý	bůh libý
bojeschopný	boj schopný
bokorys	boka rys
bolehlav	bolet hlava
bombometčík	bomba metat
bombometník	bomba metat
boritokřemičitý	boritý křemičitý
borosilikát	bor silikát
bosenskomuslimský	bosenský muslimský
bosonohý	bosý noha
boxmač	box mač
bradykinéza	-brady- -kinet-
branněbezpečnostní	branný bezpečnostní
branněvýchovný	branný výchovný
bratrovrah	bratr vrah
bratrovražda	bratr vražda
břichomluva	břicho mluva
břichonožec	břicho noha
brkoslav	brko slavit
bromkyan	brom kyan
bublifuk	bublina foukat
bůhvíjak	bůh jak
bůhvíkam	bůh kam
bůhvíkde	bůh vědět kde
bůhvíkdy	Běh vědět kdy
bůhvíodkud	bůh vědět odkud
bůhvíproč	běh vědět proč
bulvárumilovný	bulvár milovat
burčákochtivý	burčák chtivý
byznysplán	byznys plán
čajechtivý	čaj chtivý
časoměr	čas měřit
časostroj	čas stroj
celněprávní	celní právo
celodrážní	celý dráha
celoprosklený	celý prosklený
