lemma	Best_parents	Annotated	sorted_parents	Best_parents_reversed	lemma_reversed	candidate_sorting_score	one_parent_in_lexicon	one_parent_in_lexicon_nosuffix	space_in_parent_candidates	PaReNT_Compound_probability	is_comp_w_known_parents	is_comp_w_known_status	all_parents_in_data_source	annotation_score
alergotoxický	alergický toxický	True	['alergický toxický', 'alergik toxický', 'alergia toxický', 'alergický gotoxický', 'alergit toxický', 'alergický', 'aloxgický toxický', 'alorgický toxický', 'alergický toxicí', 'alergický toxicidmus', 'alargetoxický', 'alergotoxika', 'alergotoxizmus', 'alergüt kický', 'alergotoxie']	ýkcixot ýkcigrela	ýkcixotogrela	[21.0, 20.083333333333332, 10.5, 10.333333333333334, 10.25, 10.125, 10.1, 10.090909090909092, 10.076923076923077, 10.066666666666666, 0.2, 0.16666666666666666, 0.14285714285714285, 0.1111111111111111, 0.07142857142857142]	True	False	True	0.74699	True	True	True	3.74699
algologie	-alg- -log-	True	['algický -log-', 'algologie', 'algue', 'alguelogie', 'alguologie', 'algülogie', 'algüe', 'algue logie', 'algonologie', 'alguský', 'algie', 'algo-logie', 'algüe logie', 'algüzologie', 'algonolní']	-gol- ýkcigla	eigologla	[20.071428571428573, 11.0, 0.5, 0.3333333333333333, 0.25, 0.2, 0.16666666666666666, 0.14285714285714285, 0.125, 0.1111111111111111, 0.1, 0.09090909090909091, 0.08333333333333333, 0.07692307692307693, 0.06666666666666667]	True	False	True	0.00019	True	True	True	3.00019
alogamie	-al- -gam-	True	['-al- -gam-', '-ol- -gam-', 'alogamie', '-al--- -gam-', '-al-', 'ol- -gam-', '-ar- -gam-', 'alogamní', 'olagamie', 'ologamie', '-al--- gam-', '-ol- -am----', 'ologamní', '-ol- -agam-', '-ol- -am---gam-']	-mag- -la-	eimagola	[21.0, 10.333333333333334, 10.25, 10.2, 10.166666666666666, 10.11111111111111, 10.090909090909092, 0.5, 0.14285714285714285, 0.125, 0.1, 0.08333333333333333, 0.07692307692307693, 0.07142857142857142, 0.06666666666666667]	True	False	True	0.67449	True	True	True	3.67449
americkofrancouzský	Amerika Francie	True	['americký francouzský', 'amerik francouzský', 'amerikký francouzský', 'amerike francouzský', 'americkofrancouzský', 'amerikko francouzský', 'amerik krancouzský', 'amerikkofrancouzský', 'amerikkofrancouz', 'amerikofrancouz', 'amerikofrancouzský', 'amerikcofrancouzský', 'merikofrancouzský', 'americkofrancouz', 'amerikcofrancouz']	ýkszuocnarf ýkcirema	ýkszuocnarfokcirema	[20.2, 19.25, 11.0, 10.166666666666666, 10.142857142857142, 10.125, 9.090909090909092, 0.5, 0.3333333333333333, 0.1111111111111111, 0.1, 0.08333333333333333, 0.07692307692307693, 0.07142857142857142, 0.06666666666666667]	True	True	True	0.99501	False	True	True	2.99501
aminocukr	amin cukr	True	['amin cukr', 'amina cukr', 'amín cukr', 'amino cukr', 'amin', 'aminocukr', 'amin- cukr', 'amin -cukr', 'aminý cukr', 'amin cukrát', 'amin cukrk', 'amincuk r', 'amin-cukr', 'aminicukr', 'amincukr']	rkuc nima	rkuconima	[21.0, 20.5, 20.066666666666666, 10.333333333333334, 10.25, 10.2, 10.142857142857142, 10.125, 10.1, 10.076923076923077, 10.071428571428571, 9.083333333333334, 0.16666666666666666, 0.1111111111111111, 0.09090909090909091]	True	True	True	0.94183	True	True	True	3.94183
aminoplast	amina plast	True	['amina plast', 'amin plast', 'amino plast', 'aminoplast', '-mina- plast', 'amino plastr', 'amino plastlý', 'amino plastfr', 'amino plastf', 'amino plastl', 'amino plastle', 'aminóplast', 'amino plastpla', 'amino plastfrání', 'amino plastfráng']	tsalp anima	tsalponima	[20.142857142857142, 20.083333333333332, 11.0, 10.5, 10.090909090909092, 0.3333333333333333, 0.25, 0.2, 0.16666666666666666, 0.125, 0.1111111111111111, 0.1, 0.07692307692307693, 0.07142857142857142, 0.06666666666666667]	True	False	True	0.92649	False	True	True	2.92649
aminopurin	-mini- purin	True	['-mini- purin', 'amin purin', 'amina purin', 'amini purin', 'amino purin', 'aminopurin', 'amin opurin', '-minr- purin', 'amino- purin', '-mino- purin', 'amin- purin', 'amino-purin', 'amino pur', 'amino pUrin', 'imanopurin']	nirup -inim-	niruponima	[20.333333333333332, 20.166666666666668, 20.1, 19.09090909090909, 11.0, 10.5, 10.25, 10.2, 10.142857142857142, 10.125, 10.076923076923077, 0.1111111111111111, 0.08333333333333333, 0.07142857142857142, 0.06666666666666667]	True	True	True	0.99174	False	True	True	2.99174
andragogika	-andr- -agog-	True	['-andr- -agog-', '-andr- -a- - drag- -ka-- -d- -agog-', 'andragogika', '-andr- -a- -', '-andr- -akr- -', '-andr- -aggika', '-andr- -a- - drag- -ka-- -drag-', '-andr- -a- - drag- -gika', '-andr- -a- - drog- -ka--', '-andr- -a- - drag- -kag-', '-andr- -a- - drag- -gik-', '-andr- -a- - drág- -ka--', '-andr- -a- - drag- -ka-- -d- rag-', '-andra- -gog-', '-andrag- -kag-']	-goga- -rdna-	akigogardna	[21.0, 20.071428571428573, 10.5, 10.333333333333334, 10.166666666666666, 10.142857142857142, 10.125, 10.11111111111111, 10.1, 10.090909090909092, 10.083333333333334, 10.076923076923077, 10.066666666666666, 0.25, 0.2]	True	False	True	0.16647	True	True	True	3.16647
anglofil	-angl- -fil-	True	['-angl- -fil-', '-angl- fil', 'anglofil', '-angl- fil-', '-angli- -fil-', 'flik', '-angl- -Fil-', '-anghl- -fil-', '-angl-', 'flor', 'Anglofil', 'glofil', '-angl---fil-', 'flo-', '-glofil']	-lif- -lgna-	lifolgna	[21.0, 20.142857142857142, 10.5, 10.333333333333334, 10.25, 10.125, 10.1, 10.071428571428571, 10.066666666666666, 9.166666666666666, 0.2, 0.1111111111111111, 0.09090909090909091, 0.08333333333333333, 0.07692307692307693]	True	True	True	0.61242	True	True	True	3.61242
aortokoronární	aorta koronární	True	['aorta koronární', 'aort koronární', 'aortokoronární', 'aerta koronární', 'aarta koronární', 'oorta koronární', 'aorta koronarná', 'aortekoronární', 'aortakoronární', 'aorthekoronární', 'aortakoronárna', 'aorthokoronární', 'aortkoronární', 'aartokoronární', 'aertokoronární']	ínránorok atroa	ínránorokotroa	[21.0, 19.09090909090909, 10.25, 10.1, 10.083333333333334, 10.071428571428571, 10.066666666666666, 0.5, 0.3333333333333333, 0.2, 0.16666666666666666, 0.14285714285714285, 0.125, 0.1111111111111111, 0.07692307692307693]	True	True	True	0.9125	True	True	True	3.9125
arabskoislámský	arabský Islám	True	['arabský islámský', 'arabskij islámský', 'arabskoislámský', 'arabeský islámský', 'arabekský islámský', 'arabský iSlámský', 'arbaský islámský', 'arabskoislám', 'arabskij slámský', 'arabskoiislám', 'arabeskoislám', 'arabeskij slámský', 'arbaskij slámský', 'arabskoiislámský', 'arabkoislámský']	ýksmálsi ýksbara	ýksmálsioksbara	[21.0, 10.25, 10.2, 10.166666666666666, 10.1, 10.071428571428571, 10.066666666666666, 0.5, 0.3333333333333333, 0.14285714285714285, 0.125, 0.1111111111111111, 0.09090909090909091, 0.08333333333333333, 0.07692307692307693]	True	False	True	0.98721	False	True	True	2.98721
arabskoizraelský	arabský izraelský	True	['arabský izraelský', 'arabskoizraelský', 'arbaský izraelský', 'arbaskij izraelský', 'arabskij izraelský', 'arbský izraelský', 'arabský izraleský', 'arbakský izraelský', 'arbeskij izraelský', 'arbaskoizraelský', 'arbskoizraelský', 'arabskij izraleský', 'arbaskij izraleský', 'arbaskij izrealský', 'arbaský izraleský']	ýkslearzi ýksbara	ýkslearzioksbara	[21.0, 10.5, 10.333333333333334, 10.25, 10.166666666666666, 10.142857142857142, 10.11111111111111, 10.076923076923077, 10.066666666666666, 0.2, 0.125, 0.1, 0.09090909090909091, 0.08333333333333333, 0.07142857142857142]	True	False	True	0.94852	False	True	True	2.94852
archetyp	-arch- typ	True	['-arch- typ', '-arch- typán', '-arch- etyp', 'archetyp', '-anch- typ', '-arch- typép', '-arch- typen', 'typ', '-arch- typé', '-arch- etep', '-anchety- p', 'tepy', 'tepь', '-eyp', '-arti- -chet-']	pyt -hcra-	pytehcra	[21.0, 10.5, 10.333333333333334, 10.25, 10.166666666666666, 10.142857142857142, 10.125, 10.090909090909092, 10.083333333333334, 10.076923076923077, 9.1, 0.2, 0.1111111111111111, 0.07142857142857142, 0.06666666666666667]	True	True	True	0.40489	True	True	True	3.40489
arcičíšník	-arci- číšník	True	['-arci- číšník', '-arcičí číšník', '-arciční číšník', '-arcič šín', '-arcičí kní', '-arcičí ční', '-arcičíšný', '-arcičíšník', '-arcičíšní', '-arcič šník', '-arcičí šník', '-arcičí čišník', '-arcičícha', '-arcičí pníšník', '-arcičí čníšník']	kínšíč -icra-	kínšíčicra	[21.0, 10.5, 10.142857142857142, 9.125, 9.083333333333334, 9.071428571428571, 0.3333333333333333, 0.25, 0.2, 0.16666666666666666, 0.1111111111111111, 0.1, 0.09090909090909091, 0.07692307692307693, 0.06666666666666667]	True	True	True	0.19224	True	True	True	3.19224
arcipresbyter	-arci- presbyter	True	['-arci- presbyter', 'arcipresbyter', '-arcip- presbyter', '-arcipre- presbyter', '-arcy- presbyter', '-arci- psbyter', '-arcipres bers de eyter', '-arci-presbyter', '-arci-pesbyter', '-arcipresbyter', '-arcipre sbyter', '-arci-pes byter', '-arci-pres byter', '-arcipres beyter', '-arcip- esbresbyter']	retybserp -icra-	retybserpicra	[21.0, 10.333333333333334, 10.25, 10.125, 10.11111111111111, 10.083333333333334, 9.066666666666666, 0.5, 0.2, 0.16666666666666666, 0.14285714285714285, 0.1, 0.09090909090909091, 0.07692307692307693, 0.07142857142857142]	True	True	True	0.73886	True	True	True	3.73886
aromaterapie	aroma terapie	True	['aroma terapie', 'aromaterapie', 'aroma terapiea', '-roma terapie', 'oroma terapie', 'aroma metarapie', 'orama terapie', 'aroma', 'ramaterapie', 'rametar', 'aromametar', '-ramo- aterapie', 'aromaeterapie', 'rametar perie', 'aromačetarapie']	eiparet amora	eiparetamora	[21.0, 10.5, 10.166666666666666, 10.142857142857142, 10.1, 10.083333333333334, 10.076923076923077, 10.071428571428571, 0.3333333333333333, 0.25, 0.2, 0.125, 0.1111111111111111, 0.09090909090909091, 0.06666666666666667]	True	False	True	0.60885	True	True	True	3.60885
artrock	art rock	True	['art rock', 'artrock', 'art Rock', 'arts rock', 'arta rock', 'Art rock', 'art drock', 'arthrock', 'arterock', 'art-rock', 'artock', 'arttrock', 'artérock', 'artockrock', 'artace']	kcor tra	kcortra	[21.0, 10.5, 10.2, 10.166666666666666, 10.11111111111111, 10.1, 10.071428571428571, 0.3333333333333333, 0.25, 0.14285714285714285, 0.125, 0.09090909090909091, 0.08333333333333333, 0.07692307692307693, 0.06666666666666667]	True	False	True	0.61415	True	True	True	3.61415
arylcyklohexylamin	aryl cyklohexylamin	True	['aryl cyklohexylamin', 'arylcyklohexylamin', 'aryl-cyklohexylamin', 'arylxycyklohexylamin', 'arylecyklohexylamin', 'arylycyklohexylamin', 'arylmycyklohexylamin', 'arylcyclykohexylamin', 'arylcycyklohexylamin', 'arylzycyklohexylamin', 'arylcyceklaman', 'arylsycyklohexylamin', 'arylůcyklohexylamin', 'arylcycylohexylamin', 'arylcyceklamen']	nimalyxeholkyc lyra	nimalyxeholkyclyra	[21.0, 10.5, 0.3333333333333333, 0.25, 0.2, 0.16666666666666666, 0.14285714285714285, 0.125, 0.1111111111111111, 0.1, 0.09090909090909091, 0.08333333333333333, 0.07692307692307693, 0.07142857142857142, 0.06666666666666667]	True	False	True	0.84655	True	True	True	3.84655
arzenopyrit	arzen pyrit	True	['arzen pyrit', 'arzena pyrit', 'arzenopyrit', 'arzený pyrit', 'arzin pyrit', 'arzie pyrit', 'arzien pyrit', 'arzeny pyrit', 'arzéný pyrit', 'arzénopyrit', 'arzenópyrit', 'arzeopyrit', 'arzneopyrit', 'arzenópyr', 'arzený párit']	tiryp nezra	tiryponezra	[20.333333333333332, 19.142857142857142, 11.0, 10.5, 10.125, 10.11111111111111, 10.1, 10.083333333333334, 10.066666666666666, 0.25, 0.2, 0.16666666666666666, 0.09090909090909091, 0.07692307692307693, 0.07142857142857142]	True	True	True	0.51646	True	True	True	3.51646
asijskobezpečnostní	asijský bezpečnost	True	['asijský bezpečnostní', 'asijský kobezpečnostní', 'asijský kebezplestní', 'asijský spezčnostní', 'asijský bezpečnístní', 'asijský kobezpečnístní', 'asijskobezpeční', 'asijskobezpečnost', 'asijskobezpečnist', 'asiskobezpeční', 'asijskobezpečný', 'asiskobezpečnost', 'asijskospezbečnost', 'asijskobezpečnst', 'asijskobezpeční stní']	íntsončepzeb ýksjisa	íntsončepzeboksjisa	[20.333333333333332, 10.142857142857142, 10.11111111111111, 10.1, 10.090909090909092, 10.071428571428571, 1.0, 0.5, 0.25, 0.2, 0.16666666666666666, 0.125, 0.08333333333333333, 0.07692307692307693, 0.06666666666666667]	True	False	True	1	False	True	True	3
astrokartografie	-astr- kartografie	True	['-astr- kartografie', '-str- kartografie', '-astro kartografie', '-astro- kartografie', '--str- kartografie', '-astr- kartograf-me', '-astr- karktografie', '-astr- kartograf-mie', '-astr- kartegrafie', 'astrokartografie', '-astr- kartograf-e', '-astr- karkotgrafie', '-astrokartografie', '-strokartografie', '-strokarto- grafie']	eifargotrak -rtsa-	eifargotrakortsa	[21.0, 10.5, 10.333333333333334, 10.25, 10.2, 10.166666666666666, 10.11111111111111, 10.1, 10.090909090909092, 10.083333333333334, 10.071428571428571, 10.066666666666666, 0.14285714285714285, 0.125, 0.07692307692307693]	True	False	True	0.4488	True	True	True	3.4488
astromedicína	-astr- medicína	True	['-astr- medicína', '-astr medicína', 'astromedicína', '-astro medicína', 'medicína', '-astr- mecína', '-astr- mecín', '-astr- meciní', '-astr- mecíní', '-astr- meciníca', '-astr- mecíníca', '-astromedicína', 'estromedicína', '-astrm decína', 'meicína']	anícidem -rtsa-	anícidemortsa	[21.0, 19.25, 10.5, 10.333333333333334, 10.166666666666666, 10.142857142857142, 10.125, 10.11111111111111, 10.090909090909092, 10.076923076923077, 10.071428571428571, 0.2, 0.1, 0.08333333333333333, 0.06666666666666667]	True	True	True	0.25162	True	True	True	3.25162
astrometrie	-astr- -metr-	True	['-astr- -metr-', 'astrometrie', 'metrie', '-astr- -metr-e-', '-astri -metr-', '-adr- metrie', '-adr- -metr-', '-astro- metrie', '-astr-', 'sastra metrie', 'satrometrie', 'matra', 'sastrometrie', 'sametrie', '-astrum']	-rtem- -rtsa-	eirtemortsa	[21.0, 10.5, 10.333333333333334, 10.166666666666666, 10.142857142857142, 10.125, 10.11111111111111, 10.1, 10.090909090909092, 10.083333333333334, 0.25, 0.2, 0.07692307692307693, 0.07142857142857142, 0.06666666666666667]	True	False	True	0.61993	True	True	True	3.61993
audioefekt	audio efekt	True	['audio efekt', 'audioefekt', '-andi- efekt', '-audo- efekt', 'ausio efekt', 'audioefekce', 'audio-efekt', 'audioEfekt', 'audio-Efekt', 'audiofekence', 'audioefektní', 'audioefektovat', '-afiefekt', '-efekt', 'audio-Eefekt']	tkefe oidua	tkefeoidua	[20.25, 11.0, 10.11111111111111, 10.090909090909092, 10.066666666666666, 0.5, 0.3333333333333333, 0.2, 0.16666666666666666, 0.14285714285714285, 0.125, 0.1, 0.08333333333333333, 0.07692307692307693, 0.07142857142857142]	True	False	True	0.93173	False	True	True	2.93173
audiokniha	audio kniha	True	['audio kniha', '-audi- kniha', 'uidio kniha', '-audi- -kniha', '-audi- hnika', '-audio- kniha', 'Audio kniha', 'audiokniha', '-audi- -knih-', 'audió kniha', '-audio kniha', '-adiniha', '-audio -kniha', 'vikniha', '-adink-']	ahink oidua	ahinkoidua	[21.0, 20.5, 10.25, 10.2, 10.166666666666666, 10.142857142857142, 10.125, 10.11111111111111, 10.1, 10.090909090909092, 10.066666666666666, 0.3333333333333333, 0.08333333333333333, 0.07692307692307693, 0.07142857142857142]	True	False	True	0.94053	True	True	True	3.94053
audiometrie	audio metrie	True	['audio metrie', '-audi- -metr-', '-audi- metrie', 'audiometrie', '-audri- metrie', '-audio- metrie', '-audr- -metr-', 'radiometrie', 'uadio metrie', 'metrie', '-metrie', '-minr', 'uadiometrie', '-adiometrie', 'rediometrie']	eirtem oidua	eirtemoidua	[20.5, 20.333333333333332, 20.166666666666668, 11.0, 10.25, 10.2, 10.125, 10.11111111111111, 10.076923076923077, 10.066666666666666, 0.14285714285714285, 0.1, 0.09090909090909091, 0.08333333333333333, 0.07142857142857142]	True	False	True	0.96778	False	True	True	2.96778
audiomixér	audio mixér	True	['audio mixér', '-audi- mixér', 'audio mixer', 'audio mixérce', 'audio mixérer', 'audio mixárlí', 'audio mixérlár', 'audio mixárce', 'audio mixářlír', 'audio mixércer', 'audio mixércí', 'audiomix', 'audiomixace', 'audiómix', 'uidomix']	réxim oidua	réximoidua	[21.0, 20.25, 20.166666666666668, 10.333333333333334, 10.142857142857142, 10.125, 10.1, 10.083333333333334, 10.076923076923077, 10.071428571428571, 10.066666666666666, 0.5, 0.2, 0.1111111111111111, 0.09090909090909091]	True	False	True	0.98891	False	True	True	2.98891
audiopošta	audio pošta	True	['audio pošta', '-podi- pošta', '-poni- pošta', '-audio pošta', '-pode', '-psyte', '-piopošta', '-poope', '-podi-', '-poopša', '-poside', '-popite', '-postipa', '-ponipa', '-poopšta']	atšop oidua	atšopoidua	[20.076923076923077, 11.0, 10.142857142857142, 10.071428571428571, 0.5, 0.3333333333333333, 0.25, 0.2, 0.16666666666666666, 0.125, 0.1111111111111111, 0.1, 0.09090909090909091, 0.08333333333333333, 0.06666666666666667]	True	False	True	0.96183	False	True	True	2.96183
audiopřehrávač	audio přehrávač	True	['audio přehrávač', '-audi- přehrávač', 'audio přehrávávat', 'uadio přehrávač', '-audio přehrávač', 'audio přehráváč', 'uádio přehrávač', 'audio behrávač', 'uaido přehrávač', 'uadiopřehrávat', 'audiopřehrávat', 'uadio přehráváč', 'audiobřehrávat', 'uadiobřehrávat', 'uádiopřehrávat']	čavárheřp oidua	čavárheřpoidua	[21.0, 20.333333333333332, 20.071428571428573, 10.5, 10.25, 10.166666666666666, 10.11111111111111, 10.090909090909092, 10.066666666666666, 0.2, 0.14285714285714285, 0.125, 0.1, 0.08333333333333333, 0.07692307692307693]	True	False	True	0.99473	False	True	True	2.99473
audioprůvodce	audio průvodce	True	['audio průvodce', '-audi- průvodce', 'uadio průvodce', 'audio průvůdce', 'audioprůvodce', '-audio průvodce', 'průvodce', 'Audio průvodce', 'udio průvodce', 'uidro průvodce', 'uidoprůvodce', 'udioprůvodce', 'prrodůvodce', 'uidroprůvodce', 'uadioprůvodce']	ecdovůrp oidua	ecdovůrpoidua	[21.0, 20.076923076923077, 10.5, 10.25, 10.2, 10.142857142857142, 10.125, 10.090909090909092, 10.083333333333334, 10.071428571428571, 0.3333333333333333, 0.16666666666666666, 0.1111111111111111, 0.1, 0.06666666666666667]	True	False	True	0.89273	True	True	True	3.89273
audiořetěz	audio řetěz	True	['audio řetěz', '-audi- řetěz', 'audiořetěz', '-audi- řetez', '-adir- řetěz', '-adio- řetěz', 'udiořetěz', 'audiořetez', 'redětěz', 'audiořetíz', 'riořetěz', 'usidřetěz', 'Audiořetěz', 'audioretěz', 'audior tězen']	zěteř oidua	zěteřoidua	[20.5, 20.333333333333332, 11.0, 10.166666666666666, 10.090909090909092, 10.071428571428571, 0.25, 0.2, 0.14285714285714285, 0.125, 0.1111111111111111, 0.1, 0.08333333333333333, 0.07692307692307693, 0.06666666666666667]	True	False	True	0.94086	False	True	True	2.94086
audiosignál	audio signál	True	['audio signál', 'auzio signál', 'audio signal', '-azinál', '-adinál', '-azinálí', '-asignál', 'signálský', '-azignál', '-aginál', '-signál', '-azin ilnál', '-azingál', '-azinál ', '-azinálá']	lángis oidua	lángisoidua	[21.0, 10.2, 10.1, 0.5, 0.3333333333333333, 0.25, 0.16666666666666666, 0.14285714285714285, 0.125, 0.1111111111111111, 0.09090909090909091, 0.08333333333333333, 0.07692307692307693, 0.07142857142857142, 0.06666666666666667]	True	False	True	0.94182	False	True	True	2.94182
audiostudio	audio studio	True	['-audi- studio', 'audio studio', 'radio studio', '-audi- ostudio', '-audio studio', '-audi- -studio', '-audio- studio', '-áudi- studio', '-audi- cudo-', 'studio', '-audr- studio', '-auid- studio', '-audi- študio', '-audi- ústudio', '-minro- distudio']	oiduts -idua-	oidutsoidua	[21.0, 20.5, 20.09090909090909, 10.333333333333334, 10.25, 10.2, 10.166666666666666, 10.142857142857142, 10.125, 10.11111111111111, 10.1, 10.083333333333334, 10.076923076923077, 10.066666666666666, 0.07142857142857142]	True	False	True	0.95206	True	True	True	3.95206
