limitovat_V	limit_N
smečovat_V	smeč_N
rozumovat_V	rozum_N
modulovat_V	modul_N
motivovat_V	motiv_N
lisovat_V	lis_N
textovat_V	text_N
argumentovat_V	argument_N
síťovat_V	síť_N
dohadovat_V	dohad_N
cepovat_V	cep_N
rentgenovat_V	rentgen_N
papírovat_V	papír_N

kalichovitý_A	kalich_N
drakovitý_A	drak_N
vzdorovitý_A	vzdor_N
tygrovitý_A	tygr_N
keřovitý_A	keř_N
hadovitý_A	had_N
sukovitý_A	suk_N
tvarohovitý_A	tvaroh_N
kaktusovitý_A	kaktus_N
rosolovitý_A	rosol_N
trojúhelníkovitý_A	trojúhelník_N
květákovitý_A	květák_N
javorovitý_A	javor_N
hákovitý_A	hák_N
bobovitý_A	bob_N
kurovitý_A	kur_N
tyčovitý_A	tyč_N
jelenovitý_A	jelen_N
plánovitý_A	plán_N
kaprovitý_A	kapr_N
rtuťovitý_A	rtuť_N
červovitý_A	červ_N
vlkovitý_A	vlk_N
věkovitý_A	věk_N
kotoučovitý_A	kotouč_N
špekovitý_A	špek_N
zázvorovitý_A	zázvor_N
měkkýšovitý_A	měkkýš_N
drnovitý_A	drn_N
tukovitý_A	tuk_N
obrovitý_A	obr_N
kýčovitý_A	kýč_N
jabloňovitý_A	jabloň_N
žlučovitý_A	žluč_N
doutníkovitý_A	doutník_N
tchořovitý_A	tchoř_N
úhořovitý_A	úhoř_N
deštníkovitý_A	deštník_N
plžovitý_A	plž_N
pilířovitý_A	pilíř_N
hřibovitý_A	hřib_N
rázovitý_A	ráz_N
drátovitý_A	drát_N
jílovitý_A	jíl_N
duchovitý_A	duch_N
krokodýlovitý_A	krokodýl_N
věžovitý_A	věž_N
pahýlovitý_A	pahýl_N
česnekovitý_A	česnek_N
kapraďovitý_A	kapraď_N
kuželovitý_A	kužel_N
křečovitý_A	křeč_N
pavoukovitý_A	pavouk_N

Topolánková_N	Topolánek_N
Bachánková_N	Bachánek_N
Válková_N	Válek_N
Robenková_N	Robenek_N
Fašánková_N	Fašánek_N
Nečesánková_N	Nečesánek_N
Křečková_N	Křeček_N
Labounková_N	Labounek_N
Zbranková_N	Zbranek_N
Tichánková_N	Tichánek_N
Bělohlávková_N	Bělohlávek_N
Hráčková_N	Hráček_N
Paroubková_N	Paroubek_N
Babánková_N	Babánek_N
Janáčková_N	Janáček_N
Berousková_N	Berousek_N
Křivánková_N	Křivánek_N
Rejžková_N	Rejžek_N
Zbožínková_N	Zbožínek_N
Němečková_N	Němeček_N
Dolínková_N	Dolínek_N
Bělobrádková_N	Bělobrádek_N
Dolénková_N	Dolének_N
Hánková_N	Hánek_N
Bahounková_N	Bahounek_N
Malivánková_N	Malivánek_N
Svátková_N	Svátek_N
Sedláčková_N	Sedláček_N
Vízková_N	Vízek_N
Ovčáčková_N	Ovčáček_N
Šefránková_N	Šefránek_N
Habětínková_N	Habětínek_N
Rejzková_N	Rejzek_N
Balšánková_N	Balšánek_N
Roháčková_N	Roháček_N
Faltýnková_N	Faltýnek_N
Šajánková_N	Šajánek_N
Koláčková_N	Koláček_N
Kulhánková_N	Kulhánek_N
Pátková_N	Pátek_N
Mráčková_N	Mráček_N
Ječménková_N	Ječmének_N
Cejnková_N	Cejnek_N
Vondráčková_N	Vondráček_N
Rejmánková_N	Rejmánek_N
Macháčková_N	Macháček_N
Schovánková_N	Schovánek_N
Rožánková_N	Rožánek_N
Chalánková_N	Chalánek_N
Zajíčková_N	Zajíček_N
Balínková_N	Balínek_N
Trojánková_N	Trojánek_N

reklamovat_V	reklama_N
skládkovat_V	skládka_N
replikovat_V	replika_N
formovat_V	forma_N
figurovat_V	figura_N
štěpkovat_V	štěpka_N
známkovat_V	známka_N
markovat_V	marka_N
sondovat_V	sonda_N
frézovat_V	fréza_N
pokutovat_V	pokuta_N
bědovat_V	běda_N
sofistikovat_V	sofistika_N
dýhovat_V	dýha_N
normovat_V	norma_N
korunovat_V	koruna_N
gumovat_V	guma_N
nulovat_V	nula_N
pomádovat_V	pomáda_N
dávkovat_V	dávka_N
rejdovat_V	rejda_N
robotovat_V	robota_N
bačovat_V	bača_N
notovat_V	nota_N
debatovat_V	debata_N
pauzovat_V	pauza_N
zálohovat_V	záloha_N
esemeskovat_V	esemeska_N
eskortovat_V	eskorta_N
nálepkovat_V	nálepka_N
šifrovat_V	šifra_N
reprízovat_V	repríza_N
píčovat_V	píča_N
intrikovat_V	intrika_N
pózovat_V	póza_N
hubovat_V	huba_N
fakturovat_V	faktura_N
šikanovat_V	šikana_N
drogovat_V	droga_N
mřížkovat_V	mřížka_N
slabikovat_V	slabika_N
zimovat_V	zima_N
parcelovat_V	parcela_N
maskovat_V	maska_N
cenzurovat_V	cenzura_N
polohovat_V	poloha_N
mapovat_V	mapa_N
revoltovat_V	revolta_N
gilotinovat_V	gilotina_N
pastovat_V	pasta_N
tečkovat_V	tečka_N

drozdí_A	drozd_N
hadí_A	had_N
delfíní_A	delfín_N
švábí_A	šváb_N
paviání_A	pavián_N
rorýsí_A	rorýs_N
krokodýlí_A	krokodýl_N
jeřábí_A	jeřáb_N
bizoní_A	bizon_N
úhoří_A	úhoř_N
motýlí_A	motýl_N
opí_A	op_N
sokolí_A	sokol_N
orangutaní_A	orangutan_N
červí_A	červ_N
giboní_A	gibon_N
jestřábí_A	jestřáb_N
mývalí_A	mýval_N
rysí_A	rys_N
havraní_A	havran_N
sobolí_A	sobol_N
kohoutí_A	kohout_N
chrtí_A	chrt_N
dikobrazí_A	dikobraz_N
hraboší_A	hraboš_N
kapouní_A	kapoun_N
elfí_A	elf_N
mamutí_A	mamut_N
kojotí_A	kojot_N
šimpanzí_A	šimpanz_N
losí_A	los_N
olbřímí_A	olbřím_N
lachtaní_A	lachtan_N
líní_A	lín_N
tchoří_A	tchoř_N
supí_A	sup_N
krocaní_A	krocan_N
gepardí_A	gepard_N
sobí_A	sob_N
mufloní_A	muflon_N
bažantí_A	bažant_N
krabí_A	krab_N
jelení_A	jelen_N
velbloudí_A	velbloud_N
pštrosí_A	pštros_N
hmyzí_A	hmyz_N
drůbeží_A	drůbež_N
potkaní_A	potkan_N

hradit_V	hrad_N
rojit_V	roj_N
potit_V	pot_N
hrotit_V	hrot_N
čalounit_V	čaloun_N
nimrodit_V	nimrod_N
kořistit_V	kořist_N
strážit_V	stráž_N
ksichtit_V	ksicht_N
plenit_V	plen_N
stínit_V	stín_N
šumařit_V	šumař_N
pěstit_V	pěst_N
lovit_V	lov_N
hnusit_V	hnus_N
zápasit_V	zápas_N
rámusit_V	rámus_N
hrbit_V	hrb_N
soupeřit_V	soupeř_N
zubit_V	zub_N
chmelit_V	chmel_N
chumelit_V	chumel_N
kamarádit_V	kamarád_N
mamonit_V	mamon_N
blábolit_V	blábol_N
čertit_V	čert_N
močit_V	moč_N
kadeřit_V	kadeř_N
řádit_V	řád_N
šatit_V	šat_N
proudit_V	proud_N
brodit_V	brod_N
mastit_V	mast_N
štětit_V	štět_N
divit_V	div_N
kvasit_V	kvas_N
kazit_V	kaz_N
pepřit_V	pepř_N
medit_V	med_N
řetězit_V	řetěz_N
tmelit_V	tmel_N
popelit_V	popel_N
pramenit_V	pramen_N
křenit_V	křen_N
závodit_V	závod_N

Džamila_N	Džamil_N
patrona_N	patron_N
Vladislava_N	Vladislav_N
Drahoslava_N	Drahoslav_N
tragika_N	tragik_N
markýza_N	markýz_N
akta_N	akt_N
fauna_N	faun_N
Miloslava_N	Miloslav_N
Vladimíra_N	Vladimír_N
Václava_N	Václav_N
magistra_N	magistr_N
Bohuslava_N	Bohuslav_N
Romana_N	Roman_N
Valentýna_N	Valentýn_N
Věnceslava_N	Věnceslav_N
Šona_N	Šon_N
Kamila_N	Kamil_N
skripta_N	skript_N
Radana_N	Radan_N
basa_N	bas_N
Boleslava_N	Boleslav_N
Josefa_N	Josef_N
Bohumíra_N	Bohumír_N
Denisa_N	Denis_N
Dana_N	Dan_N
Ivana_N	Ivan_N
Gabriela_N	Gabriel_N
Miroslava_N	Miroslav_N
statika_N	statik_N
úpona_N	úpon_N
způsoba_N	způsob_N
leva_N	lev_N
Květoslava_N	Květoslav_N
karamela_N	karamel_N
hadra_N	hadr_N
Martina_N	Martin_N
úřada_N	úřad_N
bruneta_N	brunet_N
Stanislava_N	Stanislav_N
přednosta_N	přednost_N

dlab_N	dlabat_V
lept_N	leptat_V
vzlyk_N	vzlykat_V
trysk_N	tryskat_V
trk_N	trkat_V
frk_N	frkat_V
klokot_N	klokotat_V
šleh_N	šlehat_V
zob_N	zobat_V
cvrk_N	cvrkat_V
bod_N	bodat_V
kmit_N	kmitat_V
mňouk_N	mňoukat_V
checht_N	chechtat_V
chlast_N	chlastat_V
žvást_N	žvástat_V
dráp_N	drápat_V
chroust_N	chroustat_V
šplh_N	šplhat_V
řez_N	řezat_V
cák_N	cákat_V
plk_N	plkat_V
šprt_N	šprtat_V
drb_N	drbat_V
mžik_N	mžikat_V
tik_N	tikat_V
lok_N	lokat_V
srk_N	srkat_V
kdák_N	kdákat_V
ples_N	plesat_V
hrk_N	hrkat_V
puk_N	pukat_V
cuk_N	cukat_V
chichot_N	chichotat_V
posyp_N	posypat_V
kec_N	kecat_V

Radan_N	Radana_N
parket_N	parketa_N
Drahomír_N	Drahomíra_N
Kamil_N	Kamila_N
Stanislav_N	Stanislava_N
Dan_N	Dana_N
Anděl_N	Anděla_N
Bohumír_N	Bohumíra_N
Roman_N	Romana_N
Květoslav_N	Květoslava_N
Michael_N	Michaela_N
Bohdan_N	Bohdana_N
brunet_N	bruneta_N
Drahoslav_N	Drahoslava_N
Bohuslav_N	Bohuslava_N
Denis_N	Denisa_N
prs_N	prsa_N
Ivan_N	Ivana_N
skript_N	skripta_N
podpor_N	podpora_N
katarakt_N	katarakta_N
fuks_N	fuksa_N
bas_N	basa_N
faun_N	fauna_N
Miroslav_N	Miroslava_N
Pavlín_N	Pavlína_N
Gabriel_N	Gabriela_N
obor_N	obora_N
Valentýn_N	Valentýna_N
numizmatik_N	numizmatika_N
ouřad_N	ouřada_N
markýz_N	markýza_N

box_N	boxovat_V
truc_N	trucovat_V
beton_N	betonovat_V
flirt_N	flirtovat_V
stop_N	stopovat_V
šerm_N	šermovat_V
blog_N	blogovat_V
tunel_N	tunelovat_V
debut_N	debutovat_V
sponzor_N	sponzorovat_V
faul_N	faulovat_V
dohad_N	dohadovat_V
grunt_N	gruntovat_V
import_N	importovat_V
masakr_N	masakrovat_V
sled_N	sledovat_V
žalář_N	žalářovat_V
test_N	testovat_V
kouč_N	koučovat_V
švindl_N	švindlovat_V
akcent_N	akcentovat_V
lob_N	lobovat_V
vandr_N	vandrovat_V
rajc_N	rajcovat_V
štep_N	štepovat_V
pranýř_N	pranýřovat_V
špás_N	špásovat_V
fax_N	faxovat_V
šmak_N	šmakovat_V
koncert_N	koncertovat_V

vejrat_V	vejr_N
tikat_V	tik_N
plesat_V	ples_N
plkat_V	plk_N
vrhat_V	vrh_N
tahat_V	tah_N
drápat_V	dráp_N
hrkat_V	hrk_N
chroustat_V	chroust_N
tokat_V	tok_N
zobat_V	zob_N
hamat_V	ham_N
trestat_V	trest_N
chovat_V	chov_N
čichat_V	čich_N
hněvat_V	hněv_N
drbat_V	drb_N
hltat_V	hlt_N
šprtat_V	šprt_N
krkat_V	krk_N
vznikat_V	vznik_N
flusat_V	flus_N
škrtat_V	škrt_N
klikat_V	klik_N

pejzatý_A	pejz_N
flekatý_A	flek_N
kníratý_A	knír_N
pyskatý_A	pysk_N
šosatý_A	šos_N
nosatý_A	nos_N
hrbatý_A	hrb_N
dusíkatý_A	dusík_N
cípatý_A	cíp_N
lupenatý_A	lupen_N
plynatý_A	plyn_N
uhlíkatý_A	uhlík_N
rezatý_A	rez_N
prdelatý_A	prdel_N
vousatý_A	vous_N
rohatý_A	roh_N
sukatý_A	suk_N
ocasatý_A	ocas_N
parohatý_A	paroh_N
věžatý_A	věž_N
plešatý_A	pleš_N
copatý_A	cop_N
zubatý_A	zub_N
křemíkatý_A	křemík_N

nářeční_A	nářečí_N
pobřežní_A	pobřeží_N
úmrtní_A	úmrtí_N
podpalubní_A	podpalubí_N
zbožní_A	zboží_N
přízemní_A	přízemí_N
nádražní_A	nádraží_N
podnební_A	podnebí_N
okolní_A	okolí_N
výroční_A	výročí_N
zápěstní_A	zápěstí_N
podsvětní_A	podsvětí_N
čtvrtletní_A	čtvrtletí_N
pohlavní_A	pohlaví_N
šestispřežní_A	šestispřeží_N
nábřežní_A	nábřeží_N
průčelní_A	průčelí_N
údolní_A	údolí_N
podložní_A	podloží_N
územní_A	území_N
podkrovní_A	podkroví_N
obilní_A	obilí_N

šelest_N	šelestit_V
plaz_N	plazit_V
chod_N	chodit_V
odval_N	odvalit_V
klest_N	klestit_V
kvap_N	kvapit_V
předěl_N	předělit_V
marod_N	marodit_V
přebal_N	přebalit_V
odstav_N	odstavit_V
pud_N	pudit_V
blábol_N	blábolit_V
plen_N	plenit_V
soupeř_N	soupeřit_V
popud_N	popudit_V
hrot_N	hrotit_V
klid_N	klidit_V
kaz_N	kazit_V
škleb_N	šklebit_V
bloud_N	bloudit_V
třpyt_N	třpytit_V

knotovka_N	knot_N
hadovka_N	had_N
chmelovka_N	chmel_N
drnovka_N	drn_N
startovka_N	start_N
bobrovka_N	bobr_N
kalichovka_N	kalich_N
traťovka_N	trať_N
jedovka_N	jed_N
tendrovka_N	tendr_N
dokladovka_N	doklad_N
bambusovka_N	bambus_N
banánovka_N	banán_N
čepovka_N	čep_N
státovka_N	stát_N
aktovka_N	akt_N
mechovka_N	mech_N
medovka_N	med_N
bukovka_N	buk_N

parno_D	parný_A
drsno_D	drsný_A
trpko_D	trpký_A
draho_D	drahý_A
líto_D	lítý_A
divoko_D	divoký_A
vratko_D	vratký_A
vysokánsko_D	vysokánský_A
dlouho_D	dlouhý_A
libo_D	libý_A
malinko_D	malinký_A
jasno_D	jasný_A
milo_D	milý_A
horko_D	horký_A
těžko_D	těžký_A
širo_D	širý_A
nudno_D	nudný_A
vysokanánsko_D	vysokanánský_A
plno_D	plný_A

mrzce_D	mrzký_A
vratce_D	vratký_A
sladce_D	sladký_A
hladce_D	hladký_A
prudce_D	prudký_A
hebce_D	hebký_A
krátce_D	krátký_A
úzce_D	úzký_A
lehce_D	lehký_A
slaďoučce_D	slaďoučký_A
hořce_D	hořký_A
měkce_D	měkký_A
trpce_D	trpký_A
plytce_D	plytký_A
mělce_D	mělký_A
tence_D	tenký_A
divoce_D	divoký_A
křehce_D	křehký_A

hořko_N	hořký_A
úzko_N	úzký_A
šedo_N	šedý_A
neznámo_N	neznámý_A
zeleno_N	zelený_A
tenko_N	tenký_A
sladko_N	sladký_A
vysoko_N	vysoký_A
studeno_N	studený_A
široko_N	široký_A
mokro_N	mokrý_A
hluboko_N	hluboký_A
malinko_N	malinký_A
prázdno_N	prázdný_A
různo_N	různý_A
lehko_N	lehký_A
nedávno_N	nedávný_A
veselo_N	veselý_A

přebytečný_A	přebytek_N
sňatečný_A	sňatek_N
opačný_A	opak_N
hlučný_A	hluk_N
věčný_A	věk_N
zvučný_A	zvuk_N
zárodečný_A	zárodek_N
náročný_A	nárok_N
průtočný_A	průtok_N
nadbytečný_A	nadbytek_N
příznačný_A	příznak_N
úsečný_A	úsek_N
značný_A	znak_N
oblačný_A	oblak_N
soumračný_A	soumrak_N
zázračný_A	zázrak_N
přízvučný_A	přízvuk_N
statečný_A	statek_N

trylkovat_V	trylek_N
křečkovat_V	křeček_N
kolkovat_V	kolek_N
políčkovat_V	políček_N
paběrkovat_V	paběrek_N
zmatkovat_V	zmatek_N
řízkovat_V	řízek_N
papouškovat_V	papoušek_N
špačkovat_V	špaček_N
titulkovat_V	titulek_N
práškovat_V	prášek_N
lelkovat_V	lelek_N
koníčkovat_V	koníček_N
zinkovat_V	zinek_N
sáčkovat_V	sáček_N
kroužkovat_V	kroužek_N
háčkovat_V	háček_N

katarzní_A	katarze_N
invazní_A	invaze_N
kolizní_A	kolize_N
divizní_A	divize_N
kompresní_A	komprese_N
profesní_A	profese_N
komisní_A	komise_N
recenzní_A	recenze_N
finální_A	finále_N
majuskulní_A	majuskule_N
secesní_A	secese_N
adhezní_A	adheze_N
emisní_A	emise_N
abrazní_A	abraze_N
erozní_A	eroze_N
rešeršní_A	rešerše_N
pažní_A	paže_N

pěnit_V	pěna_N
slinit_V	slina_N
kosit_V	kosa_N
řadit_V	řada_N
lopotit_V	lopota_N
chválit_V	chvála_N
vévodit_V	vévoda_N
řasit_V	řasa_N
vinit_V	vina_N
perlit_V	perla_N
clonit_V	clona_N
měnit_V	měna_N
rosit_V	rosa_N
skvrnit_V	skvrna_N
vlnit_V	vlna_N

netopýří_A	netopýr_N
tuří_A	tur_N
kapří_A	kapr_N
vejří_A	vejr_N
komáří_A	komár_N
humří_A	humr_N
zubří_A	zubr_N
jeseteří_A	jeseter_N
ještěří_A	ještěr_N
jaguáří_A	jaguár_N
kačeří_A	kačer_N
kanáří_A	kanár_N
bobří_A	bobr_N
kocouří_A	kocour_N
tapíří_A	tapír_N

otvíračka_N	otvírač_N
nálevka_N	nálev_N
výbojka_N	výboj_N
kanafaska_N	kanafas_N
průkazka_N	průkaz_N
hostka_N	host_N
vagónka_N	vagón_N
popelka_N	popel_N
holička_N	holič_N
zapalovačka_N	zapalovač_N
Pákistánka_N	Pákistán_N
odměrka_N	odměr_N
dýmka_N	dým_N
packa_N	pac_N

pubertální_A	puberta_N
tracheální_A	trachea_N
orbitální_A	orbita_N
frontální_A	fronta_N
epochální_A	epocha_N
figurální_A	figura_N
konjunkturální_A	konjunktura_N
procedurální_A	procedura_N
bazilikální_A	bazilika_N
centrifugální_A	centrifuga_N
larvální_A	larva_N
pyramidální_A	pyramida_N
ekliptikální_A	ekliptika_N
aortální_A	aorta_N

Barbadosan_N	Barbados_N
skokan_N	skok_N
hltan_N	hlt_N
Soluňan_N	Soluň_N
Hondurasan_N	Honduras_N
Volyňan_N	Volyň_N
Palauan_N	Palau_N
Walesan_N	Wales_N
Přerovan_N	Přerov_N
Olympan_N	Olymp_N
katan_N	kat_N
Laosan_N	Laos_N
Břevnovan_N	Břevnov_N

fiktivní_A	fikce_N
prohibitivní_A	prohibice_N
presumptivní_A	presumpce_N
atraktivní_A	atrakce_N
dekorativní_A	dekorace_N
erektivní_A	erekce_N
intuitivní_A	intuice_N
meditativní_A	meditace_N
eruptivní_A	erupce_N
federativní_A	federace_N
injektivní_A	injekce_N
preventivní_A	prevence_N
inovativní_A	inovace_N

odměrný_A	odměr_N
příjemný_A	příjem_N
záběrný_A	záběr_N
rozporný_A	rozpor_N
klínopisný_A	klínopis_N
rostlinopisný_A	rostlinopis_N
odborný_A	odbor_N
průvodný_A	průvod_N
vlhkoměrný_A	vlhkoměr_N
šestistěnný_A	šestistěn_N
návratný_A	návrat_N
úchylný_A	úchyl_N
bytný_A	byt_N

kostnatý_A	kost_N
listnatý_A	list_N
rtuťnatý_A	rtuť_N
srstnatý_A	srst_N
chvostnatý_A	chvost_N
krevnatý_A	krev_N
chobotnatý_A	chobot_N
měďnatý_A	měď_N
houževnatý_A	houžev_N
lidnatý_A	lid_N
sliznatý_A	sliz_N
mozolnatý_A	mozol_N
keřnatý_A	keř_N

Čáslavsko_N	Čáslav_N
inkvizitorsko_N	inkvizitor_N
Krnovsko_N	Krnov_N
Jablunkovsko_N	Jablunkov_N
Kouřimsko_N	Kouřim_N
Kyjovsko_N	Kyjov_N
Kolínsko_N	Kolín_N
Poznaňsko_N	Poznaň_N
Vlašimsko_N	Vlašim_N
Gottwaldovsko_N	Gottwaldov_N
Berounsko_N	Beroun_N
Bruntálsko_N	Bruntál_N

Vohryzek_N	Vohryzková_N
Urválek_N	Urválková_N
Křivohlávek_N	Křivohlávková_N
Furek_N	Furková_N
Stašek_N	Stašková_N
Křivánek_N	Křivánková_N
Habětínek_N	Habětínková_N
Zadrobílek_N	Zadrobílková_N
Balínek_N	Balínková_N
Plaček_N	Plačková_N
Macek_N	Macková_N
Drnek_N	Drnková_N

Aloisie_N	Alois_N
tyranie_N	tyran_N
pederastie_N	pederast_N
personálie_N	personál_N
celiakie_N	celiak_N
anatomie_N	anatom_N
Viktorie_N	Viktor_N
demagogie_N	demagog_N
filantropie_N	filantrop_N
plebánie_N	plebán_N
rebelie_N	rebel_N
chirurgie_N	chirurg_N

pádlovat_V	pádlo_N
kormidlovat_V	kormidlo_N
věnovat_V	věno_N
sólovat_V	sólo_N
stornovat_V	storno_N
mokvat_V	mok_N
razítkovat_V	razítko_N
žebrovat_V	žebro_N
veslovat_V	veslo_N
inkasovat_V	inkaso_N
vetovat_V	veto_N
kolovat_V	kolo_N

primární_A	prim_N
folikulární_A	folikul_N
elementární_A	element_N
parlamentární_A	parlament_N
testamentární_A	testament_N
statutární_A	statut_N
protokolární_A	protokol_N
konzulární_A	konzul_N
dokumentární_A	dokument_N
modulární_A	modul_N
fragmentární_A	fragment_N

poroba_N	porobit_V
nuda_N	nudit_V
podstava_N	podstavit_V
třída_N	třídit_V
mísa_N	mísit_V
řasa_N	řasit_V
měna_N	měnit_V
švadrona_N	švadronit_V
stanova_N	stanovit_V
klopa_N	klopit_V
lahoda_N	lahodit_V

humorální_A	humor_N
hormonální_A	hormon_N
katastrální_A	katastr_N
orientální_A	orient_N
orchestrální_A	orchestr_N
celiakální_A	celiak_N
kantonální_A	kanton_N
monumentální_A	monument_N
azimutální_A	azimut_N
semestrální_A	semestr_N
momentální_A	moment_N

Odolenov_N	Odolen_N
Jáchymov_N	Jáchym_N
Josefov_N	Josef_N
Rudolfov_N	Rudolf_N
Filipov_N	Filip_N
Maximov_N	Maxim_N
Bedřichov_N	Bedřich_N
Adamov_N	Adam_N
Dětřichov_N	Dětřich_N
Ondřejov_N	Ondřej_N
Vilémov_N	Vilém_N

blatníček_N	blatník_N
šneček_N	šnek_N
lajdáček_N	lajdák_N
rohlíček_N	rohlík_N
deštníček_N	deštník_N
kamíneček_N	kamínek_N
hnědáček_N	hnědák_N
Tureček_N	Turek_N
perníček_N	perník_N
loupežníček_N	loupežník_N
roček_N	rok_N

židák_N	žid_N
gaučák_N	gauč_N
šosák_N	šos_N
gymplák_N	gympl_N
výzkumák_N	výzkum_N
Chrudimák_N	Chrudim_N
mistrák_N	mistr_N
Rusák_N	Rus_N
medák_N	med_N
úchylák_N	úchyl_N
Václavák_N	Václav_N

faldík_N	fald_N
mandelík_N	mandel_N
textík_N	text_N
kovářík_N	kovář_N
Benešík_N	Beneš_N
prdík_N	prd_N
tchořík_N	tchoř_N
rudlík_N	rudl_N
králík_N	král_N
pinglík_N	pingl_N
snobík_N	snob_N

prdelní_A	prdel_N
mentální_A	mentál_N
komunální_A	komunál_N
protokolní_A	protokol_N
důchodní_A	důchod_N
fekální_A	fekál_N
negativní_A	negativ_N
anální_A	anál_N
zájemní_A	zájem_N
morní_A	mor_N

Štěpánovice_N	Štěpán_N
krkovice_N	krk_N
sukovice_N	suk_N
Filipovice_N	Filip_N
Jakubovice_N	Jakub_N
bobrovice_N	bobr_N
Mikulášovice_N	Mikuláš_N
Vilémovice_N	Vilém_N
býkovice_N	býk_N
česnekovice_N	česnek_N

machiavelista_N	machiavelizmus_N
amerikanista_N	amerikanizmus_N
maoista_N	maoizmus_N
bergsonista_N	bergsonizmus_N
absentista_N	absentizmus_N
akméista_N	akméizmus_N
marxista_N	marxizmus_N
behaviorista_N	behaviorizmus_N
bonapartista_N	bonapartizmus_N
artista_N	artizmus_N

příštipkář_N	příštipek_N
vozíčkář_N	vozíček_N
statkář_N	statek_N
dobytkář_N	dobytek_N
pánbíčkář_N	pánbíček_N
doškář_N	došek_N
nábytkář_N	nábytek_N
vejminkář_N	vejminek_N
titulkář_N	titulek_N

teritoriální_A	teritorium_N
futurální_A	futurum_N
adverbiální_A	adverbium_N
kontinuální_A	kontinuum_N
muzeální_A	muzeum_N
