absolutno 	 absolut-n-o 	 absolut-no
bolívie 	 bolív-i-e 	 bol-ív-ie
božínku 	 bož-ín-k-u 	 bož-ínk-u
branka 	 bran-k-a 	 brank-a
brankář 	 bran-k-ář 	 brankář
brečeli 	 breč-e-l-i 	 breč-eli
britské 	 brit-sk-é 	 britsk-é
bráchův 	 brách-ův 	 bráchův
brázdit 	 brázd-i-t 	 brázdi-t
brýlemi 	 brýl-emi 	 brýlemi
budoucnosti 	 bud-ou-c-n-ost-i 	 bud-ouc-n-osti
budoucím 	 bud-ouc-ím 	 budouc-í-m
budweiserová 	 budweiser-ov-á 	 bud-weiserová
bujně 	 buj-n-ě 	 bujn-ě
bych 	 by-ch 	 bych
byla 	 by-l-a 	 byl-a
bytu 	 by-t-u 	 byt-u
bytě 	 by-t-ě 	 byt-ě
bázlivá 	 bá-z-l-iv-á 	 báz-liv-á
bít 	 bí-t 	 bít
bývávaly 	 bý-v-á-v-a-l-y 	 býváv-al-y
běláskové 	 běl-ás-k-ové 	 bělásk-ové
běžně 	 běž-ně 	 běž-n-ě
bříško 	 bříš-k-o 	 bříšk-o
celkovou 	 cel-k-ov-ou 	 celk-ovou
celková 	 cel-k-ov-á 	 celk-ová
celkové 	 cel-k-ov-é 	 celk-ové
celníky 	 cel-n-ík-y 	 cel-ník-y
celoživotní 	 cel-o-ži-v-ot-n-í 	 celož-ivot-n-í
centru 	 centr-u 	 centru
ceník 	 cen-ík 	 ceník
cepovat 	 cep-ova-t 	 cep-ovat
cestovní 	 cest-ov-n-í 	 cest-ovn-í
cestující 	 cest-uj-í-c-í 	 cest-uj-íc-í
charakterem 	 charakter-em 	 charakterem
charakteru 	 charakter-u 	 charakteru
chcete 	 chc-e-te 	 chcete
chcíplá 	 chcíp-l-á 	 chcípl-á
chladná 	 chlad-n-á 	 chladn-á
chlapec 	 chlap-ec 	 chlapec
chlapík 	 chlap-ík 	 chlapík
chlácholil 	 chláchol-i-l 	 chlácholil
chromou 	 chrom-ou 	 chromou
chrstat 	 chrst-a-t 	 chrsta-t
chránit 	 chrán-i-t 	 chrán-it
chtěli 	 cht-ě-l-i 	 chtě-l-i
chudáci 	 chud-ác-i 	 chud-áci
chutnání 	 chut-n-á-n-í 	 chut-n-án-í
chvalořečit 	 chval-o-řeč-i-t 	 chvalořeči-t
chvilce 	 chvil-c-e 	 chvilc-e
chvílích 	 chvíl-í-ch 	 chvíl-ích
chyběl 	 chyb-ě-l 	 chyb-ěl
chystané 	 chyst-a-n-é 	 chyst-an-é
cigarety 	 cigar-et-y 	 cigaret-y
cimrmanovština 	 cimrman-ov-št-in-a 	 cimrman-ovština
citlivostí 	 cit-l-iv-ost-í 	 citl-ivost-í
cizince 	 ciz-in-c-e 	 cizince
cos 	 c-o-s 	 cos
couvnout 	 couv-nou-t 	 couv-nout
ctihodnými 	 ct-i-hod-n-ý-m-i 	 cti-hod-n-ými
cyklu 	 cykl-u 	 cyklu
cácorka 	 các-or-k-a 	 cácork-a
cílem 	 cíl-e-m 	 cíl-em
cílevědomý 	 cíl-e-věd-om-ý 	 cíl-evědom-ý
daktyloskopie 	 daktylo-skopi-e 	 daktyloskopie
dali 	 d-a-l-i 	 dal-i
daly 	 d-a-l-y 	 dal-y
danost 	 d-a-n-ost 	 dan-ost
dané 	 d-a-n-é 	 dan-é
degradovat 	 de-grad-ova-t 	 degrad-ova-t
deklarována 	 de-klar-ová-n-a 	 deklar-ována
deklarováno 	 de-klar-ová-n-o 	 deklar-ováno
deklarují 	 de-klar-uj-í 	 deklar-uj-í
delikátnostem 	 delikát-n-ost-e-m 	 delikát-n-ostem
delonovsky 	 delon-ov-sk-y 	 delonovsk-y
delší 	 del-š-í 	 delš-í
demokratizovat 	 demo-krat-iz-ova-t 	 demokratizovat
demoralizovat 	 de-moral-iz-ova-t 	 demoral-iz-ovat
denním 	 den-n-í-m 	 den-n-ím
desíti 	 desít-i 	 desíti
devět 	 devět 	 devě-t
dezinfikovat 	 dez-infik-ova-t 	 dezin-fik-ovat
dezinteresovat 	 dez-interes-ova-t 	 dezinteresovat
dezorganizovat 	 dez-organ-iz-ova-t 	 dez-organ-izovat
dešifrovat 	 de-šifr-ova-t 	 dešifr-ova-t
diavolo 	 diavolo 	 diav-olo
diplomové 	 diplom-ov-é 	 diplom-ové
disciplíny 	 disciplín-y 	 dis-ciplín-y
diskařský 	 disk-ař-sk-ý 	 diskařsk-ý
diskreditovat 	 dis-kred-it-ova-t 	 dis-kred-it-ovat
distanční 	 dis-tanč-n-í 	 distanč-n-í
divoši 	 div-oš-i 	 divoši
divák 	 div-ák 	 divák
dkp 	 d-k-p 	 dkp
dlouhodobého 	 dlouh-o-dob-ého 	 dlouhodob-ého
dnešek 	 dneš-ek 	 dnešek
dno 	 dn-o 	 dno
dober 	 do-ber 	 dober
dobrodiní 	 dobr-o-di-n-í 	 dobrodiní
dobrozdání 	 dobr-o-zd-á-n-í 	 dobrozdán-í
dobráka 	 dobr-ák-a 	 dobrák-a
dobudovat 	 do-bud-ova-t 	 dobud-ova-t
dobyli 	 do-by-l-i 	 doby-l-i
dobytek 	 do-byt-ek 	 dobytek
dobytí 	 do-by-tí 	 dobyt-í
dobíhají 	 do-bíh-aj-í 	 dobíh-aj-í
dodacích 	 do-d-a-c-ích 	 doda-c-ích
dodat 	 do-d-a-t 	 doda-t
dodavatel 	 do-d-a-v-a-tel 	 dod-a-v-atel
dodavatelem 	 do-d-a-v-a-tel-em 	 dod-a-v-atelem
dodiveně 	 do-div-en-ě 	 dodiv-en-ě
dodržovat 	 do-drž-ova-t 	 dodrž-ovat
dodáno 	 do-d-á-n-o 	 dodá-n-o
dodávat 	 do-d-á-v-a-t 	 dod-á-v-at
dodávka 	 do-d-á-v-k-a 	 dod-ávk-a
dohodou 	 do-hod-ou 	 dohod-ou
dojmů 	 do-jm-ů 	 dojm-ů
doklady 	 do-klad-y 	 doklad-y
doklopýtat 	 do-klopýt-a-t 	 doklopýt-a-t
dokonaleji 	 do-kon-a-l-eji 	 dokon-al-eji
dokonalého 	 do-kon-a-l-é-ho 	 dokon-al-ého
dokončovat 	 do-konč-ova-t 	 dokonč-ova-t
dokáže 	 do-káž-e 	 dokáže
dokáží 	 do-káž-í 	 dokáž-í
doletovat 	 do-let-ova-t 	 dolet-ova-t
dolnolužický 	 doln-o-luž-ick-ý 	 dol-nolužický
doloudat 	 do-loud-a-t 	 doloud-a-t
donést 	 do-nés-t 	 donést
dopomáhat 	 do-po-máh-a-t 	 dopo-máh-a-t
dopít 	 do-pí-t 	 dopí-t
dorachtávatelnost 	 do-racht-á-v-a-teln-ost 	 do-racht-á-v-a-telnost
dotazníky 	 do-taz-ník-y 	 dotaz-ník-y
dotazy 	 do-taz-y 	 dotaz-y
dovedeš 	 do-ved-e-š 	 dovedeš
dovinout 	 do-vi-nou-t 	 dovi-nou-t
dovnitř 	 do-v-nitř 	 dovnitř
dovolí 	 do-vol-í 	 dovol-í
dovozem 	 do-voz-em 	 dovoz-em
dovřít 	 do-vř-í-t 	 dovř-í-t
dozvíte 	 do-z-v-í-te 	 dozv-í-te
dozvěděli 	 do-z-věd-ě-l-i 	 doz-věd-ěli
dočtete 	 do-čt-e-te 	 dočtete
dočíst 	 do-čís-t 	 dočíst
doštupování 	 do-štup-ová-n-í 	 do-štup-ová-ní
dožebrat 	 do-žebr-a-t 	 dožebr-a-t
drbaný 	 drb-a-n-ý 	 drba-n-ý
drkotali 	 drk-ot-a-l-i 	 drkotal-i
druhém 	 druh-é-m 	 druh-ém
družnosti 	 druž-n-ost-i 	 druž-n-osti
drápek 	 dráp-ek 	 drápek
dubnové 	 dubn-ov-é 	 dubn-ové
dupání 	 dup-á-n-í 	 dupá-n-í
dvanáct 	 dv-a-náct 	 dvanáct
dveřích 	 dveř-í-ch 	 dveř-ích
dvojnásobek 	 dv-oj-ná-sob-ek 	 dvoj-n-ásobek
dvojí 	 dv-oj-í 	 dvoj-í
dvouměsíční 	 dv-ou-měsíč-n-í 	 dvouměsíčn-í
dvoustraně 	 dv-ou-stran-ě 	 dvoustran-ě
dynamická 	 dynam-ic-k-á 	 dynamick-á
dynamika 	 dynam-ik-a 	 dynamik-a
dálkové 	 dál-k-ov-é 	 dálk-ové
dává 	 d-á-v-á 	 dáv-á
dávána 	 d-á-v-á-n-a 	 dáván-a
dívám 	 dív-á-m 	 dív-ám
díváš 	 dív-á-š 	 dív-áš
dědečkův 	 děd-eč-k-ův 	 děd-ečk-ův
dějiny 	 děj-in-y 	 dějin-y
děkovat 	 děk-ova-t 	 děk-ovat
dělostřelec 	 děl-o-střel-ec 	 děl-ostřelec
děti 	 dět-i 	 děti
dětské 	 dět-sk-é 	 dětsk-é
dětským 	 dět-sk-ým 	 dětsk-ým
dřevěný 	 dřev-ě-n-ý 	 dřev-ěn-ý
dřít 	 dř-í-t 	 dří-t
dřívějších 	 dřív-ějš-ích 	 dřívěj-š-ích
důchod 	 dů-chod 	 důchod
důchodového 	 dů-chod-ov-ého 	 důchod-ového
důkladněji 	 dů-klad-n-ěji 	 důklad-n-ěji
důležitost 	 dů-lež-it-ost 	 důlež-itost
důležitá 	 dů-lež-it-á 	 důlež-it-á
důsledky 	 dů-sled-k-y 	 důsledk-y
důvěrnosti 	 dů-věr-n-ost-i 	 důvěr-n-osti
důvěře 	 dů-věř-e 	 důvěř-e
ekologického 	 eko-log-ick-ého 	 eko-logick-ého
ekonomech 	 eko-nom-ech 	 eko-nomech
ekonomickou 	 eko-nom-ick-ou 	 eko-nomickou
ekonomové 	 eko-nom-ov-é 	 eko-nom-ové
empirických 	 empir-ic-k-ý-ch 	 empir-ick-ých
energie 	 energ-i-e 	 energie
epocha 	 epoch-a 	 epocha
eva 	 ev-a 	 eva
experiment 	 experi-ment 	 experiment
experimentaci 	 experi-ment-ac-i 	 experimentaci
exportu 	 ex-port-u 	 export-u
faktorů 	 fakt-or-ů 	 faktor-ů
faktury 	 fakt-ur-y 	 faktur-y
fanoušků 	 fan-oušk-ů 	 fanoušk-ů
farmaceutické 	 farmac-eut-ick-é 	 farm-aceutické
filiace 	 fili-ac-e 	 fili-ace
filozofické 	 filo-zof-ic-k-é 	 fil-o-zofické
finesami 	 fines-ami 	 finesami
finálním 	 fin-ál-n-ím 	 finál-ním
fondem 	 fondem 	 fond-em
formosu 	 formos-u 	 form-os-u
formulací 	 form-ul-ac-í 	 formulac-í
fosforeskovat 	 fosfor-esk-ova-t 	 fos-foreskovat
fošen 	 fošen 	 foš-en
francouzsky 	 franc-ouz-sk-y 	 francouzsky
francouzského 	 franc-ouz-sk-ého 	 francouzského
františek 	 frant-iš-ek 	 františek
friesovský 	 fries-ov-sk-ý 	 friesovsk-ý
frotýrovat 	 frot-ýr-ova-t 	 frotýr-ova-t
ft 	 f-t 	 ft
fyzický 	 fyz-ic-k-ý 	 fyzick-ý
fólie 	 fóli-e 	 fól-ie
garance 	 garanc-e 	 garance
gastronomie 	 gastr-o-nom-i-e 	 gastronomie
generace 	 gener-ac-e 	 generace
generál 	 gener-ál 	 generál
gestikulovat 	 gestik-ul-ova-t 	 gestikul-ovat
greenwalda 	 green-wald-a 	 greenwald-a
greenwaldovi 	 green-wald-ovi 	 greenwaldovi
gurkhský 	 gurkh-sk-ý 	 gurkhsk-ý
haló 	 haló 	 hal-ó
hamonit 	 hamon-i-t 	 hamon-it
hegelianism 	 hegelian-ism 	 hegelianism
hejkavec 	 hejkavec 	 hejk-avec
hematologického 	 hemat-o-log-ick-ého 	 hemat-o-log-ického
hladověli 	 hlad-ov-ě-l-i 	 hlad-ověli
hledajíc 	 hled-aj-íc 	 hled-ajíc
hledisku 	 hled-isk-u 	 hledisk-u
hledám 	 hled-á-m 	 hled-ám
hluboká 	 hlub-ok-á 	 hlubok-á
hlášeno 	 hláš-en-o 	 hláš-eno
hmotnostech 	 hmot-n-ost-ech 	 hmot-n-ostech
hmotnosti 	 hmot-n-ost-i 	 hmot-n-osti
hmotného 	 hmot-n-é-ho 	 hmot-n-ého
hnedle 	 hned-le 	 hnedle
hnutí 	 h-nu-t-í 	 hnut-í
hnízdech 	 hnízd-e-ch 	 hnízdech
hochschule 	 hoch-schule 	 hochschule
hodinek 	 hodin-ek 	 hodinek
hodinou 	 hodin-ou 	 hod-in-ou
hodnotu 	 hod-n-ot-u 	 hodn-ot-u
hodnotím 	 hod-n-ot-í-m 	 hod-n-otím
hodnotíte 	 hodn-ot-í-te 	 hod-n-otí-te
hojně 	 hoj-n-ě 	 hojn-ě
holandsku 	 holand-sk-u 	 holandsk-u
holanďan 	 holanď-an 	 holanďan
holiči 	 hol-i-č-i 	 holič-i
holčičkou 	 hol-č-ič-k-ou 	 holč-ičk-ou
honoráře 	 honor-ář-e 	 honoráře
horolezci 	 hor-o-lez-c-i 	 horolezci
horoucně 	 hor-ou-c-n-ě 	 horouc-n-ě
hotovostí 	 hotov-ost-í 	 hotov-ostí
houževnatá 	 houžev-n-at-á 	 houževnat-á
hovět 	 hov-ě-t 	 hově-t
hra 	 hr-a 	 hra
hrbáčův 	 hrb-áč-ův 	 hrbáč-ův
hromková 	 hrom-k-ov-á 	 hromk-ov-á
hroznou 	 hrozn-ou 	 hroz-n-ou
hry 	 hr-y 	 hry
hrála 	 hrá-l-a 	 hrál-a
hrálo 	 hrá-l-o 	 hrál-o
hubovat 	 hub-ova-t 	 hub-ovat
hudby 	 hud-b-y 	 hudb-y
hudební 	 hud-eb-n-í 	 hudeb-n-í
hudebníci 	 hud-eb-níc-i 	 hudeb-níc-i
husími 	 hus-í-m-i 	 hus-ími
huti 	 hut-i 	 huti
hvězdičky 	 hvězd-ič-k-y 	 hvězd-ičk-y
hřbitov 	 hřbitov 	 hřbit-ov
hřebec 	 hřeb-ec 	 hřebec
hřmět 	 hřm-ě-t 	 hřmě-t
identifikační 	 identi-fik-ač-n-í 	 identi-fik-ační
imigraci 	 i-migr-ac-i 	 imigrac-i
improvizovat 	 im-prov-iz-ova-t 	 improvizovat
imunoenzymatický 	 imun-o-enzym-at-ick-ý 	 imun-oenzymatic-k-ý
inaugurován 	 inaugur-ová-n 	 inaugur-ován
indikátorem 	 in-dik-át-or-em 	 indikátorem
individuální 	 in-divid-u-ál-n-í 	 individuální
informačním 	 in-form-ač-n-ím 	 informač-n-ím
informovat 	 in-form-ova-t 	 inform-ova-t
informován 	 in-form-ová-n 	 inform-ován
informuje 	 in-form-uje 	 inform-uje
inkriminované 	 in-krimin-ova-n-é 	 inkrimin-ova-n-é
inspektor 	 in-spekt-or 	 inspektor
inspirovat 	 in-spir-ova-t 	 inspir-ova-t
instalaci 	 in-stal-ac-i 	 instalac-i
instrumentovat 	 instrument-ova-t 	 instrumentovat
instrumentů 	 instru-ment-ů 	 instrumentů
inteligenci 	 intelig-enc-i 	 inteligenci
interesovat 	 interes-ova-t 	 interes-ovat
intuice 	 intuic-e 	 intuice
invalidní 	 in-valid-n-í 	 invalid-n-í
investičními 	 in-vest-ič-n-ími 	 investič-n-ími
investovalo 	 in-vest-ova-l-o 	 invest-ovalo
inzerátech 	 inzer-át-e-ch 	 inzerát-ech
inženýrském 	 inženýr-sk-ém 	 inženýrsk-ém
ivančic 	 ivan-č-ic 	 ivan-čic
jablíčko 	 jablíč-k-o 	 jabl-íčk-o
jakoby 	 jak-o-by 	 jakob-y
jakoupak 	 jak-ou-pak 	 jakoupak
jakého 	 jak-é-ho 	 jak-ého
jakéhokoliv 	 jak-é-ho-koliv 	 jak-éhokoliv
jakže 	 jak-že 	 jakže
jamese 	 james-e 	 jamese
janků 	 jan-k-ů 	 jank-ů
jazejček 	 jazejč-ek 	 jazejček
jděte 	 jd-ě-te 	 jdě-te
jednak 	 jednak 	 jedn-ak
jednali 	 jedn-a-l-i 	 jedn-a-li
jednatelem 	 jedn-a-tel-e-m 	 jedn-a-telem
jednom 	 jedn-o-m 	 jedn-om
jednomotorových 	 jedn-o-motor-ov-ých 	 jedn-omotorových
jednomu 	 jedn-o-mu 	 jedn-omu
jednoosý 	 jedn-o-os-ý 	 jedn-oos-ý
jednorázové 	 jedn-o-ráz-ov-é 	 jedn-orázové
jednotlivina 	 jedn-ot-liv-in-a 	 jedn-ot-l-ivina
jednotlivými 	 jedn-ot-liv-ými 	 jed-n-otliv-ými
jedním 	 jedn-í-m 	 jedn-ím
jejích 	 je-j-í-ch 	 jej-ích
jela 	 je-l-a 	 jel-a
jenjen 	 jen-jen 	 jenjen
jenže 	 jen-že 	 jenže
jeskyni 	 jeskyn-i 	 jeskyni
jevil 	 jev-i-l 	 jevi-l
ješitnost 	 ješit-n-ost 	 ješit-nost
ježibabo 	 ježibab-o 	 ježibabo
jimž 	 j-i-m-ž 	 jimž
jindy 	 jin-d-y 	 jind-y
jinonice 	 jinonic-e 	 jinonice
jistota 	 jist-ot-a 	 jist-ota
jmenují 	 jmen-u-j-í 	 jmen-uj-í
jupiterovy 	 jupiter-ov-y 	 jupiterov-y
juránkův 	 jur-ánk-ův 	 juránk-ův
jídlo 	 jí-dl-o 	 jídl-o
kadidlo 	 kad-i-dl-o 	 kadidl-o
kalkulovat 	 kalk-ul-ova-t 	 kalkul-ova-t
kanada 	 kanad-a 	 kanada
kanadou 	 kanad-ou 	 kanadou
kanadské 	 kanad-sk-é 	 kanadsk-é
kanadský 	 kanad-sk-ý 	 kanadsk-ý
kanadských 	 kanad-sk-ých 	 kanadsk-ých
kanadským 	 kanad-sk-ým 	 kanadsk-ým
kanady 	 kanad-y 	 kanady
kanadě 	 kanad-ě 	 kanadě
kanonizovat 	 kanon-iz-ova-t 	 kanon-izovat
kapelu 	 kapel-u 	 kapelu
kapesníček 	 kapes-níč-ek 	 kapes-níček
kapli 	 kapl-i 	 kap-li
karlík 	 karl-ík 	 karlík
katalogy 	 kata-log-y 	 katalog-y
katalozích 	 kata-loz-ích 	 kataloz-ích
kavalírem 	 kaval-ír-e-m 	 kavalírem
kavkám 	 kav-k-ám 	 kavk-ám
každému 	 každ-é-mu 	 každ-ému
kdovíkdo 	 kd-o-v-í-kd-o 	 kdovíkdo
kdož 	 kdo-ž 	 kdož
kg 	 k-g 	 kg
klasifikaci 	 klasi-fik-ac-i 	 klasifik-aci
klečela 	 kleč-e-l-a 	 kleč-el-a
klnout 	 kl-nou-t 	 klnou-t
klást 	 klás-t 	 klást
klášterem 	 klášter-e-m 	 klášterem
knihovat 	 knih-ova-t 	 knih-ovat
knížete 	 kníž-et-e 	 kníž-e-te
kocouří 	 koc-ouř-í 	 kocouř-í
kodrcat 	 kodrc-a-t 	 kodrcat
koho 	 k-o-ho 	 koho
koledovat 	 koled-ova-t 	 koled-ovat
koleno 	 kolen-o 	 koleno
kolísat 	 kolís-a-t 	 kolís-at
komorník 	 komor-n-ík 	 komor-ník
kompetenci 	 kompet-enc-i 	 kompetenc-i
komu 	 k-o-mu 	 kom-u
konceptem 	 koncept-em 	 konceptem
koncert 	 koncert 	 kon-cert
koncertem 	 koncert-em 	 koncertem
koncertní 	 koncert-n-í 	 koncert-ní
koncertě 	 koncert-ě 	 kon-cert-ě
koncipováním 	 kon-cip-ová-n-ím 	 koncip-ová-ním
kondenzátor 	 kondenz-átor 	 kondenzátor
konečná 	 koneč-n-á 	 konečn-á
konfederovat 	 kon-feder-ova-t 	 kon-federovat
konkretizovat 	 kon-kret-iz-ova-t 	 kon-kret-izovat
konkrétního 	 konkrét-n-ího 	 konkrét-ního
konkrétnímu 	 kon-krét-n-í-mu 	 konkrét-nímu
konstatování 	 kon-stat-ová-n-í 	 kon-stat-ová-ní
kontaminovat 	 kon-tamin-ova-t 	 kontaminovat
kontilití 	 konti-li-t-í 	 kontilit-í
kontraindikace 	 kontra-in-dik-ac-e 	 kontraindik-ace
kontrolorů 	 kontrol-or-ů 	 kontrolor-ů
kontrolovaná 	 kontrol-ova-n-á 	 kontrol-ovan-á
kontroloři 	 kontrol-oř-i 	 kontroloři
konvenovat 	 konven-ova-t 	 konven-ovat
konviktem 	 kon-vikt-e-m 	 konviktem
konírny 	 kon-ír-n-y 	 konírn-y
kopce 	 kop-c-e 	 kopc-e
kopnout 	 kop-nou-t 	 kop-nout
kopřivnická 	 kopřiv-n-ic-k-á 	 kopřiv-nick-á
korat 	 kor-a-t 	 korat
korespondenčními 	 ko-re-spond-enč-n-ími 	 korespond-enč-ními
korovatět 	 kor-ov-at-ě-t 	 korovatět
kosmického 	 kosm-ic-k-é-ho 	 kosmick-ého
kostička 	 kost-ič-k-a 	 kost-ičk-a
kostýmy 	 kostým-y 	 kostýmy
koupete 	 koup-e-te 	 koup-ete
koutcíc 	 kout-c-íc 	 kout-cíc
koňských 	 koň-sk-ý-ch 	 koň-sk-ých
kožiše 	 kož-iš-e 	 kožiše
krakově 	 krakov-ě 	 krak-ov-ě
kristapána 	 krist-a-pán-a 	 kristapán-a
kroužila 	 krouž-i-l-a 	 krouž-il-a
krumlova 	 krumlov-a 	 kruml-ova
krušanov 	 kruš-an-ov 	 krušan-ov
krvavět 	 krv-av-ě-t 	 krv-avět
krylová 	 kryl-ov-á 	 kryl-ová
krytý 	 kry-t-ý 	 kryt-ý
krádeže 	 krád-ež-e 	 krád-eže
kráse 	 krás-e 	 kráse
krásným 	 krás-n-ý-m 	 krás-n-ým
krátkodobé 	 krát-k-o-dob-é 	 krátkodob-é
kterého 	 kter-é-ho 	 kter-ého
kudrnatět 	 kudr-n-at-ě-t 	 kudrn-atě-t
kunovice 	 kun-ovic-e 	 kun-ovice
kupkovat 	 kup-k-ova-t 	 kupk-ovat
kupující 	 kup-uj-íc-í 	 kup-uj-ící
kuriozity 	 kurioz-it-y 	 kuriozity
kučeravět 	 kučer-av-ě-t 	 kučer-avě-t
kušovat 	 kuš-ova-t 	 kuš-ovat
kvalitou 	 kval-it-ou 	 kval-itou
kvičela 	 kvič-e-l-a 	 kvič-ela
kyčel 	 kyčel 	 kyče-l
křestním 	 křest-n-í-m 	 křest-ním
křivkami 	 křiv-k-a-m-i 	 křivk-ami
křižovatce 	 křiž-ovat-c-e 	 křiž-ovatc-e
křídlem 	 kří-dl-e-m 	 křídlem
kůzlátek 	 kůzl-át-ek 	 kůzlátek
lavina 	 lav-in-a 	 lavin-a
lavírovat 	 lav-ír-ova-t 	 lavír-ovat
laťkovat 	 lať-k-ova-t 	 laťk-ova-t
lecčems 	 lec-č-e-m-s 	 lec-č-ems
ledna 	 led-n-a 	 ledn-a
lehce 	 leh-c-e 	 lehc-e
lehkým 	 leh-k-ý-m 	 lehk-ým
letadel 	 let-a-del 	 letadel
letadlech 	 let-a-dl-ech 	 letadlech
letouny 	 let-oun-y 	 letoun-y
letáky 	 let-ák-y 	 leták-y
letíš 	 let-í-š 	 letíš
ležákem 	 lež-ák-em 	 lež-ákem
lhostejnět 	 lhostej-n-ě-t 	 lhostejnět
lidem 	 lid-e-m 	 lid-em
ligni 	 ligni 	 lig-n-i
limit 	 limit 	 lim-i-t
linkovat 	 lin-k-ova-t 	 link-ova-t
listech 	 list-ech 	 listech
lkát 	 lk-á-t 	 lká-t
loupežníkem 	 loup-ež-n-ík-e-m 	 loupež-ník-em
loupežníkovi 	 loup-ež-n-ík-ovi 	 loupež-ník-ovi
loupežníku 	 loup-ež-n-ík-u 	 loupež-ník-u
loupežníky 	 loup-ež-n-ík-y 	 loupež-ník-y
ltd 	 l-t-d 	 ltd
lukách 	 luk-á-ch 	 luk-ách
lumpačit 	 lump-ač-i-t 	 lumpači-t
látky 	 lát-k-y 	 látk-y
lázní 	 lázn-í 	 láz-n-í
lékařem 	 lék-ař-e-m 	 lék-ař-em
lékem 	 lék-e-m 	 lék-em
lékárnám 	 lék-ár-n-ám 	 lék-árn-ám
léčbě 	 léč-b-ě 	 léčb-ě
líbezně 	 líb-ez-n-ě 	 líbezn-ě
lístek 	 líst-ek 	 lístek
lístečcích 	 líst-ečc-ích 	 lístečc-ích
lístku 	 líst-k-u 	 lístk-u
lístky 	 líst-k-y 	 lístk-y
lístků 	 líst-k-ů 	 lístk-ů
lítosti 	 lít-ost-i 	 lít-osti
maiden 	 maid-en 	 maiden
majíce 	 m-aj-íc-e 	 majíce
makrokonvertor 	 makro-kon-ver-t-or 	 makrokonvertor
