absolventi 	 ab-solv-ent-i 	 absolv-ent-i
luděk 	 luděk 	 lud-ěk
lukách 	 luk-á-ch 	 luk-ách
lékařem 	 lék-ař-e-m 	 lék-ař-em
lékem 	 lék-e-m 	 lék-em
lékárnám 	 lék-ár-n-ám 	 lék-árn-á-m
lístek 	 líst-ek 	 lístek
lístku 	 líst-k-u 	 lístk-u
lístků 	 líst-k-ů 	 lístk-ů
majíce 	 m-aj-íc-e 	 m-aj-íce
maličkosti 	 mal-ič-k-ost-i 	 mal-ičk-ost-i
maličký 	 mal-ič-k-ý 	 mal-ičk-ý
malkovského 	 malkovsk-ého 	 malk-ov-sk-ého
manager 	 manag-er 	 manager
manažerovi 	 manažer-ovi 	 manaž-er-ovi
manýrám 	 manýr-á-m 	 manýr-ám
mariánských 	 mari-án-sk-ých 	 marián-sk-ých
materialisty 	 mater-i-al-ist-y 	 materi-al-ist-y
materiálu 	 mater-i-ál-u 	 materi-ál-u
metafyzických 	 meta-fyz-ic-k-ý-ch 	 meta-fyz-ic-k-ých
metodologicky 	 metodo-log-ic-k-y 	 metod-o-log-ick-y
mezitím 	 mezi-t-ím 	 mezití-m
meziříčí 	 mezi-říč-í 	 meziříčí
mečení 	 meč-e-n-í 	 meč-en-í
mikroorganismy 	 mikro-organ-ism-y 	 mikr-oorganism-y
miliarda 	 miliard-a 	 mili-ard-a
milostpane 	 mil-ost-pan-e 	 mil-ostpa-n-e
minimem 	 minim-em 	 mini-m-em
minimum 	 minim-um 	 min-im-um
ministerstva 	 minister-stv-a 	 min-ister-stv-a
minulý 	 min-ul-ý 	 mi-nu-l-ý
mj 	 m-j 	 mj
mjasisčev 	 mjasisčev 	 mjasisč-ev
mladého 	 mlad-é-ho 	 mlad-ého
mlčeli 	 mlč-e-l-i 	 mlč-e-li
moderního 	 modern-í-ho 	 modern-ího
monopolu 	 mon-o-pol-u 	 mono-pol-u
monument 	 monument 	 monu-ment
moravského 	 morav-sk-ého 	 mor-av-sk-ého
motivací 	 motiv-ac-í 	 motiv-a-c-í
motorlet 	 motor-let 	 motorle-t
motorletu 	 motor-let-u 	 motorlet-u
možnostech 	 možn-ost-ech 	 mož-n-ost-ech
mužského 	 muž-sk-é-ho 	 muž-sk-ého
mužství 	 muž-stv-í 	 muž-ství
mávne 	 máv-n-e 	 máv-ne
médií 	 médi-í 	 méd-i-í
mésti 	 mést-i 	 més-ti
mých 	 m-ý-ch 	 mých
měli 	 mě-l-i 	 m-ě-l-i
měřítka 	 měř-í-tk-a 	 měřít-k-a
měřítku 	 měř-í-tk-u 	 měřítk-u
mřížovec 	 mříž-ov-ec 	 mříž-ovec
nabitý 	 na-bi-t-ý 	 na-bit-ý
nabytí 	 na-by-t-í 	 na-by-tí
nadindividuálního 	 nad-in-divid-u-ál-n-í-ho 	 nad-individ-u-ál-n-ího
nadčlověctví 	 nad-člověc-tv-í 	 nad-člověc-tví
nadějemi 	 na-děj-e-m-i 	 na-d-ěj-emi
nadřaděného 	 nad-řad-ěn-é-ho 	 nad-řad-ěn-ého
nadšení 	 na-dš-en-í 	 nad-šen-í
nadšením 	 na-dš-en-í-m 	 nad-šen-í-m
najatí 	 na-j-a-t-í 	 na-j-at-í
namésti 	 na-mést-i 	 na-més-ti
nebrání 	 ne-brán-í 	 ne-br-á-n-í
nedaleko 	 ne-dal-ek-o 	 ne-da-l-ek-o
nedaří 	 ne-dař-í 	 ne-d-ař-í
negativními 	 negat-iv-n-ími 	 neg-at-iv-n-ími
nejaktivnější 	 nej-akt-iv-n-ějš-í 	 nejakt-iv-n-ějš-í
nejcitlivějším 	 nej-cit-liv-ějš-ím 	 nej-cit-l-iv-ěj-š-í-m
nejdivočejší 	 nej-div-oč-ej-š-í 	 nej-div-oč-ejš-í
nejkrásnějších 	 nej-krás-n-ěj-š-í-ch 	 nej-krás-n-ěj-š-ích
nejpalčivější 	 nej-pal-č-iv-ěj-š-í 	 nej-pal-č-iv-ějš-í
nejsladšího 	 nej-slad-š-í-ho 	 nej-slad-š-ího
nejvzdálenější 	 nej-vz-dál-e-n-ěj-š-í 	 nej-vz-dál-e-n-ějš-í
nejzřetelněji 	 nej-zř-e-tel-n-ěji 	 nej-zře-t-eln-ěji
nejčastějších 	 nej-čast-ěj-š-í-ch 	 nej-čast-ěj-š-ích
nekrytý 	 ne-kry-t-ý 	 ne-kryt-ý
nekvete 	 ne-kvet-e 	 ne-kve-te
nelegální 	 ne-leg-ál-n-í 	 ne-legál-n-í
nemálo 	 ne-mál-o 	 ne-m-á-l-o
neměly 	 ne-m-ě-l-y 	 ne-m-ěl-y
nepolemizujme 	 ne-polem-iz-uj-me 	 ne-po-lem-iz-uj-me
nepotřebujete 	 ne-po-třeb-u-j-e-te 	 ne-po-třeb-uje-te
neprodejným 	 ne-pro-dej-n-ým 	 ne-pro-d-ej-n-ým
nepředepisují 	 ne-přede-pis-uj-í 	 ne-pře-de-pis-uj-í
nepředpokládám 	 ne-před-po-klád-á-m 	 ne-před-pokládám
nepřesných 	 ne-přesn-ých 	 ne-přes-n-ých
nereálný 	 ne-reál-n-ý 	 ne-re-ál-n-ý
netušícího 	 ne-tuš-íc-ího 	 ne-tušíc-ího
neumožňuje 	 ne-u-možň-uje 	 ne-u-mož-ň-uje
nevrley 	 nevrley 	 nev-rley
nezaměstnanosti 	 ne-za-měst-n-an-ost-i 	 ne-za-měst-n-anosti
nezačínej 	 ne-za-č-ín-ej 	 ne-za-čín-ej
neznámého 	 ne-zn-á-m-é-ho 	 ne-zn-á-m-ého
neztratitelnost 	 ne-z-trat-i-tel-n-ost 	 ne-z-trat-i-teln-ost
nitěných 	 nit-ěn-ý-ch 	 nit-ěn-ých
norem 	 norem 	 nor-em
nosem 	 nos-e-m 	 nos-em
nykláku 	 nyklák-u 	 ny-klák-u
nymburka 	 nymburk-a 	 nymbur-k-a
nábytek 	 ná-by-tek 	 ná-byt-ek
náramného 	 ná-ram-n-é-ho 	 ná-ram-n-ého
nás 	 n-á-s 	 ná-s
návštěvnosti 	 návštěv-n-ost-i 	 náv-štěv-n-ost-i
ně 	 n-ě 	 ně
nějakém 	 ně-jak-é-m 	 ně-jak-ém
něm 	 n-ě-m 	 něm
německý 	 něm-ec-k-ý 	 německ-ý
obepnout 	 obe-pn-ou-t 	 obe-p-nou-t
objektem 	 ob-jekt-e-m 	 ob-jekt-em
obor 	 o-bor 	 ob-or
obrat 	 o-br-a-t 	 obr-at
obzvlášť 	 ob-zvlášť 	 ob-z-vláš-ť
ochotna 	 ochot-n-a 	 o-chot-n-a
odečte 	 ode-čt-e 	 od-e-č-te
odečtení 	 ode-čt-en-í 	 od-e-čt-en-í
odečtou 	 ode-čt-ou 	 od-e-čt-ou
odlévání 	 od-lév-á-n-í 	 od-lé-v-á-n-í
odmésti 	 od-mést-i 	 od-més-ti
odnoží 	 od-nož-í 	 od-n-ož-í
odpisovaného 	 od-pis-ova-n-ého 	 od-pis-ov-a-n-ého
odpluje 	 od-plu-je 	 od-pluje
odřít 	 o-dř-í-t 	 odř-í-t
ohořelému 	 o-hoř-e-l-é-mu 	 o-hoř-e-l-ému
ohřebelcovat 	 o-hřeb-el-c-ova-t 	 o-hře-belc-ova-t
okrajovým 	 o-kraj-ov-ým 	 okraj-ov-ým
oktrojovat 	 oktroj-ova-t 	 ok-troj-ova-t
olfen 	 olfen 	 olf-en
olšanech 	 olšan-e-ch 	 olšan-ech
omezování 	 o-mez-ová-n-í 	 omez-ová-n-í
opačném 	 o-pač-n-é-m 	 o-pač-n-ém
oplésti 	 o-plést-i 	 o-plés-ti
opouštějí 	 o-poušt-ěj-í 	 o-pou-št-ěj-í
opovažuješ 	 o-po-važ-u-j-e-š 	 o-po-važ-uje-š
orchestrem 	 orchestr-e-m 	 orchestr-em
organismus 	 organismus 	 organ-ism-us
organizují 	 organ-iz-u-j-í 	 organ-iz-uj-í
orlik 	 orl-ik 	 orlik
osmitisícový 	 osm-i-tisíc-ov-ý 	 osm-i-tisíc-ový
osobu 	 o-sob-u 	 osob-u
ospalost 	 o-sp-a-l-ost 	 o-spal-ost
ostatních 	 o-stat-n-í-ch 	 o-stat-n-ích
ostřit 	 ostř-i-t 	 o-stř-i-t
osudem 	 o-sud-e-m 	 o-sud-em
osudně 	 osud-n-ě 	 o-sud-n-ě
osvědčovat 	 o-svědč-ova-t 	 o-s-věd-č-ova-t
osvědčují 	 o-s-věd-č-u-j-í 	 o-s-věd-č-uj-í
ovít 	 o-ví-t 	 oví-t
oxfordského 	 oxford-sk-é-ho 	 oxford-sk-ého
ozřejmit 	 o-zřejm-i-t 	 o-zřej-m-i-t
očima 	 oč-ima 	 oč-im-a
ošukat 	 ošuk-a-t 	 o-šuk-a-t
ošívat 	 o-ší-v-a-t 	 o-ší-v-at
pacientovi 	 pac-i-ent-ovi 	 pacient-ovi
padesátku 	 pade-sát-k-u 	 padesát-k-u
panenka 	 pan-en-k-a 	 pan-enk-a
paničko 	 pan-ič-k-o 	 pan-ičk-o
pavouček 	 pavouč-ek 	 pav-ouč-ek
peníz 	 peníz 	 pen-íz
perly 	 perl-y 	 per-l-y
perutková 	 perut-k-ov-á 	 perutk-ov-á
petynce 	 pety-n-c-e 	 pet-yn-c-e
pečiva 	 peč-iv-a 	 peči-v-a
pečivo 	 peč-iv-o 	 peč-i-v-o
pilují 	 pil-u-j-í 	 pil-uj-í
pitomej 	 pitom-ej 	 pito-mej
plakáty 	 plakát-y 	 plak-át-y
planul 	 plan-u-l 	 pla-nu-l
plačící 	 plač-í-c-í 	 plač-íc-í
pleteného 	 plet-en-é-ho 	 plet-en-ého
plivám 	 pliv-á-m 	 pliv-ám
plnění 	 pln-ěn-í 	 pln-ě-n-í
plochy 	 ploch-y 	 plochy
plodem 	 plod-e-m 	 plod-em
pobočkové 	 po-boč-k-ov-é 	 po-boč-k-ové
podaří 	 po-dař-í 	 po-d-ař-í
podhrnout 	 pod-hrn-ou-t 	 pod-hr-nou-t
podlec 	 podl-ec 	 pod-l-ec
podobného 	 po-dob-n-é-ho 	 po-dob-n-ého
podtít 	 pod-t-í-t 	 pod-tí-t
podvésti 	 pod-vést-i 	 pod-vés-ti
pohnutlivé 	 po-h-nu-t-l-i-v-é 	 po-h-nu-t-l-iv-é
pohotovějším 	 po-hotov-ějš-ím 	 po-hotov-ěj-š-í-m
politických 	 polit-ic-k-ý-ch 	 polit-ic-k-ých
polska 	 pol-sk-a 	 polsk-a
polyvalence 	 poly-valenc-e 	 poly-valen-c-e
poměrem 	 po-měr-e-m 	 po-měr-em
poplatník 	 po-plat-ník 	 po-plat-n-ík
poplatníka 	 po-plat-ník-a 	 po-plat-n-ík-a
poplatníky 	 po-plat-ník-y 	 po-plat-n-ík-y
poproduktivní 	 po-pro-duk-t-iv-n-í 	 po-produkt-iv-n-í
poptávky 	 po-pt-á-v-k-y 	 po-pt-áv-k-y
porovnání 	 po-rovn-ání 	 po-rovn-á-n-í
porůsti 	 po-růst-i 	 po-růs-ti
posluchače 	 po-sluch-a-č-e 	 po-sluch-ač-e
posluchačů 	 po-sluch-a-č-ů 	 po-sluch-ač-ů
pouhém 	 pouh-é-m 	 pouh-ém
povolaný 	 po-vol-an-ý 	 po-vol-a-n-ý
povyrůsti 	 po-vy-růst-i 	 po-vy-růs-ti
povzbudivé 	 po-vz-bud-i-v-é 	 po-vz-bud-iv-é
pozdní 	 pozd-n-í 	 pozd-ní
pozitivně 	 pozit-iv-n-ě 	 po-zit-iv-n-ě
počkám 	 po-čk-á-m 	 po-čk-ám
pošlete 	 po-šl-e-te 	 po-šlete
pragokoncertu 	 prag-o-koncert-u 	 prago-konc-ert-u
praktickým 	 prakt-ic-k-ý-m 	 prakt-ic-k-ým
praktikantům 	 prakt-ik-ant-ům 	 pra-kt-ik-ant-ům
pramene 	 pramen-e 	 pra-men-e
pravd 	 prav-d 	 pravd
prchavý 	 prch-a-v-ý 	 prch-av-ý
previtský 	 previt-sk-ý 	 pre-vit-sk-ý
princeznu 	 princ-ez-n-u 	 princez-n-u
projednáním 	 pro-jed-n-án-ím 	 pro-jedn-á-n-ím
proklásti 	 pro-klást-i 	 pro-klás-ti
promnout 	 pro-mn-ou-t 	 pro-m-nou-t
propagace 	 propag-ac-e 	 pro-pag-ac-e
prosimás 	 prosimás 	 pro-sim-ás
prostějovsko 	 prostějov-sk-o 	 prostěj-ovsk-o
prostějově 	 prostějov-ě 	 prostěj-ov-ě
protisluneční 	 proti-slun-eč-n-í 	 pro-tislun-eč-n-í
provincií 	 provinc-i-í 	 pro-vinc-i-í
pročež 	 pro-č-e-ž 	 pro-č-ež
prošel 	 pro-še-l 	 pro-šel
prstíčky 	 prst-íč-k-y 	 prst-íčk-y
právem 	 práv-e-m 	 práv-em
psacím 	 ps-a-c-í-m 	 ps-a-c-ím
psaním 	 ps-a-n-í-m 	 ps-a-n-ím
psychično 	 psych-ič-n-o 	 psy-chič-n-o
psychologistickou 	 psycho-log-ist-ic-k-ou 	 psych-o-log-ist-ic-k-ou
psům 	 ps-ů-m 	 ps-ům
ptejme 	 pt-ej-me 	 ptej-me
publicita 	 public-it-a 	 pub-lic-it-a
publikací 	 publik-ac-í 	 pub-lik-ac-í
pučálka 	 pučálk-a 	 pučál-k-a
pzt 	 p-z-t 	 pz-t
pápěrka 	 pá-pěr-k-a 	 pápěr-k-a
píti 	 pít-i 	 pí-ti
pěkném 	 pěkn-é-m 	 pěkn-ém
pěst 	 pěst 	 pěs-t
pětikorunovou 	 pět-i-korun-ov-ou 	 pět-ikorun-ov-ou
pětistovkou 	 pět-i-st-ovk-ou 	 pět-ist-ov-k-ou
předcházejí 	 před-cház-e-j-í 	 před-cház-ej-í
předobjednávání 	 před-ob-jedn-á-v-á-n-í 	 před-objedná-vá-n-í
předpojaté 	 před-po-j-a-t-é 	 před-po-j-at-é
předrahá 	 pře-drah-á 	 pře-d-rah-á
předražit 	 pře-draž-i-t 	 pře-d-raž-i-t
předsedům 	 před-sed-ů-m 	 před-sed-ům
předstihujícím 	 před-stih-uj-í-c-í-m 	 před-stih-uj-íc-ím
přejímce 	 pře-j-í-m-c-e 	 pře-jím-c-e
překladatel 	 pře-klad-a-tel 	 pře-klad-a-t-el
přepnout 	 pře-pn-ou-t 	 pře-p-nou-t
přesnost 	 přesn-ost 	 pře-sn-ost
přesností 	 přesn-ost-í 	 pře-snost-í
přesný 	 přesn-ý 	 přesný
přesnější 	 přesn-ěj-š-í 	 pře-s-něj-š-í
převlíkat 	 pře-vlík-a-t 	 pře-v-lík-a-t
převívat 	 pře-ví-v-a-t 	 pře-vív-a-t
přezdít 	 pře-zd-í-t 	 pře-zdí-t
připluje 	 při-plu-je 	 při-pluje
připomenout 	 při-po-men-ou-t 	 při-po-me-nou-t
přispořit 	 při-spoř-i-t 	 při-s-poř-i-t
přisvědčit 	 při-svědč-i-t 	 při-s-vědč-i-t
přiznej 	 při-zn-e-j 	 při-zn-ej
přizpůsobivosti 	 při-z-pů-sob-i-v-ost-i 	 při-z-pů-sob-i-v-osti
přišinout 	 při-šin-ou-t 	 při-ši-nou-t
příjmy 	 pří-jm-y 	 pří-jmy
příležitost 	 pří-lež-it-ost 	 pří-lež-i-t-ost
přímém 	 přím-é-m 	 přím-ém
přítomny 	 pří-t-o-m-n-y 	 pří-t-om-n-y
přítomném 	 pří-t-o-m-n-é-m 	 pří-t-om-n-ém
přítomnými 	 pří-t-o-m-n-ý-m-i 	 pří-t-om-n-ými
přízemí 	 pří-zem-í 	 přízem-í
příštího 	 příšt-í-ho 	 příštího
příštím 	 příšt-ím 	 příští-m
příště 	 příšt-ě 	 příště
pšenka 	 pšen-k-a 	 pš-en-k-a
québec 	 québec 	 qué-b-ec
radomír 	 radomír 	 rad-omír
rallye 	 rallye 	 rall-ye
regály 	 regál-y 	 reg-ál-y
rejstříku 	 rejstřík-u 	 rejstř-ík-u
reklamace 	 reklam-ac-e 	 re-klam-ac-e
rektorem 	 rekt-or-em 	 rektor-em
relativizování 	 relat-iv-izová-n-í 	 relativ-iz-ová-n-í
revolucí 	 revol-uc-í 	 re-voluc-í
rider 	 rid-er 	 rider
rivalové 	 rival-ové 	 rival-ov-é
roháček 	 roh-áč-ek 	 roh-áček
rolničit 	 rol-n-ič-i-t 	 rol-nič-i-t
roxby 	 roxby 	 rox-by
rozhrnula 	 roz-hrn-u-l-a 	 roz-hr-nu-l-a
rozkošným 	 roz-koš-n-ý-m 	 roz-koš-n-ým
rozpočísti 	 roz-po-číst-i 	 roz-po-čís-ti
rozprodávat 	 roz-pro-d-á-v-a-t 	 roz-prod-á-v-a-t
rozumových 	 roz-um-ov-ý-ch 	 roz-um-ov-ých
rozutíkat 	 roz-utík-a-t 	 roz-u-tík-a-t
rupií 	 rupi-í 	 rup-i-í
ruské 	 rus-k-é 	 rusk-é
rázem 	 ráz-e-m 	 ráz-em
různými 	 různ-ý-m-i 	 různ-ými
samotáři 	 sam-ot-ář-i 	 sam-otář-i
schodech 	 s-chod-e-ch 	 s-chod-ech
scienza 	 scienza 	 scienz-a
scorpions 	 scorpion-s 	 scorpions
sebeničením 	 s-eb-e-ni-č-en-í-m 	 seb-e-nič-en-ím
sebevíce 	 seb-e-víc-e 	 seb-e-více
sedláková 	 sedl-ák-ov-á 	 sed-l-ák-ov-á
