abbé 	 abb-é 	 ab-b-é
chráněných 	 chrán-ěn-ých 	 chrá-n-ěn-ých
chvalořečit 	 chval-o-řeč-i-t 	 chval-oř-eč-i-t
chvilce 	 chvil-c-e 	 chv-il-c-e
chvástat 	 chvást-a-t 	 chvá-st-a-t
chvílích 	 chvíl-í-ch 	 chvíl-ích
cigarety 	 cigar-et-y 	 cigaret-y
cimrmanovština 	 cimrman-ov-št-in-a 	 cimrman-ovšt-in-a
colubrina 	 colubrin-a 	 colubr-in-a
cos 	 c-o-s 	 c-os
courama 	 cour-ama 	 cour-am-a
ctihodnými 	 ct-i-hod-n-ý-m-i 	 ct-i-hod-n-ými
cácorka 	 các-or-k-a 	 cácor-k-a
cílem 	 cíl-e-m 	 cíl-em
daklar 	 daklar 	 da-klar
daktyloskopie 	 daktylo-skopi-e 	 dakt-y-l-o-skop-i-e
dali 	 d-a-l-i 	 da-l-i
daly 	 d-a-l-y 	 da-l-y
dana 	 dan-a 	 da-n-a
danost 	 d-a-n-ost 	 da-n-ost
dané 	 d-a-n-é 	 da-n-é
delikátnostem 	 delikát-n-ost-e-m 	 delik-át-n-ost-em
dem 	 dem 	 d-em
demokratizovat 	 demo-krat-iz-ova-t 	 de-mo-krat-iz-ova-t
demoralizovat 	 de-moral-iz-ova-t 	 de-mor-al-iz-ova-t
desíti 	 desít-i 	 de-sí-t-i
devizové 	 deviz-ov-é 	 de-v-iz-ov-é
devět 	 devět 	 dev-ě-t
dezinfikovat 	 dez-infik-ova-t 	 dezin-fik-ova-t
dezinteresovat 	 dez-interes-ova-t 	 dezinteres-ova-t
dezorganizovat 	 dez-organ-iz-ova-t 	 de-zorgan-iz-ova-t
dešifrovat 	 de-šifr-ova-t 	 deši-fr-ova-t
diavolo 	 diavolo 	 diav-ol-o
diferovat 	 difer-ova-t 	 di-fer-ova-t
diplomové 	 diplom-ov-é 	 di-plom-ov-é
disciplíny 	 disciplín-y 	 dis-ci-p-lín-y
diskařský 	 disk-ař-sk-ý 	 dis-kař-sk-ý
distanční 	 dis-tanč-n-í 	 distanč-n-í
dkp 	 d-k-p 	 dk-p
dlouhodobého 	 dlouh-o-dob-ého 	 dlouhod-o-b-ého
dnešek 	 dneš-ek 	 dne-š-ek
dobra 	 dobr-a 	 do-br-a
dobrodiní 	 dobr-o-di-n-í 	 do-brod-in-í
dobrozdání 	 dobr-o-zd-á-n-í 	 do-broz-d-á-n-í
dobráka 	 dobr-ák-a 	 do-brák-a
dobytek 	 do-byt-ek 	 do-by-t-ek
dobytí 	 do-by-tí 	 do-by-t-í
docentů 	 docent-ů 	 do-cent-ů
dohromady 	 do-hromad-y 	 do-hro-mad-y
dokonaleji 	 do-kon-a-l-eji 	 do-kon-a-l-ej-i
dokonalého 	 do-kon-a-l-é-ho 	 do-kon-a-l-ého
dokončovat 	 do-konč-ova-t 	 do-kon-č-ova-t
doletovat 	 do-let-ova-t 	 dolet-ova-t
dolnolužický 	 doln-o-luž-ick-ý 	 dol-n-oluž-ic-k-ý
dopít 	 do-pí-t 	 do-p-í-t
dostaviti 	 do-stav-i-ti 	 do-stav-i-t-i
dotazníky 	 do-taz-ník-y 	 do-taz-n-ík-y
dovinout 	 do-vi-nou-t 	 dovi-nou-t
dovnitř 	 do-v-nitř 	 dov-n-itř
dozvíte 	 do-z-v-í-te 	 do-zv-í-te
dožebrat 	 do-žebr-a-t 	 do-že-br-a-t
drbaný 	 drb-a-n-ý 	 drba-n-ý
drožkář 	 drožk-ář 	 drož-k-ář
druhém 	 druh-é-m 	 druh-ém
dubnové 	 dubn-ov-é 	 dub-n-ov-é
durajková 	 durajk-ov-á 	 duraj-k-ov-á
dušiček 	 duš-iček 	 duš-ič-ek
dveřích 	 dveř-í-ch 	 dveř-ích
dvojnásobek 	 dv-oj-ná-sob-ek 	 dvoj-ná-sob-ek
dvouměsíční 	 dv-ou-měsíč-n-í 	 dv-ou-měs-íč-n-í
dynamická 	 dynam-ic-k-á 	 dy-nam-ic-k-á
dynamika 	 dynam-ik-a 	 dy-na-mik-a
dívají 	 dív-aj-í 	 dí-v-aj-í
dívám 	 dív-á-m 	 dí-v-á-m
díváš 	 dív-á-š 	 dí-v-á-š
dědečkův 	 děd-eč-k-ův 	 děd-e-č-k-ův
dělostřelec 	 děl-o-střel-ec 	 děl-o-stř-el-ec
děti 	 dět-i 	 dě-t-i
dětské 	 dět-sk-é 	 dě-t-sk-é
dřeně 	 dřen-ě 	 dř-e-n-ě
dřevěný 	 dřev-ě-n-ý 	 dře-v-ěn-ý
dřívějších 	 dřív-ějš-ích 	 dří-v-ěj-š-ích
důkladněji 	 dů-klad-n-ěji 	 dů-klad-n-ěj-i
efektů 	 efekt-ů 	 e-fekt-ů
ekologické 	 eko-log-ick-é 	 eko-log-ic-k-é
ekologického 	 eko-log-ick-ého 	 eko-log-ic-k-ého
ekonomech 	 eko-nom-ech 	 eko-n-om-ech
ekonomickou 	 eko-nom-ick-ou 	 eko-n-om-ic-k-ou
ekonomové 	 eko-nom-ov-é 	 eko-n-om-ov-é
empirických 	 empir-ic-k-ý-ch 	 empir-ic-k-ých
energie 	 energ-i-e 	 energ-ie
epocha 	 epoch-a 	 epo-ch-a
et 	 et 	 e-t
expansion 	 expansion 	 ex-pan-sion
experiment 	 experi-ment 	 experiment
experimentaci 	 experi-ment-ac-i 	 experiment-ac-i
faktorů 	 fakt-or-ů 	 faktor-ů
fanoušků 	 fan-oušk-ů 	 fa-noušk-ů
farmaceutické 	 farmac-eut-ick-é 	 farmaceut-ic-k-é
fastfood 	 fast-food 	 fast-f-ood
filiace 	 fili-ac-e 	 filiac-e
filozofické 	 filo-zof-ic-k-é 	 fil-o-zof-ic-k-é
finesami 	 fines-ami 	 fin-e-sami
finálním 	 fin-ál-n-ím 	 fin-ál-n-í-m
fondem 	 fondem 	 fond-em
formosu 	 formos-u 	 form-os-u
formát 	 form-át 	 form-á-t
fosforeskovat 	 fosfor-esk-ova-t 	 fos-fore-sk-ova-t
fošen 	 fošen 	 foš-en
franciska 	 francisk-a 	 fran-c-is-k-a
francisku 	 francisk-u 	 fran-c-isk-u
frotýrovat 	 frot-ýr-ova-t 	 frotýr-ova-t
fólie 	 fóli-e 	 fól-i-e
garance 	 garanc-e 	 garan-c-e
gastronomie 	 gastr-o-nom-i-e 	 gastro-n-om-i-e
generál 	 gener-ál 	 gener-á-l
gestikulovat 	 gestik-ul-ova-t 	 gest-ikul-ova-t
graessnerii 	 graessnerii 	 graess-ner-i-i
graessneriji 	 graessneriji 	 graess-nerij-i
haly 	 hal-y 	 ha-l-y
haló 	 haló 	 hal-ó
havarovat 	 havar-ova-t 	 ha-var-ova-t
hegelianism 	 hegelian-ism 	 hegelia-n-ism
hejkavec 	 hejkavec 	 hej-k-av-ec
hematologického 	 hemat-o-log-ick-ého 	 hemat-o-log-ic-k-ého
hergot 	 hergot 	 herg-ot
hmotného 	 hmot-n-é-ho 	 hmot-n-ého
hnedle 	 hned-le 	 hne-d-l-e
hnutí 	 h-nu-t-í 	 hnu-t-í
hnízdech 	 hnízd-e-ch 	 hnízd-ech
hochschule 	 hoch-schule 	 hochschul-e
hodinek 	 hodin-ek 	 hod-in-ek
hodinou 	 hodin-ou 	 hod-i-n-ou
hodnotíte 	 hodn-ot-í-te 	 hod-n-ot-í-te
holiči 	 hol-i-č-i 	 hol-ič-i
honkat 	 honk-a-t 	 hon-k-a-t
horolezci 	 hor-o-lez-c-i 	 horolez-c-i
horoucně 	 hor-ou-c-n-ě 	 horouc-n-ě
horálek 	 horálek 	 hor-ál-ek
hotovostí 	 hotov-ost-í 	 hot-o-v-ost-í
houževnatá 	 houžev-n-at-á 	 houže-v-n-a-t-á
hra 	 hr-a 	 hra
hroznou 	 hrozn-ou 	 hroz-n-ou
hudebníci 	 hud-eb-níc-i 	 hud-eb-n-íc-i
husími 	 hus-í-m-i 	 hus-í-mi
hřbitov 	 hřbitov 	 hřb-it-ov
hřebec 	 hřeb-ec 	 hře-b-ec
ian 	 ian 	 ia-n
idejí 	 idej-í 	 id-ej-í
imigraci 	 i-migr-ac-i 	 imi-grac-i
improvizovat 	 im-prov-iz-ova-t 	 im-pro-v-iz-ova-t
imunoenzymatický 	 imun-o-enzym-at-ick-ý 	 imun-oenzym-at-ic-k-ý
indikátorem 	 in-dik-át-or-em 	 in-dik-átor-em
inovace 	 inov-ace 	 in-ova-c-e
instalaci 	 in-stal-ac-i 	 in-st-a-lac-i
instrumentovat 	 instrument-ova-t 	 in-strument-ova-t
instrumentů 	 instru-ment-ů 	 in-strument-ů
intuice 	 intuic-e 	 int-u-ic-e
inzerátech 	 inzer-át-e-ch 	 inzerát-ech
irena 	 iren-a 	 ir-en-a
irkutsku 	 irkutsk-u 	 irkut-sk-u
ivančic 	 ivan-č-ic 	 i-van-č-ic
jablíčko 	 jablíč-k-o 	 jabl-íč-k-o
jakoby 	 jak-o-by 	 jak-ob-y
jakoupak 	 jak-ou-pak 	 jakoup-ak
jakého 	 jak-é-ho 	 jak-ého
jakéhokoliv 	 jak-é-ho-koliv 	 jak-ého-koliv
jakže 	 jak-že 	 jak-ž-e
jamese 	 james-e 	 ja-mes-e
janků 	 jan-k-ů 	 jank-ů
javelin 	 javelin 	 javel-in
jazejček 	 jazejč-ek 	 jaze-jč-ek
jediný 	 jedin-ý 	 jed-in-ý
jednak 	 jednak 	 jedn-a-k
jednatelem 	 jedn-a-tel-e-m 	 jedn-a-tel-em
jednom 	 jedn-o-m 	 jedn-om
jednomotorových 	 jedn-o-motor-ov-ých 	 jedn-o-m-otor-ov-ých
jednomu 	 jedn-o-mu 	 jedn-om-u
jednoosý 	 jedn-o-os-ý 	 jedn-o-osý
jedním 	 jedn-í-m 	 jedn-ím
jejích 	 je-j-í-ch 	 jej-ích
jenjen 	 jen-jen 	 jenjen
jenže 	 jen-že 	 jenž-e
jeseníkách 	 jesen-ík-ách 	 jese-n-ík-ách
jeskyni 	 jeskyn-i 	 jesk-y-n-i
jethro 	 jethro 	 jethr-o
ježibabo 	 ježibab-o 	 ježi-bab-o
jiker 	 jiker 	 jik-er
jimž 	 j-i-m-ž 	 jim-ž
jindy 	 jin-d-y 	 jind-y
jinonice 	 jinonic-e 	 jin-on-ic-e
jmenují 	 jmen-u-j-í 	 jmen-uj-í
joint 	 joint 	 join-t
jubilovat 	 jubil-ova-t 	 jub-il-ova-t
jupiterovy 	 jupiter-ov-y 	 jup-i-ter-ov-y
juránkův 	 jur-ánk-ův 	 jurán-k-ův
jídlo 	 jí-dl-o 	 jí-d-l-o
kalkulovat 	 kalk-ul-ova-t 	 kalkul-ova-t
kamera 	 kamera 	 kamer-a
kanada 	 kanad-a 	 kana-d-a
kapacity 	 kapacit-y 	 kapac-it-y
kapely 	 kapel-y 	 kap-el-y
kapesníček 	 kapes-níč-ek 	 kapes-n-íč-ek
kapitální 	 kapitál-n-í 	 kap-it-ál-n-í
kapitána 	 kapitán-a 	 kap-it-á-n-a
kapli 	 kapl-i 	 kap-l-i
kardašovy 	 kardašov-y 	 kardaš-ov-y
katalozích 	 kata-loz-ích 	 katal-oz-ích
kavalírem 	 kaval-ír-e-m 	 kaval-ír-em
kavkám 	 kav-k-ám 	 kav-k-á-m
každému 	 každ-é-mu 	 každ-ému
kdovíkdo 	 kd-o-v-í-kd-o 	 kd-ovíkd-o
kefurt 	 kefurt 	 kefur-t
kg 	 k-g 	 kg
klesne 	 kles-ne 	 kles-n-e
kliniky 	 klinik-y 	 klin-ik-y
kličku 	 klič-k-u 	 kl-ič-k-u
kličky 	 klič-k-y 	 kl-ič-k-y
klášterem 	 klášter-e-m 	 kláš-ter-em
knížete 	 kníž-et-e 	 kníž-e-te
kocouří 	 koc-ouř-í 	 kocouř-í
koho 	 k-o-ho 	 koho
kompetence 	 kompetenc-e 	 kompeten-c-e
kompetenci 	 kompet-enc-i 	 kompeten-c-i
komu 	 k-o-mu 	 komu
konceptem 	 koncept-em 	 kon-cept-em
koncert 	 koncert 	 kon-cert
koncertem 	 koncert-em 	 kon-cert-em
koncertní 	 koncert-n-í 	 kon-cert-n-í
koncertu 	 koncert-u 	 kon-cert-u
koncertě 	 koncert-ě 	 kon-cert-ě
koncertů 	 koncert-ů 	 kon-cert-ů
kondenzátor 	 kondenz-átor 	 konde-nzá-tor
konečná 	 koneč-n-á 	 kone-č-n-á
konferovat 	 konfer-ova-t 	 kon-fer-ova-t
koninou 	 kon-in-ou 	 kon-i-n-ou
konkrétního 	 konkrét-n-ího 	 kon-krét-n-ího
konkrétnímu 	 kon-krét-n-í-mu 	 kon-krét-n-ímu
kontaminovat 	 kon-tamin-ova-t 	 kont-amin-ova-t
kontilití 	 konti-li-t-í 	 kont-il-it-í
kontraindikace 	 kontra-in-dik-ac-e 	 kontrain-dik-ac-e
kontrolorů 	 kontrol-or-ů 	 kontrolor-ů
kontroloři 	 kontrol-oř-i 	 kontroloř-i
konvenovat 	 konven-ova-t 	 kon-ven-ova-t
konviktem 	 kon-vikt-e-m 	 kon-vikt-em
kopřivnická 	 kopřiv-n-ic-k-á 	 kopři-v-n-ic-k-á
korespondenčními 	 ko-re-spond-enč-n-ími 	 kore-spondenč-n-ími
korovatět 	 kor-ov-at-ě-t 	 kor-ovat-ě-t
kosmického 	 kosm-ic-k-é-ho 	 kosm-ic-k-ého
kostely 	 kostel-y 	 kost-el-y
kostýmy 	 kostým-y 	 kost-ým-y
koňských 	 koň-sk-ý-ch 	 koň-sk-ých
kožiše 	 kož-iš-e 	 kožiš-e
krakově 	 krakov-ě 	 krak-ov-ě
kristapána 	 krist-a-pán-a 	 kristap-á-n-a
krumlesco 	 krumlesco 	 krumles-c-o
krumlova 	 krumlov-a 	 kruml-ov-a
krytý 	 kry-t-ý 	 kryt-ý
krásným 	 krás-n-ý-m 	 krás-n-ým
krátkodobé 	 krát-k-o-dob-é 	 krát-k-od-ob-é
kráva 	 kráv-a 	 krá-v-a
kterého 	 kter-é-ho 	 kter-ého
kunovice 	 kun-ovic-e 	 kun-ov-ic-e
kupírovat 	 kupír-ova-t 	 kup-ír-ova-t
kyčel 	 kyčel 	 kyč-e-l
křestním 	 křest-n-í-m 	 křest-n-ím
křivkami 	 křiv-k-a-m-i 	 křiv-k-ami
křídlem 	 kří-dl-e-m 	 kří-dl-em
kůzlátek 	 kůzl-át-ek 	 kůzl-á-t-ek
lecčems 	 lec-č-e-m-s 	 lec-č-ems
lehkým 	 leh-k-ý-m 	 leh-k-ým
lesním 	 les-n-ím 	 les-n-í-m
letadel 	 let-a-del 	 letad-el
letouny 	 let-oun-y 	 letoun-y
lhostejnět 	 lhostej-n-ě-t 	 lhostejn-ě-t
lidem 	 lid-e-m 	 lid-em
ligni 	 ligni 	 lig-n-i
limit 	 limit 	 lim-i-t
londýně 	 londýn-ě 	 londý-n-ě
loupežníkem 	 loup-ež-n-ík-e-m 	 loup-ež-n-ík-em
ložnicový 	 lož-nic-ov-ý 	 lož-n-ic-ov-ý
ltd 	 l-t-d 	 ltd
luděk 	 luděk 	 lud-ěk
lukách 	 luk-á-ch 	 luk-ách
lumpačit 	 lump-ač-i-t 	 lumpač-i-t
lázní 	 lázn-í 	 láz-n-í
lékařem 	 lék-ař-e-m 	 lék-ař-em
lékem 	 lék-e-m 	 lék-em
lékárnám 	 lék-ár-n-ám 	 lékár-n-á-m
lístek 	 líst-ek 	 lís-t-ek
lístečcích 	 líst-ečc-ích 	 líst-eč-c-ích
lístku 	 líst-k-u 	 lís-t-k-u
lístky 	 líst-k-y 	 lís-t-k-y
lístků 	 líst-k-ů 	 lís-tk-ů
majíce 	 m-aj-íc-e 	 maj-íc-e
makrokonvertor 	 makro-kon-ver-t-or 	 makrokon-vert-or
malkovského 	 malkovsk-ého 	 malk-ov-sk-ého
mamlasovi 	 maml-as-ovi 	 mamlas-ovi
manager 	 manag-er 	 manager
manšestrovém 	 manšestr-ov-ém 	 manše-str-ov-ém
manšestrový 	 manšestr-ov-ý 	 manše-str-ov-ý
mariánských 	 mari-án-sk-ých 	 marián-sk-ých
marrackův 	 marrack-ův 	 marr-ac-k-ův
martina 	 martin-a 	 mart-in-a
materialisty 	 mater-i-al-ist-y 	 materi-al-ist-y
materiálové 	 materi-ál-ov-é 	 mater-i-ál-ov-é
mazání 	 maz-á-n-í 	 mazá-n-í
mašlí 	 mašl-í 	 maš-l-í
meduňka 	 meduňk-a 	 meduň-k-a
memnónovy 	 memnón-ov-y 	 memn-ón-ov-y
metafyzických 	 meta-fyz-ic-k-ý-ch 	 meta-fyz-ic-k-ých
metodologicky 	 metodo-log-ic-k-y 	 metod-o-log-ic-k-y
mezitím 	 mezi-t-ím 	 mezit-í-m
meziříčí 	 mezi-říč-í 	 meziř-íč-í
mezku 	 mezk-u 	 mez-k-u
mečení 	 meč-e-n-í 	 meč-en-í
mikroorganismy 	 mikro-organ-ism-y 	 mikro-organ-is-m-y
mil 	 mil 	 mi-l
miliarda 	 miliard-a 	 mil-iard-a
milionů 	 mili-on-ů 	 milion-ů
milostpane 	 mil-ost-pan-e 	 mil-ost-p-an-e
mimoškolními 	 mimo-škol-n-ími 	 mim-oškol-n-ími
minimem 	 minim-em 	 min-im-em
minimum 	 minim-um 	 min-im-um
ministerstva 	 minister-stv-a 	 min-is-ter-stv-a
ministři 	 ministř-i 	 min-istř-i
minulý 	 min-ul-ý 	 minu-l-ý
mjasisčev 	 mjasisčev 	 m-jas-is-č-ev
mladého 	 mlad-é-ho 	 mlad-ého
mlýna 	 ml-ýn-a 	 mlý-n-a
model 	 model 	 mode-l
moderního 	 modern-í-ho 	 moder-n-ího
mohutnět 	 moh-ut-n-ě-t 	 mohut-n-ě-t
mokro 	 mok-r-o 	 mo-kr-o
monopol 	 mono-pol 	 mono-p-ol
monopolu 	 mon-o-pol-u 	 mono-pol-u
more 	 more 	 mor-e
motivací 	 motiv-ac-í 	 mot-iv-a-c-í
motorlet 	 motor-let 	 motorl-e-t
motorletu 	 motor-let-u 	 motorlet-u
možnostech 	 možn-ost-ech 	 mož-n-ost-ech
mučírna 	 muč-írn-a 	 muč-ír-n-a
mužského 	 muž-sk-é-ho 	 muž-sk-ého
média 	 médi-a 	 méd-i-a
médií 	 médi-í 	 méd-i-í
mésti 	 mést-i 	 més-t-i
míli 	 míl-i 	 mí-l-i
míním 	 mín-í-m 	 mín-ím
mých 	 m-ý-ch 	 mých
měřítka 	 měř-í-tk-a 	 měř-í-t-k-a
měřítku 	 měř-í-tk-u 	 měř-í-t-k-u
mřížovec 	 mříž-ov-ec 	 mř-íž-ovec
nabitý 	 na-bi-t-ý 	 na-bit-ý
nabídla 	 na-bíd-l-a 	 na-bí-d-l-a
nacizovávatelnost 	 na-ciz-ová-v-a-teln-ost 	 na-c-iz-ová-v-a-teln-ost
nadcházející 	 nad-cház-ej-íc-í 	 nad-cház-e-j-íc-í
nadindividuálního 	 nad-in-divid-u-ál-n-í-ho 	 na-din-divid-u-ál-n-ího
nadklánět 	 nad-klán-ě-t 	 na-d-klán-ě-t
nadčlověctví 	 nad-člověc-tv-í 	 na-d-čl-ově-c-tv-í
nadějemi 	 na-děj-e-m-i 	 na-dě-j-emi
nadřaděného 	 nad-řad-ěn-é-ho 	 na-dřad-ě-n-ého
nadšení 	 na-dš-en-í 	 nadš-en-í
nadšením 	 na-dš-en-í-m 	 nadš-en-ím
najatí 	 na-j-a-t-í 	 na-j-at-í
nalopotit 	 na-lopot-i-t 	 na-lop-ot-i-t
namésti 	 na-mést-i 	 na-més-t-i
naprosto 	 na-prost-o 	 na-pro-st-o
naskicovat 	 na-skic-ova-t 	 na-sk-ic-ova-t
naspořit 	 na-spoř-i-t 	 na-s-poř-i-t
navnadit 	 na-vnad-i-t 	 na-v-nad-i-t
nařezávat 	 na-řez-á-v-a-t 	 na-ře-z-á-v-a-t
naříci 	 na-říc-i 	 na-ř-íc-i
neb 	 neb 	 ne-b
nebaleného 	 ne-bal-en-ého 	 ne-balen-ého
nebrání 	 ne-brán-í 	 ne-br-á-n-í
nechává 	 nech-á-v-á 	 ne-ch-á-v-á
nedaleko 	 ne-dal-ek-o 	 ne-d-alek-o
nedávna 	 ne-dávn-a 	 ne-d-á-v-n-a
negativními 	 negat-iv-n-ími 	 ne-gat-iv-n-ími
nehodlám 	 ne-hodl-á-m 	 ne-hod-l-á-m
nehty 	 neht-y 	 ne-ht-y
nejaktivnější 	 nej-akt-iv-n-ějš-í 	 ne-jakt-iv-n-ějš-í
nejcitlivějším 	 nej-cit-liv-ějš-ím 	 nej-cit-l-iv-ěj-š-í-m
nejdivočejší 	 nej-div-oč-ej-š-í 	 ne-j-d-iv-oč-ejš-í
nejdříve 	 nej-dřív-e 	 ne-jdř-í-v-e
nejkrásnějších 	 nej-krás-n-ěj-š-í-ch 	 ne-j-krás-n-ějš-ích
nejlahodnější 	 nej-lahod-n-ěj-š-í 	 ne-j-lahod-n-ějš-í
nejlíp 	 nej-líp 	 ne-j-líp
nejmenší 	 nej-men-š-í 	 ne-j-men-š-í
nejméně 	 nej-mén-ě 	 ne-j-mén-ě
nejpalčivější 	 nej-pal-č-iv-ěj-š-í 	 ne-j-pal-č-iv-ěj-š-í
nejpovolanějšímu 	 nej-po-vol-a-n-ějš-ímu 	 nej-po-vol-a-n-ěj-š-ímu
nejprve 	 nej-prv-e 	 ne-j-prv-e
nejsladšího 	 nej-slad-š-í-ho 	 ne-j-slad-š-ího
nejsladším 	 nej-slad-š-í-m 	 ne-j-slad-š-í-m
nejvzdálenější 	 nej-vz-dál-e-n-ěj-š-í 	 ne-j-vz-d-ál-e-n-ějš-í
nejvzácnější 	 nej-vzácn-ějš-í 	 nej-vzá-c-n-ějš-í
nejzřetelněji 	 nej-zř-e-tel-n-ěji 	 ne-j-zř-e-teln-ěj-i
nejčastějších 	 nej-čast-ěj-š-í-ch 	 ne-j-čast-ějš-ích
nejžha 	 nej-žh-a 	 ne-jžh-a
nekompetentní 	 ne-kompet-ent-n-í 	 ne-kompetent-n-í
nekrytý 	 ne-kry-t-ý 	 ne-kryt-ý
nekvete 	 ne-kvet-e 	 ne-kve-te
nemocenského 	 ne-moc-en-sk-ého 	 ne-mocen-sk-ého
nemálo 	 ne-mál-o 	 ne-má-l-o
nenech 	 ne-nech 	 ne-n-ech
neohrabané 	 ne-o-hrab-a-n-é 	 ne-o-hrab-an-é
nepodaří 	 ne-po-dař-í 	 ne-po-d-ař-í
nepolemizujme 	 ne-polem-iz-uj-me 	 ne-pol-em-iz-uj-me
nepotřebujete 	 ne-po-třeb-u-j-e-te 	 ne-po-třeb-uj-e-te
neprodělá 	 ne-pro-děl-á 	 ne-pro-dě-l-á
nepředepisují 	 ne-přede-pis-uj-í 	 ne-pře-de-pis-uj-í
nepřesných 	 ne-přesn-ých 	 ne-pře-sn-ých
neroztříštěná 	 ne-roz-tříšt-ěn-á 	 ne-roz-tříšt-ě-n-á
nervóznět 	 nerv-óz-n-ě-t 	 ne-rvóz-n-ě-t
nesena 	 nes-en-a 	 ne-se-n-a
neskromně 	 ne-s-krom-n-ě 	 ne-skrom-n-ě
nesnesitelna 	 ne-s-nes-i-teln-a 	 ne-s-ne-s-i-teln-a
netušícího 	 ne-tuš-íc-ího 	 ne-tuš-í-c-ího
neudělal 	 ne-u-děl-a-l 	 ne-ud-ě-l-a-l
neupije 	 ne-u-pi-je 	 ne-upi-j-e
nevrley 	 nevrley 	 ne-vrl-e-y
nezaměstnanosti 	 ne-za-měst-n-an-ost-i 	 ne-za-měst-n-a-n-ost-i
nezaoblená 	 ne-za-obl-en-á 	 ne-za-oblen-á
nezlob 	 ne-zlob 	 ne-zl-ob
neznámého 	 ne-zn-á-m-é-ho 	 ne-zn-á-m-ého
neztratitelnost 	 ne-z-trat-i-tel-n-ost 	 ne-z-trat-i-teln-ost
nezískáme 	 ne-získ-á-me 	 ne-zís-k-á-me
neštěstí 	 ne-štěst-í 	 ne-štěs-t-í
nijetzscheovi 	 nijetzsche-ovi 	 nij-etzsche-ovi
nimiž 	 n-imi-ž 	 nim-iž
nitěných 	 nit-ěn-ý-ch 	 nit-ěn-ých
norbert 	 norbert 	 norber-t
norem 	 norem 	 nor-em
normám 	 norm-ám 	 norm-á-m
nosatá 	 nos-at-á 	 nosat-á
