absolventi 	 ab-solv-ent-i 	 absol-v-ent-i
obcích 	 obc-ích 	 ob-cích
obepnout 	 obe-pn-ou-t 	 obe-p-nou-t
objektem 	 ob-jekt-e-m 	 ob-jekt-em
oblažit 	 o-blaž-i-t 	 oblaž-i-t
obrat 	 o-br-a-t 	 obra-t
obzvlášť 	 ob-zvlášť 	 ob-z-vlášť
oceli 	 ocel-i 	 o-cel-i
ochotna 	 ochot-n-a 	 o-chot-n-a
odběratel 	 od-běr-a-tel 	 od-běr-a-te-l
odečte 	 ode-čt-e 	 odeč-te
odečtení 	 ode-čt-en-í 	 odečt-en-í
odlévání 	 od-lév-á-n-í 	 od-lé-v-á-n-í
odmésti 	 od-mést-i 	 od-més-ti
ohořelému 	 o-hoř-e-l-é-mu 	 o-hoř-e-l-ému
ohřebelcovat 	 o-hřeb-el-c-ova-t 	 o-hřeb-elc-ova-t
okamžitě 	 ok-a-mžit-ě 	 oka-mžit-ě
okounět 	 okoun-ě-t 	 o-koun-ě-t
okresní 	 okres-n-í 	 o-kres-n-í
olšanech 	 olšan-e-ch 	 olšan-ech
omegou 	 omeg-ou 	 o-meg-ou
opačném 	 o-pač-n-é-m 	 o-pač-n-ém
oplésti 	 o-plést-i 	 o-plés-ti
opouští 	 o-pouš-t-í 	 o-poušt-í
opovažuješ 	 o-po-važ-u-j-e-š 	 o-po-važ-uje-š
orchestrem 	 orchestr-e-m 	 orchestr-em
organismus 	 organismus 	 organ-ism-us
organizují 	 organ-iz-u-j-í 	 organ-iz-uj-í
orlik 	 orl-ik 	 orlik
osobu 	 o-sob-u 	 osob-u
ostatních 	 o-stat-n-í-ch 	 o-stat-n-ích
ostřit 	 ostř-i-t 	 o-stř-i-t
osudem 	 o-sud-e-m 	 o-sud-em
osvědčují 	 o-s-věd-č-u-j-í 	 o-s-věd-č-uj-í
oxfordského 	 oxford-sk-é-ho 	 oxford-sk-ého
ozdobovat 	 o-z-dob-ova-t 	 oz-dob-ova-t
očekávají 	 o-ček-á-v-aj-í 	 oček-á-v-aj-í
ošukat 	 ošuk-a-t 	 o-šuk-a-t
pacientovi 	 pac-i-ent-ovi 	 pacient-ovi
padesátku 	 pade-sát-k-u 	 pa-desát-k-u
panenka 	 pan-en-k-a 	 pan-enk-a
paničko 	 pan-ič-k-o 	 pan-ičk-o
pekárenských 	 pek-ár-en-sk-ých 	 pek-áren-sk-ých
perly 	 perl-y 	 per-l-y
perutková 	 perut-k-ov-á 	 perutk-ov-á
petynce 	 pety-n-c-e 	 pet-ync-e
pil 	 pi-l 	 pil
pilují 	 pil-u-j-í 	 piluj-í
pitomej 	 pitom-ej 	 pitomej
planul 	 plan-u-l 	 pla-nu-l
plat 	 plat 	 pl-a-t
plačící 	 plač-í-c-í 	 plač-íc-í
pleteného 	 plet-en-é-ho 	 plet-en-ého
plodem 	 plod-e-m 	 plod-em
plukovník 	 pluk-ov-n-ík 	 pluk-ov-ník
podhrnout 	 pod-hrn-ou-t 	 pod-hr-nou-t
podobného 	 po-dob-n-é-ho 	 po-dob-n-ého
podvésti 	 pod-vést-i 	 pod-vés-ti
pohotovějším 	 po-hotov-ějš-ím 	 po-hotov-ěj-š-í-m
politických 	 polit-ic-k-ý-ch 	 polit-ic-k-ých
polska 	 pol-sk-a 	 polsk-a
polyvalence 	 poly-valenc-e 	 poly-val-enc-e
poměrem 	 po-měr-e-m 	 po-měr-em
poplatků 	 po-plat-k-ů 	 po-platk-ů
poplatník 	 po-plat-ník 	 po-plat-n-ík
poplatníka 	 po-plat-ník-a 	 po-plat-n-ík-a
poplatníky 	 po-plat-ník-y 	 po-plat-n-ík-y
poproduktivní 	 po-pro-duk-t-iv-n-í 	 po-produkt-iv-n-í
porculánu 	 porculán-u 	 porcul-án-u
porovnání 	 po-rovn-ání 	 po-rovn-á-n-í
porůsti 	 po-růst-i 	 po-růs-ti
posluchače 	 po-sluch-a-č-e 	 po-sluch-ač-e
posluchačů 	 po-sluch-a-č-ů 	 po-sluch-ač-ů
potrefený 	 po-tref-en-ý 	 po-trefen-ý
pouhém 	 pouh-é-m 	 pouh-ém
povyrůsti 	 po-vy-růst-i 	 po-vy-růs-ti
povzbudivé 	 po-vz-bud-i-v-é 	 po-vz-bud-iv-é
poznatku 	 po-zn-a-t-k-u 	 po-zn-a-tk-u
pošlete 	 po-šl-e-te 	 po-šlet-e
pragokoncertu 	 prag-o-koncert-u 	 prago-koncert-u
prajzler 	 prajzler 	 prajz-ler
praktickým 	 prakt-ic-k-ý-m 	 prakt-ic-k-ým
praktikantům 	 prakt-ik-ant-ům 	 praktik-ant-ům
pravidel 	 prav-i-del 	 prav-i-de-l
projednáním 	 pro-jed-n-án-ím 	 pro-jedn-án-í-m
proklásti 	 pro-klást-i 	 pro-klás-ti
promnout 	 pro-mn-ou-t 	 pro-m-nou-t
propagace 	 propag-ac-e 	 pro-pag-ac-e
prosimás 	 prosimás 	 pro-sim-ás
prostějovsko 	 prostějov-sk-o 	 prostěj-ovsk-o
prostějově 	 prostějov-ě 	 prostěj-ov-ě
protisluneční 	 proti-slun-eč-n-í 	 pro-tisluneč-n-í
provincií 	 provinc-i-í 	 pro-vinc-i-í
provádějí 	 pro-vád-ěj-í 	 pro-vád-ě-j-í
pročež 	 pro-č-e-ž 	 pro-č-ež
prstíčky 	 prst-íč-k-y 	 prst-íčk-y
právem 	 práv-e-m 	 práv-em
psacím 	 ps-a-c-í-m 	 ps-a-c-ím
psaním 	 ps-a-n-í-m 	 ps-a-n-ím
psychologistickou 	 psycho-log-ist-ic-k-ou 	 psych-o-log-ist-ic-k-ou
psům 	 ps-ů-m 	 ps-ům
ptejme 	 pt-ej-me 	 ptej-me
pučálka 	 pučálk-a 	 pučál-k-a
pzt 	 p-z-t 	 pzt
pánové 	 pán-ové 	 pán-ov-é
pápěrka 	 pá-pěr-k-a 	 pápěr-k-a
píti 	 pít-i 	 pí-ti
pódium 	 pódi-um 	 pód-i-um
pěkném 	 pěkn-é-m 	 pěkn-ém
pěst 	 pěst 	 pěs-t
pětistovkou 	 pět-i-st-ovk-ou 	 pět-ist-ovk-ou
předcházejí 	 před-cház-e-j-í 	 před-cház-ej-í
předobjednávání 	 před-ob-jedn-á-v-á-n-í 	 předobjedná-v-á-n-í
předprodeje 	 před-pro-d-ej-e 	 před-prodeje
předsedům 	 před-sed-ů-m 	 před-sed-ům
předstihujícím 	 před-stih-uj-í-c-í-m 	 před-stih-uj-íc-í-m
přejímce 	 pře-j-í-m-c-e 	 pře-jím-c-e
přemýšlivější 	 pře-mýšl-iv-ějš-í 	 pře-mýš-liv-ěj-š-í
přepnout 	 pře-pn-ou-t 	 pře-p-nou-t
připluje 	 při-plu-je 	 při-pluje
připomenout 	 při-po-men-ou-t 	 při-po-me-nou-t
přiznej 	 při-zn-e-j 	 při-zne-j
přizpůsobivosti 	 při-z-pů-sob-i-v-ost-i 	 při-z-pů-sob-i-v-osti
přišinout 	 při-šin-ou-t 	 při-ši-nou-t
přímém 	 přím-é-m 	 přím-ém
přítomny 	 pří-t-o-m-n-y 	 pří-t-om-n-y
přítomném 	 pří-t-o-m-n-é-m 	 pří-t-om-n-ém
přítomnými 	 pří-t-o-m-n-ý-m-i 	 pří-t-om-n-ými
příštího 	 příšt-í-ho 	 příšt-ího
příštím 	 příšt-ím 	 příšt-í-m
pšeničné 	 pšen-ič-n-é 	 pšenič-n-é
pšenka 	 pšen-k-a 	 pšenk-a
québec 	 québec 	 québ-ec
radomír 	 radomír 	 rad-omír
rallye 	 rallye 	 rall-ye
razítky 	 raz-í-tk-y 	 raz-ít-k-y
rejstříku 	 rejstřík-u 	 rejstř-ík-u
rektorem 	 rekt-or-em 	 rektor-em
reportáž 	 re-port-áž 	 report-áž
rider 	 rid-er 	 rider
rivalové 	 rival-ové 	 rival-ov-é
rolničit 	 rol-n-ič-i-t 	 rol-nič-i-t
roxby 	 roxby 	 roxb-y
rozhrnula 	 roz-hrn-u-l-a 	 roz-hr-nu-l-a
rozkošným 	 roz-koš-n-ý-m 	 roz-koš-n-ým
rozpočísti 	 roz-po-číst-i 	 roz-po-čís-ti
rozprodávat 	 roz-pro-d-á-v-a-t 	 roz-prod-á-v-a-t
rozumových 	 roz-um-ov-ý-ch 	 roz-um-ov-ých
rozutíkat 	 roz-utík-a-t 	 roz-u-tík-a-t
rupií 	 rupi-í 	 rup-i-í
ruské 	 rus-k-é 	 rusk-é
rázem 	 ráz-e-m 	 ráz-em
různými 	 různ-ý-m-i 	 různ-ými
samozřejmá 	 sam-o-zř-ejm-á 	 sam-o-zř-ej-m-á
samsung 	 samsung 	 sam-sung
schodech 	 s-chod-e-ch 	 s-chod-ech
scorpions 	 scorpion-s 	 scorpions
sebelepší 	 seb-e-lep-š-í 	 seb-elep-š-í
sebeničením 	 s-eb-e-ni-č-en-í-m 	 seb-e-nič-en-ím
sedláková 	 sedl-ák-ov-á 	 sed-lák-ov-á
sedmihradsku 	 sedmihradsk-u 	 sedm-i-hrad-sk-u
separátní 	 se-par-át-n-í 	 separát-n-í
sepnout 	 se-pn-ou-t 	 se-p-nou-t
signalizovali 	 signal-iz-ova-l-i 	 sign-al-iz-ova-l-i
silence 	 silence 	 sil-en-c-e
skutečnosti 	 s-kut-eč-n-ost-i 	 skuteč-n-ost-i
skutečném 	 s-kut-eč-n-é-m 	 skuteč-n-ém
slejvat 	 s-lej-v-a-t 	 s-lejv-a-t
slovensko 	 sloven-sk-o 	 slov-en-sk-o
slovným 	 slov-n-ý-m 	 slov-n-ým
smrtelném 	 s-mr-tel-n-é-m 	 s-mr-teln-ém
smrtelnému 	 s-mr-tel-n-é-mu 	 s-mr-teln-ému
smyslových 	 s-mysl-ov-ý-ch 	 s-mysl-ov-ých
smésti 	 s-mést-i 	 s-més-ti
směrem 	 s-měr-e-m 	 s-měr-em
snahami 	 snah-a-m-i 	 snah-ami
solarmax 	 solar-max 	 solarmax
solidních 	 solid-n-í-ch 	 solid-n-ích
sotva 	 sotva 	 sotv-a
soukromník 	 sou-krom-ník 	 sou-krom-n-ík
sousedního 	 sou-sed-n-í-ho 	 sou-sed-n-ího
specifickým 	 speci-fic-k-ý-m 	 speci-fic-k-ým
speciál 	 speci-ál 	 speciál
spekulantem 	 spek-ul-ant-e-m 	 spek-ul-ant-em
spojkami 	 s-poj-k-a-m-i 	 s-poj-k-ami
spokojíte 	 s-pokoj-í-te 	 s-po-koj-í-te
spolupůsobit 	 spol-u-působ-i-t 	 spol-u-pů-sob-i-t
sponzorsky 	 sponzor-sk-y 	 sponz-or-sk-y
spoří 	 s-poř-í 	 spoř-í
srovnatelná 	 s-rov-n-a-teln-á 	 s-rov-n-ateln-á
stanovení 	 stan-ov-en-í 	 stanov-en-í
stanovit 	 stan-ov-i-t 	 stanov-i-t
starožitných 	 star-o-ži-t-n-ých 	 star-ož-it-n-ých
starých 	 star-ý-ch 	 star-ých
stavení 	 sta-v-en-í 	 stav-en-í
stejném 	 stej-n-é-m 	 stejn-ém
stipendium 	 stipendi-um 	 stipendium
stojaté 	 stoj-at-é 	 stoj-a-t-é
stokorunovou 	 st-o-korun-ov-ou 	 stokorun-ov-ou
století 	 st-o-let-í 	 stol-et-í
stones 	 stone-s 	 stones
strahov 	 strahov 	 strah-ov
strahova 	 strahov-a 	 strah-ov-a
strahově 	 strahov-ě 	 strah-ov-ě
strava 	 s-trav-a 	 strav-a
strašnicích 	 strašnic-í-ch 	 straš-nic-ích
strnutí 	 s-trn-u-t-í 	 s-tr-nu-t-í
studiích 	 stud-i-í-ch 	 stud-i-ích
studovaný 	 stud-ova-n-ý 	 stud-ov-a-n-ý
stál 	 stá-l 	 stál
stála 	 stá-l-a 	 stál-a
stěžovatel 	 stěž-ova-tel 	 s-těž-ova-tel
střechách 	 střech-á-ch 	 střech-ách
stříbrolesklého 	 stříbr-o-lesk-l-é-ho 	 stříbr-o-leskl-ého
superdobrý 	 super-dobr-ý 	 superdobr-ý
supraphon 	 supra-phon 	 supraphon
svalovou 	 sval-ov-ou 	 s-val-ov-ou
svědomím 	 s-věd-om-í-m 	 s-věd-om-ím
světelné 	 svět-el-n-é 	 svět-eln-é
světelných 	 svět-el-n-ých 	 svět-eln-ých
systémem 	 systém-e-m 	 systém-em
tajemství 	 taj-em-stv-í 	 tajem-stv-í
takzvaném 	 tak-zv-a-n-é-m 	 tak-zv-a-n-ém
tati 	 tat-i 	 tati
telat 	 tel-at 	 tel-a-t
telefonního 	 tele-fon-n-í-ho 	 tele-fon-n-ího
televize 	 televize 	 telev-iz-e
temporalizovatelný 	 tempor-al-izova-teln-ý 	 temporal-izova-teln-ý
tendenci 	 tend-enc-i 	 tendenc-i
tenounkým 	 ten-oun-k-ý-m 	 ten-ounk-ým
tesklivých 	 tesk-l-iv-ý-ch 	 tesk-liv-ých
tetička 	 tet-ič-k-a 	 tet-ičk-a
textil 	 textil 	 text-i-l
thajska 	 thaj-sk-a 	 thajsk-a
tikem 	 tik-e-m 	 tik-em
tkalcovnictví 	 tka-lc-ovnic-tv-í 	 tk-a-l-c-ov-nic-tv-í
tlapkách 	 tlap-k-á-ch 	 tlap-k-ách
tomáš 	 tomáš 	 to-m-á-š
traktorů 	 traktor-ů 	 trakt-or-ů
transplantační 	 trans-plant-ač-n-í 	 trans-plantač-n-í
treperendo 	 treper-end-o 	 treperend-o
trojí 	 tr-oj-í 	 troj-í
turbovrtulových 	 turbo-vrt-ul-ov-ých 	 turbo-vrtul-ov-ých
turné 	 turné 	 turn-é
tvrzeními 	 tvrz-en-í-m-i 	 tvrz-en-ími
tzv 	 t-z-v 	 t-zv
téhož 	 t-é-ho-ž 	 t-ého-ž
tématu 	 tém-at-u 	 témat-u
