absolventi 	 ab-solv-ent-i 	 abs-olvent-i
garance 	 garanc-e 	 garan-c-e
gestikulovat 	 gestik-ul-ova-t 	 gestikul-ova-t
graessnerii 	 graessnerii 	 graessner-i-i
hegelianism 	 hegelian-ism 	 hegeli-an-ism
hmotného 	 hmot-n-é-ho 	 hmot-n-ého
hnízdech 	 hnízd-e-ch 	 hnízd-ech
hochschule 	 hoch-schule 	 hochschul-e
hodnotím 	 hod-n-ot-í-m 	 hod-n-ot-ím
hodnotíte 	 hodn-ot-í-te 	 hod-n-ot-í-te
holiči 	 hol-i-č-i 	 hol-ič-i
holčičkou 	 hol-č-ič-k-ou 	 hol-č-ičk-ou
horolezci 	 hor-o-lez-c-i 	 horo-lez-c-i
houston 	 houston 	 hous-ton
hra 	 hr-a 	 hra
hranic 	 hran-ic 	 hran-i-c
hrdostí 	 hrd-ost-í 	 hrd-o-st-í
hry 	 hr-y 	 hry
husími 	 hus-í-m-i 	 hus-ími
huti 	 hut-i 	 huti
hvězdičky 	 hvězd-ič-k-y 	 hvězd-ičk-y
indikátorem 	 in-dik-át-or-em 	 indik-átor-em
informačním 	 in-form-ač-n-ím 	 in-form-ač-n-í-m
inovace 	 inov-ace 	 inov-ac-e
invalidní 	 in-valid-n-í 	 invalid-n-í
inzerátech 	 inzer-át-e-ch 	 inzer-át-ech
jablíčko 	 jablíč-k-o 	 jabl-íčk-o
jakoby 	 jak-o-by 	 jak-ob-y
jakého 	 jak-é-ho 	 jak-ého
jednatelem 	 jedn-a-tel-e-m 	 jedn-a-tel-em
jednoosý 	 jedn-o-os-ý 	 jedn-oos-ý
jednotlivina 	 jedn-ot-liv-in-a 	 jedn-ot-l-ivin-a
jejích 	 je-j-í-ch 	 jej-ích
jethro 	 jethro 	 jethr-o
jimž 	 j-i-m-ž 	 j-im-ž
jindy 	 jin-d-y 	 jind-y
jmenují 	 jmen-u-j-í 	 jmen-uj-í
john 	 john 	 joh-n
juránkův 	 jur-ánk-ův 	 jur-án-k-ův
jídlo 	 jí-dl-o 	 jídl-o
kapli 	 kapl-i 	 kap-l-i
kardašovy 	 kardašov-y 	 kardaš-ov-y
karlík 	 karl-ík 	 karlík
kavalírem 	 kaval-ír-e-m 	 kaval-ír-em
každému 	 každ-é-mu 	 každ-ému
kdovíkdo 	 kd-o-v-í-kd-o 	 kdo-víkd-o
kdož 	 kdo-ž 	 kd-o-ž
klesne 	 kles-ne 	 klesn-e
kliniky 	 klinik-y 	 klin-ik-y
klášterem 	 klášter-e-m 	 klášter-em
knížete 	 kníž-et-e 	 kníž-e-te
koho 	 k-o-ho 	 koho
kompetence 	 kompetenc-e 	 kompet-enc-e
komu 	 k-o-mu 	 komu
konceptem 	 koncept-em 	 kon-cep-t-em
konkrétnímu 	 kon-krét-n-í-mu 	 kon-krét-n-ímu
kontilití 	 konti-li-t-í 	 kontilit-í
kontraindikace 	 kontra-in-dik-ac-e 	 kontraindik-ac-e
kontrolorů 	 kontrol-or-ů 	 kontrolor-ů
kontroloři 	 kontrol-oř-i 	 kontroloř-i
konviktem 	 kon-vikt-e-m 	 kon-vikt-em
korespondenčními 	 ko-re-spond-enč-n-ími 	 kore-spond-enč-n-ími
kosmického 	 kosm-ic-k-é-ho 	 kosm-ic-k-ého
kostička 	 kost-ič-k-a 	 kost-ičk-a
koupací 	 koup-ac-í 	 koup-a-c-í
koňských 	 koň-sk-ý-ch 	 koň-sk-ých
krakově 	 krakov-ě 	 krak-ov-ě
krumlesco 	 krumlesco 	 kruml-es-c-o
krumlova 	 krumlov-a 	 kruml-ov-a
krásným 	 krás-n-ý-m 	 krás-n-ým
kterého 	 kter-é-ho 	 kter-ého
kunovice 	 kun-ovic-e 	 kunov-ic-e
kvičela 	 kvič-e-l-a 	 kviče-l-a
křestním 	 křest-n-í-m 	 křest-n-ím
křivkami 	 křiv-k-a-m-i 	 křiv-k-ami
křídlem 	 kří-dl-e-m 	 křídl-em
kůzlátek 	 kůzl-át-ek 	 kůzlát-ek
lavina 	 lav-in-a 	 lavin-a
lavírovat 	 lav-ír-ova-t 	 lavír-ova-t
lehkým 	 leh-k-ý-m 	 leh-k-ým
lesním 	 les-n-ím 	 les-n-í-m
letouny 	 let-oun-y 	 let-ou-n-y
lhostejnět 	 lhostej-n-ě-t 	 lh-ostejn-ě-t
lidem 	 lid-e-m 	 lid-em
limit 	 limit 	 lim-i-t
linkovat 	 lin-k-ova-t 	 link-ova-t
loupežníkem 	 loup-ež-n-ík-e-m 	 loup-ež-ník-em
ltd 	 l-t-d 	 ltd
lukách 	 luk-á-ch 	 luk-ách
lázní 	 lázn-í 	 láz-n-í
lékařem 	 lék-ař-e-m 	 lék-ař-em
lékem 	 lék-e-m 	 lék-em
maiden 	 maid-en 	 maiden
maličkosti 	 mal-ič-k-ost-i 	 mal-ičk-ost-i
maličký 	 mal-ič-k-ý 	 mal-ičk-ý
malkovského 	 malkovsk-ého 	 malkov-sk-ého
malém 	 mal-ém 	 malém
manager 	 manag-er 	 manager
manažerovi 	 manažer-ovi 	 manaž-er-ovi
manýrám 	 manýr-á-m 	 manýr-ám
mariánských 	 mari-án-sk-ých 	 marián-sk-ých
materialisty 	 mater-i-al-ist-y 	 materi-al-ist-y
materiálové 	 materi-ál-ov-é 	 materiál-ov-é
materiálu 	 mater-i-ál-u 	 materiál-u
matrice 	 matr-ic-e 	 matric-e
metafyzických 	 meta-fyz-ic-k-ý-ch 	 meta-fyz-ic-k-ých
metodologicky 	 metodo-log-ic-k-y 	 metod-o-log-ick-y
mezitím 	 mezi-t-ím 	 mezit-í-m
meziříčí 	 mezi-říč-í 	 meziříč-í
mečení 	 meč-e-n-í 	 meč-en-í
mil 	 mil 	 mi-l
miliarda 	 miliard-a 	 mili-ard-a
minimem 	 minim-em 	 mini-m-em
minulý 	 min-ul-ý 	 mi-nu-l-ý
mladého 	 mlad-é-ho 	 mlad-ého
mlýna 	 ml-ýn-a 	 mlýn-a
moderního 	 modern-í-ho 	 modern-ího
monopolu 	 mon-o-pol-u 	 mono-pol-u
monument 	 monument 	 monu-ment
motivací 	 motiv-ac-í 	 motiv-a-c-í
motorlet 	 motor-let 	 motorl-e-t
motorletu 	 motor-let-u 	 motorlet-u
možnostech 	 možn-ost-ech 	 mož-n-ost-ech
mučírna 	 muč-írn-a 	 mučírn-a
mužského 	 muž-sk-é-ho 	 muž-sk-ého
mávne 	 máv-n-e 	 máv-ne
mésti 	 mést-i 	 més-ti
mých 	 m-ý-ch 	 m-ých
měli 	 mě-l-i 	 m-ě-l-i
měřítka 	 měř-í-tk-a 	 měř-ít-k-a
měřítku 	 měř-í-tk-u 	 měř-ít-k-u
nadindividuálního 	 nad-in-divid-u-ál-n-í-ho 	 nad-in-divid-u-ál-ního
nadějemi 	 na-děj-e-m-i 	 naděj-emi
nadřaděného 	 nad-řad-ěn-é-ho 	 nad-řad-ěn-ého
nadšení 	 na-dš-en-í 	 nad-š-en-í
nadšením 	 na-dš-en-í-m 	 nad-š-en-ím
namésti 	 na-mést-i 	 na-més-ti
nebrání 	 ne-brán-í 	 ne-br-á-n-í
nedefinovatelné 	 ne-de-fin-ova-teln-é 	 nede-fin-ova-teln-é
negativními 	 negat-iv-n-ími 	 neg-at-iv-n-ími
neinkasoval 	 ne-in-kas-ova-l 	 ne-inkas-ova-l
nejaktivnější 	 nej-akt-iv-n-ějš-í 	 ne-jakt-iv-n-ějš-í
nejcitlivějším 	 nej-cit-liv-ějš-ím 	 nej-cit-l-iv-ěj-š-í-m
nejdivočejší 	 nej-div-oč-ej-š-í 	 nej-div-oč-ejš-í
nejkrásnějších 	 nej-krás-n-ěj-š-í-ch 	 nej-krás-n-ěj-š-ích
nejsladšího 	 nej-slad-š-í-ho 	 nej-slad-š-ího
nejvzdálenější 	 nej-vz-dál-e-n-ěj-š-í 	 nej-vz-dál-en-ějš-í
nejvzácnější 	 nej-vzácn-ějš-í 	 nej-vzácn-ěj-š-í
nejzřetelněji 	 nej-zř-e-tel-n-ěji 	 nej-zř-e-teln-ěji
nejčastějších 	 nej-čast-ěj-š-í-ch 	 nej-čast-ěj-š-ích
nekvete 	 ne-kvet-e 	 ne-kve-te
nepotřebujete 	 ne-po-třeb-u-j-e-te 	 ne-po-třeb-uje-te
nepředpokládám 	 ne-před-po-klád-á-m 	 ne-před-po-klád-ám
nepřehlédněte 	 ne-pře-hléd-n-ě-te 	 ne-pře-hléd-ně-te
nepřesných 	 ne-přesn-ých 	 ne-přes-n-ých
nereálný 	 ne-reál-n-ý 	 nereál-n-ý
neumožňuje 	 ne-u-možň-uje 	 ne-u-mož-ň-uje
neumí 	 ne-um-í 	 ne-u-m-í
nezaměstnanosti 	 ne-za-měst-n-an-ost-i 	 ne-za-měst-n-a-n-osti
nezačínej 	 ne-za-č-ín-ej 	 ne-za-čín-ej
neznámého 	 ne-zn-á-m-é-ho 	 ne-zn-á-m-ého
neztratitelnost 	 ne-z-trat-i-tel-n-ost 	 ne-z-trat-i-teln-ost
nitěných 	 nit-ěn-ý-ch 	 nit-ěn-ých
norem 	 norem 	 nor-em
normám 	 norm-ám 	 norm-á-m
nosem 	 nos-e-m 	 nos-em
novinám 	 nov-in-á-m 	 nov-in-ám
nula 	 nul-a 	 nu-l-a
nuly 	 nul-y 	 nu-l-y
nykláku 	 nyklák-u 	 nykl-ák-u
nymburka 	 nymburk-a 	 nymbur-k-a
nábytek 	 ná-by-tek 	 ná-byt-ek
náramného 	 ná-ram-n-é-ho 	 ná-ram-n-ého
nás 	 n-á-s 	 n-ás
nějakém 	 ně-jak-é-m 	 ně-jak-ém
něm 	 n-ě-m 	 n-ěm
obepnout 	 obe-pn-ou-t 	 obe-p-nou-t
objektem 	 ob-jekt-e-m 	 ob-jekt-em
oblastech 	 oblast-ech 	 o-blast-ech
obor 	 o-bor 	 obor
obrat 	 o-br-a-t 	 obr-a-t
obzvlášť 	 ob-zvlášť 	 ob-z-vlášť
občanského 	 obč-an-sk-ého 	 občan-sk-ého
ochotna 	 ochot-n-a 	 o-chot-n-a
odbytové 	 od-by-t-ov-é 	 od-byt-ov-é
odevzdám 	 ode-vz-d-á-m 	 ode-vz-d-ám
odečte 	 ode-čt-e 	 ode-č-te
odmésti 	 od-mést-i 	 od-més-ti
ohořelému 	 o-hoř-e-l-é-mu 	 o-hoř-e-l-ému
okamžitě 	 ok-a-mžit-ě 	 ok-a-mž-it-ě
okounět 	 okoun-ě-t 	 o-koun-ě-t
olšanech 	 olšan-e-ch 	 olšan-ech
opačném 	 o-pač-n-é-m 	 o-pač-n-ém
opelichat 	 o-pelich-a-t 	 opelich-a-t
oplésti 	 o-plést-i 	 o-plés-ti
opovažuješ 	 o-po-važ-u-j-e-š 	 o-po-važ-uje-š
orchestrem 	 orchestr-e-m 	 orchestr-em
organismus 	 organismus 	 organ-ism-us
organizují 	 organ-iz-u-j-í 	 organ-iz-uj-í
orlik 	 orl-ik 	 orlik
osobu 	 o-sob-u 	 osob-u
ostatních 	 o-stat-n-í-ch 	 o-stat-n-ích
osudem 	 o-sud-e-m 	 o-sud-em
osvědčují 	 o-s-věd-č-u-j-í 	 o-svěd-č-uj-í
oxfordského 	 oxford-sk-é-ho 	 oxford-sk-ého
ozřejmit 	 o-zřejm-i-t 	 o-zř-ejm-i-t
ošukat 	 ošuk-a-t 	 o-šuk-a-t
pacientovi 	 pac-i-ent-ovi 	 pacient-ovi
padesátku 	 pade-sát-k-u 	 pa-desát-k-u
palba 	 pal-b-a 	 palb-a
paničko 	 pan-ič-k-o 	 pan-ičk-o
patroni 	 patr-on-i 	 patron-i
pekárenských 	 pek-ár-en-sk-ých 	 pek-áren-sk-ých
petynce 	 pety-n-c-e 	 petyn-c-e
pečiva 	 peč-iv-a 	 pečiv-a
pilují 	 pil-u-j-í 	 pil-uj-í
pitomej 	 pitom-ej 	 pito-mej
plakáty 	 plakát-y 	 plak-át-y
planul 	 plan-u-l 	 pla-nu-l
plat 	 plat 	 pl-a-t
plačící 	 plač-í-c-í 	 plač-íc-í
pleteného 	 plet-en-é-ho 	 plet-en-ého
plodem 	 plod-e-m 	 plod-em
plují 	 plu-j-í 	 pluj-í
plukovník 	 pluk-ov-n-ík 	 pluk-ov-ník
podhrnout 	 pod-hrn-ou-t 	 pod-hr-nou-t
podnikám 	 pod-nik-á-m 	 pod-nik-ám
podobného 	 po-dob-n-é-ho 	 po-dob-n-ého
podvésti 	 pod-vést-i 	 pod-vés-ti
pohotovějším 	 po-hotov-ějš-ím 	 po-hotov-ěj-š-í-m
politických 	 polit-ic-k-ý-ch 	 polit-ic-k-ých
polyvalence 	 poly-valenc-e 	 poly-valen-c-e
poměrem 	 po-měr-e-m 	 po-měr-em
popelnic 	 po-pel-nic 	 popel-nic
poplatník 	 po-plat-ník 	 po-plat-n-ík
poplatníka 	 po-plat-ník-a 	 po-plat-n-ík-a
poplatníky 	 po-plat-ník-y 	 po-plat-n-ík-y
poproduktivní 	 po-pro-duk-t-iv-n-í 	 po-pro-dukt-iv-n-í
poptávky 	 po-pt-á-v-k-y 	 po-pt-áv-k-y
porculánu 	 porculán-u 	 por-culán-u
porovnání 	 po-rovn-ání 	 po-rovn-á-n-í
porůsti 	 po-růst-i 	 po-růs-ti
posily 	 po-sil-y 	 pos-i-l-y
posluchače 	 po-sluch-a-č-e 	 po-sluch-ač-e
posluchačů 	 po-sluch-a-č-ů 	 po-sluch-ač-ů
pouhém 	 pouh-é-m 	 pouh-ém
povolaný 	 po-vol-an-ý 	 po-vol-a-n-ý
povyrůsti 	 po-vy-růst-i 	 po-vy-růs-ti
povzbudivé 	 po-vz-bud-i-v-é 	 po-vz-bud-iv-é
početí 	 po-č-e-t-í 	 po-čet-í
pošlete 	 po-šl-e-te 	 po-šle-t-e
praktickým 	 prakt-ic-k-ý-m 	 prakt-ic-k-ým
prejudikovat 	 pre-ju-dik-ova-t 	 preju-dik-ova-t
press 	 press 	 pres-s
produkty 	 pro-dukt-y 	 produkt-y
prodávám 	 pro-d-á-v-á-m 	 pro-d-á-v-ám
profesora 	 pro-fes-or-a 	 profes-or-a
profesory 	 pro-fes-or-y 	 profes-or-y
projednáním 	 pro-jed-n-án-ím 	 pro-jedn-á-n-ím
proklásti 	 pro-klást-i 	 pro-klás-ti
prokormidlovavší 	 pro-kormidl-ova-vš-í 	 pro-kormi-dl-ova-vš-í
prometání 	 pro-met-á-n-í 	 promet-á-n-í
promnout 	 pro-mn-ou-t 	 pro-m-nou-t
prosimás 	 prosimás 	 prosim-ás
prostějovsko 	 prostějov-sk-o 	 prostěj-ov-sk-o
prostějově 	 prostějov-ě 	 prostěj-ov-ě
proteplit 	 pro-tep-l-i-t 	 protep-l-i-t
provincií 	 provinc-i-í 	 pro-vin-c-i-í
pročež 	 pro-č-e-ž 	 pro-č-ež
prstíčky 	 prst-íč-k-y 	 prst-íčk-y
právem 	 práv-e-m 	 práv-em
psaním 	 ps-a-n-í-m 	 ps-a-n-ím
psychologistickou 	 psycho-log-ist-ic-k-ou 	 psych-o-log-ist-ic-k-ou
psům 	 ps-ů-m 	 ps-ům
ptejme 	 pt-ej-me 	 ptej-me
purple 	 purple 	 purpl-e
pusinka 	 pus-in-k-a 	 pusin-k-a
pučálka 	 pučálk-a 	 pučál-k-a
pzt 	 p-z-t 	 pz-t
pánové 	 pán-ové 	 pán-ov-é
pápěrka 	 pá-pěr-k-a 	 pápěr-k-a
pásci 	 pásc-i 	 pás-c-i
píti 	 pít-i 	 pí-ti
pěkném 	 pěkn-é-m 	 pěkn-ém
pěst 	 pěst 	 pěs-t
pětistovkou 	 pět-i-st-ovk-ou 	 pětist-ov-k-ou
předcházejí 	 před-cház-e-j-í 	 před-cház-ej-í
předobjednávání 	 před-ob-jedn-á-v-á-n-í 	 předob-jedn-á-v-á-n-í
předsedům 	 před-sed-ů-m 	 před-sed-ům
předstihujícím 	 před-stih-uj-í-c-í-m 	 před-stih-uj-íc-ím
přejímce 	 pře-j-í-m-c-e 	 pře-jím-c-e
přemýšlivější 	 pře-mýšl-iv-ějš-í 	 pře-mýšl-iv-ěj-š-í
přepnout 	 pře-pn-ou-t 	 pře-p-nou-t
připluje 	 při-plu-je 	 při-pluje
připomenout 	 při-po-men-ou-t 	 při-po-me-nou-t
přiznej 	 při-zn-e-j 	 při-zn-ej
přišinout 	 při-šin-ou-t 	 při-ši-nou-t
přímém 	 přím-é-m 	 přím-ém
přítomném 	 pří-t-o-m-n-é-m 	 pří-t-om-n-ém
přítomnými 	 pří-t-o-m-n-ý-m-i 	 pří-t-o-m-n-ými
přízemí 	 pří-zem-í 	 přízem-í
příštího 	 příšt-í-ho 	 příšt-ího
pšenka 	 pšen-k-a 	 pšenk-a
radomír 	 radomír 	 rad-o-mír
raději 	 rad-ěji 	 raděj-i
redakční 	 redakč-n-í 	 redak-č-n-í
rejstříku 	 rejstřík-u 	 rejstř-ík-u
rektorem 	 rekt-or-em 	 rektor-em
rider 	 rid-er 	 rider
rivalové 	 rival-ové 	 rival-ov-é
rolling 	 roll-ing 	 rolling
rolničit 	 rol-n-ič-i-t 	 rol-nič-i-t
roxby 	 roxby 	 rox-b-y
rozeklát 	 roze-kl-á-t 	 roze-klát
rozhrnula 	 roz-hrn-u-l-a 	 roz-hr-nu-l-a
rozkošným 	 roz-koš-n-ý-m 	 roz-koš-n-ým
rozpočísti 	 roz-po-číst-i 	 roz-po-čís-ti
rozumových 	 roz-um-ov-ý-ch 	 roz-um-ov-ých
rupií 	 rupi-í 	 rup-i-í
rusové 	 rus-ové 	 rus-ov-é
rázem 	 ráz-e-m 	 ráz-em
různými 	 různ-ý-m-i 	 různ-ými
samostatnější 	 sam-o-stat-n-ějš-í 	 sam-o-stat-n-ěj-š-í
samozřejmá 	 sam-o-zř-ejm-á 	 sam-o-zř-ej-m-á
samsung 	 samsung 	 sam-sung
sazeb 	 saz-eb 	 sazeb
schodech 	 s-chod-e-ch 	 s-chod-ech
scorpions 	 scorpion-s 	 scorp-ions
sebeničením 	 s-eb-e-ni-č-en-í-m 	 seb-e-nič-en-ím
sebevíce 	 seb-e-víc-e 	 seb-e-více
sedláková 	 sedl-ák-ov-á 	 sed-l-ák-ov-á
sedmihradsku 	 sedmihradsk-u 	 sedm-i-hrad-sk-u
separátní 	 se-par-át-n-í 	 separát-n-í
sepnout 	 se-pn-ou-t 	 se-p-nou-t
signalizovali 	 signal-iz-ova-l-i 	 sign-al-iz-ova-l-i
silence 	 silence 	 silen-c-e
skutečnosti 	 s-kut-eč-n-ost-i 	 skuteč-n-ost-i
skutečném 	 s-kut-eč-n-é-m 	 skuteč-n-ém
slovensko 	 sloven-sk-o 	 slov-en-sk-o
slovným 	 slov-n-ý-m 	 slov-n-ým
smetanový 	 smetan-ov-ý 	 s-metan-ov-ý
smrtelném 	 s-mr-tel-n-é-m 	 s-mr-teln-ém
smrtelnému 	 s-mr-tel-n-é-mu 	 s-mr-teln-ému
smyslových 	 s-mysl-ov-ý-ch 	 s-mysl-ov-ých
smésti 	 s-mést-i 	 s-més-ti
směl 	 smě-l 	 sm-ě-l
směrem 	 s-měr-e-m 	 s-měr-em
snahami 	 snah-a-m-i 	 snah-ami
solarmax 	 solar-max 	 solarmax
solidních 	 solid-n-í-ch 	 solid-n-ích
sotva 	 sotva 	 sotv-a
sousedního 	 sou-sed-n-í-ho 	 sou-sed-n-ího
soutěž 	 sou-těž 	 sou-t-ěž
specifickým 	 speci-fic-k-ý-m 	 speci-fic-k-ým
speciál 	 speci-ál 	 speciál
spekulantem 	 spek-ul-ant-e-m 	 spekul-ant-em
spojkami 	 s-poj-k-a-m-i 	 s-poj-k-ami
spokojíte 	 s-pokoj-í-te 	 s-po-koj-í-te
spolupůsobit 	 spol-u-působ-i-t 	 spolu-pů-sob-i-t
sponzorsky 	 sponzor-sk-y 	 s-pon-zor-sk-y
srovnatelná 	 s-rov-n-a-teln-á 	 s-rovn-a-teln-á
stanovení 	 stan-ov-en-í 	 stanov-en-í
starožitných 	 star-o-ži-t-n-ých 	 star-oži-t-n-ých
starých 	 star-ý-ch 	 star-ých
stavení 	 sta-v-en-í 	 stav-en-í
stejném 	 stej-n-é-m 	 stejn-ém
stojaté 	 stoj-at-é 	 stoj-a-t-é
stokorunovou 	 st-o-korun-ov-ou 	 stokorun-ov-ou
století 	 st-o-let-í 	 stol-et-í
stones 	 stone-s 	 stones
stovkou 	 st-ovk-ou 	 stovk-ou
stovku 	 st-ovk-u 	 stov-k-u
strahov 	 strahov 	 s-trah-ov
strahova 	 strahov-a 	 s-trah-ov-a
strahově 	 strahov-ě 	 s-trah-ov-ě
strašnicích 	 strašnic-í-ch 	 straš-nic-ích
strnutí 	 s-trn-u-t-í 	 s-tr-nu-t-í
stránku 	 strán-k-u 	 s-trán-k-u
strčit 	 strč-i-t 	 s-trč-i-t
studiích 	 stud-i-í-ch 	 stud-i-ích
stál 	 stá-l 	 stál
stála 	 stá-l-a 	 stál-a
stěžovatel 	 stěž-ova-tel 	 s-těž-ova-tel
střechách 	 střech-á-ch 	 střech-ách
stříbrolesklého 	 stříbr-o-lesk-l-é-ho 	 stříbr-o-lesk-l-ého
superdobrý 	 super-dobr-ý 	 superdobr-ý
supernova 	 super-nova 	 super-n-ov-a
supraphon 	 supra-phon 	 supraphon
svraštil 	 s-vrašt-i-l 	 s-vraš-t-i-l
svát 	 s-vá-t 	 s-v-á-t
svědomím 	 s-věd-om-í-m 	 s-věd-om-ím
světelné 	 svět-el-n-é 	 svět-eln-é
světelných 	 svět-el-n-ých 	 svět-eln-ých
systémem 	 systém-e-m 	 systém-em
takzvaném 	 tak-zv-a-n-é-m 	 tak-zv-a-n-ém
také 	 také 	 tak-é
tati 	 tat-i 	 t-a-ti
telat 	 tel-at 	 tel-a-t
telefonního 	 tele-fon-n-í-ho 	 tele-fon-n-ího
televize 	 televize 	 televiz-e
tendenci 	 tend-enc-i 	 tendenc-i
tenounkým 	 ten-oun-k-ý-m 	 ten-ounk-ým
tesklivých 	 tesk-l-iv-ý-ch 	 tesk-liv-ých
tetička 	 tet-ič-k-a 	 tet-ičk-a
textil 	 textil 	 texti-l
tikem 	 tik-e-m 	 tik-em
tkalcovnictví 	 tka-lc-ovnic-tv-í 	 tk-a-l-c-ov-nic-tv-í
tlapkách 	 tlap-k-á-ch 	 tlap-k-ách
tomáš 	 tomáš 	 tom-á-š
tops 	 tops 	 top-s
totožný 	 totožn-ý 	 totož-n-ý
traktorů 	 traktor-ů 	 trakt-or-ů
treperendo 	 treper-end-o 	 treperend-o
tropickém 	 trop-ick-ém 	 trop-ic-k-ém
tržním 	 trž-n-ím 	 trž-n-í-m
turbovrtulových 	 turbo-vrt-ul-ov-ých 	 turb-o-vrtul-ov-ých
turistiky 	 tur-ist-ik-y 	 turist-ik-y
turné 	 turné 	 turn-é
tvrzeními 	 tvrz-en-í-m-i 	 tvrz-en-ími
tzv 	 t-z-v 	 tzv
téhož 	 t-é-ho-ž 	 t-ého-ž
tímto 	 t-í-m-t-o 	 t-ím-t-o
těhotenství 	 těhoten-ství 	 těhoten-stv-í
těmi 	 t-ě-m-i 	 t-ěmi
třemi 	 tř-e-m-i 	 tř-emi
třetím 	 tř-e-t-í-m 	 tř-et-í-m
třineckých 	 třinec-k-ých 	 třin-ec-k-ých
třísla 	 třís-l-a 	 tř-ís-l-a
ukazuju 	 u-kaz-u-j-u 	 u-kaz-uj-u
