černorudý 	 čern-o-rud-ý 	 černo-rud-ý
zmaškařit 	 z-mašk-ař-i-t 	 z-maš-k-ař-i-t
západočínský 	 zá-pad-o-čín-sk-ý 	 zá-pado-čín-sk-ý
princezničko 	 princezn-ičk-o 	 princ-ezn-ič-k-o
vodolově 	 vodolov-ě 	 vod-ol-ov-ě
vstupenku 	 v-stup-enk-u 	 v-stup-en-k-u
úroveň 	 ú-rov-eň 	 ú-roveň
odvracení 	 od-vrac-e-n-í 	 od-vrac-en-í
keithovi 	 keith-ovi 	 keithovi
ovečka 	 oveč-k-a 	 ovečk-a
respektive 	 respektive 	 re-spekt-iv-e
pancharte 	 panchart-e 	 pancharte
napínák 	 na-pín-ák 	 na-pín-á-k
spěnka 	 spěnk-a 	 spěn-k-a
meziválečný 	 mezi-vál-eč-n-ý 	 mezi-váleč-n-ý
ondulovat 	 ond-ul-ova-t 	 on-dul-ova-t
ohlédne 	 o-hléd-ne 	 o-hléd-n-e
žádným 	 žád-n-ým 	 žádn-ým
kubík 	 kub-ík 	 kubík
zubrovka 	 zubr-ov-k-a 	 zubr-ovk-a
dialekt 	 dia-lekt 	 dialekt
fermežovat 	 fermež-ova-t 	 fer-mež-ova-t
adaptabilní 	 adapt-abil-n-í 	 ad-apt-a-bil-n-í
chichotat 	 chich-ot-a-t 	 chichot-a-t
těmito 	 t-ěmi-to 	 těm-it-o
pivotéka 	 piv-o-ték-a 	 pivo-ték-a
náturu 	 nátur-u 	 ná-tur-u
bilaterální 	 bi-later-ál-n-í 	 bilater-ál-n-í
počáteční 	 po-čá-t-eč-n-í 	 po-č-á-teč-n-í
účtárnách 	 ú-čt-ár-n-ách 	 ú-čtár-n-ách
popelavět 	 popel-av-ě-t 	 po-pel-av-ě-t
mládenečky 	 mlád-eneč-k-y 	 mlád-en-ečk-y
mučivější 	 muč-i-v-ěj-š-í 	 muč-iv-ějš-í
čtyřstupňovou 	 čtyř-stupň-ov-ou 	 čtyř-stup-ň-ov-ou
zraj 	 zra-j 	 zraj
strážnice 	 stráž-nic-e 	 strážn-ic-e
plamenech 	 pla-men-ech 	 plamen-ech
radioburza 	 radi-o-burz-a 	 radio-burz-a
revoluce 	 revoluc-e 	 revol-uc-e
nebo 	 nebo 	 neb-o
vlaštovek 	 vlašt-ov-ek 	 vlašt-ovek
výzkum 	 vý-zkum 	 vý-zk-um
konkrétních 	 konkrét-n-ích 	 kon-krét-n-ích
slib 	 s-lib 	 slib
žlutohnědý 	 žlut-o-hněd-ý 	 žluto-hněd-ý
setřeny 	 se-tř-e-n-y 	 se-tř-en-y
oznámila 	 o-znám-i-l-a 	 o-znám-il-a
režírující 	 rež-ír-uj-íc-í 	 režír-uj-íc-í
opěvat 	 o-pě-v-a-t 	 o-pěv-a-t
falocentrický 	 fal-o-centr-ick-ý 	 fal-o-centr-ic-k-ý
třpytivý 	 třpyt-i-v-ý 	 třpyt-iv-ý
lazio 	 lazio 	 lazi-o
vševědova 	 vš-e-věd-ov-a 	 vše-věd-ov-a
alogično 	 a-log-ič-n-o 	 alog-ič-n-o
otčenáš 	 otč-e-n-á-š 	 otč-en-á-š
halasovskost 	 halas-ovsk-ost 	 halas-ov-sk-ost
sabotáže 	 sabot-áž-e 	 sabotáž-e
logika 	 log-ik-a 	 logik-a
redoxní 	 redox-n-í 	 re-dox-n-í
zpolitizovávat 	 z-polit-iz-ová-v-a-t 	 z-polit-izová-v-a-t
cimrman 	 cimr-man 	 cimrman
intelektuální 	 intelekt-uál-n-í 	 intelekt-u-ál-n-í
boršč 	 boršč 	 bor-š-č
ranhojič 	 ran-hoj-i-č 	 ranhoj-i-č
páchlo 	 pách-l-o 	 páchl-o
hobby 	 hobby 	 hobb-y
králík 	 králík 	 král-ík
vajíčko 	 vajíč-k-o 	 vaj-íčk-o
bohorodice 	 boh-o-rod-i-ce 	 boh-o-rod-ic-e
zbili 	 z-bi-l-i 	 z-bil-i
padlo 	 pad-l-o 	 padl-o
hematologického 	 hemat-o-log-ick-ého 	 hemato-log-ick-ého
znáčka 	 znáčk-a 	 znáč-k-a
pětivrstvý 	 pět-i-vrstv-ý 	 pět-i-vr-stv-ý
nicnevyzařující 	 ni-c-ne-vy-zař-uj-íc-í 	 nicne-vyzař-uj-íc-í
radiomateriál 	 radi-o-mater-iál 	 radio-mater-i-ál
rohlík 	 roh-l-ík 	 rohl-ík
zieleniec 	 zieleniec 	 zielen-i-ec
protibushovský 	 proti-bush-ovsk-ý 	 proti-bushovsk-ý
českolipsko 	 čes-k-o-lip-sk-o 	 česk-o-lip-sk-o
sociohistorické 	 soc-i-o-histor-ick-é 	 soci-o-histor-ic-k-é
zdál 	 zd-á-l 	 zdál
nevyspalá 	 ne-vy-sp-a-l-á 	 ne-vy-spa-l-á
spora 	 spor-a 	 s-por-a
antropogenního 	 antrop-o-gen-n-ího 	 antr-o-pogen-n-ího
negativní 	 negativ-n-í 	 negat-iv-n-í
potácet 	 potác-e-t 	 po-tác-e-t
zobrazení 	 z-obraz-en-í 	 z-ob-raz-en-í
neodřel 	 ne-o-dř-e-l 	 ne-odř-e-l
tůma 	 tům-a 	 t-ům-a
rubíny 	 rubín-y 	 rub-ín-y
artrock 	 art-rock 	 artrock
chronický 	 chron-ick-ý 	 chron-ic-k-ý
psací 	 ps-a-c-í 	 psa-c-í
vejcorodých 	 vejc-o-rod-ých 	 vejco-rod-ých
šarapatit 	 šarapat-i-t 	 šarap-at-i-t
znovunavázanost 	 z-nov-u-na-váz-a-n-ost 	 znovu-na-váz-a-n-ost
metelit 	 met-el-i-t 	 metel-i-t
fico 	 fic-o 	 fico
ztrapnit 	 z-trapn-i-t 	 z-trap-n-i-t
kdovíjak 	 kd-o-v-í-jak 	 kdoví-jak
jednotlivci 	 jedn-ot-liv-c-i 	 jedn-ot-liv-ci
proletarizovat 	 prolet-ar-iz-ova-t 	 pro-let-ar-iz-ova-t
olinko 	 ol-in-k-o 	 olin-k-o
nezáviděníhodné 	 ne-závid-ěn-í-hod-n-é 	 ne-zá-vid-ěn-í-hod-n-é
hokejbal 	 hokejbal 	 hokej-bal
vzorná 	 v-zor-n-á 	 vzorn-á
zaorálek 	 za-or-á-l-ek 	 za-orál-ek
označitelných 	 o-znač-i-teln-ých 	 o-znač-i-tel-n-ých
zedník 	 zed-ník 	 zed-ní-k
neztenčeně 	 ne-z-ten-č-en-ě 	 ne-z-tenč-en-ě
sebezničující 	 seb-e-z-nič-uj-íc-í 	 seb-e-zn-ič-uj-íc-í
celkový 	 celk-ov-ý 	 cel-k-ov-ý
spíjívaný 	 s-píj-í-v-a-n-ý 	 spíj-í-v-a-n-ý
staromódní 	 star-o-mód-n-í 	 staro-mód-n-í
přidal 	 při-d-a-l 	 při-dal
reedovat 	 re-ed-ova-t 	 reed-ova-t
obráceně 	 ob-rác-e-n-ě 	 ob-rác-en-ě
počva 	 počv-a 	 po-čv-a
částka 	 část-k-a 	 částk-a
nabrnknout 	 na-brnk-nou-t 	 na-brn-k-nou-t
pomelo 	 pomel-o 	 po-mel-o
jitrocel 	 jitr-o-cel 	 jitr-ocel
vystlaná 	 vy-stl-a-n-á 	 vy-stla-n-á
slečny 	 sleč-n-y 	 slečn-y
vojenská 	 voj-en-sk-á 	 vojen-sk-á
středozemní 	 středozemn-í 	 střed-o-zem-n-í
polámaný 	 po-lám-an-ý 	 po-lám-a-n-ý
budoucně 	 bud-ou-c-n-ě 	 bud-ouc-n-ě
vršovice 	 vrš-ov-ic-e 	 vršovic-e
voptat 	 vo-pt-a-t 	 v-o-pt-a-t
milovicích 	 milovic-ích 	 mil-ov-ic-ích
zaoblit 	 za-obl-i-t 	 za-ob-l-i-t
zkušební 	 z-kuš-eb-n-í 	 z-kušeb-n-í
velblouda 	 velbloud-a 	 vel-bloud-a
bezpečit 	 bezpeč-i-t 	 bez-peč-i-t
chutcharatkul 	 chutcharatkul 	 chut-charat-k-ul
skartovat 	 s-kart-ova-t 	 skart-ova-t
sinavět 	 sin-a-v-ě-t 	 sin-av-ě-t
paprika 	 paprik-a 	 papr-ik-a
biologický 	 bio-log-ic-k-ý 	 bio-log-ick-ý
rovnoramenný 	 rovn-o-ram-en-n-ý 	 rovn-o-ramen-n-ý
chromozóm 	 chromozóm 	 chromoz-óm
alexaněnkův 	 alexaněnk-ův 	 alex-a-něn-k-ův
plynoinstalace 	 plyn-o-in-stal-ac-e 	 plyno-in-stal-ac-e
pchát 	 pch-á-t 	 pchát
cenotvorba 	 cen-o-tvor-b-a 	 ceno-tvor-b-a
zaujmouti 	 za-u-j-mou-ti 	 za-u-jm-ou-ti
dennodenní 	 den-n-o-den-n-í 	 denno-den-n-í
vybříst 	 vy-břís-t 	 vy-bříst
štrapicírovat 	 štrapic-ír-ova-t 	 štrap-ic-ír-ova-t
zněžnět 	 z-něž-n-ě-t 	 zněžn-ě-t
zvenkovštět 	 z-ven-k-ov-št-ě-t 	 zven-k-ov-št-ě-t
vstupuje 	 v-stup-uj-e 	 v-stup-uje
grófinka 	 grófin-k-a 	 grófink-a
katetrizovat 	 ka-tet-rizo-va-t 	 ka-tetr-iz-ova-t
nebudeš 	 ne-bud-e-š 	 ne-bude-š
podlého 	 podl-ého 	 pod-l-ého
nezačínej 	 ne-za-č-ín-ej 	 ne-za-čín-ej
mcenský 	 mcensk-ý 	 mcen-sk-ý
tepichy 	 tepich-y 	 tep-ich-y
pištění 	 pišt-ě-n-í 	 pišt-ěn-í
inzulínový 	 inzulín-ov-ý 	 in-zu-lín-ov-ý
ecm 	 e-c-m 	 ecm
budějovicích 	 budějovic-ích 	 buděj-ov-ic-ích
vydlabaný 	 vy-dlab-an-ý 	 vy-dlab-a-n-ý
ukostřit 	 u-kost-ř-i-t 	 u-kostř-i-t
znovuoživenost 	 z-nov-u-o-ži-v-en-ost 	 znovu-o-živ-en-ost
zpomaluje 	 z-pomal-uje 	 z-po-mal-uje
svídnici 	 svídnic-i 	 svíd-n-ic-i
západogermánský 	 zá-pad-o-germán-sk-ý 	 západo-germán-sk-ý
konfekci 	 kon-fekc-i 	 kon-fek-c-i
velikonoce 	 vel-ik-o-noc-e 	 vel-i-k-onoc-e
objednaly 	 ob-jed-n-a-l-y 	 ob-jedn-a-l-y
umělokamenný 	 um-ě-l-o-kamen-n-ý 	 umě-l-o-kamen-n-ý
krejčí 	 krejč-í 	 krejčí
třísla 	 třís-l-a 	 třísl-a
ralsko 	 ral-sk-o 	 ralsk-o
svévole 	 sv-é-vol-e 	 svévol-e
psychiatrii 	 psych-iatr-i-i 	 psych-iatri-i
staroegyptský 	 star-o-egypt-sk-ý 	 staro-egypt-sk-ý
alternovat 	 alter-n-ova-t 	 altern-ova-t
režisérem 	 rež-is-ér-em 	 režis-ér-em
akvabela 	 akva-bel-a 	 akvabel-a
vdole 	 vdol-e 	 v-dol-e
podměstečku 	 pod-měst-ečk-u 	 pod-měst-eč-k-u
garážovat 	 gar-áž-ova-t 	 garáž-ova-t
brnivý 	 brniv-ý 	 brn-iv-ý
halucinovat 	 halu-cin-ova-t 	 haluc-in-ova-t
škrdlit 	 škrdl-i-t 	 škrd-l-i-t
kočárníka 	 kočár-ník-a 	 kočár-n-ík-a
kasíra 	 kas-ír-a 	 kasír-a
smluvněprávní 	 s-mluv-n-ě-práv-n-í 	 smluvně-práv-n-í
akcionář 	 akcion-ář 	 akcionář
osminásobný 	 osm-i-násob-n-ý 	 osm-i-ná-sob-n-ý
neodvoditelná 	 ne-od-vod-i-teln-á 	 ne-od-vod-i-tel-n-á
barograf 	 bar-o-graf 	 baro-graf
okem 	 ok-em 	 okem
kompromisu 	 kompromis-u 	 kom-pro-mis-u
povysunout 	 po-vy-sun-ou-t 	 po-vy-su-nou-t
věrolomník 	 věr-o-lomn-ík 	 věr-o-lom-ník
nést 	 nés-t 	 nést
léčebné 	 léč-eb-n-é 	 léčeb-n-é
sebetrýznivou 	 s-eb-e-trýzn-iv-ou 	 sebe-trýzn-iv-ou
zaonačit 	 za-on-ač-i-t 	 za-onač-i-t
zkormucovat 	 z-ko-rmuc-ova-t 	 z-kormuc-ova-t
podstatou 	 pod-sta-t-ou 	 pod-stat-ou
přirovnat 	 při-rov-n-a-t 	 při-rovn-a-t
stálozelený 	 stál-o-zelen-ý 	 stálo-zelen-ý
iniciovat 	 in-ici-ova-t 	 inici-ova-t
katrič 	 katrič 	 katr-i-č
vlastním 	 vlast-n-í-m 	 vlast-n-ím
naší 	 n-a-š-í 	 na-š-í
tříhrbý 	 tříhrb-ý 	 tř-í-hrb-ý
munzemli 	 munzeml-i 	 munzem-l-i
borovici 	 bor-ov-ic-i 	 bor-ovic-i
poblahopřát 	 po-blaho-přát 	 po-blah-o-přá-t
biosyntéze 	 bio-syn-téz-e 	 bio-syntéz-e
dalimila 	 dalimil-a 	 dalim-il-a
relativizování 	 relat-iv-izová-n-í 	 re-lat-iv-iz-ová-n-í
plných 	 plný-ch 	 pln-ých
sociálněvědního 	 soc-iál-n-ě-věd-n-ího 	 soci-ál-n-ě-vědního
ošklivý 	 oškliv-ý 	 oškl-iv-ý
dřívější 	 dřív-ěj-š-í 	 dřív-ějš-í
karavanů 	 karavan-ů 	 karav-an-ů
přikout 	 při-kou-t 	 při-kout
návštěvníků 	 návšt-ěv-n-íků 	 návštěv-ník-ů
regenschori 	 regenschor-i 	 regen-s-chor-i
výška 	 výš-k-a 	 výšk-a
zvalorizování 	 z-valor-izová-n-í 	 z-valor-iz-ová-n-í
pracky 	 prac-k-y 	 prack-y
břichabol 	 břich-a-bol 	 břich-abol
bezesporu 	 beze-s-por-u 	 beze-spor-u
dudenka 	 dudenk-a 	 duden-k-a
zrníčko 	 zrn-íč-k-o 	 zrníčk-o
vymyšleno 	 vy-myšl-e-n-o 	 vy-myšl-en-o
kadencovat 	 kad-enc-ova-t 	 kadenc-ova-t
kájín 	 kájín 	 káj-ín
idea 	 ide-a 	 idea
svát 	 s-vá-t 	 svá-t
přelouče 	 přelouč-e 	 pře-louč-e
murray 	 murray 	 murra-y
special 	 speci-al 	 special
zapích 	 za-pích 	 za-p-ích
znáhla 	 znáhl-a 	 znáh-l-a
desinfikovat 	 des-in-fik-ova-t 	 de-sin-fik-ova-t
božena 	 božen-a 	 bož-en-a
resyl 	 resyl 	 re-syl
natural 	 natural 	 natur-a-l
zpravodajství 	 z-prav-o-daj-stv-í 	 zprav-o-daj-stv-í
zpěvům 	 zpěv-ům 	 z-pěv-ům
myšlení 	 myšl-e-n-í 	 myšl-en-í
sídlo 	 sídl-o 	 síd-l-o
strakonicko 	 strakonic-k-o 	 strakon-ic-k-o
prdlavka 	 prdlavk-a 	 prdlav-k-a
caespitosum 	 caespitosum 	 caespit-os-um
desetiboje 	 deset-i-boj-e 	 deset-i-boje
spíchat 	 s-pích-a-t 	 spích-a-t
vkovat 	 v-kov-at 	 v-kov-a-t
remorkéry 	 remork-ér-y 	 remor-k-ér-y
odnětí 	 od-ně-t-í 	 od-nět-í
prokristáčka 	 pro-krist-áčk-a 	 pro-krist-áč-k-a
genetickou 	 gen-et-ic-k-ou 	 genet-ic-k-ou
ella 	 ella 	 ell-a
našinec 	 naš-inec 	 našin-ec
