absolventi 	 ab-solv-ent-i 	 absol-vent-i
mjasisčev 	 mjasisčev 	 mjasisč-ev
mladého 	 mlad-é-ho 	 mlad-ého
mlýna 	 ml-ýn-a 	 mlýn-a
mnichově 	 mnichov-ě 	 mnich-ov-ě
moderního 	 modern-í-ho 	 moder-n-ího
mohutnět 	 moh-ut-n-ě-t 	 mohut-n-ě-t
mokro 	 mok-r-o 	 mokr-o
monopolu 	 mon-o-pol-u 	 mono-pol-u
more 	 more 	 mor-e
morseovka 	 morse-ov-k-a 	 morse-ovk-a
motorlet 	 motor-let 	 motorl-e-t
motorletu 	 motor-let-u 	 motorlet-u
možnostech 	 možn-ost-ech 	 mož-n-ost-ech
mrtvé 	 mr-tv-é 	 mrtv-é
mužského 	 muž-sk-é-ho 	 muž-sk-ého
mylná 	 myl-n-á 	 myln-á
médií 	 médi-í 	 méd-i-í
mésti 	 mést-i 	 més-ti
mých 	 m-ý-ch 	 mých
měli 	 mě-l-i 	 měl-i
měřítka 	 měř-í-tk-a 	 měř-ít-k-a
měřítku 	 měř-í-tk-u 	 měř-ít-k-u
měšťanské 	 měšť-an-sk-é 	 měšťan-sk-é
mřížovec 	 mříž-ov-ec 	 mříž-ovec
nabitý 	 na-bi-t-ý 	 na-bit-ý
nadindividuálního 	 nad-in-divid-u-ál-n-í-ho 	 nad-individ-u-á-l-n-ího
nadčlověctví 	 nad-člověc-tv-í 	 nad-čl-ověc-tv-í
nadějemi 	 na-děj-e-m-i 	 na-děj-emi
nadřaděného 	 nad-řad-ěn-é-ho 	 nad-řad-ěn-ého
nadšení 	 na-dš-en-í 	 nad-š-en-í
nadšením 	 na-dš-en-í-m 	 nad-š-en-ím
najatí 	 na-j-a-t-í 	 na-jat-í
namasírovat 	 na-mas-ír-ova-t 	 na-masír-ova-t
namésti 	 na-mést-i 	 na-més-ti
nasbíral 	 na-s-bír-a-l 	 na-sbír-a-l
navagónovávatelnost 	 na-vagón-ová-v-a-teln-ost 	 na-vagón-ová-v-a-telnost
naveskrz 	 na-ve-skrz 	 na-veskrz
neb 	 neb 	 ne-b
nebrání 	 ne-brán-í 	 ne-br-á-n-í
nechtěj 	 ne-cht-ě-j 	 ne-cht-ěj
nechuť 	 ne-chuť 	 ne-chu-ť
nechává 	 nech-á-v-á 	 ne-ch-á-v-á
nedávna 	 ne-dávn-a 	 ne-dáv-n-a
nehodlám 	 ne-hodl-á-m 	 ne-hod-l-á-m
neinkasoval 	 ne-in-kas-ova-l 	 ne-inkas-ova-l
nejaktivnější 	 nej-akt-iv-n-ějš-í 	 ne-jaktiv-n-ěj-š-í
nejcitlivějším 	 nej-cit-liv-ějš-ím 	 nej-cit-l-iv-ěj-š-ím
nejdivočejší 	 nej-div-oč-ej-š-í 	 nej-div-oč-ejš-í
nejdříve 	 nej-dřív-e 	 nej-dří-v-e
nejkrásnějších 	 nej-krás-n-ěj-š-í-ch 	 nej-krás-n-ěj-š-ích
nejlahodnější 	 nej-lahod-n-ěj-š-í 	 nej-la-hod-n-ěj-š-í
nejpalčivější 	 nej-pal-č-iv-ěj-š-í 	 nej-pal-č-iv-ějš-í
nejpovolanějšímu 	 nej-po-vol-a-n-ějš-ímu 	 nej-po-vola-n-ěj-š-ímu
nejsladšího 	 nej-slad-š-í-ho 	 nej-slad-š-ího
nejvzdálenější 	 nej-vz-dál-e-n-ěj-š-í 	 nej-vzdál-en-ějš-í
nejvzácnější 	 nej-vzácn-ějš-í 	 nej-vzác-n-ěj-š-í
nejčastějších 	 nej-čast-ěj-š-í-ch 	 nej-čast-ěj-š-ích
nejžha 	 nej-žh-a 	 nejžh-a
nekrytý 	 ne-kry-t-ý 	 ne-kryt-ý
nekvete 	 ne-kvet-e 	 ne-kve-te
nelegální 	 ne-leg-ál-n-í 	 ne-legál-n-í
nemálo 	 ne-mál-o 	 ne-má-l-o
neměly 	 ne-m-ě-l-y 	 ne-mě-l-y
nenech 	 ne-nech 	 ne-n-ech
neodpovídající 	 ne-od-po-víd-aj-íc-í 	 ne-od-povíd-aj-íc-í
nepodaří 	 ne-po-dař-í 	 ne-pod-ař-í
nepohnutě 	 ne-po-h-nu-t-ě 	 ne-po-h-nut-ě
nepolemizujme 	 ne-polem-iz-uj-me 	 ne-polemiz-uj-me
nepotřebujete 	 ne-po-třeb-u-j-e-te 	 ne-po-třeb-uje-te
nepředepisují 	 ne-přede-pis-uj-í 	 ne-pře-depis-uj-í
nepředpokládám 	 ne-před-po-klád-á-m 	 ne-předpokl-á-d-ám
nepřesných 	 ne-přesn-ých 	 ne-přes-n-ých
nervóznět 	 nerv-óz-n-ě-t 	 ne-rvózn-ě-t
nesena 	 nes-en-a 	 ne-sen-a
neumožňuje 	 ne-u-možň-uje 	 ne-u-mož-ň-uje
neupije 	 ne-u-pi-je 	 ne-u-pije
nevhodnost 	 ne-v-hod-n-ost 	 ne-vhod-n-ost
nevrley 	 nevrley 	 ne-vrl-e-y
nezaměstnanosti 	 ne-za-měst-n-an-ost-i 	 ne-za-měs-tn-a-n-osti
nezačínej 	 ne-za-č-ín-ej 	 ne-za-čín-ej
nezbytné 	 ne-z-by-t-n-é 	 ne-z-byt-n-é
nezbytnými 	 ne-z-by-t-n-ými 	 ne-z-byt-n-ými
neznámého 	 ne-zn-á-m-é-ho 	 ne-zn-á-m-ého
neztratitelnost 	 ne-z-trat-i-tel-n-ost 	 ne-z-trat-i-teln-ost
nečervená 	 ne-červen-á 	 ne-červ-en-á
nimiž 	 n-imi-ž 	 nimiž
nitěných 	 nit-ěn-ý-ch 	 nit-ěn-ých
norem 	 norem 	 nor-em
normám 	 norm-ám 	 norm-á-m
nosem 	 nos-e-m 	 nos-em
novinám 	 nov-in-á-m 	 nov-in-ám
novočerkasku 	 novočerkask-u 	 novo-čerk-ask-u
nykláku 	 nyklák-u 	 ny-klák-u
nymburka 	 nymburk-a 	 ny-mbur-k-a
nábytek 	 ná-by-tek 	 ná-byt-ek
náramného 	 ná-ram-n-é-ho 	 ná-ram-n-ého
nás 	 n-á-s 	 ná-s
návštěva 	 návštěv-a 	 ná-vštěv-a
návštěvnosti 	 návštěv-n-ost-i 	 ná-vštěv-n-ost-i
návštěvou 	 návštěv-ou 	 ná-všt-ěv-ou
nějakém 	 ně-jak-é-m 	 ně-jak-ém
nějakými 	 ně-jak-ými 	 ně-j-ak-ými
něm 	 n-ě-m 	 n-ěm
obal 	 o-bal 	 ob-a-l
obcích 	 obc-ích 	 ob-c-ích
obepnout 	 obe-pn-ou-t 	 obe-p-nou-t
objektem 	 ob-jekt-e-m 	 ob-jekt-em
objem 	 ob-jem 	 ob-j-em
obor 	 o-bor 	 obor
oborat 	 ob-or-a-t 	 o-bor-a-t
obouvatelný 	 ob-ouv-a-teln-ý 	 obouv-a-teln-ý
obrali 	 o-br-a-l-i 	 obr-a-l-i
obrat 	 o-br-a-t 	 obr-a-t
obzvlášť 	 ob-zvlášť 	 ob-z-vláš-ť
občanského 	 obč-an-sk-ého 	 ob-čan-sk-ého
oběsil 	 oběs-i-l 	 o-běs-i-l
oceli 	 ocel-i 	 oce-l-i
ochotna 	 ochot-n-a 	 o-chot-n-a
odbytové 	 od-by-t-ov-é 	 od-byt-ov-é
oddanosti 	 od-d-a-n-ost-i 	 od-dan-ost-i
odehrávají 	 ode-hrá-v-aj-í 	 ode-hráv-aj-í
odepřela 	 ode-př-e-l-a 	 ode-pře-l-a
odeslaném 	 ode-sl-a-n-ém 	 ode-sla-n-ém
odevzdám 	 ode-vz-d-á-m 	 ode-vzd-á-m
odečte 	 ode-čt-e 	 ode-č-te
odečtení 	 ode-čt-en-í 	 odečt-en-í
odkývat 	 od-kýv-a-t 	 od-ký-v-a-t
odlévání 	 od-lév-á-n-í 	 od-lé-v-á-n-í
odmésti 	 od-mést-i 	 od-més-ti
odpluje 	 od-plu-je 	 od-pluje
odsoudcovat 	 od-soud-c-ova-t 	 od-soudc-ova-t
oduševnit 	 o-duš-ev-n-i-t 	 o-dušev-n-i-t
odřít 	 o-dř-í-t 	 od-ř-í-t
oh 	 oh 	 o-h
ohořelému 	 o-hoř-e-l-é-mu 	 o-hoř-e-l-ému
ohřebelcovat 	 o-hřeb-el-c-ova-t 	 o-hřebelc-ova-t
okamžitě 	 ok-a-mžit-ě 	 okamž-it-ě
okartáčovat 	 o-kartáč-ova-t 	 o-kart-áč-ova-t
okounět 	 okoun-ě-t 	 o-koun-ě-t
okresní 	 okres-n-í 	 o-kres-n-í
oktrojovat 	 oktroj-ova-t 	 o-ktroj-ova-t
olšanech 	 olšan-e-ch 	 olšan-ech
onen 	 on-en 	 onen
opačném 	 o-pač-n-é-m 	 o-pač-n-ém
oplésti 	 o-plést-i 	 o-plés-ti
opouští 	 o-pouš-t-í 	 o-poušt-í
opovažuješ 	 o-po-važ-u-j-e-š 	 o-po-važ-uje-š
orazítkovat 	 o-raz-í-tk-ova-t 	 o-raz-ítk-ova-t
orchestrem 	 orchestr-e-m 	 orchestr-em
organismus 	 organismus 	 organ-ism-us
organizují 	 organ-iz-u-j-í 	 organ-iz-uj-í
orlik 	 orl-ik 	 orlik
oskar 	 oskar 	 o-skar
osmitisícový 	 osm-i-tisíc-ov-ý 	 osmitisíc-ov-ý
osmou 	 osm-ou 	 o-sm-ou
osobu 	 o-sob-u 	 osob-u
ospalost 	 o-sp-a-l-ost 	 o-spal-ost
ostatních 	 o-stat-n-í-ch 	 o-stat-n-ích
ostravy 	 ostrav-y 	 o-strav-y
ostřit 	 ostř-i-t 	 o-stř-i-t
osudem 	 o-sud-e-m 	 o-sud-em
osudně 	 osud-n-ě 	 o-sud-n-ě
osvědčovat 	 o-svědč-ova-t 	 o-svěd-č-ova-t
osvědčují 	 o-s-věd-č-u-j-í 	 o-svěd-č-uj-í
otvírá 	 ot-vír-á 	 otvír-á
oxfordského 	 oxford-sk-é-ho 	 ox-ford-sk-ého
ozdobovat 	 o-z-dob-ova-t 	 o-zdob-ova-t
očima 	 oč-ima 	 oč-im-a
ošukat 	 ošuk-a-t 	 o-šuk-a-t
paběrkovat 	 pa-běr-k-ova-t 	 paběr-k-ova-t
pacientovi 	 pac-i-ent-ovi 	 pacient-ovi
padesát 	 pa-desát 	 pades-á-t
padesátku 	 pade-sát-k-u 	 pades-át-k-u
palba 	 pal-b-a 	 palb-a
panenka 	 pan-en-k-a 	 panen-k-a
paničko 	 pan-ič-k-o 	 pan-ičk-o
parasoudně 	 para-soud-n-ě 	 parasoud-n-ě
patroni 	 patr-on-i 	 patron-i
pavlačí 	 pavlač-í 	 pavl-ač-í
pekárenských 	 pek-ár-en-sk-ých 	 pekár-en-sk-ých
peníz 	 peníz 	 pen-íz
perfektně 	 per-fekt-n-ě 	 perfekt-n-ě
petynce 	 pety-n-c-e 	 petync-e
pečiva 	 peč-iv-a 	 pečiv-a
peřině 	 peř-in-ě 	 peřin-ě
pf 	 p-f 	 pf
pfeffermann 	 pfeffer-mann 	 pfeffermann
pil 	 pi-l 	 pil
pilují 	 pil-u-j-í 	 pil-uj-í
pisklavě 	 pisk-l-av-ě 	 pisklav-ě
pitomej 	 pitom-ej 	 pito-mej
plakáty 	 plakát-y 	 plak-át-y
